pXC50,AMW,C.,H.,Me
5.523,7.676,44.4,42.2,1.0
8.301,7.676,44.4,42.2,1.0
4.027,8.01,43.3,40.0,1.009
4.0,7.434,36.4,45.5,1.008
4.26,7.132,40.8,46.9,0.996
4.377,7.188,40.0,46.7,0.998
5.036,7.281,44.1,45.8,0.998
4.26,7.5,45.3,43.4,0.996
4.084,7.292,41.3,45.7,0.998
4.046,7.031,39.6,47.9,0.996
5.0,7.813,48.2,41.1,1.002
4.824,6.699,35.6,51.1,0.995
4.921,6.572,35.4,52.1,0.993
6.0,8.45,48.0,36.0,1.011
4.08,8.58,33.3,38.1,1.039
5.036,7.534,34.9,47.6,1.01
5.0,7.49,44.0,44.0,1.0
4.097,7.01,35.9,48.7,1.001
4.027,8.45,34.9,39.5,1.041
5.0,8.222,39.4,39.4,1.021
4.0,6.857,43.1,48.6,0.987
4.585,7.349,44.6,44.6,0.994
4.456,6.649,39.3,50.8,0.989
4.347,6.736,40.3,50.0,0.989
6.0,7.5,45.3,43.4,0.996
4.77,7.349,44.6,44.6,0.994
4.244,6.461,35.3,52.9,0.991
4.523,6.814,37.0,50.0,0.995
4.444,6.736,40.3,50.0,0.989
5.222,6.736,40.3,50.0,0.989
4.0,7.132,40.8,46.9,0.996
4.143,6.991,40.4,48.1,0.994
4.495,7.647,43.1,43.1,1.006
5.456,7.389,47.0,43.9,0.992
4.921,6.683,36.7,51.0,0.993
4.0,7.034,34.1,48.8,1.003
6.276,9.684,29.4,35.3,1.058
7.301,7.676,44.4,42.2,1.0
5.0,7.337,43.6,45.5,1.0
4.538,7.292,41.3,45.7,0.998
4.26,7.475,41.9,44.2,1.001
4.301,7.292,41.3,45.7,0.998
4.0,7.475,41.9,44.2,1.001
7.0,9.864,28.6,34.3,1.066
4.602,6.751,39.7,50.0,0.99
5.0,7.337,43.6,45.5,1.0
4.0,7.475,41.9,44.2,1.001
5.155,7.271,46.4,44.9,0.99
4.523,7.292,41.3,45.7,0.998
4.097,7.475,41.9,44.2,1.001
4.046,7.132,40.8,46.9,0.996
4.0,7.01,38.9,48.1,0.996
4.301,7.135,37.5,47.5,1.001
4.071,7.085,41.5,47.2,0.994
4.0,8.479,42.3,40.4,1.019
4.301,8.466,41.3,39.1,1.031
4.959,7.213,44.1,45.8,0.992
4.0,7.501,43.6,43.6,0.998
4.602,7.292,41.3,45.7,0.998
5.0,8.113,45.8,39.6,1.014
