pXC50,Mp,Si,nBT,nH,nAT,Sv,X.,Sp,Se,Mv,H.,nBO,nCsp3,AMW,SCBO,nSK,nAB,C.,Me,Mi,MW,N.,nB,nBM,nBR,nC,nCL,nCsp
4.301,0.67,66.405,62,22,59,39.545,0.0,39.511,60.978,0.67,37.3,40,4,8.585,53.0,37,18,42.4,1.034,1.126,506.51,6.8,0,22,0,25,0,0
4.836,0.676,41.239,40,17,37,23.665,0.0,25.006,36.825,0.64,45.9,23,5,7.226,29.0,20,12,45.9,0.995,1.115,267.35,2.7,0,12,0,17,0,0
4.301,0.608,36.448,32,17,32,18.38,0.0,19.46,32.153,0.574,53.1,15,5,6.603,18.0,15,6,34.4,1.005,1.139,211.29,3.1,0,6,0,11,0,0
4.301,0.685,25.95,24,9,23,15.359,0.0,15.756,23.284,0.668,39.1,15,0,8.14,21.0,14,6,43.5,1.012,1.128,187.22,13.0,0,9,0,10,0,0
4.301,0.695,37.91,36,12,34,23.536,0.0,23.636,34.931,0.692,35.3,24,1,8.715,34.0,22,12,47.1,1.027,1.115,296.3,5.9,0,16,0,16,0,0
4.335,0.693,37.624,34,11,33,22.636,0.0,22.881,34.949,0.686,33.3,23,4,10.467,29.0,22,0,30.3,1.059,1.14,345.4,15.2,0,6,0,10,0,0
4.0,0.744,33.416,33,10,30,21.626,3.3,22.324,30.724,0.721,33.3,23,1,11.072,30.0,20,12,46.7,1.024,1.114,332.17,10.0,0,13,1,14,0,0
5.13,0.705,20.293,19,6,18,12.7,5.6,12.682,18.593,0.706,33.3,13,0,9.064,18.5,12,11,50.0,1.033,1.127,163.16,5.6,0,11,0,9,0,0
4.301,0.623,66.065,59,31,58,33.486,0.0,36.142,58.061,0.577,53.4,28,12,6.855,32.0,27,6,32.8,1.001,1.139,397.6,5.2,0,7,0,19,0,0
4.301,0.654,44.152,40,21,39,22.993,0.0,25.517,38.334,0.59,53.8,19,7,6.755,23.0,18,6,35.9,0.983,1.132,263.45,7.7,0,7,0,14,0,0
4.301,0.608,44.649,41,22,39,21.784,0.0,23.705,38.527,0.559,56.4,19,12,6.061,21.0,17,0,33.3,0.988,1.145,236.38,7.7,0,1,0,13,0,1
4.301,0.67,65.268,61,27,58,36.617,0.0,38.858,57.556,0.631,46.6,34,7,7.131,45.0,31,18,43.1,0.992,1.125,413.57,8.6,0,19,0,25,0,1
4.301,0.734,36.333,34,10,32,23.079,6.3,23.489,33.236,0.721,31.3,24,1,10.537,33.0,22,16,40.6,1.039,1.135,337.19,18.8,0,17,0,13,2,0
4.481,0.693,59.986,58,22,54,36.17,0.0,37.443,54.349,0.67,40.7,36,5,7.898,48.5,32,17,48.1,1.006,1.111,426.5,3.7,0,21,0,26,0,0
4.301,0.641,65.059,60,27,57,34.847,0.0,36.563,57.203,0.611,47.4,33,11,7.185,41.5,30,11,36.8,1.004,1.141,409.55,12.3,0,13,0,21,0,1
4.418,0.69,49.539,46,20,44,28.434,4.5,30.37,44.109,0.646,45.5,26,6,8.893,33.0,24,12,43.2,1.002,1.126,391.31,4.5,0,13,1,19,0,0
4.716,0.664,55.066,52,23,49,30.762,0.0,32.54,48.796,0.628,46.9,29,6,7.132,37.5,26,17,42.9,0.996,1.124,349.47,6.1,0,17,0,21,0,0
4.301,0.734,44.381,43,17,40,26.798,0.0,29.341,39.978,0.67,42.5,26,4,8.61,35.0,23,16,42.5,0.999,1.11,344.4,5.0,0,17,0,17,0,0
4.301,0.657,48.817,46,19,43,27.224,0.0,28.267,43.349,0.633,44.2,27,7,7.568,34.5,24,11,39.5,1.008,1.135,325.41,11.6,0,13,0,17,0,0
4.301,0.704,40.911,38,13,36,24.69,2.8,25.341,37.029,0.686,36.1,25,2,10.479,33.5,23,11,38.9,1.029,1.136,377.23,16.7,0,14,1,14,0,0
4.301,0.746,46.381,44,17,42,28.798,0.0,31.341,41.978,0.686,40.5,27,0,8.772,38.0,25,18,45.2,0.999,1.104,368.42,4.8,0,20,0,19,0,0
4.301,0.673,32.017,30,11,28,18.45,3.6,18.835,28.92,0.659,39.3,19,4,9.096,24.0,17,10,35.7,1.033,1.143,254.7,14.3,0,10,0,10,1,0
4.301,0.697,65.903,63,24,59,39.4,0.0,41.102,59.629,0.668,40.7,39,5,8.282,55.0,35,26,44.1,1.011,1.117,488.61,6.8,0,29,0,26,0,0
4.301,0.702,41.535,39,14,37,25.323,2.7,25.978,37.447,0.684,37.8,25,0,8.307,35.5,23,17,48.6,1.012,1.123,307.35,8.1,0,19,0,18,0,0
4.301,0.723,29.867,29,10,27,18.865,0.0,19.512,27.065,0.699,37.0,19,1,8.232,28.5,17,15,51.9,1.002,1.106,222.26,7.4,0,16,0,14,0,1
4.301,0.667,39.401,36,17,35,21.752,0.0,23.347,34.491,0.621,48.6,19,4,6.839,26.5,18,11,42.9,0.985,1.126,239.35,8.6,0,12,0,15,0,1
4.301,0.642,57.69,53,25,51,31.003,0.0,32.756,51.007,0.608,49.0,28,7,6.97,35.0,26,12,39.2,1.0,1.131,355.48,5.9,0,13,0,20,0,0
4.337,0.692,45.369,43,16,41,27.788,0.0,28.364,41.705,0.678,39.0,27,3,8.204,37.0,25,12,48.8,1.017,1.107,336.36,0.0,0,16,0,20,0,0
5.537,0.745,31.043,30,10,28,19.941,3.6,20.852,28.436,0.712,35.7,20,1,9.261,27.0,18,12,50.0,1.016,1.109,259.32,3.6,0,13,0,14,0,0
4.301,0.702,39.289,36,17,35,22.184,2.9,24.557,34.905,0.634,48.6,19,6,9.408,23.0,18,6,37.1,0.997,1.123,329.29,5.7,0,7,1,13,0,0
4.301,0.659,40.341,37,13,35,23.31,8.6,23.063,36.582,0.666,37.1,24,4,8.866,30.0,22,12,42.9,1.045,1.153,310.3,5.7,0,12,0,15,0,0
4.301,0.685,43.531,41,16,39,25.875,0.0,26.705,39.371,0.663,41.0,25,3,7.907,35.0,23,12,46.2,1.01,1.116,308.36,5.1,0,16,0,18,0,0
4.301,0.657,43.95,41,16,39,25.304,0.0,25.614,40.025,0.649,41.0,25,5,8.111,32.5,23,11,41.0,1.026,1.127,316.34,5.1,0,13,0,16,0,0
4.301,0.666,45.943,44,20,41,25.499,0.0,27.319,40.483,0.622,48.8,24,6,6.839,31.5,21,15,43.9,0.987,1.121,280.4,4.9,0,15,0,18,0,0
4.711,0.653,40.372,37,14,36,23.691,0.0,23.511,37.476,0.658,38.9,23,3,8.508,30.5,22,11,41.7,1.041,1.121,306.29,0.0,0,13,0,15,0,0
4.301,0.646,35.196,33,15,31,18.94,0.0,20.04,30.934,0.611,48.4,18,6,7.01,24.0,16,6,38.7,0.998,1.135,217.3,9.7,0,9,0,12,0,0
5.987,0.735,32.253,31,10,29,20.655,3.4,21.307,29.764,0.712,34.5,21,1,9.494,28.0,19,12,48.3,1.026,1.112,275.32,3.4,0,13,0,14,0,0
4.317,0.672,46.026,44,19,41,25.993,0.0,27.563,40.702,0.634,46.3,25,6,7.156,34.0,22,12,43.9,0.993,1.123,293.4,7.3,0,15,0,18,0,0
