pXC50,RBN,nBO,SCBO,RBF
4.398,6,27,36.0,0.122
5.001,3,11,16.0,0.15
4.0,8,33,40.5,0.127
4.066,2,14,19.5,0.083
4.743,1,12,17.5,0.053
5.377,2,15,21.5,0.087
4.111,2,14,19.5,0.083
6.066,6,28,39.0,0.133
6.237,3,20,28.5,0.091
4.237,1,13,18.5,0.045
5.143,1,13,18.5,0.053
4.465,2,14,20.5,0.095
5.387,1,13,18.5,0.043
4.507,2,14,19.5,0.083
5.387,1,12,17.5,0.053
5.309,1,13,18.5,0.045
5.355,1,13,18.5,0.045
4.523,2,26,35.0,0.047
4.0,9,45,61.0,0.125
4.301,5,17,22.0,0.152
4.301,6,18,23.0,0.167
4.301,4,16,21.0,0.133
4.301,3,15,20.0,0.111
4.301,7,19,24.0,0.179
4.301,8,20,25.0,0.19
4.301,4,17,22.0,0.121
4.301,4,18,23.0,0.111
4.301,4,18,23.0,0.125
4.301,4,21,26.0,0.098
4.301,5,17,22.0,0.161
4.301,6,19,25.0,0.182
4.301,4,21,29.0,0.114
4.301,4,22,30.0,0.105
4.301,5,24,32.0,0.114
4.301,5,25,33.0,0.106
4.301,4,22,30.0,0.114
4.301,4,22,30.0,0.114
4.301,4,22,30.0,0.114
4.301,5,24,33.0,0.132
4.301,5,28,39.0,0.109
4.301,4,26,36.5,0.098
4.301,6,29,40.0,0.128
4.301,7,30,41.0,0.14
4.301,4,21,29.0,0.118
4.301,5,22,30.0,0.135
4.301,3,20,28.0,0.091
4.301,4,23,31.0,0.118
4.301,3,20,28.0,0.094
4.398,4,19,25.5,0.111
7.301,2,14,19.5,0.087
6.097,2,14,19.5,0.08
6.097,3,15,20.5,0.115
7.398,2,14,19.5,0.08
6.222,2,18,23.5,0.069
5.0,5,28,36.0,0.098
4.41,2,14,19.5,0.087
4.699,4,44,55.0,0.056
5.284,1,12,17.5,0.053
4.0,11,41,54.5,0.151
4.301,3,27,35.0,0.064
4.0,9,50,66.5,0.106
4.301,3,19,27.0,0.1
4.0,11,53,69.5,0.121
4.547,2,14,19.5,0.083
4.979,0,10,15.0,0.0
5.543,1,13,18.5,0.045
4.097,2,14,19.5,0.08
4.264,1,13,18.5,0.045
6.699,4,17,23.5,0.143
5.013,1,12,17.5,0.05
5.018,1,13,18.5,0.048
4.959,0,4,4.0,0.0
4.301,6,25,33.0,0.14
4.301,4,26,36.5,0.095
5.301,5,25,33.0,0.122
