pXC50,AMW,C.,H.,Me
5.1,8.778,48.8,37.2,1.009
5.1,8.671,50.0,37.5,1.001
5.1,9.228,38.2,36.4,1.043
5.1,8.163,45.8,40.3,1.002
5.1,8.163,45.8,40.3,1.002
5.1,12.042,48.3,31.0,1.024
5.1,7.853,46.9,40.6,1.002
5.1,8.307,42.6,38.3,1.019
5.1,8.444,41.3,39.1,1.032
5.2,8.365,45.8,39.6,1.002
5.1,8.957,46.6,34.5,1.034
5.1,7.693,46.3,41.5,0.995
5.1,9.51,42.9,37.1,1.016
5.1,9.156,41.5,31.7,1.033
5.1,8.272,37.3,44.1,1.01
5.1,8.802,48.3,34.5,1.023
5.1,8.098,50.0,38.2,1.001
5.1,8.664,41.7,39.6,1.022
5.1,9.253,44.4,33.3,1.047
6.4,8.714,48.1,33.3,1.01
5.1,8.86,48.5,36.4,1.001
5.1,8.512,47.2,38.9,0.997
5.1,7.388,42.2,44.4,0.995
6.0,7.694,42.1,42.1,1.001
5.1,7.676,43.1,43.1,1.006
5.1,8.087,50.0,38.5,1.003
5.1,8.606,50.0,38.1,1.002
5.1,8.14,44.3,39.3,1.014
6.284,8.537,47.2,36.1,1.02
5.1,8.661,40.4,42.3,1.016
5.1,7.581,46.9,42.9,0.998
5.1,7.581,46.9,42.9,0.998
5.1,7.77,47.8,41.3,1.001
5.3,7.115,39.5,47.4,0.998
5.1,8.534,45.5,38.6,1.005
7.3,7.685,42.5,42.5,1.003
5.1,9.114,44.7,34.2,1.041
5.1,9.597,37.9,34.5,1.038
5.4,8.148,45.1,41.2,1.0
5.1,8.884,43.8,35.4,1.035
5.1,9.942,48.3,31.0,1.034
5.1,8.377,41.5,41.5,1.013
5.1,7.397,42.9,44.9,1.0
5.1,10.536,47.2,33.3,1.025
5.1,8.276,44.9,40.8,1.003
5.1,8.719,43.8,37.5,1.013
5.1,9.072,49.0,34.7,1.017
5.1,8.509,43.8,37.5,1.024
8.0,10.241,44.1,32.4,1.03
5.7,8.349,43.4,39.6,1.027
5.1,7.24,42.3,46.2,0.998
5.1,7.928,45.9,40.5,1.007
5.1,7.226,43.2,45.9,0.995
5.1,8.379,42.1,40.4,1.015
5.1,7.324,40.0,45.7,1.001
5.1,7.501,44.1,44.1,1.002
5.8,7.173,39.5,46.5,0.995
5.1,7.396,43.2,45.5,1.002
6.1,8.955,45.7,39.1,1.009
5.5,8.984,44.4,36.1,1.012
5.6,10.009,45.7,28.6,1.063
5.1,9.433,48.7,35.9,1.009
5.1,7.663,46.2,42.3,1.0
5.1,8.816,46.3,36.6,1.008
5.1,7.9,44.4,42.9,0.999
5.1,6.878,35.5,50.0,1.001
5.1,7.707,42.4,42.4,1.005
5.1,8.543,43.5,38.7,1.015
5.1,7.168,38.1,47.6,1.002
5.5,7.454,41.7,44.4,1.001
5.1,7.428,40.0,45.5,1.005
5.7,10.358,46.2,26.9,1.031
5.1,6.776,36.4,50.6,0.998
5.3,8.148,45.1,41.2,1.0
5.1,9.06,45.2,38.1,1.004
5.1,7.338,42.5,45.2,0.998
5.1,6.877,42.6,48.5,0.988
5.1,8.657,45.2,38.7,1.001
5.1,8.168,47.7,38.6,1.011
5.1,7.218,45.8,45.8,0.994
5.1,8.823,46.5,34.9,1.027
5.1,8.922,45.7,34.8,1.035
5.1,7.04,41.5,47.7,0.995
5.1,8.282,43.2,38.6,1.017
5.1,8.2,47.6,38.1,1.009
5.1,8.579,39.7,39.7,1.026
5.1,11.445,39.3,28.6,1.026
5.1,7.49,42.0,44.0,1.0
5.6,8.585,48.7,38.5,1.001
5.1,7.777,44.2,41.9,1.006
5.1,8.538,42.0,40.0,1.017
5.1,7.787,46.7,42.2,1.007
5.1,7.457,39.5,44.7,1.004
5.1,7.056,34.9,48.8,1.005
5.1,7.26,45.0,45.0,0.99
5.1,8.088,43.1,41.5,1.004
