pXC50,SM05_EA,SM06_AEA.ed.,SM06_EA,Chi1_EA.dm.,SM05_AEA.ed.,SM06_EA.ri.,SpMin8_Bh.m.,ATS2p,ATS3p,ATS3v,ATS4p,ATS4v,ATSC4i,ATSC4p,ATSC4v,ATS1e,ATS1i,ATS2e,ATS2i,ATS4e,ATS5e,ATS5i,ATS6e,ATS7e,ATSC1p,ATSC1v,ATSC2p,ATSC2v,ATSC5p,CIC0,ISIZ,nAT,nBT,Se,Si,Sp,SpMax7_Bh.e.,SpMax7_Bh.i.,SpMax8_Bh.e.,SpMin4_Bh.m.,SpMin4_Bh.p.,SpMin4_Bh.v.,SpMin7_Bh.p.,SpMin7_Bh.v.,Sv,TIC3,TIC4,TIC5,ATS7i,CIC1,SdsN,SpMin4_Bh.e.,SpMin4_Bh.i.,GGI6,ATS3e,ATSC2i,ATSC3i,ATSC3p,ATSC5i
4.886,6.635,12.716,8.088,8.303,10.936,7.879,1.181,3.982,4.093,4.038,4.104,4.016,1.389,9.675,10.856,3.985,4.078,4.453,4.586,4.72,4.736,4.926,4.723,4.646,4.444,4.947,7.551,8.733,10.331,3.923,268.078,48,51,48.433,53.365,34.12,2.964,3.01,2.927,1.719,1.674,1.69,1.141,1.157,32.61,233.059,246.568,248.568,4.851,1.996,0.0,1.503,1.455,0.603,4.669,1.1,1.343,8.809,1.465
6.796,6.929,13.06,8.403,35.489,11.205,8.271,1.48,4.294,4.477,4.397,4.466,4.361,2.311,15.877,23.148,4.371,4.488,4.958,5.139,5.371,5.272,5.505,5.27,5.324,7.493,9.891,12.339,16.891,15.682,4.766,459.5,74,77,73.636,83.391,47.779,3.278,3.364,3.275,1.954,1.873,1.912,1.52,1.533,44.879,368.48,381.235,387.235,5.571,3.027,4.884,1.712,1.647,0.949,5.267,1.652,2.152,15.837,2.092
7.285,7.013,13.145,8.492,33.145,11.295,8.349,1.481,4.341,4.512,4.44,4.518,4.425,2.387,15.9,23.725,4.447,4.573,5.024,5.207,5.417,5.342,5.576,5.329,5.358,7.563,10.032,12.374,17.204,15.857,4.745,490.261,78,82,78.058,88.471,50.035,3.312,3.395,3.278,1.954,1.873,1.912,1.622,1.534,47.416,396.487,411.997,417.997,5.603,2.898,4.899,1.712,1.647,1.014,5.301,1.823,2.227,15.896,2.237
5.602,6.847,12.962,8.275,30.829,11.082,8.14,1.417,3.904,4.05,4.012,4.069,4.0,1.504,9.91,14.045,4.031,4.149,4.577,4.76,4.94,4.84,5.027,4.908,4.951,4.955,6.532,7.621,10.58,10.541,4.189,296.423,52,54,52.007,58.69,33.756,3.022,3.116,2.874,1.84,1.783,1.803,1.298,1.308,32.003,254.648,254.648,254.648,5.226,2.35,4.598,1.605,1.542,0.651,4.788,1.154,1.409,8.901,1.379
5.301,6.909,12.994,8.312,33.771,11.12,8.186,1.417,3.879,4.01,3.985,4.055,3.992,1.474,9.536,13.855,4.044,4.156,4.594,4.778,4.956,4.802,4.976,4.943,4.947,4.972,6.479,7.55,10.53,10.199,4.14,296.423,52,54,52.334,58.9,33.211,3.024,3.119,2.912,1.784,1.737,1.752,1.307,1.308,31.718,249.894,249.894,249.894,5.218,2.312,4.587,1.585,1.535,0.706,4.777,1.137,1.351,8.476,1.345
5.301,6.909,13.017,8.346,35.489,11.153,8.211,1.417,4.101,4.248,4.199,4.259,4.182,1.823,12.325,17.36,4.226,4.34,4.782,4.962,5.138,5.051,5.249,5.116,5.162,6.272,8.137,9.897,13.381,13.166,4.509,384.0,64,66,63.985,72.145,41.495,3.251,3.314,3.106,1.906,1.841,1.865,1.463,1.463,39.299,313.471,318.226,324.226,5.441,2.67,4.618,1.655,1.594,0.73,5.023,1.371,1.701,11.835,1.683
6.398,6.995,13.105,8.44,33.145,11.248,8.294,1.417,4.158,4.292,4.25,4.322,4.259,1.916,12.384,17.905,4.314,4.438,4.86,5.042,5.195,5.139,5.34,5.185,5.201,6.339,8.276,9.925,13.683,13.388,4.496,413.947,68,71,68.407,77.225,43.75,3.251,3.316,3.212,1.906,1.842,1.866,1.513,1.529,41.836,340.663,348.173,354.173,5.477,2.542,4.634,1.655,1.594,0.795,5.066,1.537,1.784,11.918,1.85
6.0,6.929,13.052,8.385,33.173,11.191,8.274,1.417,4.195,4.392,4.315,4.373,4.269,2.148,14.477,20.83,4.231,4.348,4.81,4.988,5.271,5.135,5.367,5.109,5.188,6.391,8.4,10.699,14.548,13.658,4.554,384.0,64,67,63.658,71.936,42.04,3.278,3.364,3.25,1.953,1.873,1.912,1.476,1.466,39.584,313.735,321.735,321.735,5.424,2.67,4.865,1.712,1.647,0.909,5.12,1.461,1.943,13.997,1.865
6.102,6.929,13.052,8.385,35.481,11.191,8.255,1.417,4.198,4.397,4.322,4.402,4.293,2.155,14.94,21.84,4.279,4.395,4.864,5.046,5.301,5.197,5.436,5.163,5.203,6.873,9.068,11.13,15.266,14.673,4.647,406.428,67,70,66.65,75.477,43.012,3.278,3.364,3.25,1.953,1.873,1.912,1.52,1.532,40.331,320.654,333.408,339.408,5.436,2.936,4.882,1.712,1.647,0.909,5.142,1.492,1.943,14.218,1.936
6.201,6.929,13.054,8.39,33.159,11.195,8.264,1.542,4.238,4.436,4.354,4.446,4.33,2.234,15.664,23.034,4.318,4.436,4.907,5.092,5.331,5.258,5.502,5.217,5.219,7.219,9.592,11.704,16.166,15.588,4.725,429.05,70,73,69.534,78.893,44.773,3.278,3.364,3.251,1.954,1.873,1.912,1.52,1.532,41.858,341.275,354.03,360.03,5.452,2.989,4.89,1.712,1.647,0.989,5.191,1.557,2.024,14.944,2.035
