pXC50,RBN,nCsp2,nAB,Se,Si,RBF,nBT,nSK,nAT,Sv,MW,nBO,nBM
5.456,4,21,23,41.596,46.262,0.089,45,25,42,29.085,344.86,28,23
4.301,5,14,6,54.669,60.737,0.089,56,29,54,33.632,399.48,31,11
4.301,13,19,17,98.687,112.171,0.126,103,49,99,59.292,670.94,53,21
6.301,8,9,0,136.275,154.294,0.056,142,62,136,77.499,875.22,68,5
4.719,4,13,10,80.167,90.597,0.047,86,41,80,48.637,561.75,47,14
4.57,5,13,10,83.05,94.012,0.056,89,42,83,50.163,575.78,48,14
4.301,7,19,18,63.029,71.197,0.104,67,34,63,39.921,461.6,38,19
5.097,10,18,12,64.756,72.149,0.152,66,35,64,40.201,479.58,37,18
4.398,7,14,12,52.236,59.687,0.127,55,26,53,32.101,349.52,28,14
5.975,7,20,18,68.083,76.378,0.097,72,37,68,43.433,519.09,41,20
5.699,7,20,18,69.861,78.933,0.095,74,37,70,43.627,499.67,41,20
6.097,8,20,18,68.541,77.351,0.11,73,36,69,43.111,483.66,40,20
7.301,8,20,18,71.97,81.059,0.105,76,38,72,44.847,514.68,42,20
4.387,4,20,18,47.585,53.441,0.078,51,27,48,31.52,355.47,30,20
5.987,7,26,24,69.658,77.936,0.093,75,39,70,45.584,517.67,44,26
5.0,5,19,18,49.687,55.939,0.094,53,28,50,32.542,370.49,31,20
5.143,7,20,18,69.861,78.933,0.095,74,37,70,43.627,499.67,41,20
6.409,6,18,18,62.76,71.265,0.09,67,34,63,39.659,455.62,38,20
6.201,7,20,18,70.643,79.849,0.093,75,37,71,44.132,498.68,41,20
6.796,7,20,18,68.083,76.378,0.097,72,37,68,43.433,519.09,41,20
6.0,7,20,18,68.541,77.351,0.096,73,36,69,43.111,483.66,40,20
5.721,10,20,18,69.643,78.849,0.137,73,36,70,43.132,486.67,39,20
5.432,6,20,18,63.545,70.524,0.088,68,36,63,40.96,485.58,41,20
5.097,10,19,16,117.21,132.088,0.08,125,59,117,70.742,811.08,67,20
6.155,15,13,0,195.227,224.754,0.077,196,85,196,108.153,1202.84,85,12
4.301,18,21,22,97.956,110.596,0.178,101,50,98,60.139,721.05,53,25
5.699,9,18,18,74.428,85.221,0.114,79,35,76,44.987,471.74,38,18
4.301,7,3,0,119.857,135.218,0.056,126,55,119,67.865,781.05,62,2
4.301,10,6,5,43.418,49.278,0.233,43,21,43,25.158,314.46,21,8
5.699,13,12,12,70.418,80.308,0.181,72,33,71,41.384,454.67,34,13
5.0,4,11,11,47.578,53.983,0.078,51,24,48,29.267,324.46,27,12
6.155,11,22,23,87.909,98.355,0.118,93,49,87,56.114,705.71,55,25
6.588,9,26,24,75.752,84.976,0.113,80,41,76,48.352,549.72,45,26
4.79,5,12,16,58.658,66.766,0.079,63,31,59,36.638,416.58,35,17
5.959,8,20,18,70.632,78.936,0.108,74,39,70,44.529,529.65,43,22
5.469,7,18,22,70.552,79.775,0.093,75,39,70,44.48,531.67,44,23
4.301,5,13,16,58.683,66.446,0.081,62,32,58,36.405,440.55,36,17
5.883,5,17,22,64.458,72.735,0.072,69,37,64,41.711,499.62,42,23
4.886,5,12,16,57.33,65.557,0.081,62,30,58,35.923,400.58,34,17
4.978,4,12,16,55.472,62.821,0.068,59,31,55,35.163,422.53,35,17
5.222,5,15,21,65.174,74.307,0.07,71,34,66,41.164,472.72,39,21
4.301,5,12,16,57.32,64.644,0.082,61,32,57,36.321,431.55,36,19
5.432,9,19,22,79.756,89.941,0.107,84,43,79,49.468,590.74,48,23
4.888,5,12,16,57.32,64.644,0.082,61,32,57,36.321,431.55,36,19
5.015,5,12,16,57.32,64.644,0.082,61,32,57,36.321,431.55,36,19
4.301,6,13,16,61.323,70.099,0.091,66,31,62,37.67,417.61,35,17
5.301,5,18,22,64.214,72.972,0.071,70,35,65,41.45,462.65,40,23
4.975,4,12,16,54.771,62.086,0.068,59,30,55,35.224,420.99,34,17
5.268,4,12,16,43.542,48.322,0.087,46,26,43,28.885,367.47,29,19
4.481,4,12,16,45.578,51.813,0.082,49,25,46,29.321,331.46,28,17
4.745,5,18,22,68.123,77.067,0.068,73,38,68,43.743,512.66,43,23
4.884,4,12,16,54.516,61.862,0.068,59,30,55,35.713,512.44,34,17
4.638,4,13,16,53.891,60.936,0.069,58,30,54,34.584,400.53,34,18
4.301,4,12,16,51.563,58.727,0.071,56,28,52,32.87,372.52,32,17
5.235,4,14,20,58.549,66.64,0.063,64,32,59,37.418,425.59,37,21
4.747,4,12,16,54.771,62.086,0.068,59,30,55,35.224,420.99,34,17
5.016,4,12,16,54.447,62.142,0.068,59,29,55,34.396,386.55,33,17
5.305,6,18,22,67.669,76.359,0.083,72,38,67,42.953,517.64,43,23
4.783,6,13,16,59.767,67.893,0.094,64,31,60,36.858,419.58,35,17
4.971,6,19,22,65.323,74.099,0.085,71,35,66,41.67,465.65,40,23
4.301,5,16,22,61.432,70.055,0.075,67,33,62,38.945,439.62,38,22
5.036,4,12,16,54.771,62.086,0.068,59,30,55,35.224,420.99,34,17
4.796,4,12,16,42.694,48.398,0.087,46,24,43,27.795,317.43,27,17
4.625,6,19,22,71.527,81.095,0.078,77,39,72,45.713,519.71,44,24
5.432,5,14,21,61.76,70.265,0.075,67,33,62,38.659,443.61,38,21
4.854,4,12,16,55.294,62.065,0.068,59,31,55,35.486,436.59,35,19
5.32,6,13,16,64.45,73.276,0.088,68,34,64,39.458,468.61,38,17
4.301,7,17,12,83.974,93.856,0.082,85,44,83,51.44,645.88,46,17
5.174,7,16,17,64.851,72.116,0.103,68,36,64,41.448,531.48,40,18
5.77,8,19,22,64.618,73.355,0.116,69,34,65,40.559,458.63,38,22
4.301,7,4,5,33.105,37.986,0.212,33,17,33,19.95,252.39,17,7
5.886,9,20,18,73.527,83.265,0.115,78,38,74,45.659,512.71,42,20
6.522,9,26,24,72.869,81.561,0.117,77,40,73,46.825,535.69,44,26
5.77,7,20,18,68.083,76.378,0.097,72,37,68,43.433,519.09,41,20
5.301,5,20,18,59.338,67.185,0.078,64,32,60,38.122,424.59,36,20
7.192,11,29,29,86.392,96.308,0.121,91,48,86,55.33,646.8,53,31
4.854,4,14,12,53.236,60.687,0.07,57,27,54,33.101,361.53,30,14
5.301,16,19,18,85.385,95.85,0.182,88,44,85,52.077,603.78,47,21
5.377,9,21,18,79.283,89.182,0.108,83,42,79,49.11,571.74,46,21
6.222,8,20,18,70.632,78.936,0.108,74,39,70,44.529,529.65,43,22
5.097,6,20,18,59.891,67.106,0.094,64,33,60,38.53,441.57,37,20
5.678,7,20,18,67.207,76.514,0.097,72,35,68,42.197,467.67,39,20
4.301,2,6,0,57.403,64.615,0.033,60,28,57,33.859,392.51,31,4
4.301,2,4,0,55.891,63.275,0.034,59,26,56,32.476,362.51,29,3
5.971,7,20,18,67.76,76.434,0.097,72,36,68,42.605,484.65,40,20
5.87,7,20,18,68.083,76.378,0.097,72,37,68,43.433,519.09,41,20
6.498,7,29,29,69.549,77.81,0.093,75,40,70,46.364,526.68,45,31
5.796,7,20,18,67.76,76.434,0.097,72,36,68,42.605,484.65,40,20
6.071,6,24,23,65.774,73.521,0.085,71,37,66,43.057,491.63,42,25
4.745,4,19,16,78.4,87.767,0.047,85,43,78,49.583,581.73,50,20
7.301,9,29,29,77.97,87.059,0.108,83,44,78,50.847,586.74,49,31
4.815,5,19,16,84.167,94.597,0.055,91,45,84,52.637,609.79,52,20
4.301,5,13,12,76.393,83.365,0.063,80,42,74,46.721,588.61,48,13
5.0,12,14,16,73.705,83.936,0.156,77,36,74,44.074,495.7,39,17
5.194,5,13,10,83.279,93.854,0.056,89,43,83,51.189,654.67,49,14
4.456,7,2,0,118.516,134.922,0.058,120,51,118,64.698,734.05,53,2
