pXC50,Eig05_EA,piPC10,P_VSA_e_2,SM13_AEA.bo.,ATS5i,ATS6p,CATS2D_08_AL,S2K,ATSC6v,nCar,P_VSA_p_3,P_VSA_v_3,ATS7i,CIC0,SpMax8_Bh.i.,ATS3p,ATS4i,ATS4p,ATSC4m,P_VSA_e_1,P_VSA_i_2,P_VSA_m_1,P_VSA_p_1,P_VSA_s_2,P_VSA_v_1,ATSC7i,ATSC5v,ATSC6p,ATSC8m,ATSC8p,ATSC8v,ATSC1v,P_VSA_LogP_7,P_VSA_MR_1,Eig05_AEA.ri.,Eig05_EA.ri.,ATSC3v,ATSC4p,ATSC5p,ATS5p,ATSC4v,SpMin3_Bh.p.,NsssN,Chi1_EA.dm.,GGI8,SpMin7_Bh.m.,Hypnotic.80,PHI,ATSC3p,GATS2p,P_VSA_i_3,ATS6m,Eig02_EA.dm.,MATS2p,MATS1s,ATSC3m,SpMin3_Bh.i.,C.006,Eig03_EA.dm.,ATSC2v,Eig04_EA.dm.,Eig04_AEA.dm.
5.161,0.76,2.151,65.973,0.76,4.472,2.914,0,5.072,5.965,6,65.973,65.973,4.134,3.33,2.313,3.271,4.345,3.293,15.148,141.253,65.973,141.253,141.253,141.253,141.253,0.31,7.395,3.77,6.495,1.622,2.95,3.509,141.253,141.253,1.624,0.65,6.29,4.869,4.893,3.215,6.857,1.565,0,16.129,0.0,0.778,0,4.037,4.587,0.865,205.936,2.575,0.86,0.206,-0.23,13.501,1.17,1,0.765,5.287,0.0,1.418
5.0,1.618,6.727,107.531,1.618,4.743,3.781,0,5.933,11.302,9,107.531,107.531,4.608,3.462,2.668,3.913,4.703,3.926,28.631,176.567,69.504,176.567,176.567,176.567,176.567,0.888,10.442,10.069,16.755,5.261,6.527,4.526,185.244,117.711,2.536,1.478,10.805,9.801,9.13,3.9,10.223,1.717,0,14.632,0.137,1.032,1,4.179,9.7,1.111,220.879,3.74,0.68,-0.047,-0.133,27.971,1.511,2,0.0,8.571,0.0,2.923
5.6,1.781,6.797,69.105,1.781,4.89,3.741,0,5.353,11.057,9,69.105,69.105,4.743,3.482,2.689,3.857,4.784,3.903,22.577,164.795,63.297,164.795,164.795,164.795,164.795,0.829,11.776,9.23,17.409,4.236,5.618,4.383,141.253,164.795,2.756,1.734,10.432,8.584,9.631,3.912,10.932,1.711,0,15.131,0.148,1.073,1,3.675,8.159,1.179,251.792,3.629,0.0,-0.1,-0.15,21.967,1.506,0,0.0,8.221,0.0,2.417
5.0,1.505,5.326,62.798,1.505,4.866,3.576,0,5.391,10.606,6,62.798,62.798,4.603,3.646,2.737,3.84,4.847,3.827,26.14,200.109,56.991,200.109,200.109,200.109,200.109,0.693,12.07,8.217,16.232,4.596,6.209,5.265,200.109,153.024,2.486,1.474,12.095,8.704,9.102,3.768,11.822,1.709,0,5.529,0.045,1.051,1,4.054,9.095,1.179,244.422,3.335,0.0,-0.054,-0.163,27.012,1.502,2,0.0,9.426,0.0,1.812
5.13,1.618,6.233,64.697,1.618,4.902,3.771,0,5.284,12.586,6,64.697,64.697,4.778,3.609,2.699,3.861,4.776,3.881,23.131,200.109,58.89,200.109,200.109,200.109,200.109,0.848,12.484,9.742,18.156,4.781,6.5,5.056,200.109,200.109,2.618,1.618,11.393,8.53,9.512,3.905,11.515,1.682,0,15.993,0.117,1.094,1,3.632,8.257,1.168,244.422,3.54,0.368,-0.101,-0.136,24.647,1.491,2,0.265,9.226,0.0,2.346
5.538,1.781,6.313,55.221,1.781,4.949,3.818,0,5.502,12.595,6,55.221,55.221,4.868,3.588,2.717,3.882,4.821,3.911,24.273,188.338,49.414,188.338,188.338,188.338,188.338,0.885,12.667,10.015,19.816,4.781,6.599,4.954,188.338,188.338,2.758,1.736,11.317,8.621,9.922,3.945,11.417,1.682,0,16.289,0.148,1.073,1,3.843,8.337,1.185,275.334,3.64,0.368,-0.098,-0.145,25.063,1.49,2,0.265,9.132,0.0,2.562
5.0,1.618,6.6,83.229,1.618,4.833,3.567,0,5.673,9.674,9,83.229,83.229,4.554,3.644,2.668,3.788,4.751,3.805,20.403,176.567,83.229,176.567,176.567,176.567,176.567,0.707,10.967,6.76,13.129,3.76,5.559,4.337,153.024,176.567,2.618,1.618,10.351,7.261,7.569,3.766,10.301,1.701,0,20.475,0.088,1.189,1,3.741,7.359,0.919,212.711,3.392,0.68,0.117,-0.001,18.787,1.346,0,0.366,7.78,0.0,2.162
5.0,1.618,6.554,79.113,1.618,4.803,3.58,1,5.079,10.544,9,79.113,79.113,4.562,3.69,2.541,3.782,4.719,3.806,19.522,176.567,79.113,176.567,176.567,176.567,176.567,0.706,11.14,7.171,11.282,3.297,5.053,4.445,153.024,176.567,2.618,1.618,10.34,7.478,7.619,3.778,10.826,1.703,0,20.139,0.068,1.108,1,3.282,7.285,1.049,201.711,3.252,0.68,-0.016,-0.008,19.632,1.376,0,0.149,8.05,0.0,2.159
5.0,1.618,6.686,78.047,1.618,4.82,3.562,0,5.676,9.01,9,78.047,78.047,4.63,3.373,2.571,3.778,4.739,3.8,18.218,141.253,78.047,141.253,186.134,149.013,141.253,1.162,10.117,7.338,15.281,3.56,2.781,3.598,117.711,141.253,2.618,1.618,9.788,7.583,7.709,3.77,9.658,1.705,0,21.184,0.228,1.032,1,3.858,7.319,1.031,166.398,3.681,1.5,0.004,-0.061,18.819,1.347,0,0.68,6.717,0.095,2.836
5.0,1.245,5.462,65.061,1.245,4.371,3.339,0,5.587,7.185,6,65.061,65.061,4.404,3.296,2.686,3.493,4.453,3.385,18.775,153.024,59.254,153.024,153.024,153.024,153.024,0.594,6.493,5.431,13.636,3.543,4.942,3.916,153.024,117.711,2.224,1.217,7.673,5.189,4.759,3.372,6.706,1.682,0,21.798,0.117,1.007,1,4.091,5.735,1.206,197.337,3.259,0.277,-0.121,-0.17,22.585,1.362,3,0.247,6.875,0.0,2.149
