pXC50,ATS8i,SddssS,nS..O.2,P_VSA_s_1,CATS2D_08_LL,NddssS,S.110,ATSC3p,SdO,SpMax3_Bh.v.,ATSC4p,ATSC2p,ATSC1p,ATS1p,CATS2D_07_LL,ATSC6p,ATS2p,ATSC5p,ATSC3v,DBI,nS,SpMax3_Bh.e.,P_VSA_LogP_3,Sp,X2v,SpMin6_Bh.s.,MATS6e,X4sol,AMR,X1v,ATSC2v,VvdwMG,Vx,ATSC4m,ATS4p,ATS3p,ATSC8p,ATSC5m,X1sol,X5v,ATSC4v,ATSC1v,ATSC3m,ATSC7p,ATS1v,ATS5v,ATSC8m,Eta_alpha,ATS4m,SpMin2_Bh.v.,ATS4v,X0sol,X4v,GATS8p,ATS5m,ATS3v,ATS6p,SpDiam_EA.bo.,X0v,X1Kup,ATS5p,HDcpx,ATSC5v,CATS2D_01_LL,ZM1Mad,ATSC7m,O.058,VvdwZAZ,SpMax3_Bh.i.
8.699,4.147,0.0,0,0.0,5,0,0,10.733,0.0,3.575,11.206,7.615,3.926,3.518,4,8.557,3.941,9.997,13.59,2.646,2,3.693,47.381,30.404,7.672,0.489,-0.376,8.827,102.171,9.831,9.581,176.012,421.229,30.248,3.933,4.046,4.943,31.617,12.353,3.723,13.989,5.184,28.002,7.621,3.433,3.616,12.333,11.867,3.772,1.981,3.72,16.192,5.113,0.822,3.887,3.859,3.712,6.916,14.575,8.204,3.837,1.652,10.594,11,169.359,23.399,0,300.26,3.724
5.96,4.057,0.0,0,0.0,4,0,0,8.49,0.0,3.54,8.241,6.318,3.444,3.387,3,5.773,3.802,6.694,11.31,2.646,1,3.698,47.381,27.449,6.354,0.258,-0.445,7.833,91.127,8.345,8.038,159.285,380.415,23.351,3.68,3.814,4.26,22.164,11.399,2.493,10.608,4.485,21.288,5.029,3.35,3.448,10.765,10.867,3.609,1.929,3.536,15.131,3.934,0.761,3.666,3.676,3.384,6.917,13.052,7.584,3.567,1.638,7.056,10,146.174,14.418,0,273.24,3.728
7.175,5.286,0.0,0,0.0,11,0,0,12.415,13.005,3.757,14.813,9.006,5.286,3.763,11,16.627,4.171,16.787,16.823,3.937,0,3.856,141.715,40.847,8.547,0.704,-0.012,10.153,130.091,11.189,12.341,239.237,575.498,40.539,4.451,4.37,13.633,46.011,15.808,3.086,20.055,7.158,32.145,15.622,3.716,4.367,37.583,15.748,4.267,2.018,4.334,23.054,4.672,1.031,4.301,4.274,4.473,7.158,18.926,10.761,4.487,1.749,23.048,19,191.645,43.876,1,409.26,3.889
8.137,5.318,0.0,0,0.0,12,0,0,12.876,13.01,3.769,15.564,9.694,5.767,3.783,12,16.34,4.188,17.064,18.071,3.937,0,3.876,141.715,41.75,8.534,0.736,-0.061,9.76,130.327,11.116,13.669,240.496,578.571,39.547,4.469,4.384,13.746,46.153,15.503,3.088,21.981,8.017,32.181,15.547,3.733,4.368,35.934,15.533,4.186,2.047,4.345,22.554,4.548,1.06,4.234,4.284,4.466,7.158,18.792,11.036,4.493,1.748,24.286,22,176.126,41.702,1,411.35,3.915
8.034,5.093,0.0,0,0.0,7,0,0,10.425,12.798,3.743,12.72,7.974,4.78,3.568,9,13.953,3.967,14.526,14.988,3.808,0,3.808,103.81,34.228,6.725,0.602,-0.017,8.011,105.421,9.148,11.494,199.118,477.608,32.4,4.294,4.172,10.362,40.841,12.591,2.314,18.053,6.79,27.862,11.988,3.519,4.188,28.75,12.533,4.027,1.931,4.177,18.571,3.809,1.026,4.027,4.079,4.255,7.158,15.482,9.068,4.325,1.701,21.066,15,142.126,32.797,1,338.73,3.841
8.588,5.283,0.0,0,0.0,12,0,0,12.946,13.006,3.761,15.087,9.17,5.313,3.774,11,17.065,4.186,16.925,17.02,3.937,0,3.855,141.715,41.341,9.09,0.704,-0.042,10.093,132.909,11.598,12.381,242.818,584.236,40.932,4.448,4.381,14.245,44.973,16.08,3.294,20.144,7.146,36.959,15.811,3.721,4.356,44.131,16.367,4.274,2.019,4.324,23.554,4.709,0.967,4.309,4.272,4.464,7.158,19.756,10.774,4.479,1.748,23.055,19,241.997,42.476,1,413.33,3.887
8.198,5.018,0.0,0,0.0,5,0,0,9.865,12.741,3.743,12.087,7.385,4.436,3.517,8,12.779,3.92,13.688,13.936,3.674,0,3.808,103.81,32.466,6.529,0.522,-0.04,7.563,100.673,8.588,10.56,189.526,454.203,30.913,4.236,4.127,9.6,38.138,12.053,2.214,17.076,6.253,25.404,11.243,3.472,4.127,26.817,12.033,3.963,1.926,4.117,17.864,3.499,1.105,3.99,4.036,4.197,7.157,14.775,8.503,4.257,1.691,19.679,15,137.793,30.85,1,321.43,3.841
5.0,4.846,0.0,0,0.0,10,0,0,13.135,24.844,3.667,14.896,9.08,5.224,3.632,8,15.341,4.076,15.573,18.292,2.646,0,3.772,94.762,35.057,7.751,0.736,0.005,8.7,106.339,9.844,12.71,199.983,479.718,38.885,4.347,4.295,8.04,41.947,13.182,3.572,20.958,7.118,33.106,12.277,3.584,4.22,22.989,12.967,4.062,2.023,4.217,18.692,4.787,0.756,4.029,4.184,4.265,7.034,15.564,9.768,4.363,1.703,22.067,18,152.564,34.388,2,353.68,3.818
8.197,5.252,0.0,0,0.0,10,0,0,13.093,12.95,3.755,15.296,9.703,5.767,3.783,10,17.426,4.186,17.267,18.455,4.0,0,3.854,151.191,41.75,8.387,0.77,-0.008,9.853,129.887,11.206,13.672,240.496,578.571,38.939,4.461,4.373,12.835,45.739,15.609,3.099,21.578,8.017,32.996,15.752,3.733,4.372,33.487,15.533,4.177,2.033,4.339,22.391,4.665,0.966,4.205,4.269,4.46,7.154,18.576,11.125,4.504,1.747,24.442,22,174.126,41.723,1,411.35,3.893
7.703,5.336,0.0,0,0.0,8,0,0,13.938,12.931,3.758,16.118,10.333,6.123,3.823,11,18.354,4.226,18.048,19.779,4.123,0,3.855,151.191,43.512,8.741,0.829,-0.109,10.02,134.488,11.706,14.638,250.089,601.977,41.114,4.497,4.411,13.512,47.75,16.109,3.259,22.883,8.565,35.178,17.026,3.769,4.405,35.544,16.033,4.198,2.034,4.369,23.098,4.822,0.82,4.221,4.301,4.501,7.154,19.283,11.625,4.543,1.752,25.677,23,178.126,44.225,1,428.65,3.894
