pXC50,MW,Sp,Sv,nBO,SCBO,nC,nBM,nAB,nSK,nBT,Se,nAT,Si,nCsp2,RBF,RBN,nH
5.432,377.47,31.387,30.037,30,42.5,21,24,23,27,46,43.407,43,47.87,20,0.087,4,16
5.15,346.84,29.449,28.074,28,39.5,20,23,23,25,43,40.033,40,44.428,19,0.093,4,15
5.6,448.39,36.267,34.46,32,41.0,21,18,18,30,55,53.647,53,59.95,16,0.164,9,23
6.8,527.73,49.574,46.68,43,55.0,31,23,22,39,80,75.629,76,85.763,20,0.1,8,37
5.0,478.68,29.404,27.598,27,34.0,17,13,12,25,41,40.345,39,44.081,13,0.146,6,14
6.0,302.8,23.779,22.406,22,30.5,15,17,17,20,33,31.349,31,34.146,15,0.091,3,11
6.2,319.41,27.847,26.784,28,38.0,17,20,20,24,45,41.131,41,46.564,12,0.044,2,17
5.9,319.47,28.426,26.422,24,31.5,16,13,11,22,45,42.989,43,48.571,9,0.044,2,21
6.2,507.55,36.955,36.846,38,50.0,21,21,18,35,58,57.378,55,63.377,16,0.121,7,20
5.7,338.42,29.506,28.398,28,37.0,19,17,16,25,47,44.316,44,49.864,14,0.064,3,19
5.6,587.76,50.972,48.561,49,66.5,33,34,33,43,78,72.163,72,80.394,28,0.103,8,29
7.3,587.76,50.972,48.561,49,66.5,33,34,33,43,78,72.163,72,80.394,28,0.103,8,29
5.9,349.22,22.966,21.792,22,31.0,14,17,16,20,31,29.698,29,31.838,14,0.097,3,9
5.7,503.02,40.841,39.427,39,48.0,25,18,18,35,65,62.076,61,69.935,16,0.062,4,26
6.7,471.0,39.142,37.517,37,46.0,24,18,18,33,62,58.68,58,66.18,16,0.065,4,25
5.0,485.99,39.563,38.257,37,47.5,24,19,17,34,62,60.047,59,66.971,17,0.129,8,25
4.6,251.31,22.279,21.413,21,29.5,15,17,17,19,34,32.051,32,35.78,14,0.088,3,13
7.0,390.44,31.966,31.434,32,44.0,20,23,22,29,50,47.894,47,53.109,18,0.12,6,18
5.15,436.28,29.517,29.022,31,42.0,19,17,12,28,40,38.8,37,41.268,19,0.075,3,9
5.0,413.86,29.091,28.677,29,40.0,17,19,16,27,43,42.898,41,46.573,14,0.14,6,14
5.6,388.41,30.353,30.211,31,39.0,19,14,12,28,49,47.483,46,52.622,13,0.082,4,18
5.3,347.24,20.904,22.713,26,34.0,14,16,16,24,33,34.127,31,36.819,12,0.03,1,7
5.3,278.34,24.284,23.434,24,34.0,16,20,20,21,38,35.153,35,39.279,14,0.053,2,14
5.0,359.45,28.972,27.917,30,43.0,18,26,26,26,43,39.44,39,43.654,17,0.07,3,13
