pXC50,AMW,C.,H.,Me
6.857,7.936,45.2,43.5,1.005
6.455,7.936,45.2,43.5,1.005
6.65,7.786,44.6,44.6,1.003
6.371,8.456,46.4,37.5,1.02
6.91,6.718,35.8,53.7,0.995
6.614,7.749,41.1,46.4,1.008
6.672,7.749,41.1,46.4,1.008
6.387,6.918,36.1,52.5,0.998
6.67,8.118,42.0,44.0,1.014
6.097,7.267,36.7,50.0,1.005
6.036,8.569,42.9,40.8,1.023
6.752,7.593,40.7,47.5,1.006
6.592,6.472,35.8,53.7,0.997
6.383,7.456,41.1,46.4,1.012
6.387,7.789,42.0,44.0,1.018
6.4,7.999,42.6,44.4,1.011
5.646,8.414,43.4,41.5,1.019
5.495,7.384,39.7,48.5,1.004
6.511,7.702,40.3,46.3,1.011
7.347,7.454,39.7,47.9,1.006
6.74,7.575,39.7,47.1,1.007
6.6,7.691,39.4,46.5,1.013
5.477,8.305,40.7,42.4,1.023
7.086,8.226,45.2,41.9,1.013
5.903,7.655,41.4,46.6,1.005
5.476,8.526,45.6,40.4,1.019
6.321,8.928,46.4,37.5,1.028
5.975,8.579,47.4,38.6,1.013
7.305,8.696,44.6,39.3,1.023
6.754,9.108,45.5,36.4,1.032
4.752,9.108,45.5,36.4,1.032
6.651,8.905,44.8,36.2,1.04
6.928,8.781,45.5,38.2,1.023
6.068,8.428,46.4,39.3,1.008
5.457,8.781,45.5,38.2,1.023
5.824,8.91,44.6,37.5,1.028
6.285,8.962,44.4,37.0,1.027
7.279,9.298,45.6,35.1,1.036
7.129,9.193,46.3,37.0,1.018
7.149,9.526,46.3,35.2,1.027
7.524,9.613,45.6,33.3,1.045
4.77,8.108,41.5,43.1,1.016
6.318,6.893,36.9,52.3,0.996
6.082,8.172,41.4,43.1,1.018
7.036,7.884,41.7,43.8,1.023
6.097,7.905,34.7,49.0,1.009
6.097,7.719,34.6,50.0,1.006
6.301,7.553,34.5,50.9,1.004
6.222,7.55,33.9,50.8,1.007
5.921,7.411,33.9,51.6,1.005
5.31,5.622,32.8,59.7,0.98
6.0,5.919,33.3,57.6,0.986
5.523,5.865,33.3,58.0,0.985
5.886,5.815,33.3,58.3,0.984
6.301,5.911,32.4,57.7,0.987
5.921,6.01,32.9,57.1,0.99
5.921,5.861,32.4,58.1,0.986
5.62,6.194,32.4,57.7,0.988
6.046,6.23,31.5,57.5,0.99
6.523,7.551,33.3,50.9,1.005
6.301,7.404,34.5,51.7,1.001
6.301,7.404,34.5,51.7,1.001
5.481,7.704,33.9,50.0,1.009
6.398,7.553,34.5,50.9,1.004
6.602,7.682,42.7,45.3,1.005
6.745,7.838,39.7,46.6,1.007
6.377,8.402,40.0,42.9,1.02
6.62,8.402,40.0,42.9,1.02
5.444,7.224,46.4,46.4,0.995
6.268,8.308,41.9,43.5,1.012
6.959,8.502,44.1,41.2,1.012
5.77,8.27,39.4,43.7,1.016
6.443,6.699,39.2,51.4,0.996
