pXC50,P_VSA_v_2,SAacc,P_VSA_p_2,TPSA.NO.,GMTI,SpMin4_Bh.e.,X0v,SpMax5_Bh.e.,CSI,SMTIV,X0sol,SpMax5_Bh.i.,SpMaxA_EA.ri.,UNIP,Xu,Psi_i_s,SMTI,SpMin5_Bh.i.,RDCHI,SpMaxA_AEA.ri.,IDDM,Sv,Eig07_EA,SM15_AEA.bo.,SpMaxA_EA,Eta_epsi,Eig15_EA.ed.,SM10_AEA.ri.,ECC,ON1,LPRS,SpMin5_Bh.v.,SpMax6_Bh.s.,Chi0_EA.ed.,X1sol,SpMin5_Bh.e.,SpMaxA_AEA.bo.,ATS1v,Dz,IVDM,X1,IDM,SpMax4_Bh.s.,SpMin5_Bh.m.,X1Mad,SpMaxA_AEA.ed.,ATS8p,MDDD,TIC5,BID,nSK,Psi_e_0,Eig15_EA,SM09_AEA.dm.,CID,Chi0_EA.ri.,VAR,SpMax8_Bh.s.,Chi0_EA.bo.,TIC4,TIC2,VvdwZAZ,Eig07_AEA.ri.,Eig15_AEA.ri.,Uindex,SpMin4_Bh.p.
4.55,18.685,16.786,18.685,17.82,5679.0,1.453,14.343,3.119,345.0,8878.0,17.615,3.161,0.133,59.0,22.954,51.028,5447.0,1.222,3.469,0.171,4.617,29.085,1.317,1.317,0.136,24.086,-1.571,-1.571,159.0,5.611,114.136,1.508,3.877,10.653,12.62,1.288,0.177,3.477,51.333,4.597,12.331,8.081,4.688,1.45,11.874,0.303,3.091,15.92,188.477,3.27,25,9.184,-0.705,-0.705,3.966,17.794,70.0,3.674,14.74,184.868,135.565,304.29,2.317,0.295,35.123,1.655
8.523,160.094,158.195,160.094,110.86,28021.0,1.752,24.429,3.573,1251.0,44083.0,30.139,3.621,0.073,194.0,36.933,94.944,26458.0,1.571,4.879,0.095,5.36,48.169,2.144,2.144,0.074,44.752,2.791,2.791,578.0,9.389,237.35,1.837,4.758,17.149,20.673,1.632,0.102,3.932,90.833,5.322,20.384,9.523,4.942,1.824,19.311,0.156,4.649,52.286,437.235,3.765,42,15.608,1.154,1.154,4.466,29.317,229.0,4.443,24.944,437.235,377.571,525.17,3.1,2.124,68.4,1.88
6.382,132.781,130.882,132.781,98.14,18737.0,1.447,21.508,3.65,923.0,31525.0,26.794,3.688,0.082,144.0,32.918,86.111,17641.0,1.338,4.454,0.107,5.174,41.007,1.943,1.943,0.083,37.752,2.018,2.018,423.0,8.194,198.324,1.577,4.706,14.848,18.716,1.358,0.115,3.792,79.833,5.14,17.974,9.169,4.932,1.561,16.556,0.176,4.505,40.386,329.566,3.643,37,13.709,0.833,0.833,4.343,26.1,177.0,4.425,21.842,329.566,303.566,448.39,2.901,1.771,56.152,1.684
6.301,52.91,52.91,52.91,44.98,20606.0,1.773,21.798,3.459,1076.0,29179.0,25.286,3.505,0.082,183.0,33.054,71.417,19399.0,1.407,4.551,0.108,5.145,43.616,2.161,2.161,0.084,38.5,1.47,1.47,492.0,7.944,197.665,1.641,4.464,14.102,17.418,1.449,0.115,3.851,76.0,5.093,17.418,9.024,4.58,1.664,16.817,0.175,4.301,39.485,365.275,3.616,36,13.295,0.649,0.649,4.322,25.217,164.0,4.105,22.058,351.011,308.282,469.69,3.136,1.619,54.734,1.897
7.222,52.91,52.91,52.91,44.98,19340.0,1.679,21.091,3.452,1044.0,27590.0,24.579,3.498,0.084,178.0,32.345,69.917,18170.0,1.418,4.491,0.113,5.105,42.089,2.103,2.103,0.088,37.2,1.441,1.441,476.0,7.694,190.758,1.647,4.464,13.685,16.918,1.461,0.119,3.818,74.0,5.051,16.918,8.937,4.58,1.666,16.316,0.181,4.176,37.567,344.654,3.588,35,12.918,0.591,0.591,4.294,24.518,153.0,4.097,21.428,330.389,287.66,452.39,3.072,1.55,52.533,1.849
8.125,143.309,141.41,143.309,97.97,23038.0,1.708,24.672,3.567,1084.0,36155.0,29.526,3.618,0.078,178.0,35.386,89.528,22400.0,1.569,4.59,0.102,5.292,47.728,2.148,2.148,0.079,44.452,2.151,2.151,514.0,8.764,222.415,1.834,4.504,15.435,19.302,1.631,0.109,3.908,86.333,5.219,19.013,9.383,4.938,1.824,18.004,0.167,4.697,46.275,426.994,3.718,40,14.905,0.928,0.928,4.404,26.927,209.0,4.378,23.367,426.994,375.258,528.05,3.105,1.882,72.77,1.876
8.638,143.309,141.41,143.309,97.97,23038.0,1.708,24.672,3.567,1084.0,36155.0,29.526,3.618,0.078,178.0,35.386,89.528,22400.0,1.569,4.59,0.102,5.292,47.728,2.148,2.148,0.079,44.452,2.151,2.151,514.0,8.764,222.415,1.834,4.504,15.435,19.302,1.631,0.109,3.908,86.333,5.219,19.013,9.383,4.938,1.824,18.004,0.167,4.697,46.275,426.994,3.718,40,14.905,0.928,0.928,4.404,26.927,209.0,4.378,23.367,426.994,375.258,528.05,3.105,1.882,72.77,1.876
7.959,160.094,158.195,160.094,110.86,24459.0,1.715,25.042,3.551,1123.0,39140.0,30.181,3.591,0.076,182.0,36.113,92.611,23836.0,1.495,4.684,0.099,5.323,48.222,2.029,2.029,0.077,45.252,2.574,2.574,533.0,9.139,229.556,1.762,4.754,16.008,19.905,1.556,0.106,3.913,88.833,5.263,19.616,9.459,4.897,1.799,18.536,0.163,4.679,51.678,446.013,3.742,41,15.254,1.128,1.128,4.428,27.921,219.0,4.433,23.935,446.013,380.778,536.41,2.983,2.095,75.501,1.864
6.738,136.298,134.399,136.298,95.17,15180.0,1.556,21.771,3.499,826.0,25862.0,26.198,3.544,0.09,141.0,31.673,81.278,15200.0,1.447,4.183,0.118,5.099,41.368,1.825,1.825,0.091,39.819,0.606,0.606,400.0,7.972,186.518,1.759,4.51,13.575,16.993,1.495,0.126,3.749,76.833,5.023,16.705,8.997,4.894,1.78,15.602,0.194,4.357,37.164,369.899,3.589,35,13.014,0.352,0.352,4.263,23.968,164.0,4.407,20.703,369.899,331.899,467.88,2.773,1.248,70.029,1.748
7.658,143.309,141.41,143.309,97.97,18597.0,1.699,24.363,3.534,938.0,30023.0,28.698,3.583,0.084,159.0,33.825,85.528,18692.0,1.494,4.343,0.109,5.215,46.255,2.014,2.014,0.085,43.652,1.311,1.311,457.0,8.347,207.449,1.762,4.5,14.174,18.14,1.556,0.117,3.857,82.333,5.124,17.851,9.241,4.894,1.798,16.833,0.18,4.683,43.651,417.484,3.668,38,14.168,0.605,0.605,4.339,25.082,191.0,4.375,21.935,417.484,369.749,521.99,2.969,1.537,79.752,1.855
