pXC50,piID,piPC03,piPC04,SM04_EA.bo.,piPC06,piPC08,piPC10,PCD,piPC07,piPC09,nAB,nBM,Uc,piPC02,SM02_EA.bo.,Eig09_EA.bo.,nCsp2,Ui,nCIC,Eta_betaP,SM05_AEA.bo.,SpMax2_Bh.e.,X5,TRS,nCIR,SpMax2_Bh.i.,Eig09_AEA.bo.,Eig12_AEA.bo.,SpMax2_Bh.v.,Wap,SpMaxA_AEA.dm.,MPC10,Qindex,MPC08,SM03_AEA.bo.,Eta_beta,TPC,Eig12_EA.bo.,Eig04_EA.bo.,SM14_AEA.ri.,MPC06,GNar,MPC04,Xindex,SpMax2_Bh.p.,SpMin3_Bh.p.,SM04_EA.ri.,MPC05,MPC07,MPC09,X5sol,X4,SpMin3_Bh.e.,SpMin3_Bh.i.,Eig12_EA.ri.,Eig08_AEA.bo.,SRW08,PCR,Eig09_EA,SM03_AEA.dm.,MPC03,MWC05,Eig12_AEA.ri.,MWC06,IDDE,SRW10,Eig09_AEA.ri.,Eig09_EA.ed.
5.0,9.666,4.735,5.351,7.018,6.178,6.998,7.584,2.996,6.586,7.331,17,18,4.248,4.131,4.816,1.292,15,3.392,3,18.0,8.59,3.834,5.127,17,3,3.877,2.378,0.787,3.74,5743.0,0.155,4.344,16,4.466,5.941,31.75,6.671,-0.806,2.891,2.891,4.317,2.074,4.043,0.398,3.736,1.719,5.659,4.263,4.394,4.443,5.127,6.31,1.529,1.505,-0.597,2.5,8.267,1.449,0.871,0.871,3.761,7.311,0.372,8.201,4.107,9.907,1.837,2.136
4.254,8.212,4.407,4.89,6.688,5.382,5.57,6.055,2.135,5.55,5.807,12,13,3.807,3.871,4.554,0.365,13,3.0,2,14.5,8.294,3.863,3.872,12,2,3.886,1.452,0.584,3.794,2792.0,0.182,3.497,11,3.638,5.692,25.75,6.078,-1.112,2.134,2.134,3.761,1.995,3.689,0.454,3.796,1.588,5.433,3.85,3.738,3.611,3.872,5.058,1.356,1.329,-0.797,1.871,8.02,1.351,0.336,0.336,3.526,7.029,0.135,7.875,4.037,9.629,1.186,0.446
4.254,8.853,4.477,4.909,6.807,5.239,5.364,5.54,2.43,5.264,5.614,12,15,4.0,4.078,4.762,1.5,15,3.322,2,17.5,8.479,3.909,4.415,12,2,3.933,2.5,1.455,3.838,5388.0,0.14,3.497,12,3.555,5.931,32.5,6.423,0.176,2.832,2.832,3.689,1.973,3.738,0.345,3.836,1.855,5.6,3.871,3.584,3.611,4.415,5.739,1.606,1.557,0.142,2.651,8.141,1.378,1.0,1.0,3.638,7.16,1.144,7.971,4.484,9.679,2.0,2.136
4.254,10.509,4.833,5.457,7.154,6.268,7.07,7.661,3.727,6.664,7.336,16,17,4.17,4.155,4.84,1.268,13,3.322,3,16.0,8.634,3.898,5.025,17,4,3.924,2.334,0.811,3.818,7314.0,0.147,4.29,16,4.277,5.943,30.0,6.782,-0.761,2.795,2.795,4.19,2.074,4.043,0.363,3.815,1.876,5.562,4.22,4.22,4.304,5.025,6.49,1.607,1.529,-0.539,2.479,8.3,1.55,0.89,0.89,3.807,7.331,0.373,8.218,3.726,9.957,1.843,2.052
4.254,7.79,4.345,4.824,6.714,5.11,5.139,5.586,1.874,5.149,5.328,11,12,3.7,3.866,4.549,0.302,9,2.907,2,12.0,8.345,3.819,3.005,11,2,3.854,1.445,0.098,3.607,2270.0,0.192,3.332,12,3.401,5.701,24.25,5.916,-1.384,2.582,2.582,3.584,1.963,3.638,0.457,3.559,1.516,5.313,3.638,3.526,3.401,2.431,4.711,1.122,1.086,-0.957,1.58,8.006,1.317,0.261,0.261,3.497,7.02,-0.295,7.874,3.725,9.619,1.075,0.572
4.254,9.522,4.682,5.211,6.992,5.803,6.271,6.338,2.588,6.07,6.497,12,16,4.087,4.174,4.86,1.478,17,3.459,3,18.5,8.675,3.921,5.383,18,4,3.941,2.536,1.095,3.846,9412.0,0.148,4.205,17,4.29,6.046,33.75,6.933,-0.248,2.854,2.854,4.19,2.04,4.06,0.332,3.842,1.68,5.709,4.234,4.234,4.344,5.453,7.1,1.486,1.46,-0.177,2.861,8.381,1.373,1.008,1.008,3.829,7.371,0.71,8.239,4.335,10.019,2.012,2.484
4.254,9.68,4.695,5.285,7.005,6.09,6.865,7.464,3.052,6.475,7.262,17,17,4.17,4.099,4.783,1.344,15,3.248,3,16.5,8.551,3.884,4.807,17,3,3.914,2.391,0.548,3.816,5662.0,0.146,4.263,16,4.317,5.895,28.75,6.628,-0.817,2.925,2.925,4.22,2.077,3.951,0.381,3.817,1.663,5.6,4.174,4.263,4.394,4.578,5.844,1.468,1.423,-0.625,2.5,8.228,1.46,0.944,0.944,3.714,7.258,0.23,8.137,3.622,9.857,1.922,2.275
4.254,8.523,4.523,5.049,6.953,5.473,5.544,5.968,1.968,5.502,5.633,11,12,3.7,4.09,4.775,1.296,10,2.907,2,12.5,8.797,3.92,4.466,11,2,3.957,2.353,0.577,3.783,5331.0,0.179,3.951,18,3.932,6.052,28.5,6.555,-0.879,3.008,3.008,4.078,1.861,3.97,0.421,3.747,1.791,5.726,4.06,3.932,3.871,3.47,6.171,1.471,1.385,-0.7,2.5,8.445,1.3,0.96,0.96,3.761,7.407,0.174,8.308,3.657,10.083,1.865,2.275
4.254,7.818,4.245,4.813,6.901,5.231,5.673,5.82,1.287,5.528,5.644,6,9,3.322,3.922,4.605,-0.392,7,2.807,3,10.5,8.749,3.877,4.968,16,4,3.893,1.0,0.58,3.798,4542.0,0.261,4.007,19,4.317,5.901,21.75,6.531,-1.263,2.551,2.551,4.344,2.026,4.19,0.468,3.825,1.74,5.683,4.344,4.454,4.111,7.603,6.632,1.615,1.574,-0.85,1.507,8.425,1.197,-0.326,-0.326,3.784,7.425,0.0,8.397,3.461,10.175,0.479,-0.875
4.254,10.098,4.738,5.348,7.102,6.09,6.714,6.89,3.277,6.4,7.041,17,18,4.248,4.174,4.86,1.325,15,3.392,3,18.5,8.609,3.907,5.439,18,4,3.94,2.383,1.005,3.823,8026.0,0.149,4.19,16,4.22,5.967,32.5,6.821,-0.496,2.921,2.921,4.159,2.07,3.989,0.355,3.82,1.691,5.631,4.234,4.205,4.29,5.148,6.319,1.499,1.444,-0.377,2.5,8.289,1.48,0.928,0.928,3.738,7.284,0.595,8.152,4.005,9.929,1.906,2.225
