pXC50,AMW,C.
4.0,7.287,50.0
4.0,7.757,41.3
4.0,8.059,42.9
4.0,7.555,34.1
4.0,8.807,37.9
4.0,6.87,41.9
4.0,8.217,44.8
4.0,7.276,40.6
4.0,7.729,50.0
4.0,8.234,38.9
4.0,7.379,38.5
4.0,9.037,40.0
4.0,8.471,43.4
4.0,8.471,40.5
4.0,9.7,44.9
4.0,8.703,43.6
4.0,6.62,42.4
4.0,7.081,28.6
4.0,7.49,44.2
4.301,8.203,38.5
4.0,7.483,35.1
4.0,6.99,42.3
4.0,7.256,39.3
4.0,7.956,44.6
4.0,7.365,37.8
4.0,7.346,37.3
4.0,10.181,54.2
4.0,8.244,40.8
4.0,8.597,38.6
4.0,8.324,48.6
4.0,9.808,42.0
4.0,7.21,45.7
4.0,7.628,40.4
4.0,6.7,40.0
4.0,8.129,42.4
4.0,8.35,37.1
4.0,7.01,42.1
4.0,8.467,42.9
4.0,11.005,45.5
4.0,7.322,50.0
4.0,7.384,39.6
4.0,7.93,46.0
4.0,7.92,47.1
4.0,7.24,45.8
4.0,7.903,42.3
4.0,8.334,45.0
4.0,9.047,47.4
4.0,9.314,44.2
4.0,6.867,34.7
4.0,7.476,44.4
4.0,8.027,45.6
4.0,8.306,47.1
4.0,6.628,44.1
4.0,7.861,42.5
4.0,7.571,43.9
4.0,8.838,38.5
4.0,9.966,48.9
4.0,7.282,43.8
4.0,7.41,40.0
4.0,7.489,47.9
4.0,8.343,41.0
4.0,9.226,41.0
4.0,7.129,40.0
4.0,8.952,29.5
4.0,6.739,37.8
4.0,8.011,41.1
4.301,7.84,41.4
4.0,8.111,41.0
4.0,10.013,47.4
4.0,8.24,46.2
4.0,7.618,39.3
4.0,9.481,41.7
4.0,8.206,45.8
4.0,7.13,40.5
4.0,7.841,42.4
4.0,7.572,43.8
4.0,7.586,44.1
4.0,7.827,42.4
4.0,8.785,41.2
4.0,8.399,36.8
4.0,6.76,37.5
4.0,7.779,40.6
4.0,7.137,39.3
4.0,7.26,44.2
4.0,9.268,45.7
4.0,8.623,41.7
4.0,7.502,41.3
4.0,7.406,36.2
4.0,7.921,43.6
4.0,6.9,42.2
4.0,7.354,40.3
4.0,7.33,43.4
4.0,8.158,38.2
4.0,7.569,43.1
4.0,7.567,41.9
4.0,8.725,40.0
4.0,7.907,37.9
4.0,8.91,40.0
4.0,8.389,42.0
4.0,7.359,45.0
4.0,7.783,41.8
4.0,8.744,42.2
4.0,7.789,40.4
4.0,7.061,42.4
4.0,7.659,49.1
4.0,6.8,40.4
4.0,7.318,38.2
4.0,9.422,42.9
4.0,7.524,50.0
4.0,8.829,42.4
4.0,7.964,45.5
4.0,9.36,40.0
4.0,8.573,46.2
4.0,5.888,34.7
4.0,8.973,49.0
4.0,8.849,42.9
4.0,9.061,45.0
4.0,8.04,35.8
4.0,7.478,44.9
4.0,9.47,40.4
4.0,9.156,43.9
4.0,8.332,41.5
4.0,9.823,46.9
4.0,7.854,40.0
4.0,7.226,40.5
4.0,7.618,45.7
4.0,6.382,39.2
4.0,8.396,41.9
4.0,7.128,39.0
6.699,7.636,31.3
