pXC50,SpDiam_EA.ri.,SM08_EA.ri.,SM12_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,Eig01_EA.ri.,SpMax_EA.ri.,SM10_EA.ri.,SM11_EA.ri.,SM15_EA.ri.,SM09_EA.ri.,SM07_EA.ri.,SM06_EA.ri.,SM05_EA.ri.,GGI5,Eig02_EA.ri.,SM04_EA.ri.,Eig03_EA.ed.,SM12_AEA.dm.,MWC10,TWC,BIC0,NdssC,Eig01_AEA.ri.,SpMax_AEA.ri.,MWC09,Eig03_AEA.ed.,CATS2D_07_AL,Eig03_EA.ri.,SM04_EA.ed.,SIC0,SpDiam_AEA.ri.,MWC08,AAC,IC0,SM03_EA.ri.,Eig02_AEA.ri.,SpDiam_EA.ed.,X.,MATS5s,SdO,Eig02_AEA.ed.,SM05_AEA.ed.,SM02_EA.ed.,CATS2D_02_LL,MWC06,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,Eig03_AEA.ri.,SM06_AEA.ed.,Eig02_EA.ed.,SM11_AEA.dm.,SM07_AEA.ed.,SM03_AEA.ed.,SM15_AEA.ed.,SpMin2_Bh.s.,nX,ATS6s,SM06_EA,SM04_AEA.ed.,SRW10,SM06_EA.ed.,nDB,SM07_EA.ed.,SM08_EA.ed.
5.0,5.103,9.652,13.876,14.942,16.059,3.103,3.103,11.733,12.749,17.151,10.569,8.392,7.672,6.185,1.202,2.706,5.859,8.043,8.043,12.053,12.577,0.287,0,4.172,4.172,11.154,5.879,3,2.526,10.63,0.31,5.207,10.26,1.682,1.682,3.829,3.769,18.235,2.3,-0.04,11.6,6.1,10.75,6.624,9,8.477,11.08,11.08,11.08,3.558,12.509,8.88,8.88,14.294,7.372,29.017,1.117,1,5.602,7.917,9.031,10.193,15.002,1,17.109,19.567
5.0,5.096,9.512,13.748,14.816,15.942,3.096,3.096,11.595,12.606,17.039,10.407,8.209,7.545,5.979,0.542,2.567,5.76,7.166,7.166,11.846,12.382,0.259,0,4.135,4.135,10.964,5.423,3,2.46,10.395,0.281,5.178,10.087,1.496,1.496,3.613,3.622,18.155,2.5,0.049,0.0,5.8,10.528,6.46,14,8.336,10.902,10.902,10.902,3.508,12.262,8.069,8.069,14.028,7.212,28.724,1.07,1,5.456,7.713,8.838,10.108,14.736,0,16.832,19.301
5.799,5.084,9.562,13.795,14.866,15.978,3.084,3.084,11.648,12.674,17.071,10.495,8.322,7.588,6.128,1.181,2.745,5.803,7.276,7.276,11.83,12.364,0.203,1,4.172,4.172,10.941,5.482,4,2.349,10.534,0.206,5.262,10.07,1.265,1.265,3.801,3.762,18.662,0.0,-0.028,12.646,6.211,10.631,6.497,17,8.326,11.21,11.21,11.21,3.416,12.398,9.102,9.102,14.196,7.256,29.106,1.346,0,6.074,7.771,8.91,10.024,14.969,1,17.104,19.599
5.199,5.084,9.481,13.734,14.809,15.926,3.084,3.084,11.576,12.606,17.023,10.412,8.221,7.506,6.004,1.201,2.691,5.738,7.334,7.334,11.802,12.337,0.203,1,4.181,4.181,10.915,5.51,4,2.277,10.521,0.206,5.271,10.043,1.265,1.265,3.657,3.705,18.95,0.0,0.004,12.883,6.188,10.574,6.447,14,8.299,11.503,11.503,11.503,3.399,12.348,8.985,8.985,14.159,7.203,29.176,1.349,0,6.216,7.718,8.85,9.979,15.032,1,17.228,19.739
5.372,5.128,9.657,13.979,15.071,16.197,3.128,3.128,11.789,12.844,17.308,10.625,8.409,7.635,6.171,1.208,2.825,5.815,7.324,7.324,11.879,12.409,0.203,1,4.203,4.203,10.985,5.588,4,2.26,10.625,0.206,5.293,10.107,1.265,1.265,3.801,3.849,18.981,0.0,-0.029,12.646,6.423,10.679,6.521,17,8.35,11.405,11.405,11.405,3.382,12.464,9.772,9.772,14.281,7.273,29.293,1.358,0,6.155,7.811,8.941,10.056,15.127,1,17.299,19.806
4.523,5.316,10.378,14.884,16.029,17.197,3.316,3.316,12.603,13.716,18.358,11.419,9.137,8.256,6.845,1.507,3.09,6.326,10.131,10.131,12.383,12.911,0.226,1,4.35,4.35,11.488,6.493,13,2.833,11.162,0.236,5.453,10.604,1.476,1.476,4.43,4.127,19.07,0.0,0.065,13.244,6.702,11.212,7.029,18,8.832,11.836,11.836,11.836,3.921,13.012,10.879,10.879,14.844,7.772,30.018,1.249,0,6.186,8.428,9.458,10.581,15.702,1,17.936,20.428
5.0,5.063,9.54,13.726,14.782,15.882,3.063,3.063,11.606,12.619,16.961,10.471,8.328,7.563,6.162,0.976,2.636,5.74,7.781,7.781,11.826,12.364,0.355,1,4.133,4.133,10.947,5.862,4,2.547,10.527,0.375,5.183,10.075,1.983,1.983,3.865,3.738,18.175,10.3,-0.058,12.261,6.052,10.69,6.526,5,8.329,10.87,10.87,10.87,3.652,12.45,8.685,8.685,14.234,7.292,28.938,1.031,4,6.046,7.855,8.964,10.105,14.869,1,16.941,19.4
7.0,5.217,10.325,14.753,15.872,17.014,3.217,3.217,12.516,13.605,18.147,11.347,9.09,8.225,6.807,1.379,3.097,6.301,10.126,10.126,12.405,12.932,0.251,0,4.437,4.437,11.511,6.492,13,2.942,11.352,0.268,5.504,10.621,1.611,1.611,4.372,4.134,21.617,0.0,-0.071,26.384,6.654,11.314,7.059,13,8.839,13.623,13.623,13.623,3.974,13.161,10.631,10.631,15.044,7.795,30.764,1.224,0,6.12,8.5,9.518,10.631,16.131,3,18.534,21.142
6.31,5.217,10.389,14.832,15.954,17.099,3.217,3.217,12.588,13.682,18.234,11.418,9.157,8.279,6.872,1.601,3.116,6.346,10.412,10.412,12.466,12.99,0.247,0,4.437,4.437,11.567,6.599,13,3.013,11.409,0.262,5.504,10.674,1.593,1.593,4.438,4.158,21.617,0.0,-0.072,26.492,6.708,11.37,7.107,14,8.884,13.623,13.623,13.623,4.042,13.217,10.855,10.855,15.101,7.843,30.8,1.228,0,6.19,8.548,9.57,10.681,16.182,3,18.578,21.184
6.921,5.097,9.921,14.146,15.213,16.322,3.097,3.097,12.004,13.026,17.412,10.851,8.678,7.942,6.474,0.906,2.942,6.138,8.029,8.029,12.204,12.741,0.218,0,4.134,4.134,11.324,5.692,9,2.631,10.803,0.231,5.202,10.449,1.388,1.388,4.107,3.975,17.872,0.0,0.044,0.0,6.492,10.951,6.851,8,8.7,10.631,10.631,10.631,3.715,12.694,10.126,10.126,14.464,7.603,29.104,1.224,0,5.966,8.122,9.248,10.45,15.11,1,17.169,19.61
