pXC50,nBO,nSK,nC,SCBO,Sv,MW,nAB,nBM,nCsp2,nBT,Se,O.,nAT,Si,nH,Sp,AMW,C.,H.,Me,Mi,Mp
7.903,32,29,22,42.0,33.191,393.48,12,16,14,55,52.451,7.7,52,58.485,23,34.449,7.567,42.3,44.2,1.009,1.125,0.662
7.523,29,26,22,37.0,31.267,348.48,12,14,14,53,49.578,4.0,50,55.983,24,33.296,6.97,44.0,48.0,0.992,1.12,0.666
4.0,46,41,36,59.0,49.976,545.78,24,25,25,85,78.865,2.5,80,89.387,39,53.631,6.822,45.0,48.8,0.986,1.117,0.67
4.0,46,41,36,59.0,49.976,545.78,24,25,25,85,78.865,2.5,80,89.387,39,53.631,6.822,45.0,48.8,0.986,1.117,0.67
4.0,37,33,27,47.0,39.17,462.03,18,19,19,65,60.771,3.3,61,68.255,28,41.682,7.574,44.3,45.9,0.996,1.119,0.683
4.0,39,35,30,49.0,42.923,469.68,18,19,19,74,69.098,2.9,70,78.557,35,46.108,6.71,42.9,50.0,0.987,1.122,0.659
4.824,40,36,31,50.0,44.449,483.71,18,19,19,77,71.981,2.7,73,81.972,37,47.87,6.626,42.5,50.7,0.986,1.123,0.656
4.0,40,36,30,50.0,43.75,504.12,18,19,19,74,69.421,2.9,70,78.501,34,46.966,7.202,42.9,48.6,0.992,1.121,0.671
4.0,42,38,33,52.0,47.503,511.77,18,19,19,83,77.748,2.5,79,88.803,41,51.393,6.478,41.8,51.9,0.984,1.124,0.651
6.013,35,32,27,42.0,40.449,435.67,12,13,13,72,67.981,2.9,69,77.972,37,43.87,6.314,39.1,53.6,0.985,1.13,0.636
5.796,36,32,27,46.0,38.342,427.59,18,19,19,65,60.447,3.3,61,68.311,29,40.824,7.01,44.3,47.5,0.991,1.12,0.669
4.0,41,37,30,51.0,44.578,538.56,18,19,19,74,69.745,2.9,70,78.445,33,47.824,7.694,42.9,47.1,0.996,1.121,0.683
4.0,41,37,32,51.0,45.976,497.74,18,19,19,80,74.865,2.6,76,85.387,39,49.631,6.549,42.1,51.3,0.985,1.124,0.653
4.0,40,36,31,50.0,44.449,483.71,18,19,19,77,71.981,2.7,73,81.972,37,47.87,6.626,42.5,50.7,0.986,1.123,0.656
5.377,39,35,29,49.0,42.417,470.67,18,19,18,73,68.316,2.9,69,77.64,34,45.353,6.821,42.0,49.3,0.99,1.125,0.657
4.0,39,35,29,49.0,42.417,470.67,18,19,19,73,68.316,2.9,69,77.64,34,45.353,6.821,42.0,49.3,0.99,1.125,0.657
5.252,36,32,27,43.0,39.923,433.65,12,13,13,71,66.098,3.0,67,75.557,35,43.108,6.472,40.3,52.2,0.987,1.128,0.643
5.602,37,33,28,44.0,41.449,447.68,12,13,13,74,68.981,2.9,70,78.972,37,44.87,6.395,40.0,52.9,0.985,1.128,0.641
4.319,40,36,31,50.0,44.449,483.71,18,19,19,77,71.981,2.7,73,81.972,37,47.87,6.626,42.5,50.7,0.986,1.123,0.656
5.456,39,35,29,46.0,43.998,476.73,12,13,13,79,73.967,2.7,75,84.886,40,47.637,6.356,38.7,53.3,0.986,1.132,0.635
4.0,39,35,29,49.0,42.417,470.67,18,19,18,73,68.316,2.9,69,77.64,34,45.353,6.821,42.0,49.3,0.99,1.125,0.657
4.638,39,35,29,49.0,42.417,470.67,18,19,18,73,68.316,2.9,69,77.64,34,45.353,6.821,42.0,49.3,0.99,1.125,0.657
4.0,43,38,33,56.0,45.396,503.69,24,25,25,76,70.214,2.8,71,79.142,33,48.347,7.094,46.5,46.5,0.989,1.115,0.681
