pXC50,P_VSA_e_3,P_VSA_LogP_3,GGI7,Eig02_AEA.ed.,SM11_EA.bo.,SM09_EA.bo.,SM10_EA.bo.,N.069,nArNH2,Eig02_AEA.ri.,SM12_EA.bo.,SaaN,Eig02_EA.ri.,SM08_EA.bo.,Eig02_EA,SM10_AEA.bo.,Chi0_EA.dm.,SM07_EA.bo.,Yindex,P_VSA_e_5,Eig08_EA.ed.,SM03_AEA.ri.,GGI3,GATS6p,IC2,SM07_EA,Eig13_EA.ri.,Vindex,Xindex,Eig01_AEA.ed.,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_AEA.ed.,SpMax_EA.ed.,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpDiam_EA.ed.,SpMax_EA,JGI6,Eig05_EA,SM13_AEA.bo.,nRCOOH,SpDiam_AEA.ri.,Eig08_AEA.ed.,SpMin4_Bh.m.,SM03_EA.ed.,ATS7e,NssCH2,Eig06_EA.ri.,ICR,SpMin1_Bh.s.,Eig02_AEA.bo.,SM15_EA.ed.,GGI4,ATSC7e,ATSC7m,ATS8m,Eig13_EA,Eig13_EA.bo.,SM07_AEA.dm.,GATS8i,RBF,SM08_EA,ATS7i,HVcpx
5.824,99.365,113.176,0.129,6.159,17.082,14.017,15.608,2,2,3.669,18.642,8.269,2.604,12.632,2.708,2.708,8.75,10.956,0.898,0.0,2.136,2.136,2.104,0.914,3.87,8.561,-1.0,0.296,0.437,6.936,11.633,11.633,6.936,11.633,3.295,3.295,5.295,19.04,3.295,0.017,1.741,1.741,0,5.37,3.247,1.266,7.345,3.789,0,1.336,2.261,1.14,4.092,36.825,1.166,0.106,9.358,2.125,-1.0,-1.5,-1.0,0.795,0.031,9.836,4.053,2.81
4.921,99.365,65.794,0.194,5.776,16.998,13.92,15.502,2,2,3.444,18.554,8.555,2.337,12.494,2.513,2.513,12.033,10.845,0.782,0.0,2.438,2.438,1.917,1.094,3.325,8.417,-0.484,0.267,0.401,6.922,11.66,11.66,6.922,11.66,3.276,3.276,5.276,18.775,3.276,0.015,1.825,1.825,0,5.353,3.332,1.723,7.213,4.761,10,1.652,2.298,1.448,3.866,36.844,1.134,0.264,31.423,2.858,-0.537,-0.633,-0.537,0.897,0.0,9.722,5.076,2.994
6.658,120.5,115.439,0.467,6.139,16.942,13.954,15.511,2,2,3.902,18.473,7.961,2.878,12.622,2.915,2.915,26.293,10.995,0.494,170.309,5.091,5.091,2.597,1.005,5.074,8.872,0.795,0.189,0.305,6.786,11.135,11.135,6.786,11.135,3.198,3.198,5.198,18.028,3.198,0.017,2.299,2.299,2,5.245,4.645,1.686,7.684,4.759,3,2.144,3.222,1.223,4.231,36.21,1.907,0.925,24.755,3.705,0.815,1.142,0.815,0.966,0.161,10.099,4.947,3.716
8.398,150.947,103.699,0.507,6.116,16.685,13.754,15.31,2,2,3.883,18.204,16.447,2.861,12.494,2.892,2.892,21.345,10.851,0.452,160.801,5.12,5.12,1.813,1.065,5.045,8.675,0.6,0.177,0.289,6.502,10.175,10.175,6.502,10.175,3.079,3.079,5.079,17.069,3.079,0.013,2.289,2.289,2,5.137,4.645,1.563,7.509,4.605,3,2.127,3.233,1.222,4.207,34.944,2.16,0.807,24.983,3.786,0.722,0.841,0.722,1.069,0.17,9.906,4.794,3.803
6.398,150.947,103.699,0.358,6.116,16.685,13.754,15.31,2,2,3.883,18.203,16.523,2.861,12.494,2.892,2.892,21.345,10.851,0.427,160.801,5.12,5.12,1.938,1.008,5.051,8.675,0.903,0.169,0.279,6.502,10.174,10.174,6.502,10.174,3.078,3.078,5.078,17.069,3.078,0.015,2.336,2.336,2,5.126,4.645,1.702,7.509,4.693,4,2.14,3.331,1.223,4.206,34.943,2.0,0.837,27.261,3.789,1.0,1.219,1.0,0.983,0.179,9.909,4.895,3.875
6.252,135.387,115.439,0.408,6.116,16.927,13.935,15.495,2,2,3.886,18.461,7.892,2.868,12.603,2.892,2.892,25.778,10.971,0.472,170.309,4.968,4.968,2.222,1.016,5.006,8.768,0.575,0.183,0.298,6.78,11.107,11.107,6.78,11.107,3.188,3.188,5.188,17.998,3.188,0.016,2.28,2.28,2,5.236,4.645,1.629,7.588,4.642,3,2.142,3.208,1.222,4.206,36.155,1.832,0.898,21.945,3.628,0.609,0.716,0.609,1.01,0.17,10.004,4.823,3.715
4.301,99.365,103.699,0.273,5.989,17.14,14.073,15.662,2,2,3.613,18.701,8.284,2.523,12.683,2.664,2.664,10.351,11.017,0.892,0.0,2.275,2.275,2.194,0.99,4.082,8.638,-0.958,0.294,0.434,7.039,12.074,12.074,7.039,12.074,3.324,3.324,5.324,19.282,3.324,0.023,1.98,1.98,0,5.4,3.414,1.286,7.441,3.917,0,1.502,2.36,1.161,4.067,37.369,1.597,0.215,18.173,2.794,-1.0,-1.437,-1.0,0.694,0.031,9.906,4.205,2.874
5.518,99.365,94.223,0.278,6.207,17.164,14.123,15.697,2,2,3.777,18.712,8.235,2.643,12.739,2.852,2.852,10.917,11.093,0.829,0.0,2.867,2.867,2.354,0.666,4.19,8.742,-0.599,0.28,0.418,6.938,11.64,11.64,6.938,11.64,3.299,3.299,5.299,19.07,3.299,0.022,1.939,1.939,0,5.378,4.005,1.266,7.516,3.846,0,1.462,2.423,1.14,4.247,36.844,1.548,0.27,11.431,3.213,-0.756,-0.949,-0.756,0.828,0.031,9.989,4.044,2.952
4.347,99.365,65.794,0.105,5.776,16.998,13.92,15.501,2,2,3.448,18.554,8.395,2.342,12.493,2.516,2.516,12.033,10.845,0.981,0.0,0.561,0.561,1.917,0.949,3.711,8.417,-1.216,0.315,0.457,6.922,11.66,11.66,6.922,11.66,3.276,3.276,5.276,18.775,3.276,0.016,1.656,1.656,0,5.349,2.78,1.518,7.213,3.816,6,1.533,1.971,1.425,3.867,36.844,1.054,0.168,10.962,1.624,-1.274,-1.394,-1.274,0.653,0.0,9.706,4.122,2.699
8.398,150.947,103.699,0.507,6.116,16.685,13.754,15.31,2,2,3.885,18.204,16.208,2.864,12.494,2.892,2.892,23.61,10.851,0.452,171.801,5.12,5.12,1.813,0.979,5.045,8.675,0.639,0.177,0.289,6.502,10.175,10.175,6.502,10.175,3.079,3.079,5.079,17.069,3.079,0.013,2.289,2.289,2,5.102,4.645,1.586,7.509,4.617,3,2.147,3.233,1.221,4.207,34.944,2.16,0.953,22.014,3.682,0.722,0.841,0.722,1.075,0.17,9.906,4.808,3.803
