pXC50,SpMin4_Bh.v.,SpMin4_Bh.e.,SpMin4_Bh.p.,SpMin4_Bh.i.,NdssC,ON0V,PHI,SpMax5_Bh.m.,SpMin4_Bh.m.,H.,ATS8e,ATS8p,ATS8v,CIC0,GATS2v,ISIZ,nAT,S1K,S2K,SAtot,Se,Si,SpMin6_Bh.m.,TIC1,TIC2,TIC3,S3K,P_VSA_MR_5,Mv,C.026,SpMax1_Bh.p.,SdsCH,ATS1e,ATS1i,ATS7p,ATS7v,ATSC8p,ATSC8v,BIC0,GATS2p,nBT,nH,P_VSA_i_3,Sp,SpMax6_Bh.i.,SpMaxA_EA.bo.,SpMaxA_EA.ed.,SpMin5_Bh.v.,Sv,TIC4,TIC5,VvdwMG,VvdwZAZ,Vx,X1Kup,X1MulPer,X1Per,SpMax1_Bh.v.,ATS8i,SpMax1_Bh.m.,SpMin1_Bh.i.,AAC,AECC
5.62,1.107,0.886,1.062,0.821,1,3.476,3.202,2.687,1.155,40.0,2.164,1.555,1.233,2.626,0.946,86.439,20,9.168,4.191,245.172,20.193,22.21,0.515,58.787,72.439,76.439,2.928,18.011,0.693,2,3.863,1.238,3.068,3.172,2.086,1.867,1.324,1.442,0.365,0.837,20,8,107.543,14.858,2.144,0.303,0.622,0.811,13.869,76.439,76.439,97.776,166.87,230.332,3.429,3.29,2.767,3.846,2.448,6.88,1.861,1.695,6.167
5.658,1.731,1.523,1.714,1.493,0,8.767,6.623,3.321,1.639,46.9,4.436,3.604,3.422,3.86,0.995,275.121,49,19.273,8.934,481.639,49.269,55.487,1.441,179.008,220.366,238.366,5.261,51.813,0.626,1,4.067,0.0,3.987,4.103,3.682,3.509,7.765,9.974,0.296,0.969,51,23,291.506,33.086,3.242,0.168,0.443,1.596,30.652,244.366,248.366,198.321,326.64,475.664,8.728,8.341,6.981,3.982,4.688,4.735,1.977,1.755,13.577
6.959,1.726,1.503,1.73,1.482,0,9.25,7.299,3.415,1.656,43.1,4.558,3.663,3.515,3.786,0.945,289.294,51,21.779,9.719,522.312,52.142,57.989,1.371,193.181,234.539,256.539,5.366,42.988,0.639,2,4.072,0.0,4.047,4.154,3.754,3.59,8.126,10.282,0.314,0.935,53,22,342.253,34.239,3.477,0.154,0.418,1.597,32.576,264.539,268.539,210.181,352.58,504.601,9.149,8.791,7.335,3.996,4.799,4.738,1.984,1.886,13.207
5.638,1.712,1.5,1.698,1.473,0,7.85,6.4,3.321,1.638,45.7,4.367,3.529,3.35,3.736,1.044,254.084,46,18.302,8.743,455.563,46.385,52.072,1.31,165.803,197.719,219.329,5.0,42.988,0.633,1,4.059,0.0,3.932,4.045,3.615,3.426,7.271,9.159,0.306,1.004,48,21,267.964,31.324,3.22,0.174,0.459,1.563,29.125,228.084,232.084,188.729,309.34,452.259,8.317,8.004,6.675,3.97,4.618,4.734,1.964,1.788,12.92
4.0,1.589,1.338,1.649,1.306,0,6.617,6.092,3.197,1.452,48.6,3.98,3.038,2.914,3.462,1.132,192.75,37,15.771,7.339,386.333,37.658,42.076,1.163,116.644,145.995,167.995,4.711,37.474,0.603,2,4.07,0.0,3.681,3.787,3.16,3.018,4.428,5.615,0.32,1.134,37,18,295.169,23.568,3.066,0.251,0.682,1.54,22.304,173.995,173.995,147.48,258.01,351.611,6.258,6.0,5.081,3.992,4.199,4.738,1.984,1.748,8.895
4.959,1.503,1.336,1.508,1.31,0,5.517,4.54,2.987,1.465,51.5,3.685,2.821,2.637,3.464,1.087,166.465,33,11.8,6.157,314.147,32.887,37.903,1.137,106.691,128.465,142.465,3.158,59.48,0.59,0,3.933,0.0,3.59,3.745,2.972,2.776,2.967,4.314,0.3,1.045,34,17,164.795,21.245,2.822,0.265,0.605,1.436,19.455,148.465,152.465,128.227,200.63,304.635,5.622,5.482,4.602,3.923,3.97,4.333,1.705,1.58,8.875
5.721,1.741,1.515,1.76,1.49,0,8.3,7.074,3.371,1.638,41.7,4.467,3.587,3.448,3.666,1.036,268.078,48,20.803,9.521,493.489,49.258,54.574,1.311,185.549,220.078,242.078,5.555,42.988,0.647,2,4.067,0.0,3.995,4.1,3.659,3.506,7.393,9.002,0.323,1.015,50,20,306.94,32.477,3.387,0.157,0.414,1.61,31.049,248.078,252.078,200.589,335.28,481.196,8.773,8.481,7.051,3.988,4.699,4.735,1.979,1.919,13.786
6.208,1.727,1.503,1.731,1.486,1,9.367,8.397,3.475,1.655,40.7,4.713,3.772,3.643,3.818,1.01,310.764,54,24.359,11.031,572.988,55.796,61.408,1.38,219.951,258.764,280.764,6.379,45.093,0.648,2,4.072,0.0,4.114,4.21,3.902,3.781,9.096,11.181,0.318,1.001,56,22,398.31,36.148,3.487,0.14,0.381,1.623,35.006,288.764,292.764,224.838,384.82,540.365,9.775,9.471,7.847,3.996,4.944,4.738,1.984,1.937,13.344
6.886,1.722,1.502,1.73,1.477,0,8.3,7.074,3.415,1.638,41.7,4.467,3.587,3.448,3.666,1.036,268.078,48,20.803,9.521,493.489,49.258,54.574,1.31,185.549,218.078,240.078,5.335,42.988,0.647,2,4.072,0.0,3.995,4.1,3.668,3.517,7.393,9.002,0.323,1.015,50,20,306.94,32.477,3.457,0.159,0.432,1.578,31.049,248.078,252.078,200.589,335.28,481.196,8.779,8.489,7.06,3.995,4.699,4.738,1.984,1.919,13.214
7.0,1.34,1.122,1.239,1.091,1,4.95,3.169,3.018,1.158,39.1,3.108,2.263,2.05,2.578,0.759,104.042,23,10.49,4.229,277.776,23.353,25.419,0.7,76.042,86.532,92.532,2.332,21.307,0.703,0,4.071,0.0,3.261,3.337,2.464,2.327,3.202,3.281,0.399,0.948,24,9,131.085,18.074,2.294,0.303,0.684,1.16,16.163,92.532,92.532,113.454,177.52,268.588,4.317,3.863,3.238,3.975,3.363,4.545,1.581,1.946,6.429
