pXC50,nAT,nBT,Se,Si,Sp,nSK,AMW,C.,H.,Me,Mi,Mp,Mv
5.056,43,43,42.796,49.066,26.54,20,6.451,34.9,53.5,0.995,1.141,0.617,0.576
4.796,45,47,43.923,50.564,29.387,21,6.232,42.2,53.3,0.976,1.124,0.653,0.596
4.143,55,58,54.563,62.066,34.239,25,6.3,38.2,54.5,0.992,1.128,0.623,0.577
5.083,99,103,98.687,112.171,63.057,49,6.777,38.4,50.5,0.997,1.133,0.637,0.599
4.21,92,96,91.374,104.048,58.836,45,6.673,39.1,51.1,0.993,1.131,0.64,0.598
4.662,85,88,84.247,95.972,54.472,40,6.681,37.6,52.9,0.991,1.129,0.641,0.59
6.373,48,51,46.981,53.356,33.006,25,6.822,47.9,47.9,0.979,1.112,0.688,0.637
3.685,18,18,18.182,20.452,11.75,10,7.565,38.9,44.4,1.01,1.136,0.653,0.63
5.313,53,52,51.065,60.764,30.33,17,4.576,30.2,67.9,0.963,1.146,0.572,0.495
5.854,23,24,23.487,26.044,16.779,14,10.005,39.1,39.1,1.021,1.132,0.73,0.688
3.424,20,19,20.16,23.737,11.313,9,6.46,20.0,55.0,1.008,1.187,0.566,0.534
5.538,86,92,85.898,96.349,56.586,45,7.091,43.0,47.7,0.999,1.12,0.658,0.623
4.807,30,30,29.927,34.568,18.836,15,6.843,33.3,50.0,0.998,1.152,0.628,0.591
4.68,32,34,32.807,36.697,20.193,18,7.822,34.4,43.8,1.025,1.147,0.631,0.621
4.432,35,35,35.036,39.863,21.222,16,6.438,34.3,54.3,1.001,1.139,0.606,0.569
5.217,53,54,51.625,60.143,32.262,21,5.482,35.8,60.4,0.974,1.135,0.609,0.545
6.556,65,64,62.599,74.425,37.376,21,4.595,30.8,67.7,0.963,1.145,0.575,0.498
4.469,44,43,42.414,50.519,25.046,14,4.555,29.5,68.2,0.964,1.148,0.569,0.492
4.268,42,42,41.847,48.23,25.955,20,6.581,33.3,52.4,0.996,1.148,0.618,0.579
5.131,52,55,51.403,58.605,33.438,25,6.529,40.4,51.9,0.989,1.127,0.643,0.597
6.347,53,56,51.967,59.27,35.773,27,6.727,45.3,49.1,0.981,1.118,0.675,0.625
4.678,41,40,39.53,47.104,23.285,13,4.547,29.3,68.3,0.964,1.149,0.568,0.491
4.866,48,51,47.578,53.983,31.296,24,6.76,41.7,50.0,0.991,1.125,0.652,0.61
4.766,52,55,51.403,58.605,33.438,25,6.529,40.4,51.9,0.989,1.127,0.643,0.597
4.192,26,27,25.505,29.488,16.58,12,6.241,38.5,53.8,0.981,1.134,0.638,0.585
5.244,33,33,33.105,37.986,21.489,17,7.648,30.3,48.5,1.003,1.151,0.651,0.605
4.301,31,32,30.567,35.321,19.995,14,6.818,32.3,54.8,0.986,1.139,0.645,0.579
5.027,25,26,24.462,27.782,17.193,13,6.81,48.0,48.0,0.978,1.111,0.688,0.637
6.959,54,57,52.749,60.187,36.529,27,6.584,46.3,50.0,0.977,1.115,0.676,0.623
5.387,48,51,47.578,53.983,31.296,24,6.76,41.7,50.0,0.991,1.125,0.652,0.61
4.425,25,26,24.949,28.282,16.273,13,7.05,40.0,48.0,0.998,1.131,0.651,0.616
4.312,26,25,25.927,30.568,14.835,11,6.048,23.1,57.7,0.997,1.176,0.571,0.529
4.854,38,39,37.48,42.677,25.722,19,7.232,42.1,50.0,0.986,1.123,0.677,0.621
4.208,54,55,53.12,61.102,34.37,25,6.288,38.9,53.7,0.984,1.132,0.636,0.586
4.502,22,22,22.174,24.993,13.722,11,6.964,36.4,50.0,1.008,1.136,0.624,0.595
4.886,38,38,37.585,43.441,23.324,17,6.194,34.2,55.3,0.989,1.143,0.614,0.566
4.62,40,41,39.265,44.86,26.074,19,6.385,42.5,52.5,0.982,1.121,0.652,0.6
4.117,28,30,27.171,31.82,17.097,11,5.403,35.7,60.7,0.97,1.136,0.611,0.544
4.33,26,25,25.883,30.031,14.625,10,5.625,26.9,61.5,0.996,1.155,0.563,0.515
4.757,42,44,41.04,47.149,27.625,20,6.343,42.9,52.4,0.977,1.123,0.658,0.603
4.699,84,89,84.938,94.77,53.568,44,7.247,39.3,47.6,1.011,1.128,0.638,0.613
2.78,9,8,9.189,10.91,4.779,4,6.566,11.1,55.6,1.021,1.212,0.531,0.51
3.523,17,17,16.956,19.741,10.301,8,6.539,29.4,52.9,0.997,1.161,0.606,0.567
3.461,21,20,20.673,24.407,11.409,7,4.962,23.8,66.7,0.984,1.162,0.543,0.484
4.355,29,28,27.996,33.443,16.239,9,4.493,27.6,69.0,0.965,1.153,0.56,0.484
5.161,23,23,24.247,27.057,15.114,15,9.985,26.1,34.8,1.054,1.176,0.657,0.662
