pXC50,nCsp3,nF,nN,nHet,Si,nAT,nBT,Se,nH,nX,X.,nCsp2,Sp,SCBO,Mv,nBO,nSK,Mi,RBN
6.602,13,0,7,12,75.228,66,69,66.701,31,0,0.0,10,42.642,46.0,0.614,38,35,1.14,9
6.347,7,0,3,7,53.069,47,49,47.567,21,0,0.0,12,30.688,36.0,0.631,28,26,1.129,6
7.347,5,0,4,5,45.109,40,43,39.92,18,0,0.0,12,26.807,32.0,0.637,25,22,1.128,1
6.745,0,0,3,4,27.95,25,27,25.284,9,0,0.0,12,17.756,25.0,0.694,18,16,1.118,0
6.607,5,0,4,6,46.318,41,44,41.247,18,0,0.0,12,27.262,34.0,0.639,26,23,1.13,1
6.68,0,0,3,4,27.95,25,27,25.284,9,0,0.0,12,17.756,26.0,0.694,18,16,1.118,0
6.523,11,0,7,11,67.478,59,62,59.858,27,0,0.0,10,37.472,43.0,0.615,35,32,1.144,6
7.237,4,0,4,5,41.694,37,40,37.036,16,0,0.0,12,25.046,32.0,0.648,24,21,1.127,1
7.35,10,0,7,12,64.983,57,60,58.051,25,0,0.0,10,37.358,43.0,0.63,35,32,1.14,6
5.699,6,0,3,8,61.405,55,58,55.527,23,0,0.0,18,38.097,46.0,0.661,35,32,1.116,7
7.292,6,0,4,5,46.109,41,45,40.92,18,0,0.0,12,27.807,35.0,0.646,27,23,1.125,1
6.47,6,0,4,6,49.734,44,47,44.131,20,0,0.0,12,29.023,35.0,0.63,27,24,1.13,4
4.854,0,0,2,3,25.452,23,25,23.182,8,0,0.0,12,16.75,25.0,0.71,17,15,1.107,0
6.699,6,0,4,9,60.488,54,57,54.745,22,0,0.0,17,37.341,46.0,0.664,35,32,1.12,7
6.301,6,0,3,9,62.614,56,59,56.854,23,0,0.0,18,38.551,47.0,0.662,36,33,1.118,8
6.762,6,0,4,5,50.939,45,47,44.687,22,0,0.0,12,29.33,33.0,0.612,25,23,1.132,6
6.398,6,0,5,10,59.571,53,56,53.963,21,0,0.0,16,36.585,46.0,0.667,35,32,1.124,7
6.398,10,0,7,12,64.983,57,60,58.051,25,0,0.0,10,37.358,43.0,0.63,35,32,1.14,6
6.222,10,0,8,13,64.066,56,59,57.269,24,0,0.0,9,36.602,43.0,0.633,35,32,1.144,6
7.602,11,0,5,11,71.441,63,66,63.825,29,0,0.0,12,41.085,45.0,0.622,37,34,1.134,7
6.301,6,0,3,8,61.405,55,58,55.527,23,0,0.0,18,38.097,46.0,0.661,35,32,1.116,7
7.149,8,0,4,5,52.939,47,51,46.687,22,0,0.0,12,31.33,37.0,0.629,29,25,1.126,3
7.35,11,3,6,14,70.334,61,64,63.254,25,3,4.9,11,39.688,47.0,0.641,39,36,1.153,6
5.793,4,3,2,7,36.636,32,34,33.447,11,3,9.4,10,22.495,29.0,0.695,23,21,1.145,1
7.427,6,0,4,9,63.903,57,60,57.629,24,0,0.0,18,39.102,47.0,0.656,36,33,1.121,7
7.379,6,0,5,10,59.571,53,56,53.963,21,0,0.0,16,36.585,46.0,0.667,35,32,1.124,7
5.585,0,0,2,3,25.452,23,25,23.182,8,0,0.0,12,16.75,25.0,0.71,17,15,1.107,0
8.699,4,2,4,7,46.788,41,44,41.945,16,2,4.9,14,27.682,37.0,0.665,28,25,1.141,3
8.523,5,1,4,6,49.864,44,47,44.316,19,1,2.3,14,29.506,37.0,0.645,28,25,1.133,3
5.0,12,0,3,6,74.062,66,70,65.29,33,0,0.0,15,43.995,45.0,0.615,37,33,1.122,6
8.222,5,1,4,6,49.864,44,47,44.316,19,1,2.3,14,29.506,37.0,0.645,28,25,1.133,3
8.285,5,1,4,6,49.864,44,47,44.316,19,1,2.3,14,29.506,37.0,0.645,28,25,1.133,3
8.222,5,1,4,6,49.864,44,47,44.316,19,1,2.3,14,29.506,37.0,0.645,28,25,1.133,3
8.699,5,2,4,7,50.204,44,47,44.829,18,2,4.5,14,29.444,38.0,0.654,29,26,1.141,3
7.461,10,0,4,9,64.318,57,60,57.512,26,0,0.0,12,37.864,42.0,0.63,34,31,1.128,7
6.762,15,0,3,6,71.062,63,67,62.29,33,0,0.0,9,40.995,39.0,0.597,34,30,1.128,5
8.049,8,0,4,5,59.77,53,56,52.454,26,0,0.0,14,34.853,39.0,0.615,30,27,1.128,4
6.301,6,0,3,10,64.823,58,61,59.182,23,0,0.0,19,40.006,50.0,0.669,38,35,1.118,9
7.886,9,0,2,5,50.487,45,48,44.771,22,0,0.0,9,30.182,31.0,0.621,26,23,1.122,3
6.158,8,0,2,5,57.903,52,56,51.654,24,0,0.0,15,35.944,40.0,0.643,32,28,1.114,3
7.276,9,0,2,5,61.318,55,59,54.538,26,0,0.0,15,37.705,41.0,0.636,33,29,1.115,4
7.42,10,0,2,5,64.733,58,62,57.421,28,0,0.0,15,39.466,42.0,0.629,34,30,1.116,5
7.824,5,0,4,5,49.524,44,47,43.803,20,0,0.0,14,29.569,36.0,0.637,27,24,1.126,3
8.222,4,1,4,6,46.449,41,44,41.432,17,1,2.4,14,27.745,36.0,0.655,27,24,1.133,3
9.0,4,1,4,6,46.449,41,44,41.432,17,1,2.4,14,27.745,36.0,0.655,27,24,1.133,3
8.461,6,0,4,5,52.939,47,50,46.687,22,0,0.0,14,31.33,37.0,0.629,28,25,1.126,3
8.35,6,0,4,5,52.939,47,50,46.687,22,0,0.0,14,31.33,37.0,0.629,28,25,1.126,3
8.35,5,0,4,5,49.524,44,47,43.803,20,0,0.0,14,29.569,36.0,0.637,27,24,1.126,3
5.538,0,0,2,3,25.452,23,25,23.182,8,0,0.0,12,16.75,25.0,0.71,17,15,1.107,0
7.347,13,0,2,5,64.148,57,60,56.305,30,0,0.0,9,37.228,35.0,0.597,30,27,1.125,6
7.004,3,0,1,4,29.913,27,29,27.251,11,0,0.0,9,19.369,23.0,0.677,18,16,1.108,0
7.149,13,0,2,5,64.148,57,60,56.305,30,0,0.0,9,37.228,35.0,0.597,30,27,1.125,5
7.538,10,0,2,6,55.112,49,52,48.982,24,0,0.0,9,32.398,33.0,0.616,28,25,1.125,4
7.398,11,0,2,6,58.527,52,55,51.865,26,0,0.0,9,34.159,34.0,0.61,29,26,1.126,5
7.753,8,0,4,5,59.77,53,56,52.454,26,0,0.0,14,34.853,39.0,0.615,30,27,1.128,4
7.921,8,0,4,5,59.77,53,56,52.454,26,0,0.0,14,34.853,39.0,0.615,30,27,1.128,4
8.699,4,1,4,6,46.449,41,44,41.432,17,1,2.4,14,27.745,36.0,0.655,27,24,1.133,3
7.585,4,0,4,6,46.053,41,44,41.243,17,1,2.4,14,28.665,36.0,0.666,27,24,1.123,3
7.678,5,0,4,5,49.524,44,47,43.803,20,0,0.0,14,29.569,36.0,0.637,27,24,1.126,3
8.35,5,0,4,5,49.524,44,47,43.803,20,0,0.0,14,29.569,36.0,0.637,27,24,1.126,3
7.409,9,0,2,5,50.487,45,48,44.771,22,0,0.0,9,30.182,31.0,0.621,26,23,1.122,2
7.602,10,0,2,5,53.903,48,51,47.654,24,0,0.0,9,31.944,32.0,0.614,27,24,1.123,3
7.252,11,0,2,5,57.318,51,54,50.538,26,0,0.0,9,33.705,33.0,0.607,28,25,1.124,4
8.16,6,0,4,5,52.939,47,50,46.687,22,0,0.0,14,31.33,37.0,0.629,28,25,1.126,3
7.553,8,0,2,5,47.072,42,45,41.887,20,0,0.0,9,28.421,30.0,0.629,25,22,1.121,2
8.461,4,1,4,6,46.449,41,44,41.432,17,1,2.4,14,27.745,36.0,0.655,27,24,1.133,3
7.097,8,0,2,5,47.072,42,45,41.887,20,0,0.0,9,28.421,30.0,0.629,25,22,1.121,2
8.523,4,0,4,5,46.109,41,44,40.92,18,0,0.0,14,27.807,35.0,0.646,26,23,1.125,3
7.444,4,0,4,5,46.109,41,44,40.92,18,0,0.0,14,27.807,35.0,0.646,26,23,1.125,3
7.959,7,0,4,5,56.355,50,53,49.571,24,0,0.0,14,33.091,38.0,0.621,29,26,1.127,4
7.886,7,0,4,5,56.355,50,53,49.571,24,0,0.0,14,33.091,38.0,0.621,29,26,1.127,4
8.398,5,0,4,5,49.524,44,47,43.803,20,0,0.0,14,29.569,36.0,0.637,27,24,1.126,3
7.377,11,0,2,5,57.318,51,54,50.538,26,0,0.0,9,33.705,33.0,0.607,28,25,1.124,4
6.569,0,0,4,5,31.448,28,30,28.385,10,0,0.0,13,19.762,29.0,0.692,20,18,1.123,2
7.77,5,0,4,6,50.734,45,48,45.131,20,0,0.0,14,30.023,37.0,0.638,28,25,1.127,4
7.509,6,0,5,6,55.438,49,52,48.789,23,0,0.0,14,32.336,38.0,0.624,29,26,1.131,4
8.495,5,0,4,5,49.524,44,47,43.803,20,0,0.0,14,29.569,36.0,0.637,27,24,1.126,3
6.886,1,0,3,4,35.78,32,34,32.051,13,0,0.0,14,22.279,30.0,0.669,21,19,1.118,3
7.0,0,0,3,5,32.309,29,31,29.491,10,1,3.4,14,21.375,30.0,0.714,21,19,1.114,2
7.854,0,0,3,5,32.309,29,31,29.491,10,1,3.4,14,21.375,30.0,0.714,21,19,1.114,2
7.854,3,2,4,7,45.788,40,42,40.945,16,2,5.0,14,26.682,35.0,0.656,26,24,1.145,5
8.174,4,0,4,5,48.524,43,45,42.803,20,0,0.0,14,28.569,34.0,0.628,25,23,1.128,5
8.432,3,0,4,5,45.109,40,42,39.92,18,0,0.0,14,26.807,33.0,0.637,24,22,1.128,4
7.796,4,0,4,5,48.524,43,45,42.803,20,0,0.0,14,28.569,34.0,0.628,25,23,1.128,4
8.229,6,0,5,6,57.853,51,53,50.672,25,0,0.0,14,33.097,37.0,0.61,28,26,1.134,7
8.367,3,0,4,5,45.109,40,42,39.92,18,0,0.0,14,26.807,33.0,0.637,24,22,1.128,5
8.276,2,0,4,5,41.694,37,39,37.036,16,0,0.0,14,25.046,32.0,0.648,23,21,1.127,4
8.658,3,0,4,5,42.694,38,41,38.036,16,0,0.0,14,26.046,34.0,0.657,25,22,1.124,2
7.149,0,0,4,5,31.448,28,30,28.385,10,0,0.0,13,19.762,29.0,0.692,20,18,1.123,2
8.432,3,0,4,5,45.109,40,42,39.92,18,0,0.0,14,26.807,33.0,0.637,24,22,1.128,4
8.319,5,0,4,5,49.524,44,47,43.803,20,0,0.0,14,29.569,36.0,0.637,27,24,1.126,4
8.678,3,1,4,6,45.449,40,42,40.432,17,1,2.5,14,26.745,34.0,0.647,25,23,1.136,5
8.62,5,0,4,5,49.524,44,47,43.803,20,0,0.0,14,29.569,36.0,0.637,27,24,1.126,3
6.699,3,0,4,5,45.109,40,42,39.92,18,0,0.0,14,26.807,33.0,0.637,24,22,1.128,5
8.721,6,0,4,5,52.939,47,50,46.687,22,0,0.0,14,31.33,37.0,0.629,28,25,1.126,4
8.854,3,0,4,5,42.694,38,41,38.036,16,0,0.0,14,26.046,34.0,0.657,25,22,1.124,2
8.509,4,0,4,5,46.109,41,44,40.92,18,0,0.0,14,27.807,35.0,0.646,26,23,1.125,3
8.495,5,0,4,5,49.524,44,47,43.803,20,0,0.0,14,29.569,36.0,0.637,27,24,1.126,3
8.046,5,0,4,5,49.524,44,47,43.803,20,0,0.0,14,29.569,36.0,0.637,27,24,1.126,3
7.62,0,0,3,5,32.309,29,31,29.491,10,1,3.4,14,21.375,30.0,0.714,21,19,1.114,2
6.699,7,2,3,11,55.878,49,51,50.996,19,2,4.1,12,32.665,40.0,0.66,32,30,1.14,7
6.0,10,0,6,11,65.899,58,61,58.832,26,0,0.0,11,38.114,43.0,0.628,35,32,1.136,6
6.097,10,0,7,12,65.272,57,60,58.302,25,0,0.0,10,36.165,43.0,0.622,35,32,1.145,6
5.301,8,0,3,7,62.9,56,59,56.334,25,0,0.0,16,37.21,44.5,0.638,34,31,1.123,6
6.507,0,0,2,3,25.452,23,25,23.182,8,0,0.0,12,16.75,25.0,0.71,17,15,1.107,0
6.398,8,0,3,7,62.9,56,59,56.334,25,0,0.0,16,37.21,44.5,0.638,34,31,1.123,6
5.523,12,0,6,8,63.976,56,59,55.985,28,0,0.0,8,35.319,37.0,0.596,31,28,1.142,6
6.046,10,0,7,11,68.478,60,63,60.858,27,0,0.0,12,38.472,45.0,0.621,36,33,1.141,6
6.301,6,0,3,9,50.518,45,47,46.084,18,1,2.2,12,31.432,37.0,0.67,29,27,1.123,6
4.658,0,0,1,8,48.122,44,47,45.353,13,4,9.1,23,35.386,46.5,0.77,34,31,1.094,4
7.377,5,0,4,5,42.694,38,42,38.036,16,0,0.0,12,26.046,34.0,0.657,26,22,1.124,1
7.26,0,0,3,4,32.365,29,31,29.167,11,0,0.0,14,20.517,29.0,0.686,20,18,1.116,2
7.538,8,0,2,4,48.567,43,45,42.694,22,0,0.0,9,27.534,28.0,0.599,23,21,1.129,4
7.602,8,0,4,5,50.939,45,48,44.687,22,0,0.0,10,29.33,32.5,0.612,26,23,1.132,2
8.036,13,0,2,5,75.268,67,71,66.323,34,0,0.0,15,43.557,45.0,0.606,37,33,1.123,7
8.003,6,0,7,8,59.019,52,56,52.109,23,0,0.0,15,34.586,43.0,0.636,33,29,1.135,5
6.0,2,0,1,3,23.578,21,22,21.291,9,0,0.0,7,13.96,17.0,0.646,13,12,1.123,2
7.167,3,0,2,4,44.737,40,42,39.927,18,0,0.0,15,27.012,32.0,0.642,24,22,1.118,3
8.553,7,0,3,4,54.856,49,53,48.469,23,0,0.0,15,33.086,39.0,0.634,30,26,1.12,3
6.569,0,0,1,3,19.795,18,19,18.309,6,1,5.6,9,14.097,18.0,0.741,13,12,1.1,0
6.051,0,0,1,2,30.784,28,30,27.847,11,0,0.0,15,20.267,27.0,0.692,19,17,1.099,1
6.0,1,0,3,4,24.95,22,23,22.284,9,0,0.0,8,14.756,20.0,0.653,14,13,1.134,1
4.26,0,0,1,3,17.795,16,16,16.309,6,1,6.3,7,12.097,14.0,0.709,10,10,1.112,1
4.721,1,0,1,2,21.369,19,19,18.964,9,0,0.0,7,12.506,14.0,0.623,10,10,1.125,1
7.284,1,0,2,4,23.661,21,22,21.509,8,0,0.0,8,14.205,19.0,0.669,14,13,1.127,0
4.77,1,0,1,3,22.578,20,20,20.291,9,0,0.0,7,12.96,15.0,0.628,11,11,1.129,2
4.921,0,0,2,3,19.036,17,18,17.298,6,0,0.0,8,11.989,17.5,0.695,12,11,1.12,0
5.071,3,0,1,4,26.937,24,25,24.498,10,1,4.2,7,16.58,19.0,0.663,15,14,1.122,1
6.796,3,0,1,2,25.784,23,24,22.847,11,0,0.0,7,15.267,17.0,0.625,13,12,1.121,0
4.699,0,1,1,3,18.293,16,16,16.593,6,1,6.3,7,10.682,14.0,0.669,10,10,1.143,1
4.966,11,0,2,4,54.398,48,50,47.461,26,0,0.0,7,30.057,28.0,0.579,24,22,1.133,6
8.222,0,0,3,5,33.575,30,32,30.494,11,0,0.0,14,20.972,30.0,0.687,21,19,1.119,2
