pXC50,ATS6i,ATSC1s,ATSC2s,ATSC3s,ATSC5e,ATSC5s,ATSC6s,CATS2D_02_DA,CATS2D_07_DA,DELS,Eig03_EA.dm.,Eig04_EA.dm.,Eig10_EA,Eig12_AEA.ed.,Eig13_AEA.dm.,Eta_F_A,GATS5p,MATS4p,MAXDN,Me,MPC03,MPC04,O.,ON0V,piPC08,P_VSA_e_5,P_VSA_LogP_5,P_VSA_m_3,SdO,SdssC,SM04_AEA.dm.,SpMax2_Bh.s.,SpMax4_Bh.s.,SpMax6_Bh.s.,SpMax7_Bh.s.,SpMax7_Bh.v.,SssS,TIE,ATS1m,ATS1p,ATS1v,ATS2e,ATS3m,ATS4m,ATS4v,ATS5p,ATS5v,ATS6e,ATS6s,ATS7i,ATS7m,ATS8m,ATS8p,ATS8s,ATS8v,ATSC5i,ATSC5p,ATSC7m,ATSC7p,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BBI,BID,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Chi0_EA.ri.,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,Chi1_EA.bo.,Chi1_EA.ri.,CID,CSI,D.Dtr04,Dz,ECC,Eig05_EA,Eig06_AEA.bo.,Eig06_AEA.ri.,Eig06_EA,Eig06_EA.bo.,Eig06_EA.ed.,Eig06_EA.ri.,Eig08_AEA.bo.,Eig08_AEA.dm.,Eig08_AEA.ed.,Eig08_AEA.ri.,Eig08_EA,Eig08_EA.ed.,Eig08_EA.ri.,Eig09_AEA.dm.,Eig09_AEA.ed.,Eig09_EA.ed.,Eig10_AEA.ed.,Eig12_AEA.bo.,Eig13_AEA.ed.,Eig14_AEA.dm.,Eig14_AEA.ri.,Eig14_EA,Eig14_EA.bo.,Eig14_EA.ri.,Eig15_AEA.dm.,Eta_alpha,Eta_C,Eta_epsi,Eta_L,GGI7,GMTI,GMTIV,HDcpx,IDDM,IDET,IDM,IDMT,IVDM,LPRS,MATS1m,MDDD,MPC01,MPC02,MPC05,MPC06,MSD,MW,MWC01,MWC02,MWC03,MWC04,MWC05,nBO,nHet,nSK,ON1,Psi_e_0,Psi_e_1,Psi_i_1,P_VSA_MR_1,RDCHI,RDSQ,S0K,S3K,SAtot,Se,SM02_AEA.dm.,SM02_EA,SM02_EA.ri.,SM03_AEA.ri.,SM03_EA.bo.,SM04_AEA.ri.,SM05_EA.bo.,SM08_AEA.dm.,SM13_AEA.bo.,SM14_AEA.bo.,SM15_AEA.dm.,SMTI,SMTIV,Sp,SpAD_AEA.bo.,SpAD_AEA.dm.,SpAD_AEA.ed.,SpAD_AEA.ri.,SpAD_EA,SpAD_EA.ed.,SpAD_EA.ri.,SpMax3_Bh.m.,SpMax4_Bh.e.,SpMax4_Bh.i.,SpMax5_Bh.e.,SpMax5_Bh.i.,SpMax5_Bh.v.,SpMaxA_AEA.bo.
4.481,4.923,37.96,84.989,105.655,1.481,225.096,161.755,3,2,58.841,2.373,1.984,1.263,3.27,1.205,0.994,1.043,-0.135,2.986,1.048,4.143,4.431,14.9,8.967,5.82,165.482,48.062,165.482,48.045,-3.306,1.263,7.436,7.423,5.165,4.902,2.907,1.246,98.858,3.826,3.496,3.498,4.487,4.223,4.358,3.98,3.92,3.957,4.766,6.213,4.88,4.152,4.091,3.724,6.149,3.674,1.275,9.125,32.895,9.596,1.065,1.041,25.17,8.171,182.257,7.523,46,3.441,19.629,19.629,19.629,19.629,19.629,20.376,15.716,15.716,15.716,15.716,15.716,12.887,16.912,4.111,717.0,62.102,69.5,347.0,2.232,3.252,2.92,1.955,2.324,5.139,1.869,2.856,2.742,4.602,2.498,1.572,4.548,1.41,2.559,4.576,4.078,3.857,2.049,3.115,1.203,1.258,0.351,0.447,0.313,0.697,14.0,28.899,34.0,7.465,0.644,10633.0,45088.0,1.731,4.875,1593.18,8.523,22023.2,4.796,153.806,0.023,31.436,3.497,3.85,4.625,4.745,6.841,455.52,3.497,5.056,5.922,6.832,7.731,32,14,30,6.667,11.205,4.987,16.017,153.024,3.952,264.677,147.207,4.694,534.537,49.255,1.572,4.533,4.403,4.548,4.868,4.078,7.746,0.351,2.232,1.955,5.139,10696.0,22137.0,32.074,49.681,54.782,51.943,48.381,48.525,144.468,45.2,3.615,3.502,3.525,3.407,3.437,3.204,0.144
4.071,4.811,28.452,64.052,97.812,1.138,211.039,138.117,2,1,47.698,2.083,1.97,0.796,2.863,0.459,0.873,0.932,-0.129,2.723,1.025,4.06,4.344,11.4,8.017,5.363,160.801,3.186,160.801,36.161,-1.999,0.796,7.432,6.471,5.002,4.548,2.697,1.353,80.439,3.575,3.425,3.406,4.427,4.102,4.125,3.905,3.75,3.701,4.577,5.899,4.543,3.615,3.563,3.484,5.808,3.415,1.142,8.526,20.239,6.49,0.65,0.786,19.142,6.081,127.808,6.938,42,3.267,15.8,15.8,15.8,15.8,15.8,16.122,13.24,13.24,13.24,13.24,13.24,11.391,13.828,3.93,537.0,50.636,56.5,255.0,2.226,3.276,2.885,1.903,2.483,5.493,1.854,2.511,2.225,4.725,2.318,1.369,4.207,1.282,1.86,3.831,2.275,3.492,1.019,2.736,0.366,0.337,-0.637,-0.718,-0.604,0.15,11.7,24.765,28.5,6.594,0.446,6572.0,22912.0,1.68,4.616,1036.7,7.981,12378.6,4.504,120.047,0.01,20.33,3.332,3.761,4.533,4.644,5.976,365.45,3.332,4.934,5.82,6.76,7.675,27,9,25,5.264,9.399,4.38,14.718,94.169,3.517,210.357,110.096,3.038,480.909,45.087,1.369,4.443,4.354,4.207,4.771,2.275,7.509,-0.637,2.226,1.903,5.493,6569.0,12331.0,29.029,43.193,46.498,45.598,42.377,42.285,135.428,40.448,3.554,3.432,3.479,3.279,3.286,3.031,0.174
4.523,4.851,31.09,91.388,116.107,1.333,249.86,162.48,3,2,53.502,2.377,1.984,1.0,3.118,0.795,0.929,0.934,-0.122,2.986,1.03,4.094,4.419,13.6,8.183,5.588,185.946,3.186,185.946,47.944,-3.721,1.0,7.472,7.421,6.35,4.74,2.715,1.286,89.75,3.604,3.448,3.433,4.432,4.131,4.264,3.969,3.81,3.804,4.647,5.992,4.576,3.848,3.653,3.546,5.82,3.489,1.189,9.056,20.681,6.905,0.674,0.802,19.737,6.755,140.011,7.101,43,3.305,16.56,16.56,16.56,16.56,16.56,16.834,13.774,13.774,13.774,13.774,13.774,11.736,14.256,3.968,519.0,53.163,59.0,248.0,2.16,3.276,2.862,1.86,2.38,4.988,1.836,2.747,2.225,4.553,2.391,1.409,3.882,1.344,1.864,3.802,2.982,3.633,1.533,2.863,0.465,0.337,-0.636,-0.729,-0.605,0.445,12.133,25.676,29.267,6.699,0.477,6931.0,25120.0,1.694,4.676,1097.03,8.118,13403.2,4.565,125.497,0.016,20.462,3.367,3.784,4.554,4.663,5.796,378.44,3.367,4.963,5.849,6.795,7.708,28,9,26,5.542,9.846,4.651,15.153,105.94,3.547,224.659,116.211,3.166,495.314,45.313,1.409,4.466,4.393,3.882,4.758,2.982,7.482,-0.636,2.16,1.86,4.988,6956.0,13320.0,29.477,44.739,47.84,46.548,43.69,43.58,138.432,42.078,3.564,3.482,3.502,3.281,3.29,3.033,0.167
3.839,5.289,20.774,61.96,75.471,0.889,146.366,125.393,1,2,46.937,1.94,1.437,0.803,3.161,0.752,0.71,1.166,-0.049,2.786,1.014,4.127,4.443,9.8,9.967,5.576,160.801,0.0,160.801,36.249,-0.727,0.803,7.429,6.45,4.459,4.33,2.819,1.446,86.438,3.625,3.512,3.478,4.618,4.213,4.237,4.058,4.102,4.018,5.048,6.05,5.225,3.748,3.547,3.537,5.863,3.503,1.466,10.937,45.536,11.325,0.747,0.863,24.346,6.362,113.591,8.822,43,3.305,16.535,16.535,16.535,16.535,16.535,16.965,13.714,13.714,13.714,13.714,13.714,12.521,14.411,3.967,515.0,53.754,58.5,248.0,2.246,3.096,2.923,1.977,2.106,5.837,1.857,2.622,2.238,4.617,2.343,1.377,4.044,1.306,1.938,4.143,2.852,3.649,1.588,2.959,0.434,0.269,-0.726,-0.776,-0.668,0.3,12.2,31.252,31.0,8.099,0.435,6758.0,20839.0,1.695,4.67,1102.69,8.116,13407.9,4.561,125.415,0.043,22.473,3.367,3.784,4.644,4.796,5.81,383.52,3.367,4.963,5.861,6.801,7.731,28,9,26,5.583,9.817,4.478,15.888,188.338,3.53,225.991,120.211,3.208,529.955,51.738,1.377,4.466,4.374,4.044,4.691,2.852,7.468,-0.726,2.246,1.977,5.837,6883.0,12168.0,32.313,44.624,48.591,47.558,44.004,43.842,138.849,41.78,3.607,3.519,3.581,3.307,3.334,3.081,0.169
4.638,4.905,40.862,92.315,108.458,1.543,225.687,175.927,4,3,57.119,2.192,1.984,1.094,3.115,1.205,1.024,1.135,-0.111,3.02,1.053,4.111,4.394,17.8,8.183,5.776,174.989,54.311,174.989,47.572,-3.986,1.094,7.443,7.423,5.114,4.919,2.906,1.213,90.7,3.733,3.4,3.444,4.449,4.163,4.301,3.933,3.845,3.909,4.752,6.177,4.795,4.063,3.886,3.578,6.126,3.568,1.167,8.043,25.052,7.728,1.118,0.893,21.096,6.833,184.855,7.548,44,3.408,19.181,19.181,19.181,19.181,19.181,19.647,15.233,15.233,15.233,15.233,15.233,12.476,15.973,4.08,654.0,59.517,68.0,316.0,2.151,3.252,2.914,1.955,2.324,5.043,1.856,2.849,2.586,4.584,2.492,1.571,4.377,1.403,2.558,4.003,3.149,3.549,2.048,3.0,0.849,1.257,0.316,0.408,0.291,0.655,13.1,25.791,33.1,6.888,0.625,9726.0,41359.0,1.723,4.826,1467.32,8.425,19790.6,4.756,146.89,0.018,29.655,3.466,3.807,4.575,4.7,6.658,424.43,3.466,5.017,5.883,6.79,7.689,31,13,29,6.5,10.815,4.826,15.272,141.253,3.898,252.15,140.881,4.326,500.191,47.404,1.571,4.489,4.401,4.377,4.758,3.149,7.647,0.316,2.151,1.955,5.043,9763.0,20240.0,29.875,47.872,52.614,49.482,46.666,46.662,137.649,44.537,3.569,3.474,3.499,3.391,3.417,3.128,0.149
4.886,4.593,26.004,59.454,69.987,0.872,154.153,78.973,2,2,36.267,1.437,0.849,0.141,2.0,-0.064,0.667,1.065,-0.159,2.769,1.024,3.761,4.078,10.8,6.467,5.056,135.657,16.786,135.657,23.276,-0.683,0.141,7.427,6.351,4.404,4.234,2.338,1.378,60.244,3.374,3.204,3.177,4.234,3.821,3.924,3.622,3.569,3.478,4.354,5.429,4.309,3.275,2.882,2.951,5.423,2.895,0.872,7.053,17.992,4.705,0.565,0.501,14.913,3.492,87.331,4.877,30,3.058,13.096,13.096,13.096,13.096,13.096,13.557,10.308,10.308,10.308,10.308,10.308,8.963,10.998,3.704,350.0,40.087,45.5,173.0,1.714,2.703,2.383,1.413,1.651,3.294,1.343,2.082,1.662,3.283,1.84,0.906,1.799,0.834,0.957,3.089,0.43,2.461,0.439,1.88,-0.369,-0.102,-1.0,-1.397,-0.994,-0.604,9.367,19.451,23.633,5.938,0.238,3196.0,11845.0,1.622,4.28,608.633,7.342,6189.67,4.201,88.123,0.016,17.2,3.091,3.434,4.234,4.407,5.078,299.39,3.091,4.635,5.509,6.435,7.353,21,8,20,4.556,7.468,3.297,11.361,94.169,3.121,145.393,86.439,2.737,406.613,37.876,0.906,4.111,4.003,1.799,4.29,0.43,7.132,-1.0,1.714,1.413,3.294,3426.0,6643.0,23.813,32.062,35.044,34.828,31.453,31.458,94.624,29.624,3.442,3.262,3.301,3.198,3.258,2.96,0.222
5.523,4.724,21.242,51.195,69.276,1.029,188.192,109.446,2,0,40.655,1.976,1.437,0.802,2.682,0.658,0.883,0.988,-0.168,2.795,1.021,3.989,4.234,9.8,7.317,5.52,118.118,6.371,118.118,35.967,-1.345,0.802,7.432,6.351,4.69,4.414,2.712,1.432,65.602,3.531,3.391,3.367,4.332,4.045,4.018,3.826,3.706,3.681,4.495,5.774,4.448,3.477,3.498,3.409,5.637,3.326,1.102,8.016,18.409,5.908,0.443,0.724,16.463,5.747,84.775,6.713,38,3.229,15.742,15.742,15.742,15.742,15.742,16.02,12.754,12.754,12.754,12.754,12.754,10.499,13.225,3.898,484.0,44.808,53.5,229.0,1.942,2.915,2.528,1.559,2.045,4.535,1.506,2.5,1.906,3.826,2.253,1.277,3.103,1.232,1.756,3.562,2.136,3.247,1.0,2.579,0.359,0.237,-0.75,-0.964,-0.738,0.127,11.367,21.348,26.433,6.106,0.396,5960.0,19751.0,1.67,4.558,935.645,7.868,10882.1,4.478,113.483,0.02,18.771,3.296,3.664,4.431,4.477,5.767,347.43,3.296,4.86,5.74,6.65,7.555,26,8,24,5.25,8.99,4.076,13.854,153.024,3.503,196.035,106.039,2.982,433.947,41.876,1.277,4.344,4.273,3.103,4.59,2.136,7.418,-0.75,1.942,1.559,4.535,5909.0,10857.0,27.813,40.622,44.159,42.55,39.781,39.749,120.09,38.338,3.542,3.424,3.469,3.218,3.219,2.976,0.177
3.523,5.275,22.475,61.782,71.899,1.282,182.207,126.874,3,0,51.238,1.984,1.437,1.356,3.618,1.353,0.908,1.027,0.02,2.784,1.023,4.277,4.575,8.8,10.633,5.953,129.337,37.062,129.337,37.808,-1.501,1.356,7.433,6.351,4.902,4.469,2.926,1.458,89.385,3.897,3.668,3.639,4.727,4.306,4.414,4.182,4.217,4.173,5.075,6.296,5.216,4.248,4.146,3.949,6.216,3.854,1.699,12.526,45.66,12.799,1.032,1.329,38.859,10.69,167.987,12.3,52,3.503,21.129,21.129,21.129,21.129,21.129,21.917,17.195,17.195,17.195,17.195,17.195,14.702,18.504,4.185,801.0,65.718,72.0,375.0,2.393,3.232,2.918,1.964,2.296,5.681,1.862,2.853,2.741,4.783,2.5,1.57,4.591,1.418,2.514,4.591,4.078,3.858,2.198,3.535,1.203,1.542,0.618,0.618,0.574,0.744,15.233,34.939,36.667,8.851,0.762,13425.0,41315.0,1.747,4.971,1832.39,8.71,26383.0,4.896,167.133,0.055,33.457,3.584,3.97,4.736,4.875,7.037,481.64,3.584,5.165,6.043,6.967,7.87,35,13,32,6.958,11.997,5.381,18.903,200.109,4.146,301.077,156.0,4.562,591.735,58.294,1.57,4.654,4.522,4.591,4.956,4.078,7.837,0.618,2.393,1.964,5.681,12984.0,23073.0,37.835,54.427,59.157,56.86,53.425,53.456,164.195,49.815,3.817,3.563,3.593,3.417,3.452,3.217,0.132
4.699,4.655,14.53,52.755,71.481,0.958,181.22,98.738,2,0,36.824,2.01,1.953,0.524,2.863,0.456,0.786,0.935,-0.112,2.674,1.016,3.951,4.277,9.8,7.733,5.282,118.118,3.186,118.118,35.816,-1.555,0.524,7.432,6.351,4.372,4.044,2.66,1.424,63.171,3.498,3.393,3.354,4.364,3.958,4.024,3.798,3.628,3.577,4.418,5.633,4.324,3.42,3.401,3.382,5.667,3.283,1.023,7.961,14.316,5.563,0.508,0.691,17.299,5.905,101.938,6.595,38,3.189,14.8,14.8,14.8,14.8,14.8,15.066,12.338,12.338,12.338,12.338,12.338,10.52,12.813,3.855,464.0,44.915,51.0,219.0,2.09,2.865,2.452,1.474,2.005,4.487,1.438,2.5,1.861,3.793,2.264,1.286,2.983,1.24,1.561,3.566,2.136,3.247,0.813,2.513,0.249,0.035,-1.0,-1.0,-0.969,0.061,10.967,22.145,25.633,6.181,0.319,5390.0,16930.0,1.656,4.495,853.56,7.736,9646.32,4.403,107.323,0.041,18.665,3.258,3.664,4.443,4.522,5.696,334.43,3.258,4.844,5.72,6.661,7.569,25,7,23,4.875,8.64,3.949,13.796,117.711,3.432,185.383,98.042,2.857,440.881,41.658,1.286,4.344,4.262,2.983,4.59,2.136,7.295,-1.0,2.09,1.474,4.487,5349.0,9570.0,27.568,39.432,42.45,40.748,38.671,38.66,121.187,37.199,3.539,3.385,3.425,3.277,3.279,3.03,0.188
4.046,4.88,15.019,43.006,57.926,1.007,164.052,87.023,2,0,39.456,1.956,1.437,1.114,3.247,1.0,0.888,0.939,-0.102,2.784,1.019,4.111,4.407,8.7,8.067,6.171,118.118,21.28,118.118,36.756,-0.999,1.114,7.432,6.351,4.662,4.37,2.812,1.482,65.539,3.759,3.581,3.534,4.465,4.118,4.212,3.954,3.964,3.915,4.693,5.93,4.721,4.079,3.83,3.698,5.95,3.611,1.337,10.398,27.13,9.498,0.613,1.007,22.789,8.497,107.488,8.934,44,3.375,18.913,18.913,18.913,18.913,18.913,19.496,15.329,15.329,15.329,15.329,15.329,12.199,16.28,4.066,691.0,54.663,61.5,318.0,2.108,3.252,2.905,1.95,2.352,5.36,1.853,2.831,2.408,4.608,2.398,1.425,4.094,1.371,1.907,3.61,3.022,3.584,2.118,3.0,0.68,1.075,0.143,0.16,0.131,0.618,13.7,25.533,29.8,7.177,0.613,10068.0,31574.0,1.711,4.772,1376.85,8.309,18112.8,4.736,140.663,0.045,29.908,3.466,3.807,4.595,4.7,6.689,416.54,3.466,5.017,5.883,6.786,7.678,31,9,28,6.111,10.483,4.701,16.553,188.338,4.009,244.97,130.606,3.99,489.272,46.894,1.425,4.489,4.377,4.094,4.663,3.022,7.534,0.143,2.108,1.95,5.36,9559.0,17067.0,32.841,47.505,50.709,48.121,46.61,46.694,136.235,44.034,3.848,3.563,3.59,3.345,3.37,3.169,0.149
