pXC50,SpMin3_Bh.i.,SpMin4_Bh.m.,SpMin6_Bh.v.,ATS2i,SpMin4_Bh.e.,SpMin5_Bh.i.,SpMin3_Bh.e.,SpMax5_Bh.i.,SpMin4_Bh.v.,SpMin6_Bh.m.,SpMin8_Bh.e.,SpMin4_Bh.i.,SpMin3_Bh.p.,Mp,SpMax5_Bh.p.,SpMin5_Bh.v.,SpMax5_Bh.e.,SpMax5_Bh.v.,TIC2,SpMin4_Bh.s.,TIC3,SpMax3_Bh.p.,ATS1i,SpMin3_Bh.v.,SpMin5_Bh.e.,SpMax3_Bh.v.,MDDD,SpMin8_Bh.m.,CSI,IDMT,SpMin6_Bh.e.,Chi1_EA.ed.,SpMin5_Bh.p.,Si,Eta_betaS,TIC1,AECC,nBT,SpMin8_Bh.v.,ATS2e,UNIP,ECC,Eig11_EA.bo.,ATS5i,Xu,Chi1_EA.ri.,nH,RDCHI,SpMin6_Bh.p.,ATS3e,P_VSA_m_2,SpMin4_Bh.p.,ATS3i,SpMax6_Bh.i.,VAR,ON1,SpMax4_Bh.i.,LPRS,ON0V,Chi0_EA.ed.,ISIZ,nAT,SpMin8_Bh.i.,SpMin3_Bh.s.,ATS1e,SpMin7_Bh.v.,ON1V,CIC0,Sv,SssNH
4.301,1.717,1.647,1.515,4.804,1.489,1.18,1.731,3.353,1.669,1.558,1.138,1.464,1.884,0.67,3.089,1.539,3.331,3.125,283.037,0.672,305.792,3.675,4.298,1.859,1.22,3.695,36.469,1.437,944.0,37227.7,1.191,5.913,1.525,66.405,24.25,238.282,12.135,62,1.438,4.682,153,449.0,1.802,5.371,32.738,20.064,22,4.197,1.511,4.861,234.935,1.682,4.943,3.315,168,8.278,3.584,198.81,12.05,13.45,347.076,59,1.069,0.922,4.212,1.492,3.022,4.173,39.545,0.0
4.836,1.461,1.541,1.133,4.44,1.282,1.011,1.526,3.18,1.492,1.129,0.578,1.231,1.71,0.676,2.891,1.401,3.087,2.88,160.385,0.771,177.995,3.385,3.836,1.727,1.105,3.385,10.0,0.906,278.0,5029.08,0.925,3.579,1.354,41.239,12.75,121.556,6.25,40,0.89,4.28,50,125.0,-0.221,4.998,18.793,11.616,17,3.079,1.141,4.594,82.005,1.467,4.765,2.994,42,4.222,3.336,84.092,6.85,7.628,192.75,37,0.521,0.892,3.732,0.97,2.258,3.81,23.665,0.0
4.301,1.293,1.417,1.114,4.208,0.934,0.804,1.345,2.975,1.308,1.07,0.115,0.839,1.581,0.608,2.64,1.134,2.875,2.649,129.735,0.469,136.49,3.192,3.66,1.59,0.883,3.194,9.333,0.686,204.0,2594.56,0.808,2.633,1.151,36.448,8.75,106.516,7.067,32,0.676,4.023,38,106.0,-1.415,4.508,15.329,7.673,17,2.633,1.118,4.329,69.381,1.239,4.549,2.939,35,3.389,3.009,59.332,5.767,5.561,160.0,32,0.016,0.792,3.538,0.895,1.799,3.509,18.38,3.084
4.301,0.965,1.181,0.828,3.814,0.886,0.742,1.028,2.925,1.107,0.854,0.0,0.821,1.335,0.685,2.626,1.072,2.854,2.675,94.042,0.181,94.042,2.894,3.387,1.328,0.801,2.913,6.898,0.381,181.0,1908.95,0.439,2.694,1.062,25.95,9.0,79.777,6.214,24,0.254,3.67,31,87.0,-1.525,3.933,14.085,7.547,9,2.646,0.804,3.875,137.097,1.113,4.051,2.59,26,3.139,2.99,52.509,3.95,5.667,104.042,23,0.0,0.218,3.26,0.723,1.168,2.891,15.359,2.566
4.301,1.522,1.517,1.107,4.245,1.264,0.912,1.544,3.122,1.583,1.138,0.789,1.184,1.849,0.695,2.8,1.209,3.106,2.865,124.08,0.56,148.609,3.451,3.747,1.769,0.934,3.494,14.463,0.974,341.0,7331.13,0.886,4.096,1.264,37.91,14.25,109.16,7.318,36,1.026,4.132,58,161.0,0.012,4.492,20.935,12.196,12,3.25,1.073,4.361,126.368,1.59,4.492,2.925,66,4.861,3.443,97.804,6.567,8.702,172.974,34,0.733,0.703,3.664,1.075,1.903,3.442,23.536,0.0
4.335,1.385,1.274,1.216,4.255,1.217,1.155,1.416,3.107,1.426,1.048,0.37,1.213,1.664,0.693,2.76,1.409,3.073,2.805,160.465,0.304,160.465,3.369,3.745,1.646,1.181,3.398,21.562,0.658,481.0,9606.48,0.955,4.123,1.389,37.624,14.75,132.059,10.727,34,0.75,4.142,84,236.0,-0.326,4.25,22.29,12.268,11,3.497,1.254,4.302,109.308,1.478,4.46,2.885,76,4.861,3.359,103.917,5.683,8.513,166.465,33,0.291,0.788,3.656,0.967,1.639,2.924,22.636,7.229
4.0,1.389,1.212,1.018,4.186,1.033,0.857,1.417,2.976,1.317,1.068,0.441,0.974,1.677,0.744,2.785,1.116,2.922,2.773,123.555,0.237,143.207,3.319,3.68,1.635,0.909,3.326,11.78,0.762,314.0,5292.92,0.809,3.641,1.107,33.416,13.25,101.149,7.0,33,0.788,4.088,49,140.0,-0.402,4.4,19.119,12.006,10,3.159,0.981,4.38,141.823,1.351,4.515,2.879,50,4.222,3.226,85.106,5.31,7.738,147.207,30,0.329,0.607,3.584,0.927,1.668,3.109,21.626,8.842
5.13,0.924,0.937,0.507,3.556,0.689,0.346,0.953,2.607,0.896,0.514,0.0,0.639,1.216,0.705,2.228,0.76,2.53,2.255,67.059,0.017,75.059,2.863,3.128,1.168,0.424,2.898,4.0,0.058,108.0,1037.22,0.0,2.214,0.768,20.293,7.5,55.449,4.333,19,0.069,3.452,22,52.0,-2.473,3.407,11.632,6.663,6,2.367,0.517,3.682,77.576,0.873,3.834,2.266,14,2.667,2.73,40.385,3.21,4.743,75.059,18,0.0,0.096,3.047,0.151,0.973,2.447,12.7,0.0
4.301,1.568,1.801,1.584,4.917,1.478,1.354,1.623,3.519,1.755,1.586,1.123,1.411,1.851,0.623,3.271,1.695,3.446,3.236,252.769,0.939,277.498,3.477,4.259,1.854,1.432,3.483,28.486,1.348,627.0,16396.2,1.294,5.516,1.663,66.065,17.75,179.016,11.444,59,1.396,4.716,102,309.0,1.0,5.213,26.012,15.26,31,3.816,1.575,4.887,134.73,1.732,5.116,3.428,140,6.5,3.564,134.124,10.95,11.923,339.763,58,1.047,1.04,4.132,1.429,3.729,4.259,33.486,6.414
4.301,1.48,1.568,1.166,4.497,1.246,1.083,1.553,3.171,1.488,1.239,0.734,1.213,1.762,0.654,2.914,1.439,3.077,2.867,146.256,0.727,173.866,3.471,3.873,1.79,1.182,3.445,13.333,1.029,306.0,4487.93,0.886,3.485,1.436,44.152,10.75,117.608,8.278,40,1.039,4.284,51,149.0,-0.677,4.766,18.106,9.783,21,3.02,1.121,4.582,117.112,1.449,4.85,2.925,61,4.097,3.342,76.264,7.283,7.403,206.131,39,0.626,1.055,3.721,1.107,2.615,3.854,22.993,6.857
