pXC50,Eig01_AEA.dm.,SpDiam_AEA.dm.,SpMax_AEA.dm.,NddssS,P_VSA_s_1,S.110,SddssS,SpMin1_Bh.v.,Eta_sh_x,SpMax3_Bh.v.,nSO2N,nS,P_VSA_i_1,ATSC3m,SpMax3_Bh.e.,MATS1m,SdO,CATS2D_06_AA,X3Av,X5Av,SpMin2_Bh.v.,X4Av,SpDiam_AEA.bo.,H.052,ATSC3p,Eig01_EA.bo.,SM11_AEA.ri.,SM12_EA.bo.,SM13_EA.bo.,SM14_EA.bo.,SM15_EA.bo.,SpDiam_EA.bo.,SpMax_EA.bo.,NdO,SpMax1_Bh.p.,MATS4e,SpMin1_Bh.i.,X2v,SM09_EA.bo.,SM10_EA.bo.,SM11_EA.bo.,SpMax4_Bh.p.,SpMax3_Bh.i.,nDB,SM13_EA.ed.,SM14_EA.ed.,SM15_EA.ed.,ATSC4m,GATS4e,ATS1m,SM05_EA.bo.,SM07_EA.bo.,N.068,SM06_EA.bo.,SM08_EA.bo.,SM12_AEA.ed.,SM13_AEA.ed.,SpMax3_Bh.s.,GATS4s,GATS3m,SM08_AEA.bo.,SpMax4_Bh.e.,MATS1p,Hypertens.50,SM11_AEA.ed.
7.0,3.639,5.639,3.639,0,0.0,0,0.0,2.056,0.0,3.087,0,0,0.0,10.597,3.28,-0.039,10.939,0,0.084,0.025,1.853,0.046,5.135,0,4.923,4.197,4.197,17.401,18.756,20.211,21.6,7.197,4.197,1,3.967,0.112,1.972,3.933,13.081,14.622,15.917,2.896,3.262,1,30.402,32.73,35.036,11.724,0.875,3.125,7.375,10.241,0,9.254,11.894,23.005,24.854,6.35,0.887,0.856,12.561,3.001,0.173,0,21.161
8.886,3.639,5.639,3.639,0,0.0,0,0.0,2.067,0.0,3.108,0,0,0.0,11.801,3.292,-0.032,11.006,0,0.086,0.025,1.875,0.047,5.148,0,5.55,4.204,4.204,17.483,18.84,20.29,21.678,7.204,4.204,1,3.978,0.145,1.981,4.436,13.181,14.707,16.008,3.002,3.295,1,30.432,32.759,35.065,15.803,0.783,3.175,7.504,10.353,0,9.34,11.981,23.044,24.889,6.35,0.794,0.889,12.655,3.163,0.152,0,21.205
8.585,3.639,5.639,3.639,0,0.0,0,0.0,2.066,0.0,3.125,0,0,0.0,11.801,3.301,-0.032,10.993,0,0.087,0.025,1.879,0.046,5.144,0,5.55,4.201,4.201,17.465,18.82,20.269,21.656,7.201,4.201,1,3.977,0.141,1.98,4.433,13.168,14.693,15.991,2.994,3.307,1,30.408,32.735,35.041,15.623,0.787,3.175,7.504,10.346,0,9.337,11.973,23.033,24.877,6.35,0.805,0.889,12.652,3.156,0.152,0,21.195
7.194,3.642,5.642,3.642,0,0.0,0,0.0,2.015,0.0,3.232,0,0,0.0,10.295,3.34,-0.04,10.934,0,0.082,0.023,1.936,0.044,5.057,0,4.825,4.168,4.168,17.373,18.696,20.155,21.521,7.168,4.168,1,3.934,0.118,1.934,4.183,13.056,14.629,15.875,3.009,3.33,1,30.116,32.442,34.744,10.867,1.008,3.209,7.375,10.231,0,9.342,11.941,22.791,24.63,6.35,1.049,0.901,12.697,3.175,0.169,0,20.959
6.523,3.638,5.638,3.638,0,0.0,0,0.0,2.059,0.0,3.08,0,0,0.0,9.431,3.284,-0.055,10.831,0,0.075,0.021,1.859,0.04,5.135,0,5.013,4.197,4.197,17.401,18.756,20.211,21.6,7.197,4.197,1,3.959,0.053,1.969,3.525,13.081,14.622,15.917,2.847,3.27,1,30.402,32.73,35.036,10.88,0.918,3.063,7.375,10.241,0,9.254,11.894,23.005,24.854,6.463,0.945,0.845,12.561,3.009,0.174,0,21.161
6.469,3.639,5.639,3.639,0,0.0,0,0.0,2.069,0.0,3.289,0,0,0.0,16.731,3.473,-0.017,11.105,0,0.091,0.025,1.897,0.047,5.212,3,7.17,4.202,4.202,17.504,18.858,20.304,21.69,7.202,4.202,1,3.981,0.069,1.984,5.067,13.218,14.736,16.035,3.031,3.515,1,30.482,32.799,35.097,19.929,0.797,3.33,7.565,10.402,0,9.386,12.019,23.213,25.052,6.35,0.775,0.874,12.746,3.266,0.073,0,21.379
8.678,3.639,5.639,3.639,0,0.0,0,0.0,2.076,0.0,3.452,0,0,0.0,21.354,3.597,-0.019,11.111,0,0.097,0.029,1.929,0.052,5.278,0,8.43,4.201,4.201,17.477,18.831,20.279,21.666,7.201,4.201,1,3.983,0.169,1.985,5.367,13.182,14.706,16.004,3.075,3.661,1,30.414,32.74,35.045,22.681,0.726,3.312,7.516,10.361,0,9.355,11.988,23.06,24.901,6.35,0.736,0.776,12.68,3.286,0.113,0,21.224
8.699,3.639,5.639,3.639,0,0.0,0,0.0,2.078,0.0,3.467,0,0,0.0,20.472,3.601,-0.019,11.114,0,0.092,0.028,1.935,0.052,5.246,0,8.445,4.201,4.201,17.479,18.833,20.281,21.668,7.201,4.201,1,3.985,0.193,1.987,5.861,13.187,14.71,16.007,3.051,3.658,1,30.418,32.743,35.047,25.958,0.656,3.312,7.538,10.37,0,9.363,11.993,23.077,24.916,6.35,0.661,0.851,12.707,3.278,0.113,0,21.244
7.018,3.639,5.639,3.639,0,0.0,0,0.0,2.086,0.049,3.431,0,0,0.0,19.13,3.554,-0.019,11.124,0,0.092,0.026,1.937,0.049,5.2,0,8.471,4.204,4.204,17.609,18.966,20.405,21.79,7.204,4.204,1,3.992,0.182,1.994,6.394,13.339,14.843,16.149,3.035,3.604,1,32.124,34.56,36.993,28.578,0.598,3.312,7.702,10.529,0,9.475,12.121,24.005,25.925,6.35,0.619,0.926,12.968,3.267,0.113,0,22.09
7.538,4.437,6.437,4.437,0,0.0,0,0.0,2.052,0.05,3.124,0,0,0.0,7.108,3.413,-0.043,11.005,0,0.077,0.022,1.851,0.041,5.27,0,5.591,4.201,4.201,17.506,18.857,20.3,21.684,7.201,4.201,1,3.967,-0.021,1.971,4.639,13.238,14.747,16.041,2.97,3.435,1,30.997,33.322,35.635,8.729,0.762,3.404,7.653,10.447,0,9.428,12.044,23.461,25.311,7.999,0.7,0.873,12.897,3.267,0.088,0,21.615
4.301,3.628,5.628,3.628,0,0.0,0,0.0,1.999,0.0,3.154,0,0,0.0,12.968,3.372,-0.03,22.933,0,0.075,0.022,1.765,0.04,5.254,0,5.196,4.075,4.075,17.469,18.823,20.239,21.613,7.075,4.075,2,3.881,0.16,1.882,4.318,13.24,14.718,16.032,3.025,3.393,2,30.291,32.58,34.85,15.601,0.802,3.238,7.614,10.441,0,9.374,12.007,23.083,24.921,6.469,0.919,1.121,12.753,3.23,0.074,0,21.25
4.18,3.63,5.63,3.63,0,0.0,0,0.0,2.048,0.0,3.381,0,0,0.0,15.547,3.565,0.034,23.643,1,0.082,0.024,1.935,0.045,5.284,0,6.667,4.031,4.031,17.062,18.347,19.775,21.1,7.031,4.031,2,3.944,-0.234,1.949,4.583,12.847,14.381,15.596,3.029,3.599,2,29.989,32.272,34.53,17.172,1.392,3.249,7.304,10.091,0,9.202,11.749,22.858,24.684,4.822,1.364,0.951,12.579,3.184,0.007,0,21.037
5.41,4.728,6.728,4.728,1,5.807,1,-3.692,2.066,0.083,3.512,1,1,5.807,20.927,3.657,0.212,36.193,3,0.118,0.041,1.982,0.069,5.841,0,8.899,4.767,4.767,18.853,20.381,21.933,23.477,7.767,4.767,3,4.103,-0.315,1.978,6.813,14.234,15.801,17.299,3.093,3.635,3,33.996,36.61,39.221,23.644,1.544,3.556,8.133,11.185,1,9.889,12.798,24.589,26.599,6.999,1.541,1.437,13.254,3.269,-0.062,0,22.586
4.721,3.616,5.616,3.616,0,0.0,0,0.0,2.142,0.0,3.391,0,0,0.0,15.059,3.538,-0.04,21.671,0,0.084,0.024,1.837,0.044,5.384,0,5.985,4.425,4.425,17.941,19.38,20.877,22.34,7.425,4.425,2,4.05,0.091,2.059,4.121,13.476,15.033,16.426,3.006,3.549,2,30.293,32.613,34.919,15.667,0.741,3.171,7.571,10.528,0,9.428,12.18,22.85,24.69,6.352,0.823,0.969,12.607,3.214,0.141,0,21.015
4.0,3.789,5.789,3.789,0,0.0,0,0.0,2.144,0.0,3.222,0,0,0.0,13.995,3.397,0.012,10.916,0,0.092,0.025,1.815,0.047,5.184,0,6.213,4.381,4.381,17.807,19.234,20.726,22.178,7.381,4.381,1,4.054,-0.129,2.063,4.032,13.36,14.919,16.294,2.981,3.428,1,29.732,31.994,34.232,16.291,1.014,3.07,7.496,10.432,0,9.361,12.089,22.767,24.586,4.944,1.121,1.01,12.54,3.167,0.029,0,20.953
4.693,4.727,6.727,4.727,1,5.807,1,-3.691,2.129,0.079,3.534,1,1,5.807,24.491,3.678,0.212,36.421,3,0.123,0.043,2.009,0.073,5.882,2,9.862,4.765,4.765,18.845,20.373,21.925,23.468,7.765,4.765,3,4.095,-0.274,2.011,7.128,14.227,15.794,17.292,3.211,3.668,3,33.974,36.587,39.197,28.198,1.454,3.589,8.129,11.179,1,9.887,12.793,24.581,26.59,6.999,1.461,1.341,13.248,3.347,-0.054,1,22.579
4.051,4.208,6.208,4.208,0,0.0,0,0.0,2.068,0.0,3.354,0,0,0.0,14.836,3.538,0.014,10.946,0,0.088,0.027,1.94,0.049,5.075,0,5.908,3.81,3.81,16.449,17.599,19.037,20.249,6.81,3.81,1,3.949,0.053,1.959,4.276,12.292,13.893,14.948,3.182,3.583,1,30.12,32.441,34.748,15.481,0.576,3.136,6.919,9.624,0,8.949,11.384,22.64,24.479,4.788,0.584,1.147,12.404,3.329,0.032,0,20.809
5.171,3.778,5.778,3.778,0,0.0,0,0.0,2.068,0.0,3.188,0,0,0.0,10.385,3.501,-0.003,31.843,0,0.077,0.023,1.966,0.042,5.029,0,4.64,3.958,3.958,17.093,18.363,19.774,21.08,6.958,3.958,3,3.905,-0.22,1.922,3.815,12.928,14.438,15.647,2.99,3.526,3,28.428,30.564,32.674,13.885,1.163,3.184,7.427,10.197,0,9.273,11.822,22.334,24.098,6.999,1.087,0.972,12.565,3.278,0.172,0,20.574
4.807,3.579,5.579,3.579,0,0.0,0,0.0,2.051,0.0,3.267,0,0,0.0,13.339,3.44,-0.015,22.009,0,0.084,0.024,1.949,0.046,4.989,0,5.506,3.828,3.828,16.77,17.98,19.39,20.645,6.828,3.828,2,3.912,-0.148,1.926,4.144,12.64,14.175,15.313,3.027,3.48,2,28.428,30.564,32.674,15.081,1.093,3.156,7.229,9.954,0,9.125,11.619,22.334,24.098,6.351,1.04,1.079,12.474,3.279,0.089,0,20.574
4.644,4.46,6.46,4.46,0,0.0,0,0.0,2.047,0.056,3.151,0,0,0.0,9.772,3.375,-0.031,10.808,0,0.077,0.023,1.94,0.042,5.21,0,5.383,3.86,3.86,16.897,18.129,19.536,20.809,6.86,3.86,1,3.907,-0.205,1.92,4.086,12.764,14.282,15.449,2.983,3.412,1,31.946,34.398,36.849,15.542,1.122,3.244,7.345,10.069,0,9.188,11.704,23.718,25.648,7.999,1.07,0.849,12.719,3.256,0.088,0,21.795
4.52,3.579,5.579,3.579,0,0.0,0,0.0,2.037,0.0,3.096,0,0,0.0,12.616,3.301,-0.021,10.805,0,0.089,0.026,1.919,0.047,4.97,0,4.833,3.813,3.813,16.577,17.753,19.176,20.406,6.813,3.813,1,3.9,-0.175,1.912,3.954,12.437,14.004,15.098,2.898,3.298,1,28.037,30.176,32.286,14.39,1.14,3.128,7.048,9.761,0,9.0,11.47,21.959,23.705,4.956,1.108,1.064,12.293,3.057,0.108,0,20.217
4.504,3.579,5.579,3.579,0,0.0,0,0.0,2.037,0.0,3.098,0,0,0.0,16.681,3.301,-0.009,10.816,0,0.099,0.03,1.917,0.051,4.97,0,5.377,3.813,3.813,16.577,17.753,19.176,20.406,6.813,3.813,1,3.908,-0.173,1.913,4.434,12.437,14.004,15.098,2.933,3.297,1,28.037,30.176,32.286,19.907,1.169,3.278,7.048,9.761,0,9.0,11.47,21.959,23.705,4.822,1.109,1.015,12.293,3.054,0.088,0,20.217
4.449,3.579,5.579,3.579,0,0.0,0,0.0,2.074,0.052,3.446,0,0,0.0,19.249,3.578,0.001,10.933,0,0.093,0.026,1.98,0.05,5.21,0,7.982,3.86,3.86,16.897,18.129,19.536,20.809,6.86,3.86,1,3.933,-0.004,1.944,5.838,12.764,14.282,15.449,3.034,3.638,1,31.946,34.398,36.849,25.354,0.791,3.204,7.345,10.069,0,9.188,11.704,23.718,25.648,4.82,0.765,1.177,12.719,3.288,0.068,0,21.795
4.523,4.726,6.726,4.726,1,5.807,1,-3.607,2.129,0.079,3.545,1,1,5.807,24.491,3.688,0.212,36.154,0,0.124,0.043,2.009,0.073,5.879,2,9.862,4.76,4.76,18.836,20.362,21.913,23.455,7.76,4.76,3,4.094,-0.279,2.01,7.125,14.221,15.787,17.283,3.216,3.674,3,33.962,36.573,39.182,28.654,1.46,3.589,8.129,11.176,1,9.885,12.789,24.577,26.586,6.999,1.44,1.341,13.247,3.353,-0.054,1,22.575
4.523,4.725,6.725,4.725,1,5.807,1,-3.386,2.109,0.082,3.592,1,1,5.807,33.658,3.73,0.254,36.762,3,0.138,0.053,1.966,0.085,5.931,6,10.737,4.759,4.759,18.764,20.307,21.864,23.416,7.759,4.759,3,4.081,-0.288,1.984,7.546,14.119,15.683,17.207,3.406,3.776,3,33.957,36.564,39.171,33.398,1.691,3.576,7.982,11.047,1,9.682,12.639,24.588,26.599,6.999,1.706,1.215,13.125,3.492,-0.121,1,22.583
4.0,3.788,5.788,3.788,0,0.0,0,0.0,2.063,0.0,3.323,0,0,0.0,17.332,3.489,-0.019,10.762,0,0.113,0.036,1.877,0.065,4.963,0,7.124,3.718,3.718,15.941,17.106,18.509,19.724,6.718,3.718,1,3.918,-0.044,1.938,4.399,11.88,13.401,14.491,2.745,3.53,1,28.873,31.1,33.299,19.688,0.969,2.902,6.656,9.272,0,8.477,10.904,22.268,24.074,4.724,0.945,1.084,11.998,3.008,0.046,0,20.468
4.0,3.761,5.761,3.761,0,0.0,0,0.0,2.043,0.0,3.488,0,0,0.0,21.188,3.631,0.01,24.097,1,0.087,0.024,1.98,0.044,5.623,0,8.355,4.761,4.761,18.816,20.341,21.898,23.441,7.761,4.761,2,4.084,-0.172,1.935,6.425,14.185,15.77,17.254,3.31,3.659,2,32.749,35.265,37.776,22.774,1.035,3.545,8.106,11.139,0,9.935,12.79,23.891,25.81,6.351,1.047,0.985,13.157,3.514,-0.009,0,21.982
4.0,3.777,5.777,3.777,0,0.0,0,0.0,2.054,0.0,3.456,0,0,0.0,18.751,3.59,0.029,24.311,0,0.082,0.022,1.993,0.042,5.581,0,7.939,4.762,4.762,18.82,20.345,21.901,23.444,7.762,4.762,2,4.083,-0.065,1.939,6.024,14.188,15.772,17.257,3.234,3.614,2,32.761,35.278,37.789,23.152,0.867,3.459,8.106,11.141,0,9.936,12.792,23.896,25.815,6.351,0.85,1.027,13.157,3.465,-0.012,0,21.987
4.523,4.685,6.685,4.685,1,5.807,1,-3.7,2.081,0.083,3.537,1,1,5.807,22.035,3.693,0.205,35.05,2,0.126,0.044,2.01,0.075,5.747,2,8.492,4.703,4.703,18.654,20.172,21.717,23.25,7.703,4.703,3,4.068,-0.235,1.979,6.233,14.051,15.618,17.104,3.204,3.69,3,32.766,35.286,37.804,23.957,1.364,3.527,7.973,11.013,0,9.749,12.634,23.959,25.923,6.999,1.357,1.176,13.049,3.344,-0.02,1,22.0
5.102,3.603,5.603,3.603,0,0.0,0,0.0,2.048,0.0,3.349,0,0,0.0,11.936,3.479,-0.009,11.236,0,0.087,0.026,1.952,0.047,5.063,0,5.553,3.901,3.901,16.62,17.817,19.263,20.52,6.901,3.901,1,3.936,-0.009,1.946,3.64,12.398,14.012,15.111,2.76,3.484,2,29.731,32.023,34.302,12.333,0.974,3.03,6.88,9.664,0,8.971,11.454,22.456,24.29,4.809,0.971,0.929,12.291,2.986,0.095,0,20.628
4.955,3.807,5.807,3.807,0,0.0,0,0.0,2.167,0.0,3.425,0,0,0.0,12.755,3.634,0.007,33.283,0,0.076,0.022,1.987,0.041,5.413,0,6.204,4.602,4.602,18.485,19.956,21.478,22.974,7.602,4.602,3,4.061,-0.158,2.068,4.946,13.961,15.529,16.951,3.152,3.66,3,31.354,33.758,36.151,15.787,1.047,3.378,7.988,10.981,0,9.854,12.637,23.382,25.247,6.999,0.946,0.866,13.009,3.421,0.173,0,21.522
4.516,3.63,5.63,3.63,0,0.0,0,0.0,2.053,0.0,3.306,0,0,0.0,12.982,3.478,-0.044,33.588,1,0.078,0.022,1.952,0.041,5.193,0,5.986,4.062,4.062,17.278,18.581,20.002,21.34,7.062,4.062,3,3.929,-0.094,1.939,4.633,13.077,14.583,15.828,3.035,3.503,3,30.084,32.372,34.647,16.143,1.001,3.302,7.546,10.324,0,9.362,11.934,22.99,24.808,7.428,1.004,0.991,12.756,3.299,0.134,0,21.176
5.374,4.461,6.461,4.461,0,0.0,0,0.0,2.076,0.05,3.23,0,0,0.0,7.711,3.554,-0.02,32.816,0,0.071,0.02,1.962,0.038,5.317,0,5.442,4.189,4.189,17.594,18.941,20.372,21.748,7.189,4.189,3,3.922,-0.237,1.934,4.498,13.355,14.848,16.144,3.035,3.578,3,32.106,34.553,36.998,15.043,1.131,3.395,7.769,10.571,0,9.526,12.148,23.929,25.849,7.999,1.084,0.807,13.005,3.336,0.141,0,22.015
5.199,3.807,5.807,3.807,0,0.0,0,0.0,2.069,0.0,3.163,0,0,0.0,11.348,3.506,0.011,33.054,0,0.075,0.021,1.957,0.04,5.211,0,5.109,4.155,4.155,17.449,18.787,20.222,21.592,7.155,4.155,3,3.909,-0.077,1.925,4.151,13.199,14.708,15.99,3.034,3.524,3,29.976,32.264,34.538,15.114,0.974,3.295,7.596,10.409,0,9.408,12.016,22.837,24.656,6.999,1.005,0.921,12.721,3.318,0.081,0,21.025
5.076,3.822,5.822,3.822,0,0.0,0,0.0,2.052,0.0,3.244,0,0,0.0,14.863,3.537,-0.009,44.642,3,0.08,0.024,1.968,0.042,5.283,0,5.919,4.162,4.162,17.699,19.056,20.487,21.869,7.162,4.162,4,3.917,-0.116,1.919,5.288,13.443,14.936,16.247,3.059,3.552,4,30.435,32.725,34.997,12.741,1.137,3.543,7.816,10.64,0,9.576,12.217,23.235,25.071,7.475,1.089,1.043,12.93,3.283,0.135,0,21.403
