pXC50,ATS1e,ATS1s,ATS1v,ATS2e,ATS2i,ATS2p,ATS2v,ATS3e,ATS3p,ATS3v,ATS4e,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5p,ATS5s,ATS5v,ATS8s,ATSC1p,ATSC2p,ATSC2s,ATSC2v,ATSC3p,ATSC5m,ATSC5p,ATSC6e,ATSC6p,ATSC7e,ATSC8e,ATSC8s,BID,CATS2D_08_AL,CATS2D_09_AL,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Chi0_EA.bo.,Chi0_EA.dm.,Chi1_EA.dm.,CID,CSI,DBI,Dz,ECC,Eig03_AEA.ri.,Eig03_EA,Eig03_EA.ri.,Eig04_AEA.dm.,Eig05_AEA.dm.,Eig05_AEA.ed.,Eig05_EA.ed.,Eig06_AEA.dm.,Eig06_EA.ri.,Eig07_AEA.dm.,Eig08_AEA.dm.,Eig09_AEA.dm.,Eig13_AEA.dm.,Eig14_AEA.dm.
7.682,3.099,4.387,2.65,3.512,3.649,2.956,2.964,3.724,2.967,2.963,3.573,2.701,4.818,2.659,3.235,3.475,2.322,4.491,2.246,1.099,1.302,2.261,11.229,2.828,2.562,5.639,1.828,0.109,1.117,0.064,0.013,2.035,2.601,0,0,8.0,8.0,8.0,8.0,8.0,6.897,11.76,17.044,3.233,126.0,1.414,26.5,60.0,2.68,1.732,1.636,1.561,1.423,3.618,2.449,0.608,0.0,0.011,-0.481,-0.794,-2.0,0.0
4.699,4.167,5.161,3.676,4.719,4.901,4.108,4.038,4.931,4.265,4.137,5.068,4.276,5.808,4.106,5.073,5.352,4.239,5.77,4.063,5.771,5.881,9.497,26.538,13.147,12.818,36.497,14.544,0.29,13.275,0.322,0.371,36.937,3.44,5,5,20.637,20.637,20.637,20.637,20.637,18.488,28.169,35.68,4.14,803.0,3.742,63.0,368.0,3.689,2.717,2.624,2.68,2.587,5.298,6.788,1.994,1.647,1.911,1.764,1.574,1.0,0.765
4.523,5.113,6.276,4.508,5.682,5.871,4.934,4.874,6.055,5.135,5.057,6.179,5.206,7.386,5.163,6.227,6.427,5.299,7.726,5.267,7.894,13.242,22.279,218.966,32.606,29.129,131.737,32.359,4.005,39.89,4.216,5.339,922.333,4.383,14,16,50.594,50.594,50.594,50.594,50.594,48.022,52.906,47.412,5.053,3033.0,6.671,180.0,1499.0,3.919,2.936,2.879,3.836,3.802,6.113,8.883,3.763,2.724,3.698,3.675,3.596,3.482,3.47
4.678,4.08,5.263,3.684,4.603,4.728,4.117,4.105,4.879,4.251,4.225,4.926,4.24,6.194,4.241,4.933,5.085,4.229,6.208,4.221,6.264,4.461,7.662,38.125,8.986,10.462,26.297,10.2,0.525,10.072,0.42,0.679,106.618,3.504,10,4,22.121,22.121,22.121,22.121,22.121,19.39,22.734,37.285,4.225,633.0,3.162,69.5,281.0,3.929,2.954,2.881,2.9,2.83,6.044,8.478,2.577,2.016,2.229,1.95,1.572,1.197,1.033
5.155,4.173,5.322,3.758,4.711,4.849,4.206,4.181,5.014,4.375,4.33,5.126,4.368,6.245,4.332,5.051,5.234,4.33,6.247,4.294,6.17,5.196,8.995,39.65,11.205,12.357,32.454,12.183,0.52,11.689,0.38,0.513,67.196,3.562,10,5,23.223,23.223,23.223,23.223,23.223,20.52,22.734,36.409,4.281,734.0,3.24,73.5,328.0,3.826,2.837,2.803,2.91,2.834,5.975,8.443,2.578,2.222,2.254,2.2,1.767,1.238,1.174
4.959,4.181,5.308,3.777,4.73,4.87,4.241,4.204,5.031,4.422,4.362,5.161,4.422,6.241,4.366,5.089,5.28,4.376,6.205,4.32,6.102,5.497,9.561,38.3,12.048,13.325,34.826,13.422,0.36,12.707,0.371,0.407,62.388,3.562,11,5,23.223,23.223,23.223,23.223,23.223,20.52,20.523,28.383,4.281,797.0,3.24,73.0,355.0,3.804,2.804,2.796,2.942,2.906,5.929,8.225,2.597,2.327,2.273,2.21,1.871,1.24,1.103
5.0,4.173,5.322,3.758,4.711,4.849,4.202,4.178,5.017,4.374,4.335,5.109,4.39,6.246,4.354,5.103,5.295,4.364,6.276,4.321,6.169,5.196,8.996,39.45,11.223,12.132,34.787,13.051,0.548,12.043,0.453,0.419,60.369,3.562,11,4,23.275,23.275,23.275,23.275,23.275,20.572,24.315,40.677,4.281,732.0,3.24,73.5,327.0,3.828,2.839,2.804,2.957,2.848,5.975,8.449,2.59,2.219,2.231,2.091,1.767,1.319,1.177
4.745,4.14,5.244,3.674,4.707,4.87,4.135,4.1,5.02,4.319,4.26,5.147,4.338,6.197,4.282,5.054,5.246,4.308,6.162,4.248,6.236,5.332,9.164,42.865,12.197,12.432,34.087,12.422,0.511,12.49,0.457,0.838,113.092,3.473,4,5,20.861,20.861,20.861,20.861,20.861,18.819,20.186,30.534,4.18,614.0,3.464,67.5,280.0,3.672,2.688,2.644,2.932,2.759,5.455,6.981,2.417,2.206,2.287,1.903,1.727,1.094,0.807
4.444,4.185,5.272,3.712,4.757,4.924,4.177,4.134,5.073,4.36,4.293,5.195,4.374,6.203,4.313,5.106,5.301,4.342,6.227,4.277,6.117,5.683,9.77,42.113,13.185,13.231,36.749,13.036,0.529,13.027,0.393,0.597,71.547,3.504,6,4,21.568,21.568,21.568,21.568,21.568,19.526,22.017,33.568,4.211,679.0,3.606,69.5,310.0,3.671,2.688,2.643,2.932,2.761,5.455,6.981,2.421,2.217,2.288,1.903,1.727,1.137,0.925
4.62,4.093,5.209,3.634,4.654,4.812,4.085,4.055,4.961,4.255,4.204,5.043,4.261,6.141,4.216,4.978,5.172,4.219,6.105,4.174,6.172,4.981,8.551,41.916,11.191,11.556,31.549,11.243,0.493,10.677,0.478,0.778,109.15,3.442,4,4,20.413,20.413,20.413,20.413,20.413,18.371,20.186,30.534,4.152,593.0,3.391,65.5,269.0,3.643,2.657,2.626,2.91,2.738,5.365,6.478,2.379,2.175,2.219,1.746,1.611,1.085,0.802
