pXC50,nDB,RBN,nN,N.,Mp,X.,RBF,nO,nX,C.,SCBO,Mv,Si,nH,Sv,Se,nAT,Sp,nSK,nAB,nBT,AMW,O.,nHet,Mi,nBO
7.93,4,7,3,4.5,0.669,12.1,0.103,3,8,40.9,53.0,0.668,76.277,25,44.065,69.265,66,44.142,41,12,68,9.461,4.5,14,1.156,43
4.456,9,26,7,6.1,0.631,0.0,0.226,11,0,35.1,75.0,0.604,129.676,55,68.843,115.596,114,71.961,59,12,115,7.387,9.6,19,1.138,60
6.523,8,28,11,8.7,0.623,0.0,0.22,7,0,33.3,76.0,0.585,144.078,65,73.65,126.345,126,78.45,61,12,127,6.891,5.6,19,1.143,62
5.125,4,9,5,6.2,0.667,0.0,0.106,4,0,43.2,63.5,0.635,90.972,37,51.395,80.956,81,54.029,44,23,85,7.306,4.9,9,1.123,48
8.301,3,8,4,5.4,0.673,0.0,0.103,3,0,44.6,58.5,0.637,82.849,34,47.132,73.643,74,49.807,40,23,78,7.226,4.1,7,1.12,44
7.762,3,8,4,5.4,0.672,1.4,0.103,3,1,44.6,59.5,0.642,83.189,33,47.515,74.156,74,49.745,41,23,78,7.469,4.1,8,1.124,45
6.745,9,19,11,8.5,0.627,0.0,0.145,8,0,34.1,81.0,0.592,147.287,65,76.365,129.672,129,80.904,64,12,131,7.041,6.2,20,1.142,66
6.5,2,7,4,5.1,0.675,2.5,0.084,2,2,41.8,56.0,0.629,88.774,38,49.653,78.614,79,53.353,41,18,83,7.515,2.5,8,1.124,45
8.377,3,8,5,6.8,0.672,0.0,0.104,3,0,43.8,58.5,0.639,81.933,33,46.627,72.861,73,49.052,40,23,77,7.338,4.1,8,1.122,44
8.721,4,9,5,6.4,0.67,0.0,0.11,4,0,43.6,62.5,0.639,87.557,35,49.868,78.072,78,52.267,43,23,82,7.407,5.1,9,1.123,47
8.921,3,10,4,4.9,0.664,0.0,0.118,4,0,43.2,61.5,0.628,90.889,38,50.9,80.738,81,53.785,43,23,85,7.145,4.9,8,1.122,47
7.155,2,5,1,1.5,0.684,0.0,0.072,3,0,44.6,49.0,0.635,72.275,31,41.255,64.414,65,44.438,34,18,69,7.287,4.6,5,1.112,38
7.796,1,8,2,2.4,0.672,2.4,0.089,3,2,42.4,58.0,0.622,95.232,42,52.905,84.389,85,57.08,43,18,90,7.314,3.5,7,1.12,48
5.0,1,5,3,5.4,0.661,1.8,0.083,2,1,42.9,43.0,0.629,63.236,26,35.199,56.076,56,37.0,30,16,60,7.277,3.6,6,1.129,34
7.348,2,6,2,3.2,0.676,0.0,0.09,2,0,46.0,48.0,0.633,70.228,30,39.848,62.229,63,42.58,33,18,67,6.962,3.2,4,1.115,37
5.373,9,29,10,7.6,0.612,0.0,0.218,11,0,31.8,77.0,0.58,151.247,68,76.541,133.319,132,80.785,64,6,133,6.979,8.3,22,1.146,65
5.949,9,28,10,7.4,0.614,0.0,0.203,11,0,32.4,80.0,0.581,155.662,70,79.068,137.203,136,83.546,66,6,138,6.966,8.1,22,1.145,68
6.513,6,21,7,6.1,0.633,0.0,0.179,6,0,36.0,70.0,0.591,129.46,59,67.322,113.726,114,72.211,55,12,117,6.826,5.3,14,1.136,58
6.264,6,21,7,6.3,0.635,0.0,0.184,6,0,36.0,69.0,0.593,126.045,57,65.796,110.843,111,70.45,54,12,114,6.884,5.4,14,1.136,57
7.357,10,30,10,7.3,0.613,0.0,0.217,12,0,32.1,81.0,0.582,156.872,70,79.783,138.53,137,84.001,67,6,138,7.031,8.8,23,1.145,68
7.347,9,31,10,7.6,0.621,0.0,0.233,11,0,33.3,82.0,0.591,150.832,66,78.014,133.436,132,82.023,66,12,133,7.146,8.3,22,1.143,67
7.066,6,22,7,6.5,0.633,0.0,0.202,6,0,35.5,66.0,0.591,121.629,55,63.269,106.959,107,67.688,52,12,109,6.898,5.6,14,1.137,54
5.092,2,5,1,2.2,0.666,0.0,0.106,3,0,44.4,34.0,0.632,50.279,21,28.434,44.92,45,29.983,24,12,47,7.187,6.7,4,1.117,26
5.821,0,6,2,3.8,0.648,0.0,0.107,1,0,41.5,34.0,0.596,59.604,28,31.606,52.018,53,34.364,25,12,56,6.349,1.9,3,1.125,28
