pXC50,Mp,nBO,SCBO,Sp,nBM,nBT,nSK,Sv,Se
5.638,0.845,35,49.0,37.159,27,48,31,34.621,44.814
6.327,0.714,36,50.0,39.25,22,57,34,37.91,55.905
4.611,0.754,22,30.0,22.619,11,31,21,22.077,31.426
5.504,0.761,35,47.5,36.523,21,51,32,35.011,49.284
4.801,0.728,31,42.0,34.216,17,49,29,32.491,47.734
4.9,0.702,29,39.0,31.568,16,47,27,30.304,45.658
4.491,0.714,33,44.0,36.432,17,53,31,34.732,51.945
5.536,0.725,33,47.0,34.779,22,50,31,33.944,48.905
5.693,0.763,33,44.0,34.313,17,48,30,32.791,46.175
5.554,0.733,34,45.0,35.193,17,50,32,34.388,49.96
4.854,0.713,35,47.0,39.193,18,57,33,37.259,55.829
4.799,0.72,32,43.0,35.977,17,52,30,34.017,50.618
6.146,0.735,33,47.0,35.273,22,50,31,34.142,48.811
4.0,0.685,36,50.0,37.699,23,57,34,36.996,56.625
6.504,0.703,35,46.0,36.551,17,54,33,35.802,53.847
4.0,0.691,31,41.0,32.477,16,49,29,31.733,48.313
6.666,0.764,34,48.5,32.841,23,46,31,32.34,44.738
4.0,0.719,25,33.0,26.597,11,38,24,25.845,38.52
4.0,0.754,22,31.0,21.864,12,30,21,21.571,30.644
5.032,0.712,33,44.0,37.739,17,55,31,35.544,53.502
5.775,0.705,39,51.0,41.619,18,62,36,40.141,60.287
5.415,0.678,41,53.0,44.739,18,69,38,43.082,67.058
5.627,0.714,38,51.0,40.71,22,61,34,38.711,57.633
5.618,0.712,38,50.0,39.858,18,59,35,38.614,57.404
4.0,0.733,23,31.5,22.727,14,33,21,22.395,32.131
5.947,0.709,34,45.0,36.886,17,54,32,35.447,53.273
5.465,0.711,28,40.0,27.744,20,41,26,27.459,40.436
4.178,0.749,20,27.0,21.716,10,30,19,20.669,29.873
5.783,0.744,31,44.0,32.75,21,46,29,31.789,44.894
4.625,0.728,31,42.0,34.216,17,49,29,32.491,47.734
6.0,0.692,41,55.5,44.318,26,67,38,42.641,64.84
4.178,0.715,24,33.0,25.75,15,37,23,25.088,37.044
4.0,0.67,20,27.5,20.085,13,31,19,20.229,31.156
4.231,0.703,35,46.0,38.648,17,57,33,36.974,56.156
5.084,0.717,34,46.0,38.739,18,56,32,36.544,54.502
