pXC50,Sp,MW,Se,nCL,Sv,nAT
6.071,54.716,614.75,80.298,0,52.562,80
5.208,60.978,664.87,93.043,0,57.91,93
6.097,56.694,634.79,85.392,0,54.33,85
6.62,56.023,612.78,81.854,0,53.374,82
6.244,53.785,578.77,80.738,0,50.9,81
7.046,60.023,660.82,85.854,0,57.374,86
6.071,51.171,582.71,77.625,0,49.276,77
6.652,39.301,423.55,56.68,0,37.289,57
5.388,41.614,436.6,60.338,0,39.122,61
6.453,42.37,435.61,61.12,0,39.627,62
7.252,42.37,435.61,61.12,0,39.627,62
6.914,41.466,456.02,58.56,1,38.928,59
4.108,41.017,492.43,57.327,2,38.944,57
7.31,41.466,456.02,58.56,1,38.928,59
7.143,47.654,477.7,69.77,0,44.208,71
7.137,41.404,474.01,59.072,1,39.311,59
6.523,42.517,465.59,61.891,0,40.53,62
5.48,40.546,439.57,58.749,0,38.484,59
5.836,44.069,467.63,64.516,0,41.537,65
6.365,41.063,437.58,59.563,0,38.815,60
4.699,47.074,633.39,65.905,2,44.601,65
4.678,41.586,429.61,62.33,0,38.869,63
5.706,39.301,423.55,56.68,0,37.289,57
7.62,43.165,497.03,61.105,1,41.137,61
6.523,40.142,445.64,62.061,0,37.486,62
4.036,39.063,413.56,57.563,0,36.815,58
6.449,48.313,564.56,70.181,2,45.567,70
6.943,41.648,522.9,60.738,3,39.341,60
5.921,33.211,371.48,52.334,0,31.718,52
5.301,50.262,550.71,74.97,0,47.847,75
6.081,41.245,504.46,61.742,2,39.228,61
7.678,45.921,532.64,69.785,0,44.372,69
7.377,50.074,578.59,73.065,2,47.094,73
4.569,43.415,528.48,60.792,0,40.841,61
7.149,50.074,578.59,73.065,2,47.094,73
5.36,50.148,568.75,73.163,0,47.507,73
4.495,43.824,463.62,63.447,0,41.342,64
8.427,48.881,501.74,75.185,0,45.492,76
8.398,48.33,502.72,74.41,0,45.186,75
4.638,42.921,484.03,60.887,1,40.643,61
9.0,50.074,578.59,73.065,2,47.094,73
7.303,40.79,488.46,60.414,2,38.513,60
8.151,42.551,502.49,63.298,2,40.04,63
8.699,49.461,597.56,72.803,2,47.17,72
7.167,49.262,538.7,73.97,0,46.847,74
4.131,39.756,439.55,58.007,0,38.003,58
7.454,42.0,503.47,62.523,2,39.733,62
8.228,49.773,595.58,73.611,2,47.303,73
6.399,50.569,536.73,75.527,0,47.659,76
6.286,40.307,438.57,58.781,0,38.31,59
7.665,44.313,516.52,66.181,2,41.567,66
5.37,26.381,241.41,39.821,0,23.816,41
8.0,41.091,471.47,59.869,2,38.304,60
7.602,42.853,485.5,62.752,2,39.831,63
6.851,37.568,443.41,54.102,2,35.25,54
7.796,40.336,472.46,59.087,2,37.798,59
7.745,38.58,461.44,57.305,2,36.293,57
7.469,38.58,461.44,57.305,2,36.293,57
7.658,38.58,461.44,57.305,2,36.293,57
6.889,38.58,461.44,57.305,2,36.293,57
6.81,38.58,461.44,57.305,2,36.293,57
7.377,37.824,462.43,56.523,2,35.788,56
7.149,37.824,462.43,56.523,2,35.788,56
7.523,37.068,463.42,55.742,2,35.282,55
7.194,37.273,463.41,55.749,2,35.481,55
7.678,40.336,472.46,59.087,2,37.798,59
7.032,39.58,473.45,58.305,2,37.293,58
7.357,39.58,473.45,58.305,2,37.293,58
7.62,39.58,473.45,58.305,2,37.293,58
7.921,44.04,540.5,64.734,2,42.029,64
7.745,44.04,540.5,64.734,2,42.029,64
8.77,44.04,540.5,64.734,2,42.029,64
7.886,43.284,541.49,63.952,2,41.524,63
7.721,43.284,541.49,63.952,2,41.524,63
8.432,48.801,590.56,70.618,2,46.556,70
8.638,49.114,617.61,72.131,2,46.678,71
7.77,46.705,583.52,69.171,2,44.964,68
8.071,48.807,631.59,71.574,2,46.866,70
7.824,51.086,596.62,76.269,2,48.136,76
8.328,48.87,566.59,72.058,2,45.895,72
8.907,47.108,552.56,69.174,2,44.368,69
7.495,47.108,552.56,69.174,2,44.368,69
7.569,45.347,538.53,66.291,2,42.841,66
7.602,51.324,597.62,76.236,2,48.31,76
8.155,53.296,623.64,79.378,2,50.357,79
5.818,37.313,405.55,56.883,0,35.331,57
6.504,37.25,423.54,57.396,0,35.715,57
5.06,37.25,423.54,57.396,0,35.715,57
6.821,38.171,439.99,57.207,1,36.159,57
7.678,41.694,468.05,62.974,1,39.212,63
6.983,38.046,475.97,58.232,1,36.925,57
6.078,37.983,493.96,58.745,1,37.309,57
7.824,43.932,502.06,64.091,1,41.686,64
7.481,44.79,536.5,64.414,2,42.513,64
7.585,42.319,468.61,62.985,0,40.353,63
8.119,42.256,486.6,63.498,0,40.736,63
8.569,43.176,503.05,63.309,1,41.18,63
7.432,43.176,503.05,63.309,1,41.18,63
7.194,43.176,503.05,63.309,1,41.18,63
7.959,44.938,517.08,66.192,1,42.707,66
7.585,44.938,517.08,66.192,1,42.707,66
7.824,36.461,392.96,52.458,1,33.907,53
9.046,44.205,478.08,65.538,1,41.223,66
7.276,39.983,421.02,58.225,1,36.96,59
7.77,47.728,506.14,71.305,1,44.277,72
7.678,36.336,428.94,53.483,1,34.673,53
8.42,44.08,514.06,66.563,1,41.99,66
7.495,36.273,446.93,53.996,1,35.057,53
8.77,44.017,532.05,67.076,1,42.373,66
8.602,41.466,456.02,58.56,1,38.928,59
9.222,49.211,541.14,71.64,1,46.245,72
6.606,43.228,470.05,61.443,1,40.455,62
5.578,44.989,484.08,64.327,1,41.982,65
7.097,34.364,336.52,52.018,0,31.606,53
8.0,35.222,370.96,52.341,1,32.434,53
8.076,35.716,415.41,52.247,0,32.631,53
8.824,38.745,399.02,58.109,1,35.487,59
6.701,38.745,399.02,58.109,1,35.487,59
6.796,35.097,406.94,53.367,1,33.2,53
7.155,35.035,424.93,53.88,1,33.583,53
8.284,41.841,467.47,59.549,2,38.788,60
8.42,39.307,417.57,58.632,0,37.011,59
9.523,40.228,434.02,58.443,1,37.455,59
8.921,41.989,448.05,61.327,1,38.982,62
8.678,41.989,448.05,61.327,1,38.982,62
7.102,43.75,462.08,64.21,1,40.508,65
7.959,40.233,437.03,59.545,1,37.476,60
8.553,41.887,412.62,61.785,0,38.66,63
8.222,35.171,403.96,54.207,1,33.159,54
8.0,38.267,463.42,56.498,2,36.16,56
7.42,37.512,464.41,55.716,2,35.655,55
8.301,37.512,464.41,55.716,2,35.655,55
7.796,37.512,464.41,55.716,2,35.655,55
7.854,38.33,445.43,55.985,2,35.777,56
6.742,40.091,459.46,58.869,2,37.304,59
6.37,36.568,431.4,53.102,2,34.25,53
8.252,44.25,543.5,65.843,2,42.249,65
9.131,43.029,575.46,67.272,2,42.125,65
9.77,43.58,574.48,68.047,2,42.431,66
8.18,39.273,487.43,57.749,2,37.481,57
6.991,31.529,402.31,44.669,2,30.164,44
9.0,45.858,524.54,66.854,2,42.852,67
9.432,47.313,552.55,69.181,2,44.567,69
8.585,39.568,467.43,56.102,2,37.25,56
