pXC50,CATS2D_03_DN,CATS2D_04_DD,SsOH,ATSC3s,MATS6e,GATS6e,CATS2D_05_DN,ATSC4s,Eta_C_A,MATS6s,CATS2D_02_NN,MAXDN,GATS4e,nO,X5Av,CATS2D_03_AN,Eta_sh_x,P_VSA_s_1,MATS4e,MCD,GATS2p,ATSC1s,CATS2D_04_DA,O.056,nPO4,P.117,D.Dtr05,SpMax7_Bh.s.,ATSC2e,MATS2p,MATS3e,CATS2D_04_NN,P_VSA_e_5,P_VSA_m_3,ATSC2s,nROH,X2Av,MATS4s,ATS4s,ATSC5e,O.059,MATS1p,SpMax8_Bh.s.,NssO,SssO,ATSC6s,CATS2D_01_AN,CATS2D_07_DN,SpMax6_Bh.s.,CATS2D_08_DD,BAC,P_VSA_LogP_3,Eig05_EA,SM13_AEA.bo.,Eig05_AEA.ri.,Eig05_EA.ed.,SM14_AEA.dm.,P_VSA_i_1,DBI,MATS5p,ATSC8s,ATS6s,Eig03_AEA.ri.,Eig03_EA,SM11_AEA.bo.,ATSC3m,Eig02_EA.ri.
7.097,5,3,56.28,332.355,0.157,0.831,4,478.3,1.04,0.15,2,6.499,0.629,14,0.041,7,0.251,22.85,0.32,0.4,0.72,139.444,11,6,3,3,90.435,6.437,2.002,0.179,-0.262,1,357.582,357.582,239.33,6,0.211,0.289,6.936,2.746,3,-0.361,6.4,3,11.662,428.897,8,1,6.494,1,129.0,243.37,2.729,2.729,3.723,8.968,8.968,22.85,5.339,-0.005,301.928,6.723,4.11,3.114,3.114,31.36,3.433
5.0,4,2,70.734,478.963,0.067,0.977,4,606.977,1.146,0.058,2,6.365,0.88,19,0.045,7,0.147,25.769,0.149,0.489,1.048,160.376,13,7,1,1,317.302,7.406,2.539,0.062,-0.23,1,482.185,482.185,280.366,7,0.209,0.15,7.187,4.044,5,-0.226,6.499,5,23.861,597.7,7,2,7.411,2,197.0,316.997,2.802,2.802,3.781,9.377,9.377,25.769,5.568,0.009,511.515,7.102,4.159,3.234,3.234,54.293,3.14
6.77,4,2,70.527,402.793,0.057,0.986,4,567.497,1.139,0.066,2,6.796,0.92,20,0.036,8,0.142,29.56,0.127,0.468,0.741,153.486,14,7,3,3,334.595,6.499,2.894,0.188,-0.177,1,471.102,471.102,277.008,7,0.187,0.144,7.206,4.149,6,-0.351,6.489,7,31.93,581.031,9,2,7.406,2,199.0,301.081,2.808,2.808,3.782,9.377,9.377,29.56,5.745,-0.005,448.171,7.125,4.159,3.235,3.235,51.539,3.14
5.674,4,2,70.96,366.713,0.075,0.951,4,532.855,1.163,0.097,2,6.792,0.952,20,0.035,8,0.136,29.56,0.109,0.449,0.732,142.653,14,7,3,3,351.887,6.489,3.013,0.204,-0.169,1,457.176,457.176,278.398,7,0.186,0.142,7.201,4.245,6,-0.353,6.4,8,36.708,565.431,9,2,6.5,2,205.0,301.081,2.811,2.811,3.782,9.377,9.377,29.56,5.916,-0.006,407.417,7.139,4.16,3.235,3.235,53.991,3.14
5.642,4,2,49.306,312.531,0.02,1.165,3,472.205,1.124,0.021,2,6.477,0.777,15,0.052,8,0.184,29.56,0.305,0.486,0.756,117.627,11,5,3,3,118.146,6.4,2.354,0.152,-0.134,1,338.372,338.372,233.831,5,0.221,0.292,6.986,2.98,5,-0.366,6.355,5,22.571,436.516,9,1,6.494,1,101.0,206.238,2.756,2.756,3.719,8.9,8.9,29.56,5.196,-0.011,334.146,6.828,4.141,3.167,3.167,51.727,3.147
5.0,4,2,49.095,293.528,0.064,1.039,3,421.464,0.943,0.071,2,6.546,0.801,15,0.043,8,0.184,29.56,0.295,0.486,0.714,120.052,11,5,3,3,118.146,6.4,2.184,0.189,-0.236,1,338.372,338.372,205.064,5,0.203,0.291,6.959,2.803,4,-0.394,6.355,5,22.094,396.548,9,1,6.494,1,101.0,253.62,2.756,2.756,3.719,8.9,8.9,29.56,5.196,-0.01,302.01,6.799,4.141,3.167,3.167,35.332,3.147
5.0,4,4,88.17,418.084,0.084,0.978,4,585.252,1.187,0.075,2,6.84,0.892,20,0.039,9,0.159,29.56,0.167,0.405,0.763,163.304,14,9,3,3,146.446,6.456,2.898,0.186,-0.137,1,506.179,506.179,296.628,9,0.196,0.169,7.203,4.291,6,-0.326,6.433,7,31.125,573.723,9,2,6.493,2,202.0,377.331,2.802,2.802,3.777,9.409,9.409,29.56,5.657,-0.015,428.439,7.072,4.155,3.21,3.21,52.646,3.181
5.0,4,2,49.483,255.24,0.095,0.978,3,391.136,0.975,0.126,2,6.541,0.848,15,0.041,8,0.174,29.56,0.266,0.459,0.702,109.111,11,5,3,3,126.579,6.355,2.316,0.213,-0.226,1,324.445,324.445,210.478,5,0.201,0.304,6.954,2.897,4,-0.387,6.345,6,26.845,384.12,9,1,6.4,1,103.0,253.62,2.769,2.769,3.724,8.929,8.929,29.56,5.385,-0.011,258.159,6.819,4.142,3.167,3.167,37.985,3.147
7.796,5,3,46.017,289.373,0.135,0.885,4,446.258,1.019,0.145,2,6.44,0.583,13,0.046,7,0.257,22.85,0.382,0.414,0.696,124.673,11,5,3,3,88.101,6.437,1.955,0.193,-0.276,1,314.899,314.899,223.756,5,0.219,0.351,6.878,2.26,3,-0.381,6.351,3,11.858,402.785,8,1,6.449,1,108.0,200.687,2.732,2.732,3.73,8.972,8.972,22.85,5.292,-0.083,281.961,6.695,4.105,3.109,3.109,30.524,3.431
7.301,5,3,55.594,281.627,0.18,0.768,4,401.019,0.985,0.221,2,6.529,0.736,15,0.041,7,0.211,22.85,0.269,0.355,0.698,128.874,12,6,3,3,103.253,6.4,2.182,0.218,-0.287,1,354.656,354.656,229.635,6,0.207,0.318,6.896,2.727,4,-0.407,6.351,5,21.118,383.936,8,1,6.437,1,135.0,243.37,2.728,2.728,3.713,8.905,8.905,22.85,5.244,-0.022,244.202,6.699,4.101,3.109,3.109,31.538,3.104
