pXC50,CATS2D_08_AL,CATS2D_07_AL,CATS2D_05_AA,Eig02_EA.dm.,CATS2D_06_AL,P_VSA_e_3,SpAD_EA.dm.,SM02_EA.dm.,ATS6m,ATSC7p,ATS7v,C.008,ATS7p,Eig03_EA.dm.,C.040,P_VSA_s_6,SsOH,X5sol,MAXDP,P_VSA_s_5,SssNH,CATS2D_05_DA,Eig04_EA.dm.,ATSC6s,CATS2D_07_DD,Hy,nHAcc,P_VSA_m_3,P_VSA_v_2,SAacc,SAdon,SdssC,NssNH,NsOH,MATS5s,CATS2D_09_DD,GATS2p,CATS2D_05_DL,H.050,MLOGP,nHDon,nO,PHI,Uindex,X3v,CATS2D_07_DL,ATSC8i,SpMin4_Bh.p.,SpMax2_Bh.v.,C.005,CATS2D_02_PL,ATSC1i,ATSC8s,CATS2D_02_DA,CATS2D_03_DA,CATS2D_03_DD,CATS2D_03_DL,CATS2D_04_DL,CATS2D_06_DA,CATS2D_06_DD,CATS2D_08_DA,CATS2D_08_DL,CATS2D_09_DA,CATS2D_09_DL,CATS2D_09_DP,DLS_01
7.174,6,9,2,0.916,6,55.931,9.424,2.328,4.379,17.777,4.433,1,4.521,0.86,0,93.85,0.0,10.103,6.452,36.022,5.932,1,0.86,97.876,0,0.113,9,77.065,132.996,132.996,36.022,-0.303,2,0,0.025,0,0.923,5,2,3.67,2,3,9.138,66.166,7.585,6,2.749,1.851,3.955,2,0,1.201,111.585,2,1,0,1,5,1,0,1,4,1,3,0,0.75
8.373,2,7,1,0.8,5,55.931,5.406,1.911,3.869,10.624,3.825,0,3.971,0.247,0,84.614,10.918,7.518,5.414,36.022,5.904,1,0.0,60.926,1,0.812,6,67.828,123.76,123.76,78.705,-0.214,2,1,-0.012,1,1.061,6,3,2.287,3,2,6.74,49.927,5.969,4,1.249,1.792,3.882,0,0,0.893,45.874,2,1,0,2,7,1,0,0,1,1,3,0,1.0
6.6,4,3,0,0.86,2,19.529,10.971,3.148,4.285,8.635,3.79,0,3.84,0.8,0,217.639,0.0,5.939,5.662,16.405,2.214,0,0.0,113.859,0,-0.166,8,100.193,119.722,119.722,16.405,0.0,1,0,-0.003,0,0.649,2,1,3.588,1,3,7.846,65.577,6.188,0,0.935,1.631,3.823,2,0,0.816,145.74,2,0,0,1,4,0,0,0,0,0,0,0,1.0
7.921,7,7,2,1.058,7,42.27,12.022,2.623,4.287,17.434,4.301,2,4.458,0.916,2,61.29,0.0,8.776,6.17,36.022,6.169,1,0.86,84.049,0,0.123,7,61.29,103.56,103.56,36.022,-0.31,2,0,0.092,0,0.889,4,2,2.788,2,3,10.312,68.12,7.967,3,2.125,1.903,3.873,2,0,1.128,64.439,2,2,1,5,3,1,0,0,3,1,4,0,0.75
8.46,34,35,20,2.376,25,704.747,106.919,5.131,6.062,76.979,6.091,20,6.143,2.012,22,1171.83,61.346,27.482,7.697,342.204,45.941,28,2.01,1157.72,13,34.177,59,809.288,1514.04,1514.04,927.276,-24.519,19,6,0.16,26,1.389,29,45,-12.022,45,28,70.178,1187.41,24.535,32,11.997,2.018,3.849,1,5,4.484,1837.59,26,20,25,32,30,24,27,34,36,27,50,5,0.25
5.6,6,5,2,1.058,4,24.259,11.46,2.453,3.817,10.166,3.865,1,3.991,0.916,1,58.145,0.0,6.591,5.606,18.011,3.147,1,0.86,52.179,0,-0.361,7,58.145,82.404,82.404,18.011,-0.069,1,0,0.027,0,0.886,1,1,2.277,1,4,7.457,49.973,5.59,2,1.239,1.784,3.85,2,0,0.88,35.14,1,1,0,2,1,1,0,0,0,1,0,0,1.0
6.1,7,7,2,1.058,6,42.27,12.022,2.623,4.238,16.28,4.282,2,4.428,0.916,2,139.587,0.0,7.554,6.068,36.022,5.986,1,0.86,97.736,0,0.162,7,61.29,103.56,103.56,36.022,-0.531,2,0,0.091,0,0.873,4,2,3.4,2,3,11.533,77.639,7.123,3,1.911,1.902,3.856,2,0,1.043,90.124,2,2,1,5,3,1,0,0,2,1,3,0,0.75
5.0,5,4,2,0.916,4,41.045,7.614,1.972,3.646,9.42,3.765,1,3.916,0.86,1,52.93,0.0,5.471,5.274,18.011,3.125,1,0.8,36.99,0,-0.358,6,36.145,77.19,77.19,18.011,-0.023,1,0,-0.031,0,0.934,1,1,1.668,1,2,7.693,50.209,4.898,2,1.131,1.785,3.792,2,0,0.845,32.528,1,1,0,2,0,0,0,0,0,1,0,0,1.0
5.7,8,3,1,0.916,4,24.259,7.614,1.972,3.797,10.967,3.867,1,4.02,0.86,1,114.442,0.0,6.387,5.489,18.011,3.09,0,0.8,47.142,0,-0.349,5,36.145,60.404,60.404,18.011,-0.137,1,0,0.195,0,0.804,4,1,3.61,1,2,8.69,55.875,5.517,2,1.106,1.781,3.849,2,0,0.817,41.932,1,1,0,2,0,0,0,0,0,1,0,0,1.0
5.0,6,4,1,0.916,3,24.259,7.614,1.972,3.63,8.815,3.696,1,3.84,0.86,1,45.652,0.0,4.859,5.07,18.011,3.045,0,0.8,40.199,0,-0.346,6,45.652,69.912,69.912,18.011,-0.136,1,0,-0.134,0,0.966,1,1,1.53,1,3,7.327,47.489,4.7,2,1.004,1.725,3.774,2,0,0.794,30.102,1,2,0,1,1,0,0,0,0,1,0,0,1.0
5.0,6,5,2,0.916,4,24.259,11.054,2.317,3.865,11.111,3.935,1,4.068,0.86,1,58.145,0.0,6.398,5.674,18.011,3.145,1,0.86,58.627,0,-0.372,7,58.145,82.404,82.404,18.011,-0.089,1,0,-0.03,0,0.851,1,1,2.079,1,4,9.358,61.809,5.601,2,1.319,1.802,3.842,4,0,0.927,45.939,1,1,0,2,1,1,0,0,0,1,0,0,1.0
