pXC50,GATS4p,MATS4i,ATSC2s,JGI7,ATSC5e,ATSC5s,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5i,ATSC5m,ATSC5p,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,BLTA96,BLTD48,BLTF96,C.,C.001,C.002,C.003,C.005,C.006,C.008,C.009,C.011,C.013,C.024,C.025,C.027,CATS2D_01_DA,CATS2D_01_LL,CATS2D_02_AA,CATS2D_02_AL,CATS2D_02_DL,CATS2D_02_DN,CATS2D_02_LL,CATS2D_02_NL,CATS2D_02_PL,CATS2D_03_AL,CATS2D_03_DA,CATS2D_03_DD,CATS2D_03_DL,CATS2D_03_DN,CATS2D_03_LL,CATS2D_03_NL,CATS2D_03_PL,CATS2D_03_PN,CATS2D_04_AL,CATS2D_04_AN,CATS2D_04_AP,CATS2D_04_DA,CATS2D_04_DD,CATS2D_04_DL,CATS2D_04_DP,CATS2D_04_LL,CATS2D_04_NL,CATS2D_04_PL,CATS2D_05_AA,CATS2D_05_AL,CATS2D_05_AN,CATS2D_05_DA,CATS2D_05_DL,CATS2D_05_LL,CATS2D_05_NL,CATS2D_05_PL,CATS2D_06_AA,CATS2D_06_AL,CATS2D_06_DA,CATS2D_06_DL,CATS2D_06_LL,CATS2D_06_NL,CATS2D_06_PL,CATS2D_07_AL,CATS2D_07_DL,CATS2D_07_LL,CATS2D_07_NL,CATS2D_07_PL,CATS2D_08_AL,CATS2D_08_DL,CATS2D_08_LL,CATS2D_08_NL,CATS2D_08_PL,CATS2D_09_AL,CATS2D_09_DL,CATS2D_09_LL,CATS2D_09_NL,CENT,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Chi0_EA.bo.,Chi0_EA.dm.,Chi0_EA.ed.,Chi0_EA.ri.,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,Chi1_EA.bo.,Chi1_EA.dm.,Chi1_EA.ed.,Chi1_EA.ri.,CIC0,CIC1,CIC2,CIC3,CIC4,CIC5,CID,CMC.50,CMC.80,CSI,DBI,D.Dtr05
6.0,0.843,0.083,152.662,0.019,0.854,150.963,1.873,7.667,-1.439,2.07,65.204,8.945,0.333,3.582,3.681,3.65,3.208,4.721,3.071,4.109,4.216,3.827,3.584,5.94,3.399,4.42,4.6,3.907,3.62,5.616,3.476,4.545,4.733,3.752,3.476,6.436,3.346,4.327,4.567,3.175,3.308,5.519,3.121,4.095,4.324,3.224,3.232,5.295,3.023,3.886,4.093,3.408,3.227,5.294,3.021,3.916,4.048,3.228,3.005,5.556,2.911,0.379,0.466,11.653,4.841,63.782,3.591,0.795,0.706,20.194,8.836,6.429,0.899,0.827,28.888,9.02,164.372,7.963,1.657,0.765,30.491,8.802,274.686,8.38,0.632,25.588,7.31,6.906,0.587,0.525,17.416,6.143,108.552,6.035,0.332,0.49,16.985,6.735,47.8,5.642,0.551,0.411,15.671,5.448,87.512,3.96,45,26,0.357,0.645,0.717,0.761,0.776,0.776,2.959,1.404,-0.89,-1.0,-1.1,27.3,0,0,0,0,2,0,1,0,0,5,1,0,0,6,0,0,1,0,6,0,0,0,0,0,2,6,3,0,0,0,0,0,0,6,8,2,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,4,0,4,0,4,8,0,4,0,4,8,0,2,0,2,4,0,0,364.0,10.911,10.911,10.911,10.911,10.911,9.772,8.131,6.432,10.967,8.899,8.899,8.899,8.899,8.899,7.17,10.848,3.059,8.981,3.171,1.661,1.284,1.053,0.97,0.97,3.577,0,0,267.0,4.301,0.0
6.367,0.837,0.071,163.473,0.014,0.686,121.091,1.641,10.85,0.587,0.345,77.47,7.05,0.0,3.877,4.01,3.701,3.411,4.811,3.248,4.483,4.67,3.845,3.795,6.004,3.56,4.82,5.086,3.933,3.86,5.75,3.65,4.879,5.127,3.826,3.782,6.499,3.59,4.745,5.036,3.315,3.671,5.692,3.428,4.591,4.883,3.236,3.576,5.49,3.318,4.503,4.79,3.181,3.485,5.438,3.23,4.406,4.688,3.123,3.385,5.384,3.133,0.287,0.6,18.925,5.984,50.199,6.389,0.79,0.89,30.737,11.035,10.633,0.77,0.994,43.008,10.48,135.927,12.867,1.731,0.929,40.317,10.492,293.036,12.507,0.833,33.9,9.261,11.35,0.501,0.743,29.303,8.667,93.615,10.299,0.481,0.672,27.291,7.943,89.672,9.266,0.461,0.601,25.278,7.22,85.728,8.233,78,25,0.294,0.462,0.622,0.725,0.795,0.832,3.054,1.637,-2.67,-2.69,-2.61,23.4,1,7,0,0,2,0,1,0,0,0,0,0,0,7,0,0,1,0,6,0,0,0,0,0,1,6,5,0,0,0,0,0,0,6,8,1,0,4,0,0,0,0,0,0,1,3,2,0,0,2,0,5,2,2,0,2,5,1,2,0,2,5,0,2,0,2,5,0,2,552.0,12.3,12.3,12.3,12.3,12.3,11.913,6.325,7.814,12.365,9.381,9.381,9.381,9.381,9.381,8.696,7.5,3.733,9.473,3.914,2.974,2.078,1.505,1.112,0.91,3.66,0,1,402.0,5.0,0.0
6.0,0.84,0.068,163.161,0.013,0.66,116.55,1.616,11.619,1.044,1.089,82.071,6.907,0.0,3.935,4.07,3.73,3.468,4.853,3.305,4.545,4.736,3.873,3.853,6.027,3.619,4.885,5.156,3.96,3.924,5.789,3.709,4.94,5.194,3.855,3.85,6.517,3.653,4.815,5.109,3.364,3.747,5.733,3.501,4.672,4.967,3.288,3.659,5.54,3.399,4.591,4.883,3.236,3.576,5.49,3.318,4.503,4.79,3.181,3.485,5.438,3.23,0.275,0.64,19.896,6.313,48.245,6.882,0.783,0.953,32.174,11.587,11.436,0.742,1.072,44.867,11.15,130.815,13.874,1.737,1.007,42.073,11.169,294.256,13.502,0.91,35.492,9.942,12.346,0.481,0.819,30.955,9.351,90.222,11.297,0.464,0.748,28.975,8.63,86.738,10.268,0.446,0.677,26.996,7.909,83.253,9.239,79,26,0.285,0.445,0.599,0.7,0.774,0.823,3.099,1.63,-2.95,-2.95,-2.85,24.0,1,8,0,0,2,0,1,0,0,0,0,0,0,8,0,0,1,0,7,0,0,0,0,0,1,6,6,0,0,0,0,0,0,6,8,1,0,5,0,0,0,0,0,0,1,4,2,0,0,2,0,5,3,2,0,2,5,2,2,0,2,5,1,2,0,2,5,0,2,640.0,13.007,13.007,13.007,13.007,13.007,12.62,6.325,8.314,13.072,9.881,9.881,9.881,9.881,9.881,9.196,7.5,3.983,9.973,4.028,3.121,2.245,1.675,1.255,0.975,3.71,0,1,454.0,5.099,0.0
6.068,0.844,0.066,162.773,0.013,0.635,112.272,1.592,12.409,1.5,2.249,86.672,6.781,0.0,3.99,4.127,3.757,3.521,4.893,3.36,4.603,4.798,3.901,3.908,6.049,3.674,4.946,5.221,3.985,3.983,5.825,3.764,4.998,5.256,3.884,3.914,6.535,3.711,4.88,5.177,3.41,3.818,5.772,3.569,4.747,5.045,3.338,3.736,5.587,3.474,4.672,4.967,3.288,3.659,5.54,3.399,4.591,4.883,3.236,3.576,5.49,3.318,0.263,0.68,20.843,6.644,46.419,7.373,0.776,1.016,33.59,12.138,12.237,0.716,1.15,46.681,11.822,126.05,14.876,1.741,1.085,43.798,11.846,295.201,14.493,0.987,37.068,10.622,13.34,0.463,0.895,32.585,10.035,86.976,12.291,0.447,0.824,30.635,9.316,83.875,11.266,0.432,0.752,28.685,8.598,80.774,10.24,82,27,0.277,0.429,0.577,0.675,0.75,0.811,3.143,1.624,-3.22,-3.21,-3.08,24.5,1,9,0,0,2,0,1,0,0,0,0,0,0,9,0,0,1,0,8,0,0,0,0,0,1,6,7,0,0,0,0,0,0,6,8,1,0,6,0,0,0,0,0,0,1,5,2,0,0,2,0,5,4,2,0,2,5,3,2,0,2,5,2,2,0,2,5,1,2,728.0,13.714,13.714,13.714,13.714,13.714,13.327,6.325,8.814,13.779,10.381,10.381,10.381,10.381,10.381,9.696,7.5,4.233,10.473,4.136,3.259,2.405,1.843,1.41,1.062,3.758,1,1,510.0,5.196,0.0
6.091,0.847,0.063,162.335,0.012,0.612,108.253,1.57,13.174,1.956,3.826,91.273,6.668,0.0,4.042,4.181,3.784,3.572,4.932,3.411,4.658,4.857,3.928,3.96,6.07,3.727,5.003,5.282,4.011,4.039,5.861,3.817,5.052,5.315,3.911,3.974,6.553,3.767,4.941,5.241,3.454,3.884,5.809,3.632,4.817,5.118,3.385,3.807,5.631,3.544,4.747,5.045,3.338,3.736,5.587,3.474,4.672,4.967,3.288,3.659,5.54,3.399,0.253,0.719,21.77,6.976,44.715,7.864,0.77,1.08,34.988,12.69,13.036,0.692,1.227,48.459,12.495,121.61,15.874,1.744,1.163,45.497,12.524,295.935,15.481,1.064,38.633,11.303,14.329,0.445,0.972,34.199,10.718,83.889,13.282,0.431,0.9,32.275,10.002,81.111,12.26,0.417,0.828,30.351,9.285,78.333,11.238,83,28,0.269,0.414,0.557,0.652,0.727,0.791,3.185,1.618,-3.48,-3.46,-3.31,25.0,1,10,0,0,2,0,1,0,0,0,0,0,0,10,0,0,1,0,9,0,0,0,0,0,1,6,8,0,0,0,0,0,0,6,8,1,0,7,0,0,0,0,0,0,1,6,2,0,0,2,0,5,5,2,0,2,5,4,2,0,2,5,3,2,0,2,5,2,2,838.0,14.421,14.421,14.421,14.421,14.421,14.034,6.325,9.314,14.486,10.881,10.881,10.881,10.881,10.881,10.196,7.5,4.483,10.973,4.237,3.39,2.557,2.005,1.567,1.192,3.804,0,1,568.0,5.292,0.0
6.0,0.853,0.058,161.383,0.01,0.603,100.948,1.531,14.72,2.868,8.228,100.475,6.475,0.0,4.138,4.28,3.836,3.666,5.005,3.507,4.76,4.964,3.979,4.057,6.112,3.824,5.109,5.394,4.059,4.143,5.928,3.915,5.153,5.424,3.965,4.084,6.587,3.869,5.054,5.357,3.537,4.004,5.88,3.749,4.943,5.249,3.474,3.936,5.716,3.67,4.882,5.185,3.43,3.874,5.674,3.609,4.817,5.118,3.385,3.807,5.631,3.544,0.248,0.798,23.575,7.642,41.642,8.843,0.794,1.206,37.739,13.794,14.63,0.684,1.382,51.926,13.843,113.617,17.861,1.771,1.318,48.833,13.881,296.953,17.451,1.219,41.734,12.665,16.302,0.445,1.124,37.386,12.085,78.199,15.255,0.433,1.052,35.507,11.372,75.933,14.239,0.42,0.98,33.627,10.659,73.666,13.222,87,30,0.256,0.389,0.521,0.61,0.682,0.748,3.264,1.608,-3.99,-3.94,-3.74,25.8,1,12,0,0,2,0,1,0,0,0,0,0,0,12,0,0,1,0,11,0,0,0,0,0,1,6,10,0,0,0,0,0,0,6,8,1,0,9,0,0,0,0,0,0,1,8,2,0,0,2,0,5,7,2,0,2,5,6,2,0,2,5,5,2,0,2,5,4,2,1082.0,15.835,15.835,15.835,15.835,15.835,15.448,6.325,10.314,15.9,11.881,11.881,11.881,11.881,11.881,11.196,7.5,4.983,11.973,4.424,3.629,2.839,2.31,1.875,1.48,3.889,0,1,694.0,5.477,0.0
6.034,0.949,-0.036,160.674,0.0,0.629,121.133,1.864,6.071,-1.139,1.297,54.358,9.436,0.0,3.391,3.477,3.595,3.07,4.464,2.846,3.955,4.061,3.739,3.444,5.835,3.145,4.222,4.396,3.958,3.524,5.438,3.237,4.322,4.462,3.9,3.299,6.321,3.158,3.994,4.215,2.946,3.075,5.172,2.804,3.859,4.083,2.84,2.882,5.103,2.647,3.753,3.978,2.489,2.612,5.164,2.42,3.537,3.779,1.227,1.916,4.875,1.791,0.375,0.379,10.632,4.899,67.11,3.426,0.782,0.573,24.972,9.639,6.267,0.895,0.647,36.064,11.122,170.299,7.002,1.412,0.561,32.858,8.481,269.751,6.447,0.444,24.533,6.926,5.581,0.595,0.356,18.214,5.511,114.953,4.418,0.585,0.283,18.867,4.944,100.224,3.677,0.588,0.155,11.441,2.208,106.388,2.124,66,19,0.384,0.584,0.734,0.763,0.763,0.763,2.731,1.937,-0.54,-0.66,-0.8,17.9,1,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,1,2,0,0,2,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,220.0,8.057,8.057,8.057,8.057,8.057,7.67,2.329,4.814,8.268,6.381,6.381,6.381,6.381,6.381,5.696,1.017,2.233,6.704,2.944,1.972,1.241,1.098,1.098,1.098,3.291,0,0,150.0,4.359,0.0
5.0,0.976,-0.025,172.142,0.015,1.228,259.394,1.658,11.591,0.943,0.889,87.936,7.568,0.0,3.938,4.05,3.874,3.545,4.87,3.359,4.548,4.714,3.991,3.93,6.049,3.676,4.898,5.142,4.174,4.047,5.885,3.783,4.949,5.172,4.234,3.952,6.493,3.76,4.844,5.09,3.752,3.83,6.307,3.608,4.694,4.959,3.416,3.71,5.687,3.458,4.6,4.873,3.355,3.628,5.556,3.366,4.513,4.78,3.306,3.542,5.508,3.282,0.313,0.665,20.339,7.256,57.395,7.054,0.794,1.025,35.807,13.478,12.156,0.885,1.208,54.927,15.879,171.809,14.92,1.699,1.142,52.748,13.555,324.487,14.318,1.026,43.818,12.362,13.333,0.66,0.903,35.416,10.688,132.133,11.736,0.569,0.827,32.938,10.004,112.553,10.836,0.546,0.752,30.8,9.246,107.93,9.771,94,28,0.291,0.443,0.596,0.696,0.77,0.819,3.144,1.77,-2.85,-2.86,-2.77,24.0,1,8,0,0,2,0,1,0,0,0,0,0,0,8,0,0,0,0,7,0,0,1,0,0,0,4,6,0,0,0,1,2,0,4,4,0,0,5,0,0,2,1,0,4,0,4,2,0,0,3,0,4,3,2,0,3,4,2,2,0,3,4,1,2,0,3,4,0,2,748.0,13.455,13.455,13.455,13.455,13.455,12.913,2.741,8.443,13.746,10.364,10.364,10.364,10.364,10.364,9.387,1.496,4.047,10.779,3.986,3.121,2.245,1.675,1.255,0.975,3.754,0,0,475.0,5.292,0.0
5.0,1.099,-0.06,220.313,0.021,1.903,418.127,1.817,7.5,-1.242,1.543,64.408,9.007,0.0,3.646,3.724,3.825,3.28,4.677,3.09,4.257,4.368,3.948,3.655,6.099,3.429,4.606,4.796,4.116,3.769,5.842,3.541,4.672,4.834,4.259,3.673,6.444,3.534,4.603,4.762,3.871,3.485,6.653,3.38,4.337,4.544,3.182,3.275,5.675,3.082,4.119,4.341,2.952,3.078,5.38,2.858,3.931,4.176,2.842,2.914,5.127,2.667,0.427,0.487,14.693,5.868,90.465,4.536,0.975,0.731,28.595,10.915,8.147,1.317,0.848,45.198,12.802,275.893,9.821,1.867,0.792,44.269,10.957,394.418,9.373,0.672,38.137,9.322,8.411,1.053,0.538,29.141,7.478,216.922,6.755,0.831,0.432,21.905,6.068,167.015,5.569,0.662,0.358,19.737,5.402,128.265,4.816,102,26,0.344,0.547,0.714,0.785,0.785,0.785,2.959,1.834,-0.39,-0.52,-0.67,19.4,1,3,0,0,2,0,1,0,0,0,0,0,0,3,1,0,0,0,2,0,0,2,0,0,0,4,1,0,0,0,2,4,0,4,4,0,0,0,0,0,4,2,0,8,0,0,2,0,0,4,0,4,0,2,0,2,4,0,2,0,2,4,0,2,0,2,4,0,0,384.0,10.212,10.212,10.212,10.212,10.212,9.486,3.152,5.923,10.479,8.353,8.353,8.353,8.353,8.353,7.045,2.145,2.778,8.787,3.353,2.279,1.396,1.021,1.021,1.021,3.54,0,0,244.0,5.099,0.0
7.398,0.883,0.026,163.507,0.017,0.561,106.931,1.641,10.0,1.245,1.549,83.059,7.434,0.0,3.872,3.989,3.81,3.501,4.785,3.29,4.479,4.646,3.941,3.891,5.983,3.61,4.797,5.034,4.127,4.012,5.737,3.732,4.933,5.172,4.171,3.976,6.439,3.735,4.81,5.078,3.649,3.902,5.813,3.615,4.797,5.05,3.385,3.728,5.879,3.479,4.612,4.917,3.255,3.588,5.478,3.287,4.404,4.677,3.197,3.444,5.37,3.161,0.269,0.632,19.6,7.084,48.5,6.805,0.779,0.979,37.383,13.45,11.63,0.678,1.153,50.889,15.287,127.109,14.123,1.563,1.156,51.194,14.155,292.327,14.655,1.076,46.834,14.272,13.934,0.824,0.927,38.916,11.033,154.36,11.907,0.498,0.803,33.706,10.11,94.464,10.829,0.429,0.676,28.169,8.581,82.768,8.775,90,26,0.294,0.455,0.657,0.753,0.806,0.821,3.055,1.958,-3.43,-3.41,-3.26,23.4,1,6,0,1,2,0,1,0,0,0,0,0,0,6,0,0,0,0,5,0,1,0,0,0,0,4,4,0,1,2,0,0,2,4,4,0,4,3,0,1,0,0,0,0,0,2,2,1,0,2,0,4,1,2,1,2,4,0,2,1,2,4,0,2,1,2,4,0,2,552.0,12.04,12.04,12.04,12.04,12.04,11.653,2.4,7.443,12.406,9.364,9.364,9.364,9.364,9.364,8.679,0.988,3.547,9.939,3.914,3.012,1.884,1.351,1.053,0.968,3.656,0,0,369.0,5.099,0.0
