pXC50,P_VSA_e_5,P_VSA_m_3,MATS1e,CATS2D_04_AP,CATS2D_06_AN,P_VSA_p_2,SAacc,O.,CATS2D_02_DA,CATS2D_05_DP,CATS2D_05_PP,nPO4,O.056,P.117,P_VSA_MR_3,SdsssP,ATSC1e,CATS2D_01_AN,CATS2D_08_DD,Eig03_AEA.ri.,nO,CATS2D_08_AN,NsOH,SpMax7_Bh.s.,SpMax6_Bh.s.,P_VSA_v_2,Eta_epsi_A,IC1,ATSC2e,CATS2D_01_DN,CATS2D_02_DD,CATS2D_06_DN,NdsssP,nP,CATS2D_08_PN,nROH,SsssCH,nOHs,CATS2D_08_DP,nC..N.N2,ATSC1s,SaasN,nN.,nCconj,TPSA.NO.,CATS2D_02_AP,Eig03_EA.ri.,ATSC3e,CATS2D_09_DP,CATS2D_03_AP,Eta_betaS_A,Psi_i_s,TPSA.Tot.,P_VSA_s_6,SpMax5_Bh.s.,GATS1e,CATS2D_09_AP,CATS2D_09_DA,nHet,P_VSA_p_4,SAdon,IC3,P_VSA_LogP_3,Eig03_EA,SM11_AEA.bo.,CATS2D_07_DD,H.050,Hy,nHDon
5.043,222.96,222.96,-0.297,3,1,294.452,290.654,13.8,7,2,1,1,4,1,177.552,-4.819,0.462,2,2,4.004,8,1,4,5.159,6.23,294.452,0.678,4.252,1.194,2,2,1,1,1,1,4,-5.498,2,1,1,59.002,2.972,1,2,197.03,2,2.922,1.438,2,2,0.707,95.306,206.84,272.643,6.4,1.098,2,4,14,3.143,210.538,5.466,225.964,3.05,3.05,4,7,4.062,7
4.842,273.707,273.707,-0.244,3,1,350.869,341.4,18.5,7,2,1,1,4,1,228.299,-4.86,0.648,2,2,4.002,10,1,4,6.4,6.437,350.869,0.735,4.475,1.391,2,2,1,1,1,1,4,-5.814,2,1,1,79.608,2.63,1,2,242.85,2,2.869,1.736,2,2,0.721,103.639,252.66,323.39,6.495,1.009,2,6,17,3.143,210.538,5.496,197.535,3.049,3.049,4,7,4.198,7
8.0,343.437,343.437,-0.526,3,2,414.929,411.13,26.9,13,2,1,3,6,3,257.502,-16.776,1.047,8,3,4.114,14,3,6,6.4,6.437,414.929,0.787,4.219,2.161,4,2,1,3,3,1,6,-6.3,2,1,1,130.839,2.502,1,2,290.09,2,3.101,2.413,1,2,0.75,111.417,319.52,393.12,6.495,1.354,3,8,22,22.85,284.802,5.301,233.894,3.124,3.124,3,9,6.217,9
7.347,283.198,283.198,-0.472,3,2,354.69,350.892,23.4,10,2,1,2,5,2,217.527,-10.494,0.8,5,4,4.01,11,2,5,6.346,6.4,354.69,0.76,4.227,1.718,3,2,1,2,2,1,5,-5.894,2,1,1,100.234,2.599,1,2,243.56,2,2.879,1.964,1,2,0.75,94.111,263.18,332.881,6.437,1.287,3,6,18,12.997,247.67,5.182,196.762,3.069,3.069,3,8,5.458,8
5.879,222.96,222.96,-0.326,3,1,294.452,290.654,15.4,7,2,1,1,4,1,177.552,-4.801,0.492,2,2,4.001,8,1,4,5.158,6.23,294.452,0.691,4.265,1.202,2,2,1,1,1,1,4,-5.44,2,1,1,62.662,2.938,1,2,197.03,2,2.868,1.482,2,2,0.718,87.972,206.84,272.643,6.4,1.131,2,4,14,3.143,210.538,5.263,207.012,3.048,3.048,4,7,4.274,7
5.338,290.788,290.788,-0.333,3,1,362.28,358.482,18.2,8,2,1,1,4,1,177.552,-4.848,0.613,3,2,4.001,10,2,5,6.351,6.4,362.28,0.719,4.459,1.361,3,2,1,1,1,1,5,-5.717,2,1,1,83.065,2.732,1,3,234.33,2,2.869,1.683,2,2,0.713,102.306,244.14,340.471,6.437,1.122,2,5,16,3.143,253.222,5.418,197.535,3.049,3.049,4,8,5.053,8
5.18,233.96,233.96,-0.31,3,1,305.452,301.653,16.1,7,2,1,1,4,1,177.552,-4.818,0.53,2,2,4.001,9,1,4,5.158,6.23,305.452,0.691,4.358,1.339,2,2,1,1,1,1,4,-5.53,2,1,1,62.016,2.893,1,2,206.26,2,2.868,1.561,2,2,0.72,93.139,216.07,283.643,6.4,1.124,2,4,15,3.143,210.538,5.508,197.535,3.049,3.049,4,7,4.192,7
5.726,222.96,237.92,-0.304,3,1,294.452,305.614,15.4,7,2,1,1,4,1,177.552,-4.836,0.574,2,2,4.001,8,1,4,6.23,6.4,309.412,0.72,4.41,1.288,2,2,1,1,1,1,4,-5.683,2,1,1,75.059,2.697,1,2,197.03,2,2.868,1.707,2,2,0.719,95.639,206.84,287.603,6.437,1.058,2,4,15,3.143,210.538,5.47,197.535,3.049,3.049,4,7,4.248,7
5.701,222.96,222.96,-0.33,3,1,294.452,290.654,15.4,7,2,1,1,4,1,177.552,-4.814,0.54,2,2,4.001,8,1,4,5.158,6.23,294.452,0.712,4.41,1.247,2,2,1,1,1,1,4,-5.516,2,1,1,67.369,2.883,1,2,197.03,2,2.868,1.598,2,2,0.719,91.75,206.84,311.791,6.4,1.119,2,4,15,3.143,210.538,5.316,197.535,3.048,3.048,4,7,4.248,7
5.65,222.96,222.96,-0.33,3,1,294.452,290.654,15.4,7,2,1,1,4,1,177.552,-4.818,0.54,2,2,4.003,8,1,4,5.159,6.23,294.452,0.712,4.41,1.247,2,2,1,1,1,1,4,-5.553,2,1,1,67.48,2.84,1,2,197.03,2,2.869,1.592,2,2,0.719,91.75,206.84,311.791,6.4,1.119,2,4,15,3.143,210.538,5.431,197.535,3.05,3.05,4,7,4.248,7
5.125,222.96,222.96,-0.398,3,1,294.452,290.654,19.0,7,2,1,1,4,1,177.552,-4.762,0.548,2,2,3.993,8,1,4,5.158,6.23,294.452,0.727,4.153,1.222,2,2,1,1,1,1,4,-5.297,2,1,1,69.279,2.731,1,2,197.03,2,2.862,1.512,2,2,0.75,76.806,206.84,272.643,6.4,1.202,2,4,14,3.143,210.538,5.041,159.63,3.042,3.042,4,7,4.694,7
5.658,222.96,222.96,-0.33,3,1,294.452,290.654,15.4,7,2,1,1,4,1,177.552,-4.816,0.54,2,2,4.001,8,1,4,5.158,6.23,294.452,0.712,4.41,1.247,2,2,1,1,1,1,4,-5.532,2,1,1,67.369,2.866,1,2,197.03,2,2.868,1.598,2,2,0.719,91.75,206.84,311.791,6.4,1.119,2,4,15,3.143,210.538,5.47,197.535,3.049,3.049,4,7,4.248,7
5.121,222.96,267.84,-0.264,3,1,294.452,335.534,14.5,7,2,1,1,4,1,177.552,-4.897,0.724,2,2,4.105,8,1,4,6.437,6.495,339.332,0.76,4.438,1.873,2,2,1,1,1,1,4,-6.064,2,1,1,106.699,2.401,1,2,197.03,2,2.906,1.935,2,2,0.714,112.889,206.84,317.523,7.429,0.962,2,4,17,3.143,210.538,5.44,197.535,3.127,3.127,4,7,4.147,7
4.801,222.96,222.96,-0.308,3,1,294.452,290.654,14.5,7,2,1,1,4,1,177.552,-4.805,0.471,2,2,4.001,8,1,4,5.158,6.23,294.452,0.677,4.269,1.213,2,2,1,1,1,1,4,-5.45,2,1,1,59.448,2.958,1,2,197.03,2,2.868,1.431,2,2,0.711,89.639,206.84,272.643,6.4,1.116,2,4,14,3.143,210.538,5.44,197.535,3.049,3.049,4,7,4.217,7
4.762,222.96,222.96,-0.335,3,1,294.452,290.654,15.4,7,2,1,1,4,1,177.552,-4.833,0.587,2,2,4.004,8,1,4,5.159,6.23,294.452,0.733,4.465,1.295,2,2,1,1,1,1,4,-5.645,2,1,1,72.329,2.769,1,2,197.03,2,2.869,1.709,2,2,0.72,95.528,206.84,350.94,6.4,1.111,2,4,16,3.143,210.538,5.431,188.059,3.051,3.051,4,7,4.222,7
4.161,222.96,222.96,-0.308,3,1,294.452,290.654,14.5,7,2,1,1,4,1,177.552,-4.806,0.471,2,2,4.004,8,1,4,5.158,6.23,294.452,0.677,4.269,1.213,2,2,1,1,1,1,4,-5.452,2,1,1,59.559,2.968,1,2,197.03,2,2.874,1.434,2,2,0.711,89.639,206.84,272.643,6.4,1.116,2,4,14,3.143,210.538,5.368,197.535,3.05,3.05,4,7,4.217,7
5.105,222.96,237.92,-0.304,3,1,294.452,305.614,15.4,7,2,1,1,4,1,177.552,-4.831,0.574,2,2,4.001,8,1,4,6.23,6.4,309.412,0.72,4.41,1.288,2,2,1,1,1,1,4,-5.641,2,1,1,75.059,2.756,1,2,197.03,2,2.868,1.707,2,2,0.719,95.639,206.84,287.603,6.437,1.058,2,4,15,3.143,210.538,5.316,197.535,3.048,3.048,4,7,4.248,7
5.509,222.96,237.92,-0.31,3,1,294.452,305.614,15.4,7,2,1,1,4,1,177.552,-4.853,0.623,2,2,4.004,8,1,4,6.23,6.4,309.412,0.741,4.542,1.34,2,2,1,1,1,1,4,-5.796,2,1,1,80.335,2.6,1,2,197.03,2,2.869,1.823,2,2,0.72,99.417,206.84,326.752,6.437,1.055,2,4,16,3.143,210.538,5.47,188.059,3.051,3.051,4,7,4.222,7
