pXC50,nCsp2,C.,SCBO,nBM,Mi,nC,H.,nBO,nSK,Mv,Sv,nAB,MW,Mp,Sp,O.,AMW,Me,N.,nAT,nB,nBR,nBT,nCL,nCsp,nCsp3
4.863,8,37.0,29.0,5,1.131,20,55.6,24,24,0.57,30.761,0,334.5,0.616,33.239,7.4,6.194,0.992,0.0,54,0,0,54,0,0,12
4.1,7,35.7,25.0,7,1.131,15,52.4,21,20,0.594,24.928,6,294.46,0.647,27.182,4.8,7.011,0.995,4.8,42,0,0,43,0,0,8
4.678,41,50.6,82.0,41,1.104,43,36.5,59,54,0.695,59.071,36,721.75,0.706,59.972,11.8,8.491,1.019,1.2,85,0,0,90,0,0,2
4.276,35,48.1,77.0,35,1.118,38,32.9,57,53,0.707,55.882,30,745.72,0.705,55.67,12.7,9.439,1.043,1.3,79,0,0,83,0,0,3
4.284,35,48.1,74.0,35,1.109,39,38.3,54,50,0.68,55.071,30,673.71,0.691,55.972,12.3,8.317,1.02,1.2,81,0,0,85,0,0,4
4.553,35,46.2,78.0,35,1.113,43,41.9,58,54,0.658,61.179,30,729.83,0.678,63.017,10.8,7.848,1.013,1.1,93,0,0,97,0,0,8
4.0,9,37.5,33.0,9,1.131,18,45.8,27,26,0.624,29.933,6,383.86,0.645,30.966,12.5,7.997,1.023,2.1,48,0,0,49,1,0,9
4.0,10,38.9,29.0,9,1.118,14,41.7,23,21,0.667,24.029,6,321.46,0.716,25.79,5.6,8.929,1.012,8.3,36,0,0,38,0,0,4
4.1,20,42.3,50.5,23,1.122,22,36.5,36,33,0.684,35.556,17,465.53,0.698,36.278,9.6,8.952,1.027,9.6,52,0,0,55,0,0,2
4.0,15,41.9,41.0,19,1.132,18,37.2,30,27,0.672,28.907,16,364.4,0.679,29.205,7.0,8.474,1.024,14.0,43,0,0,46,0,0,3
4.0,10,38.1,29.5,12,1.133,16,47.6,23,22,0.611,25.643,11,304.38,0.635,26.682,9.5,7.247,1.011,4.8,42,0,0,43,0,0,6
4.1,17,48.8,36.0,15,1.108,21,44.2,27,24,0.656,28.192,12,317.41,0.692,29.767,4.7,7.382,0.993,2.3,43,0,0,46,0,0,4
5.943,10,37.5,30.0,9,1.124,15,45.0,24,22,0.647,25.862,6,334.51,0.703,28.103,2.5,8.363,1.002,10.0,40,0,0,42,0,0,5
4.1,9,41.4,22.0,8,1.125,12,44.8,17,16,0.632,18.327,6,219.26,0.653,18.938,10.3,7.561,1.013,3.4,29,0,0,30,0,0,3
4.06,16,43.9,36.0,15,1.117,18,39.0,27,25,0.688,28.224,12,373.51,0.733,30.034,2.4,9.11,1.012,7.3,41,0,0,43,0,0,2
5.757,24,50.0,52.5,23,1.096,25,32.0,38,34,0.734,36.679,17,488.57,0.758,37.909,10.0,9.771,1.024,4.0,50,0,0,54,0,0,1
5.889,7,38.2,27.5,8,1.116,13,41.2,22,20,0.668,22.722,5,310.43,0.713,24.239,8.8,9.13,1.019,5.9,34,0,0,36,0,0,6
5.554,16,50.0,35.5,21,1.109,17,35.3,25,22,0.701,23.821,21,292.31,0.711,24.182,8.8,8.597,1.018,5.9,34,0,0,37,0,0,1
4.0,14,41.0,33.0,14,1.139,16,38.5,25,24,0.67,26.135,12,351.41,0.687,26.779,5.1,9.011,1.032,7.7,39,0,0,40,0,0,2
4.1,21,45.1,51.0,26,1.115,23,35.3,36,33,0.697,35.534,22,462.52,0.711,36.273,9.8,9.069,1.026,7.8,51,0,0,54,0,0,2
4.1,17,48.7,36.5,19,1.109,19,38.5,26,24,0.681,26.568,17,321.35,0.696,27.154,10.3,8.24,1.015,2.6,39,0,0,41,0,0,2
5.079,8,34.1,32.5,9,1.137,15,43.2,26,25,0.64,28.174,5,386.9,0.669,29.438,9.1,8.793,1.027,9.1,44,0,0,45,1,0,7
4.1,9,34.6,39.0,9,1.177,18,36.5,33,33,0.65,33.781,6,508.84,0.622,32.358,11.5,9.785,1.08,3.8,52,0,0,52,1,0,9
4.159,15,42.4,49.0,18,1.124,25,42.4,39,34,0.647,38.148,16,463.53,0.663,39.119,10.2,7.856,1.017,5.1,59,0,0,64,0,0,10
4.0,17,42.9,41.5,19,1.127,21,42.9,31,28,0.648,31.751,17,375.47,0.674,33.029,4.1,7.663,1.005,10.2,49,0,0,52,0,0,4
4.0,14,43.9,36.5,18,1.127,18,41.5,27,24,0.658,26.983,17,319.4,0.684,28.051,2.4,7.79,1.003,12.2,41,0,0,44,0,0,4
5.532,17,46.8,43.5,22,1.116,22,40.4,32,28,0.669,31.423,21,373.44,0.691,32.472,6.4,7.946,1.008,6.4,47,0,0,51,0,0,5
4.0,10,37.0,37.0,16,1.142,17,43.5,29,26,0.639,29.38,16,373.89,0.667,30.682,2.2,8.128,1.012,15.2,46,0,0,49,1,0,7
4.0,10,41.0,32.5,15,1.129,16,43.6,25,22,0.638,24.896,15,299.36,0.659,25.71,7.7,7.676,1.012,7.7,39,0,0,42,0,0,6
4.0,13,40.8,36.0,13,1.128,20,46.9,29,26,0.622,30.477,12,353.46,0.653,31.995,6.1,7.213,1.003,6.1,49,0,0,52,0,0,7
5.932,21,50.0,48.5,21,1.109,25,38.0,36,31,0.688,34.423,17,409.47,0.709,35.472,6.0,8.189,1.007,6.0,50,0,0,55,0,0,4
