pXC50,ATSC1e,ATSC1s,BIC2,BIC3,BIC4,CIC2,CIC3,DECC,DLS_cons,Eta_FL,GATS3p,Hy,MATS6e,MATS6s,PCR,SIC2,SIC3,Vindex,Xindex,Yindex,ATSC7e,ATSC7s,ATSC8e,ATSC8s,Eig01_AEA.bo.,Eig01_AEA.ed.,Eig01_EA.ed.,Eig02_AEA.ed.,Eig02_AEA.ri.,Eig02_EA,Eig02_EA.ed.,Eig02_EA.ri.,Eig03_AEA.ed.,Eig03_AEA.ri.,Eig03_EA,Eig03_EA.ed.,Eig04_AEA.ri.,Eig04_EA,Eig04_EA.bo.,Eig05_AEA.ed.,Eig05_EA.bo.,Eig06_AEA.bo.,Eig06_AEA.ed.,Eig06_AEA.ri.,Eig06_EA,Eig06_EA.bo.,Eig06_EA.ed.,Eig06_EA.ri.,Eig07_AEA.dm.,Eig07_AEA.ed.,Eig07_EA.ed.,Eig08_AEA.dm.,Eig08_AEA.ed.,Eig09_AEA.dm.,Eig10_AEA.dm.,GGI3,GGI4,GGI5
4.046,1.015,128.92,0.823,0.894,0.923,0.756,0.34,1.848,0.44,6.88,1.281,5.404,0.194,0.257,1.284,0.864,0.939,0.212,0.336,0.575,2.262,280.18,1.879,259.483,4.68,7.058,12.198,6.924,4.222,3.298,11.609,3.105,6.594,4.109,3.116,10.554,3.936,2.995,3.391,6.092,3.323,3.66,5.891,3.313,2.387,2.918,7.929,2.202,2.241,5.236,5.87,1.969,4.787,1.549,1.365,4.299,1.833,1.42
2.854,0.943,112.06,0.829,0.894,0.917,0.818,0.42,2.439,0.33,7.023,1.187,4.26,0.189,0.263,1.283,0.861,0.929,0.202,0.321,0.539,2.332,259.895,1.958,237.489,4.68,7.058,12.198,6.93,4.227,3.302,11.647,3.105,6.596,4.11,3.116,10.555,3.95,3.009,3.391,6.092,3.343,3.701,5.942,3.365,2.441,2.942,8.175,2.247,2.258,5.305,6.138,2.093,4.839,1.673,1.548,4.299,1.873,1.591
3.0,0.97,117.603,0.817,0.884,0.916,0.942,0.522,3.35,0.33,7.46,0.924,4.892,0.182,0.228,1.284,0.846,0.915,0.177,0.289,0.457,2.545,289.004,2.137,260.75,4.68,7.058,12.198,6.93,4.227,3.302,11.647,3.105,6.596,4.11,3.116,10.555,3.95,3.009,3.391,6.092,3.343,3.701,5.942,3.365,2.442,2.942,8.175,2.25,2.647,5.305,6.138,2.258,4.988,2.098,1.871,4.424,1.953,1.646
3.041,0.423,51.213,0.883,0.893,0.893,0.378,0.327,1.493,0.71,5.081,0.99,2.932,0.066,0.128,1.302,0.928,0.938,0.253,0.386,0.724,1.014,101.75,0.866,107.497,4.642,6.924,11.61,6.533,4.095,3.107,10.147,3.052,6.392,3.938,2.988,9.928,3.313,2.387,2.919,5.234,2.324,3.028,4.785,2.491,1.591,2.11,4.712,1.425,1.548,4.143,3.671,1.295,4.068,1.167,0.859,2.299,1.513,0.92
4.097,0.984,123.367,0.829,0.889,0.914,0.783,0.421,1.853,0.39,6.849,1.24,5.228,0.154,0.238,1.284,0.864,0.927,0.218,0.342,0.598,2.644,321.075,2.413,327.081,4.723,7.077,12.229,7.057,4.284,3.369,12.195,3.107,6.597,4.112,3.119,10.556,3.953,3.015,3.416,6.093,3.388,3.782,6.017,3.402,2.49,2.994,8.326,2.264,2.685,5.352,6.318,2.451,5.102,2.225,1.94,4.868,2.278,1.882
7.16,1.687,199.284,0.745,0.797,0.831,1.461,1.104,3.653,0.27,12.853,1.391,8.633,0.276,0.313,1.387,0.777,0.831,0.105,0.173,0.268,5.309,624.806,5.474,725.584,4.745,7.174,12.631,7.076,4.366,3.377,12.226,3.358,6.996,4.284,3.362,11.966,4.222,3.297,3.967,6.725,3.758,4.205,6.551,3.961,3.023,3.521,10.195,2.882,3.142,6.53,10.121,3.118,6.403,2.915,2.695,9.042,4.192,3.692
4.243,1.633,191.532,0.755,0.833,0.875,1.439,0.896,3.511,0.3,12.816,1.323,8.498,0.232,0.276,1.381,0.784,0.866,0.108,0.178,0.279,6.14,724.57,6.073,791.331,4.747,7.177,12.643,7.076,4.375,3.386,12.226,3.362,7.01,4.284,3.367,12.021,4.246,3.313,3.97,6.748,3.763,4.23,6.618,3.993,3.044,3.527,10.491,2.904,3.151,6.551,10.194,3.121,6.414,2.941,2.738,9.542,4.637,4.216
5.689,1.67,195.904,0.749,0.827,0.872,1.445,0.91,3.611,0.27,12.828,1.352,8.587,0.284,0.32,1.385,0.781,0.862,0.107,0.175,0.273,5.59,657.667,5.595,733.219,4.747,7.176,12.641,7.076,4.373,3.385,12.226,3.362,7.007,4.284,3.367,12.009,4.242,3.311,3.97,6.744,3.763,4.226,6.606,3.986,3.039,3.526,10.412,2.899,3.15,6.551,10.194,3.121,6.413,2.936,2.724,9.542,4.397,3.914
5.097,1.651,193.2,0.724,0.763,0.78,1.646,1.374,3.697,0.27,12.823,1.361,8.514,0.256,0.305,1.391,0.752,0.793,0.105,0.173,0.268,5.632,654.611,5.97,787.145,4.745,7.174,12.631,7.076,4.366,3.38,12.227,3.358,7.076,4.285,3.37,12.226,4.283,3.357,3.967,6.725,3.758,4.205,6.553,3.965,3.027,3.521,10.201,2.883,3.19,6.549,10.187,3.148,6.403,3.128,2.915,9.611,4.637,4.154
2.959,0.454,58.968,0.844,0.897,0.904,0.669,0.364,1.453,0.66,5.308,0.853,3.658,-0.057,0.001,1.289,0.879,0.934,0.255,0.387,0.741,1.854,241.684,1.079,126.117,4.643,6.955,11.717,6.658,4.128,3.157,10.683,3.036,6.433,3.955,3.001,10.015,3.444,2.504,2.986,5.543,2.384,3.049,4.97,2.582,1.663,2.321,5.073,1.524,1.806,4.411,3.746,1.549,4.123,1.241,1.102,2.799,2.038,1.334
2.523,0.518,63.586,0.865,0.893,0.902,0.512,0.351,1.523,0.59,5.783,0.929,4.694,0.024,0.062,1.295,0.905,0.935,0.249,0.381,0.712,1.51,183.837,1.029,113.479,4.664,6.931,11.648,6.547,4.097,3.111,10.205,3.045,6.393,3.953,3.011,9.937,3.365,2.45,3.024,5.273,2.868,3.041,5.237,2.824,1.898,2.12,5.905,1.748,1.968,4.796,4.752,1.36,4.145,1.257,1.141,2.486,1.904,1.118
2.796,0.435,62.069,0.884,0.904,0.914,0.324,0.216,1.493,0.49,5.525,0.823,3.837,0.069,0.086,1.348,0.938,0.958,0.253,0.386,0.724,1.169,166.067,0.767,100.823,4.642,6.924,11.61,6.533,4.101,3.107,10.147,3.035,6.392,3.931,2.988,9.928,3.315,2.387,2.94,5.234,2.324,3.047,4.785,2.487,1.591,2.186,4.712,1.421,1.549,4.143,3.671,1.253,4.068,1.087,0.862,2.299,1.513,0.92
