pXC50,N.,X.,nN,nF,nX,nCL,nC,Me,nHet,H.,nBM,AMW,RBN,C.,nDB,Sp,nCsp2,Mv,nS,RBF,Mi,MW,nCsp3,nAB,Sv,nBO,Si,Se,nAT,nSK
6.0,3.9,7.9,3,6,6,0,33,1.042,14,38.2,25,8.706,11,43.4,2,50.097,22,0.663,0,0.138,1.148,661.65,11,23,50.367,51,87.223,79.156,76,47
5.0,5.8,0.0,4,0,0,0,33,0.993,6,43.5,33,7.459,7,47.8,1,47.83,27,0.657,0,0.095,1.113,514.67,6,32,45.364,44,76.81,68.549,69,39
7.721,1.4,12.3,1,9,9,0,31,1.054,14,38.4,20,8.899,11,42.5,2,46.966,20,0.655,0,0.147,1.163,649.6,11,18,47.813,47,84.867,76.93,73,45
5.511,3.6,0.0,2,0,0,0,25,1.004,6,43.6,23,7.573,9,45.5,1,37.205,20,0.649,0,0.155,1.116,416.51,5,22,35.697,34,61.401,55.232,55,31
5.921,3.1,0.0,2,0,0,0,29,1.01,8,43.1,25,7.701,12,44.6,2,43.637,23,0.649,0,0.176,1.118,500.59,6,23,42.18,40,72.651,65.654,65,37
5.921,2.8,0.0,2,0,0,0,34,1.003,7,42.3,31,7.699,12,47.9,2,48.943,29,0.662,0,0.16,1.111,546.66,5,29,46.992,45,78.856,71.211,71,41
7.155,3.6,3.6,2,0,2,2,26,1.024,9,36.4,25,9.298,9,47.3,2,39.614,23,0.701,0,0.155,1.111,511.38,3,23,38.54,38,61.084,56.324,55,35
7.824,1.4,4.3,1,3,3,0,31,1.028,11,40.0,24,8.567,11,44.3,1,47.614,22,0.665,1,0.149,1.127,599.67,9,23,46.549,46,78.922,71.934,70,42
7.921,1.4,4.3,1,3,3,0,31,1.031,11,40.0,24,8.337,11,44.3,1,46.421,22,0.658,0,0.149,1.132,583.6,9,23,46.077,46,79.211,72.185,70,42
7.886,1.5,4.6,1,3,3,0,29,1.038,12,36.9,24,9.04,9,44.6,1,44.546,22,0.68,1,0.13,1.128,587.61,7,23,44.21,45,73.301,67.494,65,41
6.387,2.9,4.4,2,3,3,0,30,1.027,11,39.7,24,8.598,10,44.1,1,46.404,22,0.667,1,0.139,1.129,584.66,8,23,45.329,45,76.796,69.825,68,41
