pXC50,AMW,C.
5.465,10.61,45.7
5.532,7.641,43.9
4.947,9.402,44.2
5.358,9.417,46.9
5.418,8.38,43.5
5.282,9.597,47.5
5.26,7.946,46.8
4.495,11.157,42.9
5.336,9.038,48.0
5.45,8.929,50.0
5.435,6.952,42.9
5.538,7.577,48.6
4.949,7.419,38.0
4.803,10.404,45.5
5.466,9.202,48.9
4.777,8.631,48.9
5.217,9.484,48.8
5.251,8.925,45.7
5.256,8.967,52.2
4.44,8.174,43.6
4.635,8.457,43.6
4.452,7.323,45.1
4.587,8.822,45.9
5.37,10.237,51.3
4.842,8.204,46.3
4.655,10.089,51.4
4.91,8.373,52.3
4.706,8.045,48.2
5.514,10.199,46.7
5.76,8.255,47.4
5.053,11.168,48.4
5.075,7.87,41.9
5.275,9.125,47.7
5.108,9.277,46.7
4.826,7.95,40.9
5.52,8.677,50.0
5.352,7.824,41.5
4.32,10.647,44.8
5.599,7.577,48.6
5.169,8.51,44.0
5.092,11.803,48.6
5.266,7.971,40.0
4.475,8.246,47.5
5.612,7.636,42.4
4.849,7.719,46.8
5.764,8.151,44.0
5.239,7.973,46.4
4.819,10.586,39.5
5.271,9.042,47.7
4.426,8.408,39.6
4.44,9.137,43.8
4.812,8.935,46.2
5.151,8.088,49.0
4.955,7.288,44.3
5.487,7.641,43.9
5.261,8.319,46.2
4.304,9.736,48.9
4.9,7.573,45.5
5.312,10.127,43.2
5.58,7.577,48.6
4.34,7.39,37.9
5.108,12.032,40.5
5.247,8.746,42.1
4.581,9.01,45.3
5.042,10.493,41.4
5.241,7.642,45.0
4.591,8.729,41.3
4.946,8.703,43.6
5.272,9.982,48.5
5.362,9.874,47.4
4.606,8.715,43.2
4.763,8.603,47.7
5.197,8.49,44.0
5.636,9.125,48.1
5.23,8.642,51.0
5.348,9.249,51.6
5.054,7.264,47.3
4.384,8.429,44.0
5.464,7.709,43.3
5.035,9.105,41.9
6.179,8.487,42.9
5.275,8.316,36.7
5.588,9.197,42.4
5.368,7.731,46.3
5.285,7.632,42.6
5.395,10.06,48.6
5.2,10.123,41.7
5.71,8.453,48.1
5.026,10.091,43.2
4.899,8.38,48.1
5.261,8.521,46.9
5.039,13.312,48.3
5.572,8.206,45.9
5.578,8.675,49.0
6.004,9.613,50.0
5.064,8.92,45.5
5.231,8.049,46.2
4.618,7.89,50.0
5.704,9.121,42.2
5.047,9.596,46.2
5.116,7.731,44.4
4.939,8.38,46.3
5.277,8.527,46.3
5.299,11.803,48.6
4.517,8.733,44.4
5.336,9.382,45.7
5.214,8.185,49.1
5.408,8.242,44.6
4.44,9.551,48.6
4.957,9.565,44.8
4.913,8.5,38.8
5.603,8.458,49.0
5.303,8.527,46.3
5.132,8.48,55.9
5.205,7.652,46.4
5.29,8.734,44.8
5.268,9.069,47.1
5.109,8.574,46.3
5.267,6.967,40.0
5.086,9.63,40.5
5.134,8.759,50.0
5.149,10.246,45.2
