pXC50,ATSC7m,BIC1,BLTA96,BLTD48,BLTF96,Eta_C,Eta_C_A,Eta_L,Eta_sh_y,GATS1i,GATS2p,GATS4m,GATS8m,IAC,IC1,IC2,IC3,IC4,MATS1m,MATS1v,MATS6m,MLOGP,MLOGP2,nArOH,PDI,P_VSA_e_2,P_VSA_i_2,P_VSA_LogP_5,P_VSA_m_2,P_VSA_s_3,SIC1,SpMax3_Bh.m.,SpMax3_Bh.v.,SsOH,TIC0,TIC1,TIC2,TIC3,X3Av,X4Av,GATS5i,P_VSA_p_3,P_VSA_v_3,CATS2D_06_DA,SpMax6_Bh.p.,ATSC1i,ATSC2i,ATSC3i,ATSC4i,ATSC5i,ATSC6i,ATSC7i,ATSC8i,ATSC8s,BIC2,BIC3,BIC4,CATS2D_04_AL,CATS2D_08_DA,CIC1,CIC2,CIC3,CIC4,GATS4e,GATS4s,GATS7m,SIC2,SIC3,SIC4,SpMax1_Bh.i.,SpMax3_Bh.e.,SpMax3_Bh.i.,Eig06_EA.ri.,Eta_FL_A,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p
7.679,11.029,0.581,-1.94,-1.99,-1.99,13.631,0.593,3.849,0.481,0.812,1.07,1.075,1.149,55.41,3.198,3.76,4.499,4.793,-0.115,0.195,-0.084,0.708,0.501,5,0.875,73.079,73.079,11.088,89.865,16.222,0.629,3.463,3.346,47.612,55.41,108.735,127.854,152.974,0.069,0.036,0.997,73.079,73.079,4,2.745,0.431,0.658,0.86,0.883,0.795,0.688,0.645,0.549,99.602,0.683,0.817,0.87,6,0,1.889,1.327,0.588,0.294,1.147,1.184,1.128,0.739,0.884,0.942,4.111,3.496,3.506,1.801,0.305,1.63,8.522,2.623,6.878,79.339,9.214,0.68,3.693,3.747,3.381,3.224,5.128,3.271,4.071,4.131,3.787,3.601,5.551,3.642,4.39,4.479,3.928,3.725,6.012,3.764,4.444,4.578,3.787,3.637,5.893,3.666,4.333,4.47,3.77,3.507,5.97,3.558,4.214,4.319,3.668,3.417
4.365,41.211,0.529,-5.0,-4.91,-4.6,37.272,0.887,8.685,0.348,1.089,0.946,1.095,1.079,103.96,3.454,4.386,5.179,5.586,0.037,0.036,0.059,3.775,14.248,0,0.995,220.128,220.128,60.472,240.038,49.985,0.563,3.842,3.838,10.27,103.96,241.749,307.034,362.52,0.083,0.044,1.046,220.128,220.128,1,3.29,0.9,1.495,1.931,2.128,2.063,2.037,2.013,1.996,125.382,0.672,0.794,0.856,16,0,2.676,1.743,0.95,0.543,1.249,1.201,1.041,0.716,0.845,0.911,4.173,3.912,3.94,2.278,0.282,1.485,12.048,7.075,50.051,156.159,8.009,0.596,4.36,4.449,3.987,3.953,5.539,3.946,4.878,4.996,4.365,4.366,6.116,4.333,5.143,5.309,4.448,4.504,6.219,4.453,5.278,5.443,4.502,4.48,6.543,4.45,5.267,5.435,4.526,4.405,6.713,4.393,5.247,5.419,4.505,4.378
6.959,15.054,0.627,-2.92,-2.92,-2.83,17.712,0.681,4.659,0.469,0.859,1.039,1.031,1.227,63.315,3.568,4.263,5.01,5.183,-0.097,0.169,-0.047,1.689,2.854,3,0.88,78.242,78.242,17.031,95.028,21.385,0.675,3.595,3.505,47.292,63.315,139.137,166.256,195.376,0.074,0.039,0.924,78.242,78.242,0,2.768,0.494,0.766,1.009,1.087,1.032,0.936,0.88,0.765,238.475,0.75,0.881,0.911,3,4,1.718,1.022,0.276,0.103,0.833,0.819,0.82,0.807,0.948,0.981,4.127,3.623,3.622,1.823,0.292,1.623,9.308,2.826,7.986,87.944,9.111,0.607,3.815,3.871,3.493,3.344,5.238,3.387,4.221,4.29,3.898,3.728,5.801,3.757,4.522,4.624,4.012,3.884,6.035,3.897,4.642,4.79,3.928,3.862,6.095,3.851,4.58,4.746,3.863,3.798,5.949,3.784,4.506,4.651,3.827,3.724
8.268,11.565,0.585,-1.36,-1.44,-1.5,15.634,0.625,4.21,0.49,0.821,1.063,1.116,1.266,58.925,3.274,3.917,4.614,4.892,-0.118,0.192,-0.066,0.129,0.017,4,0.877,76.746,76.746,13.845,93.531,19.888,0.633,3.535,3.416,47.317,58.925,117.878,140.998,166.117,0.068,0.035,1.02,76.746,76.746,5,2.776,0.454,0.692,0.913,0.947,0.867,0.781,0.757,0.667,162.084,0.699,0.824,0.874,7,1,1.896,1.253,0.556,0.278,1.147,1.156,1.023,0.758,0.893,0.946,4.119,3.563,3.565,1.835,0.303,1.637,8.64,2.384,5.683,83.718,9.48,0.63,3.75,3.798,3.457,3.28,5.21,3.334,4.133,4.185,3.868,3.654,5.702,3.704,4.45,4.532,4.023,3.789,6.127,3.835,4.513,4.638,3.886,3.726,5.982,3.762,4.411,4.541,3.908,3.636,5.997,3.697,4.354,4.433,3.899,3.576
7.284,16.304,0.662,-2.69,-2.71,-2.63,15.767,0.657,4.315,0.456,0.854,1.069,1.083,1.16,63.022,3.728,4.346,4.965,5.09,-0.086,0.182,-0.13,1.462,2.137,3,0.911,76.904,76.904,16.602,126.586,20.046,0.71,3.547,3.464,38.03,63.022,141.647,165.157,188.666,0.075,0.04,0.962,76.904,76.904,0,2.767,0.518,0.792,1.024,1.085,0.998,0.908,0.879,0.726,140.646,0.772,0.882,0.904,2,2,1.52,0.902,0.283,0.158,0.922,0.918,0.926,0.828,0.946,0.97,4.125,3.588,3.607,1.822,0.293,1.658,8.708,2.475,6.126,85.886,8.588,0.654,3.78,3.862,3.417,3.309,5.151,3.336,4.187,4.282,3.813,3.695,5.629,3.706,4.488,4.61,3.924,3.844,5.976,3.835,4.597,4.781,3.749,3.817,5.824,3.768,4.507,4.704,3.734,3.748,5.727,3.706,4.451,4.604,3.719,3.666
6.62,19.879,0.65,-3.18,-3.17,-3.05,16.704,0.696,4.465,0.443,0.862,0.952,1.023,1.104,62.001,3.621,4.274,4.927,5.059,-0.061,0.145,-0.02,1.948,3.794,3,0.905,77.647,77.647,17.346,94.433,20.79,0.7,3.7,3.464,38.02,62.001,130.343,153.853,177.362,0.08,0.042,0.996,116.796,116.796,0,2.767,0.443,0.691,0.906,0.952,0.886,0.825,0.755,0.608,117.865,0.767,0.885,0.908,3,2,1.549,0.896,0.243,0.111,0.875,0.873,1.152,0.827,0.953,0.979,4.12,3.573,3.574,1.822,0.287,1.722,8.708,3.886,15.101,85.99,9.604,0.654,3.732,3.791,3.468,3.314,5.104,3.334,4.147,4.223,3.885,3.703,5.614,3.708,4.45,4.555,4.032,3.848,5.96,3.833,4.517,4.681,3.83,3.802,5.761,3.749,4.422,4.592,3.807,3.734,5.684,3.692,4.41,4.55,3.834,3.674
5.0,17.183,0.624,-3.16,-3.15,-3.03,16.58,0.663,4.504,0.439,0.875,1.026,1.103,0.971,60.747,3.529,4.257,5.037,5.143,-0.073,0.14,-0.021,1.927,3.712,2,0.901,87.719,87.719,17.031,104.504,21.385,0.673,3.581,3.498,37.398,60.747,134.118,161.77,191.421,0.076,0.041,1.003,87.719,87.719,1,2.781,0.477,0.743,0.98,1.045,0.975,0.92,0.88,0.713,96.672,0.752,0.89,0.909,5,1,1.718,0.991,0.211,0.105,0.937,0.922,1.073,0.811,0.96,0.98,4.127,3.615,3.62,1.847,0.294,1.599,8.8,3.093,9.569,86.25,8.929,0.63,3.779,3.84,3.451,3.336,5.168,3.365,4.196,4.274,3.844,3.715,5.746,3.729,4.484,4.6,3.936,3.863,5.963,3.856,4.583,4.747,3.794,3.834,5.862,3.8,4.503,4.676,3.779,3.781,5.752,3.751,4.476,4.62,3.812,3.71
7.886,15.926,0.611,-2.18,-2.22,-2.2,15.654,0.652,4.297,0.459,0.852,1.082,1.078,1.161,59.647,3.419,3.99,4.723,4.939,-0.095,0.172,-0.11,0.951,0.904,4,0.879,74.147,74.147,13.845,90.932,17.289,0.656,3.541,3.453,47.44,59.647,126.511,147.63,174.75,0.074,0.04,0.984,74.147,74.147,0,2.766,0.472,0.734,0.96,1.015,0.942,0.862,0.813,0.668,138.881,0.713,0.843,0.882,2,2,1.79,1.219,0.486,0.27,0.895,0.9,0.926,0.766,0.907,0.948,4.12,3.576,3.579,1.822,0.294,1.612,8.708,2.954,8.727,82.879,8.846,0.654,3.763,3.824,3.42,3.292,5.158,3.327,4.164,4.242,3.819,3.674,5.645,3.696,4.475,4.582,3.932,3.817,6.02,3.821,4.563,4.732,3.751,3.784,5.832,3.747,4.468,4.649,3.737,3.718,5.727,3.688,4.435,4.577,3.727,3.633
8.143,14.906,0.611,-2.18,-2.22,-2.2,15.635,0.651,4.293,0.459,0.852,1.082,1.093,1.148,59.647,3.419,3.936,4.615,4.885,-0.095,0.172,-0.091,0.951,0.904,4,0.879,74.147,74.147,13.845,90.932,17.289,0.656,3.533,3.415,47.445,59.647,126.511,145.63,170.75,0.074,0.04,1.038,74.147,74.147,2,2.777,0.472,0.734,0.966,1.015,0.943,0.851,0.789,0.667,133.047,0.703,0.824,0.872,4,1,1.79,1.273,0.595,0.324,0.945,0.924,0.885,0.756,0.886,0.938,4.121,3.562,3.566,1.835,0.294,1.612,8.708,2.533,6.415,82.828,8.846,0.654,3.763,3.824,3.42,3.292,5.158,3.327,4.164,4.242,3.819,3.674,5.643,3.696,4.476,4.586,3.932,3.813,6.024,3.819,4.555,4.721,3.754,3.768,5.825,3.738,4.465,4.646,3.743,3.685,5.744,3.668,4.417,4.56,3.73,3.609
7.276,15.832,0.65,-3.06,-3.06,-2.95,15.884,0.662,4.334,0.461,0.808,1.07,1.073,1.163,62.001,3.621,4.274,4.927,5.059,-0.079,0.15,-0.082,1.83,3.347,3,0.903,83.268,83.268,22.966,100.053,26.41,0.7,3.55,3.454,37.657,62.001,130.343,153.853,177.362,0.074,0.04,0.889,83.268,83.268,0,2.765,0.526,0.835,1.093,1.128,0.978,0.958,0.953,0.704,136.172,0.767,0.885,0.908,2,2,1.549,0.896,0.243,0.111,0.875,0.887,0.945,0.827,0.953,0.979,4.123,3.578,3.585,1.822,0.292,1.722,8.708,3.427,11.745,81.402,9.147,0.654,3.736,3.799,3.424,3.28,5.143,3.318,4.153,4.234,3.828,3.657,5.665,3.686,4.459,4.573,3.946,3.791,6.062,3.804,4.525,4.698,3.758,3.752,5.84,3.725,4.427,4.6,3.744,3.689,5.727,3.67,4.417,4.562,3.741,3.601
5.276,18.046,0.678,-2.42,-2.45,-2.4,17.285,0.691,4.609,0.436,0.973,0.94,1.068,1.002,66.991,3.872,4.552,5.046,5.095,-0.044,0.121,0.032,1.189,1.413,2,0.923,93.03,93.03,32.845,142.713,25.29,0.723,3.56,3.473,28.383,66.991,158.766,186.64,206.905,0.076,0.041,0.993,93.03,93.03,0,2.813,0.556,0.848,1.066,1.162,1.143,1.052,1.0,0.862,108.706,0.797,0.883,0.892,3,2,1.485,0.805,0.311,0.262,0.912,0.858,1.036,0.85,0.942,0.951,4.127,3.603,3.621,1.836,0.291,1.634,8.8,2.726,7.431,90.655,8.301,0.63,3.845,3.93,3.464,3.36,5.167,3.382,4.281,4.393,3.841,3.734,5.65,3.743,4.52,4.642,3.965,3.893,5.943,3.883,4.655,4.833,3.828,3.905,5.835,3.852,4.63,4.832,3.8,3.867,5.778,3.809,4.6,4.784,3.8,3.791
