pXC50,nO,nH,SCBO,nCsp3,nCsp2,nHet,nN,RBN,Si,nAT,Sp,Se,nDB,AMW,nBT
5.0,1,26.0,46.0,5,21,5,2,9,63.028,57.0,40.898,56.287,1,7.836,60.0
5.0,0,24.0,47.0,5,20,6,4,7,60.985,55.0,39.932,54.396,1,8.085,59.0
5.0,0,18.0,36.0,4,14,6,4,6,46.74,42.0,30.648,41.745,1,8.441,45.0
5.0,1,14.0,39.0,4,15,7,3,0,44.838,40.0,29.455,40.978,1,9.756,44.0
7.6,3,29.0,49.0,8,19,8,4,6,71.963,64.0,43.142,64.2,2,7.704,67.0
4.622,3,25.0,22.0,9,6,4,1,9,50.109,44.0,26.506,43.687,0,6.077,44.0
5.096,1,15.0,34.5,3,15,6,2,6,43.36,39.0,29.131,39.571,0,9.787,41.0
4.5,0,10.0,32.5,1,14,7,3,3,36.51,32.0,23.284,33.338,0,10.042,34.0
5.0,2,16.0,36.5,1,18,5,2,5,44.242,40.0,28.898,40.12,2,8.411,42.0
5.0,1,45.0,52.0,19,14,6,4,9,94.866,84.0,54.325,82.614,0,6.539,89.0
5.0,1,27.0,38.0,9,14,4,2,6,60.548,54.0,36.222,53.341,0,7.092,57.0
5.0,1,36.0,45.0,14,14,5,3,7,77.707,69.0,45.273,67.978,0,6.755,73.0
5.0,1,24.0,38.0,8,14,5,2,5,57.076,51.0,35.319,50.782,0,7.909,54.0
5.0,1,34.0,44.0,13,14,5,3,6,74.292,66.0,43.512,65.094,0,6.85,70.0
5.0,2,34.0,47.0,13,15,6,3,7,76.501,68.0,44.966,67.421,1,7.06,72.0
8.585,57,285.0,375.5,108,81,112,55,130,673.09,586.0,357.781,596.869,48,7.236,595.0
6.0,1,32.0,44.5,12,13,7,6,6,72.597,64.0,41.387,63.425,3,6.76,68.0
6.5,1,33.0,49.0,11,18,6,4,6,76.375,68.0,45.756,67.312,1,7.193,72.0
6.9,2,25.0,39.0,8,14,7,3,4,61.18,54.0,35.858,54.4,2,7.74,56.0
6.6,2,25.0,39.0,8,14,7,3,4,61.18,54.0,35.858,54.4,2,7.74,56.0
6.3,2,25.0,39.0,8,14,7,3,4,61.18,54.0,35.858,54.4,2,7.74,56.0
6.8,1,33.0,48.0,16,11,10,5,6,80.307,70.0,45.336,70.836,1,7.659,74.0
6.6,1,28.0,36.0,9,13,5,3,5,62.046,55.0,36.228,54.443,1,7.018,57.0
6.4,1,27.0,37.0,9,13,6,3,5,62.386,55.0,36.165,54.956,1,7.345,57.0
6.7,1,27.0,37.0,9,13,6,3,5,62.386,55.0,36.165,54.956,1,7.345,57.0
6.7,1,27.0,37.0,9,13,6,3,5,62.386,55.0,36.165,54.956,1,7.345,57.0
7.3,1,34.0,49.0,11,19,5,3,6,77.292,69.0,46.512,68.094,1,7.074,73.0
6.5,1,34.0,41.0,13,13,5,3,5,73.292,65.0,42.512,64.094,1,6.77,68.0
7.1,1,34.0,43.0,14,13,5,3,5,74.292,66.0,43.512,65.094,1,6.85,70.0
