pXC50,Chi0_EA.dm.,Eig08_AEA.dm.,Eig09_EA,SM03_AEA.dm.,Chi1_EA.dm.,Eig09_AEA.ed.,Eig09_AEA.dm.,Eig09_EA.ed.,SM04_AEA.ri.,Eig08_AEA.ri.,Eig09_AEA.ri.,Eig08_EA.ed.,SM03_AEA.ri.,Eig10_EA.ed.,SM05_AEA.ri.,Eig08_EA.ri.,Eig10_AEA.dm.,Eig08_EA,SM02_AEA.dm.,Eig07_AEA.dm.,Eig10_AEA.ed.,Eig08_AEA.bo.,Eig09_EA.ri.,Eig09_AEA.bo.,Eig15_AEA.dm.,Eta_betaS,ZM2Mad,Eig08_AEA.ed.,Eig15_AEA.bo.,SpMax7_Bh.i.,ATS2m,X3,SpMax8_Bh.v.,Sv,SpMax8_Bh.m.,IVDM,X1,Eig07_EA.bo.,MW,Psi_i_0,Eig15_EA.bo.,Eig07_EA,SM15_AEA.bo.,Eta_FL,Eig13_AEA.bo.,Eig15_EA.ed.,SM10_AEA.ri.,Eig07_AEA.bo.,ATS1m,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Chi1_EA.ri.,SpMax8_Bh.p.,X4,Eig15_EA,SM09_AEA.dm.,Eig14_AEA.bo.,Psi_e_0,Eig13_EA.bo.,Chi0_EA.ri.,SpMaxA_AEA.bo.,SpMax7_Bh.m.,X0sol,CID,SMTIV
5.4,4.368,1.488,1.0,1.0,2.498,3.711,1.172,2.575,2.575,2.169,2.0,3.032,3.032,2.275,2.275,1.139,1.0,1.23,1.23,1.854,3.456,2.727,1.0,2.5,0.301,17.0,204.305,3.913,0.965,2.925,3.966,10.047,2.715,30.037,2.687,4.694,13.114,2.177,377.47,18.812,-0.594,1.527,1.527,8.054,2.277,-1.096,-1.096,2.997,3.685,18.361,18.361,18.361,18.361,18.361,15.642,2.735,8.173,-0.453,-0.453,1.137,9.975,1.169,18.876,0.152,2.687,18.221,4.038,14750.0
5.4,18.364,1.288,1.013,1.013,28.435,3.562,1.076,2.575,2.575,2.267,2.0,2.852,2.852,2.275,2.275,1.26,1.0,1.281,1.281,1.516,3.414,2.777,1.0,2.5,-0.429,15.75,171.363,3.598,0.889,2.925,3.86,9.126,2.715,28.074,2.687,4.606,12.293,2.053,346.84,17.582,-0.833,1.44,1.44,7.668,1.313,-1.455,-1.455,2.887,3.514,17.361,17.361,17.361,17.361,17.361,14.462,2.735,7.644,-0.583,-0.583,1.014,9.15,0.025,17.698,0.164,2.709,17.562,3.972,12027.0
4.77,36.989,2.177,1.8,1.8,47.755,4.668,2.106,4.897,4.897,2.913,2.794,5.529,5.529,3.995,3.995,1.887,2.025,1.937,1.937,2.558,4.433,3.333,1.783,3.228,1.078,25.25,263.768,4.897,2.387,3.478,4.296,13.957,3.081,46.68,3.166,5.213,18.775,2.652,527.73,28.075,1.337,2.149,2.149,9.39,2.5,2.275,2.275,3.493,3.928,26.126,26.126,26.126,26.126,26.126,22.217,3.059,11.568,1.0,1.0,2.471,14.458,1.5,26.724,0.107,3.321,27.407,4.396,36729.0
5.0,16.843,1.985,1.065,1.065,19.271,3.475,1.85,2.393,2.393,2.33,2.022,3.641,3.641,1.357,1.357,1.226,1.153,1.414,1.414,2.437,3.246,2.82,0.999,2.241,-0.151,15.75,229.623,4.146,0.427,2.922,4.197,8.673,2.678,27.598,2.872,4.555,11.952,1.964,478.68,17.112,-0.817,1.519,1.519,5.645,1.171,-1.619,-1.619,2.872,3.775,16.499,16.499,16.499,16.499,16.499,14.337,2.716,6.499,-0.742,-0.742,0.797,9.366,-0.25,17.054,0.167,2.945,18.234,3.932,13255.0
5.8,36.58,2.162,1.652,1.652,61.621,4.734,1.978,4.807,4.807,2.756,2.592,5.096,5.096,4.275,4.275,1.712,1.792,1.778,1.778,2.512,4.406,3.181,1.542,2.987,0.755,24.0,292.737,4.753,1.739,3.297,4.362,12.413,2.903,36.846,2.97,5.017,16.414,2.514,507.55,23.438,0.604,1.998,1.998,9.603,2.113,1.297,1.297,3.338,3.99,22.408,22.408,22.408,22.408,22.408,20.019,2.92,10.196,0.507,0.507,1.819,13.822,1.002,23.106,0.126,3.118,23.13,4.274,33557.0
6.6,30.357,2.321,1.899,1.899,47.09,4.684,2.25,5.07,5.07,2.998,2.892,5.983,5.983,4.499,4.499,1.942,2.039,2.055,2.055,2.49,4.543,3.443,1.854,3.309,1.256,29.25,316.622,5.044,2.612,3.497,4.454,16.149,3.081,48.561,3.27,5.392,21.192,2.944,587.76,30.686,1.666,2.3,2.3,12.231,2.83,2.611,2.611,3.646,4.085,30.032,30.032,30.032,30.032,30.032,25.713,3.103,14.356,1.147,1.147,2.657,15.879,1.954,30.882,0.097,3.413,29.365,4.514,53511.0
5.8,30.357,2.315,1.899,1.899,49.59,4.685,2.236,5.071,5.071,2.997,2.892,5.99,5.99,4.392,4.392,1.941,2.029,2.055,2.055,2.49,4.544,3.434,1.854,3.308,1.256,29.25,316.622,5.047,2.646,3.497,4.454,16.081,3.081,48.561,3.27,5.392,21.192,2.875,587.76,30.686,1.706,2.296,2.296,12.231,2.829,2.613,2.613,3.614,4.085,30.032,30.032,30.032,30.032,30.032,25.728,3.104,14.436,1.172,1.172,2.664,15.881,1.951,30.882,0.097,3.413,29.365,4.514,52183.0
5.8,10.938,1.0,0.688,0.688,11.167,3.339,0.928,1.832,1.832,1.958,1.545,2.275,2.275,0.309,0.309,0.934,0.524,1.0,1.0,1.335,2.855,2.5,0.572,2.106,-1.0,12.5,185.292,3.414,0.396,2.773,3.991,7.256,2.038,21.792,2.564,4.248,9.631,1.5,349.22,13.703,-1.5,1.0,1.0,5.375,0.5,-3.0,-3.0,2.544,3.534,13.378,13.378,13.378,13.378,13.378,11.777,2.074,5.797,-1.0,-1.0,0.5,7.325,-1.299,13.859,0.208,2.687,15.466,3.736,7291.0
6.7,28.849,2.175,1.629,1.629,43.234,4.488,1.856,4.332,4.332,2.66,2.563,4.684,4.684,3.758,3.758,1.622,1.622,1.708,1.708,2.378,4.224,3.021,1.485,2.998,0.954,23.0,250.909,4.542,1.579,3.267,4.216,13.01,2.91,37.517,2.994,4.979,15.991,2.397,471.0,23.452,0.484,2.028,2.028,8.472,2.199,1.127,1.127,3.253,3.823,22.378,22.378,22.378,22.378,22.378,19.462,2.935,10.4,0.444,0.444,2.0,12.301,1.154,23.073,0.121,3.073,21.709,4.241,25949.0
5.0,32.664,2.125,1.549,1.549,46.591,4.415,2.037,4.261,4.261,2.828,2.476,5.126,5.126,3.523,3.523,1.78,1.932,1.869,1.869,2.437,4.041,3.215,1.431,2.978,0.832,23.0,238.133,4.644,1.618,3.189,4.197,11.845,2.791,38.257,3.013,5.016,16.385,2.502,485.99,23.595,0.505,2.109,2.109,8.869,2.185,1.106,1.106,3.322,3.832,22.739,22.739,22.739,22.739,22.739,19.582,2.804,9.611,0.424,0.424,1.679,12.591,1.17,23.485,0.124,3.247,23.709,4.254,27786.0
5.8,13.8,0.941,0.43,0.43,23.856,2.858,0.924,0.627,0.627,1.851,1.295,2.08,2.08,0.113,0.113,0.853,0.164,0.888,0.888,1.264,2.67,2.343,0.368,1.584,-1.157,12.5,122.486,3.329,0.223,2.827,3.51,6.828,2.471,21.413,2.495,4.207,9.365,1.763,251.31,13.266,-1.737,1.218,1.218,6.058,0.598,-3.228,-3.228,2.681,3.21,13.301,13.301,13.301,13.301,13.301,10.834,2.474,5.78,-1.209,-1.209,0.529,6.941,-1.0,13.665,0.214,2.551,13.079,3.697,5300.0
