pXC50,nAB,AMW,C.,H.,Me,Mi,Mp,Mv,MW
6.0,15,8.127,34.9,44.2,1.018,1.138,0.66,0.631,349.46
5.301,15,7.115,39.5,47.4,0.998,1.134,0.653,0.618,270.37
4.538,23,7.599,45.9,44.3,1.008,1.125,0.671,0.644,463.56
8.745,23,7.3,45.2,45.2,0.995,1.119,0.679,0.643,452.6
8.745,17,6.975,41.4,48.3,0.994,1.127,0.656,0.618,404.56
8.745,17,6.76,40.6,50.0,0.991,1.129,0.65,0.608,432.62
6.0,12,8.775,44.8,37.9,1.024,1.125,0.694,0.68,508.97
5.301,12,8.39,44.1,40.7,1.016,1.127,0.687,0.665,494.99
5.0,21,7.581,45.2,42.9,0.998,1.122,0.686,0.654,318.41
6.0,21,9.571,46.2,35.9,1.018,1.117,0.737,0.708,373.26
6.0,21,9.149,46.2,35.9,1.022,1.128,0.714,0.697,356.81
5.0,21,8.079,44.2,39.5,1.011,1.126,0.686,0.667,347.41
5.0,20,8.319,43.6,41.0,1.003,1.118,0.71,0.67,324.44
5.0,20,7.476,40.0,44.4,1.003,1.136,0.663,0.634,336.44
5.0,20,8.28,41.5,41.5,1.005,1.125,0.7,0.663,339.46
5.0,21,7.79,43.9,41.5,1.003,1.127,0.684,0.658,319.4
5.0,21,8.866,45.2,35.7,1.035,1.146,0.681,0.682,372.38
5.301,21,8.692,46.3,36.6,1.028,1.144,0.687,0.681,356.38
5.0,21,8.01,45.2,40.5,1.01,1.13,0.684,0.664,336.4
5.0,21,8.01,45.2,40.5,1.01,1.13,0.684,0.664,336.4
5.0,21,7.575,43.5,43.5,1.003,1.125,0.674,0.646,348.44
5.0,21,7.575,43.5,43.5,1.003,1.125,0.674,0.646,348.44
5.0,21,7.575,43.5,43.5,1.003,1.125,0.674,0.646,348.44
6.301,21,8.587,44.4,37.8,1.03,1.145,0.675,0.67,386.41
6.0,21,8.401,45.2,40.5,1.006,1.12,0.706,0.674,352.85
6.0,21,9.532,46.3,34.1,1.035,1.143,0.708,0.701,390.82
5.699,12,7.216,36.5,47.6,1.008,1.14,0.635,0.608,454.59
5.0,11,7.534,34.9,47.6,1.01,1.139,0.645,0.611,474.65
5.0,15,7.097,39.1,47.8,1.0,1.134,0.647,0.614,326.44
5.0,15,7.097,39.1,47.8,1.0,1.134,0.647,0.614,326.44
5.0,15,6.948,38.8,49.0,0.998,1.134,0.644,0.608,340.47
5.0,15,6.948,38.8,49.0,0.998,1.134,0.644,0.608,340.47
5.0,15,7.097,39.1,47.8,1.0,1.134,0.647,0.614,326.44
5.0,15,6.867,37.5,50.0,1.0,1.136,0.634,0.599,384.53
5.0,15,6.701,38.2,50.9,0.994,1.134,0.638,0.597,368.53
4.796,15,9.823,43.8,31.3,1.035,1.118,0.729,0.719,314.35
4.796,17,8.78,46.2,38.5,1.016,1.117,0.714,0.685,342.42
8.721,15,8.249,33.3,42.9,1.015,1.147,0.666,0.636,346.47
4.0,17,8.778,42.0,38.0,1.022,1.129,0.692,0.676,438.91
5.0,6,7.121,34.9,50.8,1.003,1.136,0.637,0.595,448.65
4.796,10,6.452,32.6,53.5,0.995,1.15,0.612,0.571,277.42
5.0,16,7.099,37.5,48.2,1.004,1.137,0.639,0.608,397.53
6.0,16,8.268,36.2,41.4,1.036,1.16,0.635,0.633,479.52
5.0,16,7.067,36.5,48.1,1.0,1.143,0.641,0.608,367.51
5.699,12,7.1,36.4,48.5,1.006,1.14,0.633,0.604,468.62
5.699,12,7.087,37.5,48.4,1.005,1.136,0.637,0.606,453.6
5.699,12,7.1,36.4,48.5,1.006,1.14,0.633,0.604,468.62
4.796,6,6.717,39.0,51.2,0.998,1.129,0.634,0.596,275.38
5.1,11,6.641,31.6,52.6,1.003,1.151,0.606,0.572,504.72
