pXC50,O.,nN,nBM,RBF,N.,nB,nC,Sp,nO,AMW,C.,H.,Me,Mi,Mp,Mv,MW,nAB,nAT,nBO,nBR,nBT
7.199,8.1,6,16,0.036,8.1,0,30,53.727,6,9.418,40.5,37.8,1.022,1.115,0.726,0.689,696.92,12,74.0,55,0,83.0
5.461,6.7,4,13,0.065,13.3,0,12,20.773,2,9.89,40.0,33.3,1.048,1.145,0.692,0.694,296.71,12,30.0,21,0,31.0
4.523,4.0,4,12,0.038,16.0,0,10,16.574,1,10.248,40.0,28.0,1.077,1.179,0.663,0.701,256.21,12,25.0,19,0,26.0
4.523,4.0,4,12,0.038,16.0,0,10,17.619,1,9.467,40.0,36.0,1.028,1.136,0.705,0.688,236.68,12,25.0,17,0,26.0
4.523,3.6,4,12,0.034,14.3,0,11,18.523,1,7.724,39.3,42.9,1.01,1.138,0.662,0.64,216.27,12,28.0,17,0,29.0
4.523,3.2,4,12,0.063,12.9,0,12,20.284,1,7.429,38.7,45.2,1.005,1.138,0.654,0.627,230.3,12,31.0,18,0,32.0
4.658,4.0,4,12,0.038,16.0,0,10,17.619,1,9.467,40.0,36.0,1.028,1.136,0.705,0.688,236.68,12,25.0,17,0,26.0
4.523,4.0,4,12,0.038,16.0,0,10,16.699,1,8.809,40.0,36.0,1.036,1.152,0.668,0.671,220.23,12,25.0,17,0,26.0
5.26,6.7,4,13,0.065,13.3,0,12,21.693,2,10.439,40.0,33.3,1.041,1.132,0.723,0.709,313.16,12,30.0,21,0,31.0
4.523,6.1,4,13,0.059,12.1,0,13,22.597,2,8.871,39.4,39.4,1.024,1.134,0.685,0.666,292.75,12,33.0,21,0,34.0
5.542,6.7,4,13,0.065,13.3,0,12,21.693,2,10.439,40.0,33.3,1.041,1.132,0.723,0.709,313.16,12,30.0,21,0,31.0
4.523,2.6,4,13,0.128,10.5,0,15,24.807,1,7.115,39.5,47.4,0.998,1.134,0.653,0.618,270.37,12,38.0,21,0,39.0
4.523,3.6,4,12,0.069,14.3,0,11,18.335,1,9.651,39.3,32.1,1.065,1.174,0.655,0.681,270.24,12,28.0,20,0,29.0
4.523,3.1,4,13,0.121,12.5,0,13,22.142,1,8.648,40.6,40.6,1.015,1.132,0.692,0.664,276.75,12,32.0,20,0,33.0
4.523,3.2,4,12,0.094,12.9,0,12,20.097,1,9.17,38.7,35.5,1.055,1.171,0.648,0.664,284.27,12,31.0,21,0,32.0
4.523,2.6,4,18,0.075,10.5,0,17,26.046,1,7.694,44.7,42.1,1.001,1.124,0.685,0.657,292.37,18,38.0,24,0,40.0
5.097,6.7,4,13,0.065,13.3,0,12,20.648,2,11.09,40.0,26.7,1.082,1.168,0.688,0.72,332.69,12,30.0,23,0,31.0
5.542,5.6,4,13,0.081,11.1,0,14,24.358,2,8.522,38.9,41.7,1.019,1.135,0.677,0.653,306.78,12,36.0,22,0,37.0
5.199,4.7,4,19,0.089,9.3,0,19,30.12,2,8.578,44.2,39.5,1.013,1.122,0.7,0.675,368.85,18,43.0,28,0,45.0
4.523,6.7,4,13,0.065,13.3,0,12,20.523,2,12.289,40.0,20.0,1.116,1.191,0.684,0.746,368.67,12,30.0,25,0,31.0
4.523,3.1,4,13,0.121,12.5,0,13,21.097,1,9.259,40.6,34.4,1.053,1.166,0.659,0.675,296.28,12,32.0,22,0,33.0
4.658,4.7,4,14,0.136,9.3,0,17,28.881,2,8.066,39.5,44.2,1.011,1.132,0.672,0.641,346.85,12,43.0,25,0,44.0
4.523,5.4,4,14,0.132,10.8,0,15,25.171,2,10.075,40.5,32.4,1.06,1.159,0.68,0.693,372.76,12,37.0,26,0,38.0
4.824,6.1,4,13,0.088,12.1,0,13,22.409,2,10.507,39.4,30.3,1.071,1.165,0.679,0.701,346.72,12,33.0,24,0,34.0
5.461,5.4,4,14,0.132,10.8,0,15,26.216,2,9.547,40.5,37.8,1.027,1.129,0.709,0.685,353.23,12,37.0,24,0,38.0
5.097,5.6,4,13,0.108,11.1,0,14,24.171,2,10.021,38.9,33.3,1.062,1.163,0.671,0.685,360.75,12,36.0,25,0,37.0
5.427,3.4,4,13,0.067,13.8,0,12,21.051,1,12.108,41.4,24.1,1.085,1.165,0.726,0.749,351.13,12,29.0,23,0,30.0
5.053,5.9,2,12,0.143,5.9,0,14,22.188,2,7.715,41.2,44.1,1.016,1.137,0.653,0.634,262.31,11,34.0,20,0,35.0
5.211,0.0,5,19,0.128,13.5,0,17,25.836,0,7.821,45.9,40.5,0.998,1.123,0.698,0.669,289.37,18,37.0,24,0,39.0
6.367,6.7,4,20,0.094,6.7,0,26,40.216,4,7.643,43.3,43.3,1.007,1.123,0.67,0.646,458.56,17,60.0,38,0,64.0
5.087,5.3,4,17,0.15,10.5,0,16,25.5,2,7.799,42.1,42.1,1.01,1.129,0.671,0.649,296.36,16,38.0,24,0,40.0
4.622,6.8,3,12,0.13,6.8,0,17,28.233,3,7.168,38.6,47.7,1.005,1.133,0.642,0.612,315.41,11,44.0,25,0,46.0
5.043,0.0,5,18,0.079,13.9,0,16,24.836,0,7.704,44.4,41.7,0.998,1.127,0.69,0.659,277.36,18,36.0,23,0,38.0
4.523,0.0,3,17,0.057,9.4,0,16,22.824,0,7.729,50.0,40.6,0.991,1.112,0.713,0.678,247.32,17,32.0,22,0,35.0
5.142,6.1,3,20,0.137,6.1,0,22,33.233,3,7.662,44.9,42.9,1.005,1.12,0.678,0.652,375.46,18,49.0,30,0,51.0
4.485,4.5,3,19,0.109,6.8,0,20,30.017,2,7.578,45.5,43.2,1.001,1.119,0.682,0.652,333.42,18,44.0,27,0,46.0
4.156,4.5,3,19,0.109,6.8,0,20,30.017,2,7.578,45.5,43.2,1.001,1.119,0.682,0.652,333.42,18,44.0,27,0,46.0
4.45,4.5,3,19,0.109,6.8,0,20,30.017,2,7.578,45.5,43.2,1.001,1.119,0.682,0.652,333.42,18,44.0,27,0,46.0
4.759,4.3,3,19,0.122,6.4,0,21,31.779,2,7.393,44.7,44.7,0.998,1.12,0.676,0.643,347.45,18,47.0,28,0,49.0
4.283,4.3,3,19,0.122,6.4,0,21,31.779,2,7.393,44.7,44.7,0.998,1.12,0.676,0.643,347.45,18,47.0,28,0,49.0
4.638,4.3,3,19,0.122,6.4,0,21,31.779,2,7.393,44.7,44.7,0.998,1.12,0.676,0.643,347.45,18,47.0,28,0,49.0
4.287,6.5,3,20,0.125,6.5,0,21,31.472,3,7.857,45.7,41.3,1.008,1.118,0.684,0.661,361.43,18,46.0,29,0,48.0
4.381,6.5,3,20,0.125,6.5,0,21,31.472,3,7.857,45.7,41.3,1.008,1.118,0.684,0.661,361.43,18,46.0,29,0,48.0
4.0,6.5,3,20,0.125,6.5,0,21,31.472,3,7.857,45.7,41.3,1.008,1.118,0.684,0.661,361.43,18,46.0,29,0,48.0
4.488,6.1,3,20,0.137,6.1,0,22,33.233,3,7.662,44.9,42.9,1.005,1.12,0.678,0.652,375.46,18,49.0,30,0,51.0
4.0,6.1,3,20,0.137,6.1,0,22,33.233,3,7.662,44.9,42.9,1.005,1.12,0.678,0.652,375.46,18,49.0,30,0,51.0
