pXC50,C.016,NdsCH,nR.Cs,SdsCH,SpMin1_Bh.s.,JGI4,ATSC6p,nCrs,N.,ATSC5p,Hy,CATS2D_06_LL,CATS2D_03_AA,Eta_sh_y,BIC3,Eig01_EA.ri.,SpDiam_EA.ri.,SpMax_EA.ri.,SM09_EA.ri.,P_VSA_LogP_6,Eta_C_A,H.050,nHDon,SAdon,SpMin2_Bh.m.,SpMin1_Bh.m.,ATSC6v,MCD,P_VSA_e_3,ATSC5v,nCs,SpMin1_Bh.v.,MPC10,X5v,SM05_EA.ri.,SM04_AEA.ed.,MWC07,PCD,SM05_EA,SM07_EA.ri.,SM05_AEA.ed.,DBI,Eig03_EA.bo.,SM13_AEA.ri.,SM08_EA.ri.,SpMin3_Bh.i.,Eig01_AEA.ed.,SpMax_AEA.ed.,SssssC,CATS2D_05_LL,MATS1m,SM03_EA.ri.,CIC3,MWC08,SM15_EA.ri.,Eig02_EA.ed.,SM11_AEA.dm.,GATS3s,ATS6i,MWC09,SM06_AEA.ed.,SM08_AEA.ed.,SM07_AEA.ed.,SpMin3_Bh.v.,P_VSA_i_4,D.Dtr05,SpMin3_Bh.m.
5.162,0,0,0,0.0,1.495,0.028,12.129,8,4.2,11.743,-0.354,7,0,0.258,0.815,2.877,4.877,2.877,9.826,0.0,1.127,1,1,18.011,1.994,2.095,17.276,0.773,21.135,17.012,9,2.075,4.094,2.974,5.603,8.66,8.949,1.025,6.019,7.74,10.351,2.449,2.822,2.822,9.024,1.507,6.501,6.501,0.0,8,0.02,3.295,0.917,9.801,16.042,8.321,8.321,0.616,5.206,10.65,12.083,15.626,13.844,1.793,21.135,55.19,1.86
5.0,0,0,0,0.0,1.377,0.026,10.438,0,3.9,12.409,-0.909,3,1,0.228,0.779,2.923,4.923,2.923,10.102,0.0,0.786,0,0,0.0,2.056,2.172,15.291,0.88,6.249,17.987,2,2.149,4.454,2.718,5.829,8.734,9.092,3.122,5.994,7.993,10.395,2.449,3.056,3.056,9.309,1.685,6.183,6.183,0.0,6,0.081,3.501,1.027,9.943,16.381,9.054,9.054,0.977,5.066,10.791,12.096,15.575,13.826,1.922,6.249,0.0,1.945
5.0,0,0,0,0.0,1.459,0.014,9.177,2,2.2,10.971,-0.938,4,0,0.183,0.699,2.851,4.851,2.851,9.708,0.0,0.83,0,0,0.0,2.061,2.119,13.458,0.857,3.124,15.828,4,2.096,4.043,2.43,5.474,8.381,8.742,1.897,5.565,7.624,10.006,2.236,2.58,2.58,8.976,1.679,6.143,6.143,0.0,6,0.064,3.152,1.5,9.57,15.88,7.019,7.019,0.975,4.971,10.394,11.676,15.098,13.376,1.904,3.124,0.0,1.926
4.0,0,0,0,0.0,1.209,0.064,1.956,0,20.0,2.418,-0.046,0,2,0.432,0.865,3.032,5.032,3.032,10.102,2.144,0.596,1,1,42.683,1.465,2.045,1.687,0.813,51.398,2.001,0,2.132,3.97,1.278,5.725,8.742,9.048,3.25,6.217,7.923,10.504,1.871,3.127,3.127,9.146,1.129,6.83,6.83,0.0,0,-0.028,3.406,0.1,9.965,16.676,8.677,8.677,0.835,3.28,10.879,12.299,15.952,14.117,1.461,51.398,23.393,1.314
5.0,0,0,0,0.0,1.462,0.016,10.664,2,1.9,12.321,-0.944,7,0,0.167,0.727,2.851,4.851,2.851,9.708,0.0,0.904,0,0,0.0,2.075,2.119,15.553,0.783,3.124,17.81,6,2.096,3.932,2.696,5.474,8.413,8.781,1.827,5.565,7.624,10.029,2.646,2.581,2.581,8.994,1.702,6.143,6.143,0.0,10,0.06,3.152,1.404,9.602,15.879,6.966,6.966,0.948,5.107,10.422,11.691,15.105,13.387,1.928,3.124,0.0,1.956
4.0,0,0,0,0.0,1.478,0.034,9.606,2,3.8,11.45,-0.429,6,1,0.29,0.829,3.184,5.184,3.184,10.723,34.061,0.83,1,1,18.011,1.999,2.114,13.528,0.75,21.135,16.134,4,2.088,4.454,2.876,6.261,8.926,9.254,3.205,6.275,8.502,10.605,3.0,3.359,3.359,9.78,1.747,6.664,6.664,0.0,10,0.048,3.881,0.707,10.12,17.477,7.788,7.788,0.593,4.888,10.983,12.325,15.844,14.073,1.95,21.135,75.944,1.969
4.0,0,0,0,0.0,1.478,0.032,9.676,2,3.8,11.566,-0.484,7,0,0.227,0.823,2.899,4.899,2.899,10.094,47.976,0.835,1,1,16.786,2.032,2.114,13.887,0.808,19.91,16.636,4,2.088,4.331,2.773,5.872,8.708,9.08,3.811,5.969,8.011,10.341,2.828,3.312,3.312,9.317,1.748,6.193,6.193,0.0,11,0.064,3.549,0.745,9.924,16.299,7.788,7.788,0.942,4.888,10.764,12.013,15.428,13.711,1.957,19.91,71.501,1.979
5.678,0,0,0,0.0,1.237,0.053,5.025,0,3.3,5.536,1.109,7,0,0.436,0.856,3.184,5.184,3.184,10.646,0.0,0.676,3,3,128.05,1.931,2.073,5.001,0.762,16.786,4.689,0,2.108,4.543,1.685,6.127,8.951,9.234,3.407,6.415,8.392,10.71,2.121,3.35,3.35,9.65,1.375,6.993,6.993,0.0,5,-0.047,3.764,0.333,10.156,17.463,9.646,9.646,1.004,4.207,11.057,12.507,16.177,14.331,1.509,16.786,0.0,1.443
7.009,0,0,0,0.0,1.474,0.033,9.195,2,5.8,10.802,-0.419,6,0,0.292,0.82,2.989,4.989,2.989,10.303,36.205,0.833,1,1,42.683,2.02,2.113,13.186,0.778,21.809,15.506,3,2.086,4.533,2.772,6.044,8.917,9.243,3.869,6.275,8.192,10.599,2.828,3.428,3.428,9.461,1.741,6.664,6.664,0.0,8,0.058,3.748,0.76,10.111,16.662,7.789,7.789,0.665,4.868,10.976,12.321,15.842,14.07,1.949,21.809,71.264,1.971
5.585,0,0,0,0.0,1.46,0.019,13.569,6,2.3,11.377,-0.931,20,0,0.309,0.749,3.212,5.212,3.212,10.818,0.0,1.032,0,0,0.0,1.998,2.099,19.423,0.947,3.124,16.439,7,2.084,4.111,3.347,6.192,8.76,9.164,0.887,6.275,8.525,10.508,2.345,2.702,2.702,9.8,1.574,6.814,6.814,0.0,20,0.098,3.708,1.233,10.08,17.686,9.878,9.878,0.882,5.248,10.993,12.302,15.968,14.124,1.799,3.124,45.596,1.853
