pXC50,ATSC3i,IC5,TIC5,ATSC4i,TIC4,ATSC4m,CATS2D_08_LL,ATS2e,ATS4e,ATSC2p,ATS3e,ATS2i,ATS2v,SpMin4_Bh.e.,SpMin8_Bh.p.,SpMin4_Bh.v.,SpMin4_Bh.i.,ATS3v,TIC3,ATSC5i,ATSC2i,SpMin3_Bh.p.,ATS8v,X2v,ATSC4p,ATS1i,ATS1v,X1Kup,BLTA96,BLTD48,BLTF96,MLOGP,MLOGP2,IC4,X1v,CATS2D_09_LL,X1MulPer,ATS1e,ATSC1i,ATS3p,SpMax6_Bh.m.,X1Per,CATS2D_07_LL,ATS5e,Chi1_EA.bo.,Psi_i_1,ATS5i,SpMin4_Bh.p.,ATS2p,Sv,ATSC8i,ATS4i,SpMin2_Bh.v.,SpMax8_Bh.i.,ATSC3v,ATSC2m,ATS1p,SpMin4_Bh.s.,Si,ATSC4v,nBT,SpMin3_Bh.v.,SpMax6_Bh.e.,SpMax7_Bh.i.,H.046
7.519,2.347,5.59,357.735,2.813,357.735,58.518,14,4.871,5.544,12.607,5.299,5.055,4.233,1.636,1.418,1.816,1.588,4.49,346.226,2.716,1.616,1.907,4.009,10.693,22.209,4.361,3.745,11.627,-5.51,-5.39,-5.03,4.284,18.352,5.59,11.69,12,11.235,4.229,0.904,4.618,3.189,9.255,21,5.592,14.826,20.826,5.894,1.796,4.326,37.901,1.791,5.804,2.027,3.256,26.29,29.575,3.808,1.132,72.059,32.355,68,1.92,3.29,3.308,22
8.092,2.481,5.745,384.918,2.982,380.918,60.152,24,4.917,5.574,13.138,5.351,5.088,4.324,1.643,1.432,1.824,1.596,4.572,361.899,2.953,1.683,1.916,4.166,11.405,23.585,4.411,3.835,12.621,-5.95,-5.81,-5.4,4.722,22.293,5.685,12.684,20,12.266,4.285,0.932,4.695,3.236,10.068,26,5.624,16.07,22.974,5.916,1.808,4.411,40.901,1.951,5.827,2.139,3.308,27.498,29.98,3.893,1.22,75.059,33.733,72,1.927,3.412,3.332,19
7.764,2.478,5.715,382.918,2.958,378.918,60.029,21,4.917,5.572,13.138,5.351,5.088,4.324,1.648,1.405,1.827,1.601,4.568,364.654,2.899,1.683,1.919,4.083,11.44,23.696,4.411,3.835,12.615,-5.95,-5.81,-5.4,4.722,22.293,5.655,12.678,22,12.257,4.285,0.932,4.694,3.229,10.061,21,5.609,16.086,22.969,5.904,1.814,4.411,40.901,1.828,5.828,2.138,3.27,27.507,29.98,3.893,1.22,75.059,33.849,72,1.929,3.411,3.31,19
7.839,2.236,5.578,340.265,2.655,340.265,60.375,12,4.832,5.503,12.019,5.276,5.005,4.221,1.635,1.376,1.814,1.587,4.475,328.755,2.591,1.533,1.9,3.949,10.765,22.159,4.316,3.728,11.346,-5.78,-5.64,-5.26,4.552,20.72,5.578,11.757,10,10.99,4.191,0.853,4.603,3.239,9.003,19,5.543,14.826,20.661,5.837,1.793,4.311,37.202,1.552,5.757,1.993,3.193,25.242,27.829,3.788,1.057,68.587,31.295,65,1.915,3.29,3.308,19
7.609,2.343,5.59,357.735,2.787,357.735,58.242,16,4.871,5.541,12.607,5.299,5.055,4.233,1.637,1.394,1.818,1.589,4.485,348.226,2.686,1.616,1.907,3.982,10.748,22.318,4.361,3.745,11.621,-5.51,-5.39,-5.03,4.284,18.352,5.59,11.684,12,11.225,4.229,0.904,4.617,3.2,9.253,19,5.574,14.852,20.822,5.872,1.798,4.326,37.901,1.699,5.805,2.026,3.22,26.303,29.575,3.808,1.129,72.059,32.445,68,1.92,3.315,3.309,22
7.854,2.431,5.394,361.408,2.953,361.408,61.252,16,4.913,5.589,13.195,5.328,5.102,4.268,1.637,1.436,1.817,1.589,4.531,351.899,2.862,1.681,1.909,4.122,11.145,23.081,4.404,3.78,12.044,-5.72,-5.58,-5.2,4.485,20.116,5.394,12.106,14,11.581,4.27,0.943,4.659,3.189,9.567,25,5.644,15.213,21.474,5.943,1.798,4.362,39.428,1.989,5.849,2.044,3.308,27.279,31.051,3.846,1.183,75.474,33.778,71,1.921,3.29,3.336,25
7.959,2.327,5.618,365.189,2.782,365.189,58.772,10,4.89,5.543,12.514,5.301,5.069,4.236,1.635,1.435,1.815,1.588,4.493,353.679,2.744,1.617,1.905,4.037,10.579,22.019,4.379,3.755,11.698,-4.99,-4.9,-4.59,3.764,14.169,5.618,11.802,8,11.333,4.252,0.915,4.611,3.189,9.329,15,5.606,15.252,21.071,5.9,1.795,4.316,38.616,1.741,5.794,2.003,3.308,25.807,30.084,3.806,1.061,73.268,31.892,69,1.917,3.29,3.315,19
8.237,3.056,5.603,375.408,3.499,375.408,65.175,12,4.987,5.632,13.621,5.357,5.148,4.328,1.637,1.439,1.817,1.589,4.576,357.899,3.096,3.045,1.91,4.22,11.634,23.432,4.428,3.831,12.52,-6.84,-6.65,-6.16,5.608,31.445,5.603,12.734,10,12.297,4.312,1.418,4.65,3.255,9.974,17,5.668,18.321,23.657,5.951,1.8,4.354,41.728,2.713,5.875,2.023,3.308,24.989,30.165,3.838,1.131,77.512,31.375,71,1.92,3.414,3.346,19
6.886,2.344,5.604,353.059,2.756,351.059,58.037,10,4.852,5.532,12.156,5.293,5.032,4.22,1.636,1.376,1.815,1.588,4.475,337.549,2.627,1.619,1.905,3.969,10.466,21.389,4.358,3.729,11.406,-4.79,-4.7,-4.42,3.56,12.673,5.572,11.478,8,11.082,4.222,0.92,4.6,3.189,9.103,15,5.577,14.826,20.666,5.878,1.795,4.307,37.396,1.732,5.793,2.013,3.193,25.678,28.743,3.785,1.06,71.142,31.495,67,1.918,3.29,3.308,19
7.74,2.24,5.578,340.265,2.662,340.265,58.821,14,4.832,5.5,12.019,5.275,5.005,4.221,1.635,1.374,1.813,1.587,4.47,330.755,2.592,1.533,1.9,3.956,10.825,21.898,4.316,3.728,11.34,-5.78,-5.64,-5.26,4.552,20.72,5.578,11.751,10,10.982,4.191,0.853,4.601,3.228,8.995,15,5.543,14.852,20.656,5.837,1.792,4.311,37.202,1.566,5.757,1.994,3.193,25.269,27.829,3.788,1.057,68.587,31.169,65,1.914,3.292,3.308,19
