pXC50,JGI3,nBM,P_VSA_MR_7,SpMAD_AEA.dm.,Uc,ARR,C.016,C.017,C.020,Eig02_EA.dm.,Eig03_EA.dm.,Eig04_EA.dm.,GATS4e,GATS4m,N.075,NaaN,NaasC,nAB,nCar,nCconj,nDB,NdsCH,NdssC,nRCOOR,nR.Ct,SaaN,SdsCH,SpDiam_AEA.bo.,ATSC4s,Eig03_AEA.dm.,PCR,SpMax2_Bh.s.,SpMax3_Bh.s.,X5A,SpMAD_EA.bo.,ATSC4e,Eta_B,GATS1e,P_VSA_MR_2,MATS2e,ATSC2e,CATS2D_04_AA,Eig01_AEA.bo.,Eta_beta_A,Eta_betaP_A,GATS4s,MATS4e,nR.Cs,P_VSA_LogP_2,SM02_EA.dm.,SM04_EA.dm.,SM06_EA.dm.,SpAD_EA.dm.,SpDiam_EA.dm.,SpMax_AEA.bo.,SaasC,TWC,ATSC6e,ATSC6s,ATSC8s,Eig04_AEA.ri.,Eig04_EA,Eig04_EA.ri.,Eig06_EA,GATS1s,GGI3,MATS4m,MPC06,MWC10,NdO,O.058,SdO,SM03_EA.ri.,SM05_EA.ri.,SM06_EA.ri.,SM07_EA.ri.,SM08_EA.ri.,SM09_EA.ri.,SM10_EA.ri.,SM12_AEA.bo.,SM14_AEA.bo.,Eig01_EA.ri.,SpMax_EA.ri.,MATS2i,SM11_EA.ri.,ATSC7s,SM03_EA.dm.,SM05_EA.dm.,DLS_cons,PCD,C.002,D.Dtr05,nCs,SsOH,ATSC3s,ATSC5s,SpDiam_AEA.ri.,SpMAD_EA.dm.,P_VSA_m_3,P_VSA_v_2,SAacc,ATS5s,DELS,GATS6s,GGI1,MATS6e,SM03_EA,SM03_EA.ed.,SM04_EA.ed.,SM05_EA,SM05_EA.ed.,SM06_EA.ed.,SM07_AEA.ed.,SM07_EA,SM07_EA.ed.,SM08_AEA.ed.,SM08_EA,SM08_EA.ed.,SM09_AEA.ed.,SM09_EA,SM09_EA.ed.,SM10_AEA.ed.,SM10_EA,SM10_EA.ed.,SM11_AEA.ed.,SM11_EA,SM11_EA.ed.,SM12_AEA.ed.,SM12_EA,SM13_AEA.ed.,SM13_EA,SM14_AEA.ed.,SM14_EA,SM15_AEA.ed.,SM15_EA,X3A,C.024,NaaCH,SaaCH,Eig04_AEA.dm.,CATS2D_04_AL,ATSC5e,ATSC7e,CATS2D_06_AA,CATS2D_06_AL,Eig01_AEA.ed.,Eig01_EA,Eig01_EA.dm.,Eig01_EA.ed.,Eig05_AEA.dm.,Eig05_AEA.ed.,Eig05_EA,Eig05_EA.ed.,MATS1s,P_VSA_LogP_6,SM04_EA.ri.,SM07_EA.dm.,SM08_EA.dm.,SM09_AEA.bo.,SM09_EA.dm.,SM10_AEA.dm.,SM10_EA.dm.,SM11_EA.dm.,SM12_EA.dm.,SM12_EA.ed.,SM13_AEA.bo.,SM13_EA.dm.,SM13_EA.ed.,SM14_AEA.dm.,SM14_EA.dm.,SM14_EA.ed.,SM15_EA.dm.,SM15_EA.ed.,SpDiam_EA,SpDiam_EA.ed.,SpMax_AEA.ed.,SpMax_EA,SpMax_EA.dm.,SpMax_EA.ed.,TIE,Eig05_AEA.ri.,Eig05_EA.ri.,Eig06_AEA.ed.,Eig06_AEA.ri.,Eig06_EA.ed.,Eig06_EA.ri.,Ram,SM15_AEA.dm.,Eig01_AEA.ri.,Eta_C_A,GATS2i,nCsp3,nR05,P_VSA_i_4,SpMax_AEA.ri.,ATS4s,Eig06_AEA.dm.,GGI5,Eig06_AEA.bo.,Eig06_EA.bo.,Eig05_AEA.bo.,MWC09,SpMax7_Bh.s.,ATS6s,CATS2D_06_DA,GGI4,SPI,ATS6m,Eig05_EA.bo.,SM15_AEA.ri.,SM12_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,SM15_EA.ri.,SpDiam_EA.ri.,Eig01_AEA.dm.,Eig02_AEA.dm.,SpMax_AEA.dm.,GATS6e,SpDiam_AEA.dm.,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5v,ATS6e,ATS6i,ATS6p,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3v,ATSC4i,ATSC4m,ATSC4p,ATSC4v,ATSC5i,ATSC5m,ATSC5p,ATSC5v,ATSC6i,ATSC6m,ATSC6p
5.337,0.05,14,55.924,1.571,3.907,0.367,0,1,0,1.437,0.561,0.0,1.16,1.0,3,3,4,11,7,3,3,0,4,0,1,12.141,0.0,5.46,129.497,2.997,1.32,7.428,6.471,0.078,1.893,1.01,0.913,0.784,168.933,0.2,0.412,1,4.493,1.188,0.536,1.211,-0.113,1,30.683,2.461,3.299,4.314,7.814,3.345,4.493,0.993,12.464,0.861,139.95,130.821,3.386,2.429,2.321,1.986,0.73,2.097,0.031,4.357,11.925,2,2,24.133,4.236,6.681,8.064,9.012,10.251,11.339,12.536,2.429,1.986,3.384,3.384,-0.092,13.684,65.614,1.593,3.032,0.98,2.285,5,86.213,5,18.622,68.934,125.58,5.425,0.26,145.391,216.569,216.569,6.09,43.833,1.072,7.5,0.032,4.29,7.897,10.898,6.758,12.907,15.517,14.616,9.098,17.823,16.493,10.345,20.333,18.389,11.423,22.751,20.299,12.621,25.241,22.22,13.76,27.704,24.15,14.947,26.088,16.115,28.032,17.303,29.982,18.487,0.188,2,3,4.305,2.857,12,1.043,0.493,2,3,7.269,3.381,1.909,12.285,2.694,5.031,2.122,5.971,-0.07,0.0,6.065,4.414,5.432,3.381,5.757,12.285,6.616,7.078,7.845,30.195,2.122,8.386,32.679,5.971,9.1,35.175,9.687,37.669,5.381,19.608,7.269,3.381,1.909,12.285,77.376,3.088,2.038,4.956,2.97,5.519,1.936,10,5.519,4.383,0.946,1.243,8,1,71.178,4.383,6.161,2.511,1.299,3.273,2.352,3.456,11.046,4.411,6.086,4,1.729,16.658,3.845,2.757,2.757,14.874,16.05,17.244,18.434,5.384,3.982,3.65,3.982,1.033,5.982,1.675,11.786,1.968,3.871,97.77,7.729,4.021,4.128,3.592,3.489,5.237,3.497,4.542,4.705,3.977,3.887,5.78,3.87,4.828,5.018,4.017,4.018,5.996,3.973,4.986,5.227,3.987,3.951,3.915,4.818,5.019,3.934,3.848,3.845,4.703,4.878,3.857,3.811,4.734,4.95,3.753,3.875,5.829,3.784,4.863,5.122,3.623,3.778,5.968,3.684,0.188,0.728,9.904,4.435,21.779,5.551,1.147,18.561,7.421,60.181,10.058,0.549,1.396,26.43,9.252,12.764,1.414,35.624,8.888,13.284,1.194,29.497,7.672,10.282,1.147,24.186,7.927
6.398,0.054,8,16.786,1.537,3.17,0.375,0,0,0,1.221,0.922,0.069,1.24,1.222,1,1,2,6,5,2,2,0,2,0,0,3.585,0.0,5.433,115.473,2.74,1.301,7.999,7.999,0.075,1.951,0.701,0.604,0.681,70.025,0.397,0.766,2,4.537,1.333,0.633,1.252,-0.329,0,18.011,3.269,5.499,8.138,12.175,5.385,4.537,-0.181,11.971,0.363,57.493,30.196,2.589,1.686,1.512,0.95,0.667,1.25,-0.227,3.829,11.443,1,1,11.211,3.529,5.822,7.17,8.013,9.198,10.177,11.299,1.686,0.95,3.015,3.015,0.292,12.339,83.325,3.933,6.753,0.75,1.759,0,0.0,0,0.0,72.887,113.144,5.287,0.761,70.025,121.607,121.607,5.805,35.435,1.369,4.5,-0.35,3.892,7.545,10.521,6.382,12.573,15.182,14.254,8.768,17.48,16.154,10.017,19.977,18.066,11.135,22.366,19.987,12.342,24.828,21.915,13.503,27.254,23.847,14.697,25.784,15.877,27.724,17.07,29.667,18.259,0.178,2,3,4.079,2.298,2,0.623,0.489,0,0,7.129,3.349,3.875,11.772,1.456,3.721,1.334,2.98,-0.107,2.328,5.294,9.479,10.838,3.349,12.191,11.772,13.546,14.901,16.255,29.708,1.334,17.61,32.151,2.98,18.964,34.604,20.319,37.055,5.349,18.836,7.129,3.349,3.875,11.772,30.032,2.279,1.24,3.578,1.912,2.365,0.902,6,2.365,4.213,0.545,0.705,1,0,96.462,4.213,5.448,1.309,0.556,2.501,1.417,2.745,10.549,3.83,4.755,0,1.227,8.3,2.489,1.791,1.791,13.438,14.505,15.597,16.677,4.956,4.502,3.603,4.502,1.504,6.502,2.063,5.533,1.306,1.706,44.045,11.324,3.16,3.249,3.017,2.606,4.6,2.721,3.687,3.8,3.542,2.914,5.85,3.054,3.764,3.914,3.478,2.92,5.553,3.044,3.679,3.832,3.275,2.652,2.841,3.43,3.56,3.172,2.264,2.5,2.875,3.025,1.79,2.0,2.735,2.971,1.892,1.165,4.598,1.457,1.631,1.888,0.336,0.31,3.219,0.413,0.287,0.546,0.567,1.454,50.183,0.914,1.045,2.183,2.445,132.439,1.578,0.538,0.638,3.632,2.115,1.969,0.677,4.271,2.335,1.476,0.49,3.174,1.617,1.067,0.458,1.683,1.349
5.854,0.042,14,55.934,1.516,3.907,0.48,0,0,0,1.011,0.86,0.408,1.239,1.167,1,1,4,12,11,2,2,0,2,0,0,4.046,0.0,5.365,61.03,3.063,1.382,5.01,4.975,0.083,1.887,0.771,0.435,0.796,70.687,0.074,0.412,5,4.413,1.37,0.696,1.14,0.071,0,29.73,2.29,2.755,3.466,7.905,2.989,4.413,1.996,12.09,0.479,43.918,36.218,2.979,2.008,1.932,1.462,0.615,1.375,-0.145,4.06,11.537,1,1,11.856,3.382,5.663,7.183,7.829,9.094,9.967,11.121,2.008,1.462,2.969,2.969,0.052,12.103,38.836,1.05,2.249,0.8,2.62,1,0.0,1,0.0,42.63,32.301,5.12,0.316,47.145,98.727,98.727,5.249,26.023,1.27,3.5,-0.103,3.611,7.066,10.167,5.994,11.823,14.413,13.852,8.234,16.426,15.633,9.524,18.834,17.43,10.431,21.003,19.238,11.609,23.343,21.055,12.617,25.582,22.879,13.748,24.708,14.804,26.543,15.916,28.381,16.996,0.191,6,7,12.196,2.592,5,0.348,0.431,1,4,6.485,3.056,1.674,10.101,2.307,4.234,1.743,4.034,-0.059,6.714,5.468,3.401,4.325,3.056,4.511,10.101,5.266,5.591,6.248,27.898,1.743,6.651,30.17,4.034,7.251,32.478,7.7,34.767,5.056,16.991,6.485,3.056,1.674,10.101,35.631,2.664,1.599,3.834,2.423,3.304,1.402,6,3.304,4.025,0.671,1.014,3,0,51.582,4.025,5.665,1.836,0.382,2.862,2.003,2.964,10.678,4.023,5.256,1,1.089,8.623,3.269,2.119,2.119,13.211,14.245,15.335,16.394,4.969,3.662,3.244,3.662,1.126,5.662,1.782,11.174,3.22,10.368,84.881,8.967,3.742,3.833,3.46,3.275,4.937,3.29,4.242,4.37,3.809,3.611,5.477,3.605,4.444,4.615,3.887,3.642,5.636,3.636,4.339,4.511,3.685,3.475,3.452,4.182,4.373,3.379,3.398,3.325,4.201,4.41,3.324,3.234,4.097,4.303,3.226,3.202,5.154,3.128,3.932,4.137,3.164,3.084,5.092,3.028,0.109,0.527,5.234,3.121,8.254,3.419,0.804,11.474,5.238,26.53,5.839,0.546,0.892,19.814,6.611,7.403,0.791,18.419,5.407,5.978,0.699,16.221,5.247,6.22,0.676,16.948,5.334
5.683,0.036,14,16.786,1.522,3.907,0.5,0,0,0,1.039,0.826,0.125,0.938,1.013,1,1,4,12,11,2,2,0,2,0,0,4.065,0.0,5.356,57.231,2.946,1.385,7.429,4.961,0.082,1.912,0.469,0.452,0.674,48.687,-0.019,0.312,2,4.413,1.364,0.705,0.914,0.016,0,29.73,2.208,2.656,3.294,7.174,2.931,4.413,1.596,12.052,0.326,39.668,28.557,3.054,2.109,1.972,1.484,0.545,1.125,-0.007,4.06,11.498,1,1,11.859,3.509,5.789,7.282,7.941,9.194,10.067,11.215,2.109,1.484,2.978,2.978,-0.062,12.194,51.935,0.904,1.91,0.87,2.617,1,0.0,1,0.0,46.019,56.375,5.105,0.299,51.105,102.687,102.687,5.403,28.272,1.047,4.0,-0.199,3.611,6.986,10.065,5.943,11.675,14.265,13.736,8.141,16.262,15.496,9.43,18.68,17.274,10.311,20.854,19.068,11.49,23.208,20.873,12.484,25.46,22.689,13.616,24.514,14.668,26.347,15.783,28.185,16.864,0.191,6,7,11.24,2.63,4,0.534,0.454,0,2,6.485,3.056,1.597,10.101,2.559,4.889,2.007,5.695,-0.041,17.288,5.545,2.959,4.05,3.056,3.992,10.101,4.878,4.998,5.748,27.789,2.007,5.983,30.075,5.695,6.642,32.395,6.952,34.695,5.056,16.991,6.485,3.056,1.597,10.101,37.416,2.98,1.935,3.824,2.423,3.238,1.398,6,3.238,4.03,0.635,1.007,3,0,66.542,4.03,5.596,2.053,0.326,2.858,1.998,3.412,10.639,3.831,5.123,0,1.089,8.507,3.105,2.645,2.645,13.299,14.331,15.42,16.477,4.978,3.657,3.038,3.657,1.222,5.657,1.724,11.0,2.278,5.189,79.222,8.315,3.707,3.811,3.359,3.243,4.919,3.257,4.212,4.356,3.687,3.582,5.465,3.581,4.42,4.608,3.702,3.638,5.659,3.62,4.382,4.598,3.51,3.477,3.433,4.26,4.493,3.292,3.293,3.243,4.046,4.259,3.177,3.122,4.026,4.252,3.096,3.137,5.202,3.076,3.858,4.071,3.039,3.093,4.977,3.045,0.087,0.596,5.786,3.142,9.561,3.563,0.924,11.73,5.179,24.388,5.942,0.468,1.082,16.709,6.133,7.344,0.934,17.493,6.125,7.752,0.747,16.71,5.076,6.588,0.688,12.468,4.409
6.524,0.044,14,55.934,1.519,3.907,0.5,0,0,0,1.039,0.826,0.125,0.958,0.864,1,1,4,12,11,2,2,0,2,0,0,4.087,0.0,5.356,44.968,3.0,1.386,4.968,4.931,0.082,1.915,0.384,0.452,0.735,48.687,-0.008,0.276,2,4.413,1.364,0.705,0.959,0.081,0,29.73,2.208,2.656,3.294,7.174,2.931,4.413,2.725,12.058,0.309,29.028,26.004,2.98,2.014,1.936,1.481,0.587,1.375,0.05,4.06,11.506,1,1,11.885,3.453,5.74,7.251,7.906,9.169,10.042,11.195,2.014,1.481,2.978,2.978,0.0,12.176,29.98,0.904,1.91,0.87,2.626,1,0.0,1,0.0,34.689,54.015,5.105,0.299,36.145,87.727,87.727,5.415,22.683,0.9,4.0,-0.032,3.611,6.986,10.08,5.943,11.686,14.284,13.741,8.149,16.278,15.503,9.44,18.698,17.283,10.325,20.868,19.078,11.505,23.221,20.885,12.501,25.47,22.701,13.634,24.526,14.686,26.359,15.801,28.197,16.881,0.189,6,7,12.658,2.608,4,0.532,0.258,0,4,6.485,3.056,1.597,10.101,2.508,4.751,2.0,5.322,-0.05,2.328,5.515,2.959,4.05,3.056,3.992,10.101,4.878,4.998,5.748,27.798,2.0,5.983,30.082,5.322,6.642,32.4,6.952,34.699,5.056,16.991,6.485,3.056,1.597,10.101,33.016,2.912,1.742,3.823,2.421,3.234,1.395,6,3.234,4.03,0.671,1.061,3,0,51.582,4.03,5.548,2.042,0.326,2.858,1.998,3.312,10.644,3.831,5.086,0,1.089,8.401,3.214,2.558,2.558,13.284,14.317,15.407,16.467,4.978,3.657,3.042,3.657,1.078,5.657,1.724,10.409,2.737,7.49,83.81,8.772,3.702,3.802,3.406,3.279,4.87,3.274,4.206,4.345,3.754,3.632,5.397,3.605,4.411,4.591,3.773,3.703,5.569,3.65,4.375,4.585,3.629,3.541,3.474,4.27,4.487,3.367,3.361,3.285,4.039,4.24,3.224,3.142,4.002,4.233,3.124,3.177,4.992,3.092,3.867,4.062,3.124,3.162,4.979,3.086,0.063,0.514,5.356,3.015,6.904,3.513,0.807,11.44,5.149,22.207,5.98,0.389,0.934,18.353,6.409,7.75,0.862,18.545,6.483,8.147,0.731,19.991,5.621,6.67,0.602,14.736,4.672
4.18,0.04,12,16.663,1.499,3.7,0.611,0,0,0,0.86,0.68,0.0,0.916,1.106,1,1,4,11,9,1,1,0,1,0,0,3.938,0.0,5.017,45.962,2.778,1.354,6.351,4.968,0.083,1.964,0.393,0.4,0.827,78.828,0.037,0.277,1,4.247,1.324,0.706,0.979,-0.024,0,2.535,2.019,2.402,2.975,5.953,2.873,4.247,2.65,11.692,0.289,35.018,29.644,2.925,1.955,1.883,1.0,0.752,0.847,-0.145,3.638,11.129,1,1,10.662,3.345,5.596,7.035,7.671,8.886,9.7,10.81,1.955,1.0,2.809,2.809,-0.093,11.718,12.544,0.0,0.0,0.8,2.102,1,49.394,1,8.745,24.775,24.436,4.855,0.331,78.828,112.154,95.491,4.895,17.802,1.22,4.0,-0.25,3.434,6.683,9.66,5.74,11.153,13.617,13.38,7.86,15.435,15.097,9.082,17.706,16.823,9.93,19.682,18.556,11.05,21.873,20.296,11.988,23.929,22.041,13.062,23.79,14.048,25.543,15.101,27.299,16.113,0.198,5,5,9.106,2.329,3,0.2,0.16,0,1,6.008,2.876,1.437,8.625,1.67,3.673,1.116,2.679,-0.107,2.757,5.309,0.0,3.637,2.876,0.0,8.625,4.336,0.0,5.05,26.088,1.116,0.0,28.186,2.679,5.77,30.333,0.0,32.454,4.876,14.543,6.008,2.876,1.437,8.625,25.182,2.093,1.074,3.414,2.0,2.275,1.0,5,2.275,3.855,0.581,1.164,2,1,33.326,3.855,5.349,1.129,0.285,2.5,1.5,2.599,10.285,3.645,4.92,0,0.792,8.722,2.811,1.555,1.555,12.778,13.736,14.772,15.758,4.809,3.583,3.004,3.583,1.265,5.583,1.658,8.529,2.135,4.559,62.158,8.009,3.488,3.589,3.094,2.979,4.749,2.994,3.941,4.08,3.398,3.303,5.276,3.302,4.066,4.228,3.324,3.351,5.297,3.307,4.141,4.349,3.167,3.273,3.196,3.969,4.233,2.931,3.114,3.003,3.801,4.019,2.888,2.837,3.529,3.725,2.755,2.673,4.795,2.647,3.503,3.702,2.615,2.421,4.882,2.44,0.107,0.411,5.31,2.586,9.991,2.957,0.607,9.69,3.908,36.729,4.806,0.295,0.666,11.243,4.457,5.625,0.658,13.938,4.759,6.307,0.574,12.298,4.255,6.297,0.457,10.368,3.096
4.67,0.031,6,16.663,1.398,2.807,0.263,0,0,0,0.0,0.0,0.0,0.754,0.914,1,1,2,5,3,1,1,0,1,0,0,3.999,0.0,5.18,42.826,1.936,1.172,6.351,4.953,0.099,1.619,0.344,0.264,0.765,67.828,0.205,0.199,1,4.229,0.842,0.289,0.756,0.11,0,25.345,1.635,2.253,2.922,2.873,2.873,4.229,1.047,11.305,0.201,24.296,22.566,2.68,1.681,1.678,1.124,0.697,0.597,0.035,3.219,10.712,1,1,10.666,2.866,5.12,6.718,7.211,8.505,9.255,10.403,1.681,1.124,2.778,2.778,-0.29,11.287,23.704,0.0,0.0,0.86,0.975,10,64.421,10,8.757,34.07,16.417,4.826,0.151,67.828,101.154,84.491,5.14,15.4,0.803,2.5,-0.04,2.944,6.163,9.221,5.252,10.707,13.19,12.962,7.393,15.05,14.679,8.685,17.33,16.413,9.488,19.347,18.16,10.643,21.548,19.915,11.57,23.634,21.677,12.664,23.444,13.653,25.214,14.719,26.988,15.737,0.218,1,1,1.632,1.826,1,0.161,0.194,0,2,5.998,2.851,1.437,8.557,1.63,3.607,1.363,2.831,-0.004,2.757,5.108,0.0,3.619,2.851,0.0,8.557,4.33,0.0,5.047,25.803,1.363,0.0,27.921,2.831,5.769,30.077,0.0,32.21,4.836,14.413,5.998,2.851,1.437,8.557,46.243,2.36,1.354,3.276,2.111,2.378,1.099,3,2.378,3.829,1.001,1.489,11,1,33.326,3.829,5.495,1.283,0.191,2.303,1.284,2.601,9.903,3.653,5.189,0,0.535,9.89,2.95,1.578,1.578,12.366,13.318,14.365,15.351,4.754,3.582,2.746,3.582,0.817,5.521,1.385,11.789,5.225,27.302,77.009,5.921,3.834,3.983,3.161,3.299,4.796,3.228,4.41,4.634,3.387,3.66,5.369,3.525,4.695,4.998,3.297,3.725,5.467,3.528,4.668,4.972,3.214,3.652,3.456,4.55,4.871,3.002,3.566,3.341,4.482,4.789,3.479,3.271,4.405,4.713,2.877,3.389,5.13,3.184,4.298,4.602,2.797,3.278,5.055,3.083,0.081,0.604,11.181,4.511,7.494,6.404,0.916,19.138,7.033,33.508,10.556,0.296,1.005,24.301,8.29,12.741,0.936,23.803,7.736,11.919,0.855,20.461,7.216,11.12,0.78,19.469,6.538
6.807,0.056,6,16.663,1.559,2.807,0.417,0,0,0,0.0,0.0,0.0,1.238,1.215,1,1,3,5,3,1,1,0,1,0,0,3.912,0.0,5.325,39.358,1.894,1.217,6.351,4.945,0.077,1.932,0.32,0.298,0.778,67.828,0.196,0.198,1,4.483,1.136,0.5,1.143,-0.119,0,7.604,1.635,2.253,2.922,2.873,2.873,4.483,2.109,11.664,0.238,40.315,0.0,2.275,1.28,1.259,0.148,0.689,0.722,-0.218,3.296,11.134,1,1,10.551,3.16,5.611,7.017,7.896,9.117,10.14,11.296,1.28,0.148,3.075,3.075,-0.22,12.378,3.861,0.0,0.0,0.85,1.131,3,37.963,3,8.667,30.778,35.813,5.145,0.239,67.828,101.154,84.491,4.504,14.311,3.056,2.0,-0.831,3.219,6.79,9.894,5.707,11.764,14.375,13.575,8.028,16.553,15.413,9.267,19.008,17.264,10.31,21.301,19.125,11.484,23.702,20.993,12.585,26.04,22.867,13.736,24.744,14.861,26.626,16.005,28.509,17.139,0.174,0,0,0.0,1.592,1,0.22,0.029,0,0,6.663,3.133,1.437,10.67,0.887,3.348,0.816,1.93,-0.062,2.757,5.091,0.0,3.619,3.133,0.0,10.67,4.33,0.0,5.047,28.421,0.816,0.0,30.776,1.93,5.769,33.149,0.0,35.512,5.133,17.612,6.663,3.133,1.437,10.67,14.115,1.799,0.799,2.812,1.14,0.365,0.146,4,0.365,4.116,0.62,1.354,3,2,33.326,4.116,4.984,0.566,0.16,1.365,0.174,2.052,10.245,2.753,4.094,0,0.445,4.682,0.739,0.982,0.982,13.511,14.616,15.742,16.857,5.038,3.636,3.087,3.636,2.756,5.517,1.74,4.182,1.234,1.523,38.839,8.009,3.105,3.216,2.713,2.584,4.313,2.602,3.619,3.772,3.079,2.989,4.941,2.975,3.785,4.007,2.917,2.905,4.922,2.844,3.608,3.826,2.674,2.526,2.528,3.243,3.469,2.041,2.03,2.002,2.799,3.041,1.315,1.197,1.515,1.922,0.028,0.457,1.609,0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.097,0.293,3.647,1.658,12.233,1.99,0.464,6.801,2.75,35.378,3.764,0.264,0.456,9.566,2.974,4.503,0.324,8.442,1.792,2.694,0.177,6.368,1.476,2.012,0.075,4.849,0.854
6.226,0.046,6,16.663,1.451,2.807,0.625,0,0,0,0.0,0.0,0.0,1.341,1.165,1,1,1,5,3,1,1,0,1,0,0,3.391,0.0,4.722,22.074,1.041,1.269,6.351,4.982,0.106,2.012,0.197,0.195,0.921,67.828,0.086,0.202,0,4.125,1.313,0.688,1.609,-0.091,0,0.0,1.635,2.253,2.922,2.873,2.873,4.125,0.046,10.516,0.029,4.417,0.0,1.602,0.618,0.608,-1.26,0.828,0.278,-0.123,1.609,9.915,1,1,9.98,2.498,4.754,6.104,6.826,7.967,8.839,9.893,0.618,-1.26,2.68,2.68,-0.47,10.828,0.0,0.0,0.0,0.71,1.095,0,19.667,0,8.191,26.704,26.812,4.644,0.359,67.828,101.154,84.491,3.481,11.124,0.0,1.5,0.741,2.565,5.746,8.697,4.875,10.3,12.715,12.524,6.997,14.612,14.274,8.162,16.841,16.034,9.057,18.855,17.801,10.135,21.01,19.571,11.095,23.071,21.344,12.136,23.119,13.123,24.895,14.147,26.671,15.147,0.213,1,2,2.853,0.618,0,0.161,0.0,0,0,5.917,2.746,1.437,8.156,0.401,1.68,-1.0,-2.0,-0.217,11.771,4.387,0.0,3.619,2.746,0.0,8.156,4.33,0.0,5.047,25.194,-1.0,0.0,27.277,-2.0,5.769,29.386,0.0,31.478,4.632,13.683,5.917,2.746,1.437,8.156,7.753,0.007,-0.952,1.0,-0.308,-2.875,-1.244,2,-2.875,3.727,0.366,1.597,0,1,33.326,3.727,4.405,-1.128,0.0,0.058,-1.725,0.485,9.119,1.569,1.099,0,0.25,3.565,0.014,-1.273,-1.273,11.845,12.808,13.808,14.784,4.528,3.576,2.201,3.576,0.0,5.406,1.918,3.375,0.307,0.094,26.132,9.342,2.677,2.779,2.374,2.044,4.14,2.132,3.001,3.113,2.631,2.264,4.721,2.346,2.991,3.175,2.28,1.972,4.602,2.017,2.642,2.779,1.995,1.47,1.599,2.188,2.404,0.493,0.898,0.827,1.02,1.365,0.255,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.176,1.681,0.772,15.007,0.76,0.23,2.394,0.929,29.562,1.155,0.228,0.151,3.74,0.936,1.31,0.075,2.66,0.587,0.683,0.032,2.443,0.357,0.412,0.006,0.962,0.135
4.693,0.045,12,16.663,1.511,3.7,0.647,0,0,0,0.68,0.0,0.0,0.839,0.999,1,1,4,11,9,1,1,0,1,0,0,3.949,0.0,5.012,45.925,2.589,1.362,6.351,4.962,0.085,2.013,0.31,0.438,0.76,67.828,0.212,0.159,1,4.247,1.313,0.719,0.894,0.081,0,2.535,1.801,2.297,2.933,4.233,2.873,4.247,3.189,11.634,0.157,25.643,24.343,2.903,1.912,1.886,1.0,0.738,0.847,0.005,3.526,11.07,1,1,10.64,3.386,5.625,7.05,7.699,8.907,9.728,10.835,1.912,1.0,2.811,2.811,-0.133,11.746,14.782,0.0,0.0,0.8,2.1,1,45.139,1,8.729,22.146,21.519,4.855,0.249,67.828,101.154,84.491,4.763,14.88,1.375,4.0,-0.313,3.434,6.613,9.597,5.707,11.072,13.551,13.32,7.816,15.362,15.034,9.033,17.645,16.759,9.882,19.621,18.492,11.002,21.821,20.231,11.941,23.88,21.977,13.015,23.727,14.002,25.482,15.056,27.241,16.069,0.197,5,5,9.65,2.243,2,0.128,0.099,0,2,6.008,2.875,1.437,8.624,1.647,3.67,1.11,2.671,-0.104,2.757,5.315,0.0,3.621,2.875,0.0,8.624,4.33,0.0,5.048,26.045,1.11,0.0,28.147,2.671,5.769,30.299,0.0,32.423,4.875,14.541,6.008,2.875,1.437,8.624,22.932,2.089,1.07,3.414,2.0,2.275,1.0,5,2.275,3.855,0.6,1.205,2,1,33.326,3.855,5.293,1.0,0.223,2.5,1.5,2.596,10.226,3.506,4.804,0,0.752,8.236,2.721,1.551,1.551,12.804,13.764,14.8,15.787,4.811,3.583,2.984,3.583,1.428,5.583,1.592,7.813,2.638,6.957,60.736,7.724,3.437,3.549,3.016,2.984,4.663,2.973,3.89,4.042,3.338,3.329,5.197,3.295,4.058,4.238,3.231,3.374,5.245,3.289,4.149,4.394,3.055,3.237,3.125,3.848,4.122,2.833,3.003,2.897,3.623,3.811,2.836,2.778,3.578,3.836,2.63,2.672,4.724,2.603,3.332,3.509,2.399,2.358,4.772,2.349,0.071,0.401,5.341,2.518,9.045,3.06,0.608,9.204,3.968,31.727,5.24,0.199,0.684,11.468,4.661,6.233,0.667,14.886,4.997,7.001,0.519,11.001,3.765,5.589,0.418,7.946,2.643
