pXC50,Mi,AMW
5.717,1.113,7.655
5.53,1.116,11.004
5.314,1.114,7.299
5.342,1.119,7.3
6.032,1.102,11.353
5.293,1.119,13.361
5.928,1.112,9.53
5.851,1.115,8.924
5.674,1.115,8.924
5.208,1.106,15.045
5.403,1.118,10.245
5.951,1.103,9.17
6.06,1.105,8.74
5.991,1.11,10.413
5.398,1.141,9.12
5.071,1.125,7.188
6.208,1.105,13.287
5.229,1.123,11.351
5.377,1.127,9.805
5.538,1.128,9.839
6.319,1.103,11.735
6.056,1.103,9.17
6.161,1.109,11.17
5.475,1.114,9.207
6.229,1.101,17.181
5.022,1.135,7.113
6.027,1.136,10.406
