pXC50,nCsp3,H.,Mv,nCsp2,nBM,RBF,nAB,AMW,N.,Mp,nH,SCBO,nC,nN,nDB,RBN,Sp,C.,Me,Mi,MW,nAT,nB,nBO,nBR,nBT
4.097,0,39.3,0.702,16,19,0.0,19,7.76,3.6,0.743,11,29.5,16,1,0,0,20.813,57.1,0.983,1.092,217.28,28,0,20,0,31
4.319,16,55.1,0.588,3,2,0.0,0,7.497,0.0,0.651,27,27.0,19,0,2,0,31.921,38.8,0.985,1.124,367.36,49,0,25,1,52
4.097,2,41.7,0.663,15,12,0.108,6,7.815,2.8,0.686,15,31.0,17,1,6,4,24.699,47.2,1.007,1.112,281.33,36,0,22,0,37
4.097,3,41.7,0.655,13,11,0.108,6,7.926,2.8,0.671,15,30.0,16,1,5,4,24.154,44.4,1.017,1.118,285.32,36,0,22,0,37
4.097,3,44.7,0.649,19,22,0.12,22,7.308,6.4,0.688,21,40.0,22,3,0,6,32.324,46.8,0.991,1.116,343.46,47,0,29,0,50
4.097,5,48.8,0.617,13,16,0.111,16,6.87,7.0,0.659,21,32.0,18,3,0,5,28.324,41.9,0.99,1.127,295.42,43,0,24,0,45
4.68,2,35.0,0.685,12,16,0.171,12,9.961,10.0,0.696,14,37.0,14,4,4,7,27.852,35.0,1.049,1.129,398.46,40,0,27,0,41
4.097,0,36.4,0.727,10,12,0.13,12,10.015,9.1,0.8,8,21.0,10,2,0,3,17.591,45.5,1.0,1.095,220.34,22,0,15,0,23
4.267,0,40.0,0.68,12,13,0.097,12,9.479,0.0,0.723,12,26.0,12,0,1,3,21.682,40.0,1.025,1.106,284.38,30,0,19,0,31
4.097,5,45.5,0.635,14,14,0.109,12,7.373,4.5,0.664,20,34.0,19,2,2,5,29.228,43.2,1.003,1.122,324.41,44,0,26,0,46
4.097,4,50.0,0.6,6,6,0.0,6,6.894,3.8,0.634,13,17.0,10,1,0,0,16.483,38.5,1.002,1.131,179.24,26,0,14,0,27
4.461,5,45.9,0.64,12,12,0.0,12,7.226,2.7,0.676,17,29.0,17,1,0,0,25.006,45.9,0.995,1.115,267.35,37,0,23,0,40
4.184,3,43.6,0.63,12,13,0.15,12,7.804,10.3,0.646,17,30.0,15,4,1,6,25.199,38.5,1.019,1.145,304.36,39,0,23,0,40
4.5,20,58.6,0.553,1,1,0.033,0,5.768,0.0,0.609,34,28.0,21,0,1,2,35.307,36.2,0.983,1.133,334.55,58,0,27,0,61
4.371,7,52.9,0.587,6,6,0.0,6,6.421,5.9,0.634,18,21.0,13,2,0,0,21.557,38.2,0.988,1.133,218.33,34,0,18,0,36
4.201,5,44.7,0.642,12,12,0.0,12,7.457,2.6,0.67,17,30.0,17,1,0,0,25.46,44.7,1.004,1.117,283.35,38,0,24,0,41
4.097,6,50.0,0.61,13,16,0.125,16,6.727,6.5,0.654,23,33.0,19,3,0,6,30.086,41.3,0.988,1.127,309.45,46,0,25,0,48
