pXC50,Sv,MW,nSK,SCBO,RBN,nBO
4.0,27.827,337.44,25,36.5,3,28
4.602,16.374,249.11,14,21.5,1,15
4.721,45.148,630.05,41,57.5,7,44
4.62,31.929,455.4,30,44.5,6,32
5.004,45.086,634.48,41,55.0,15,42
4.367,12.562,215.05,11,15.0,1,11
4.092,11.847,199.05,10,14.0,1,10
4.602,42.734,622.95,41,61.5,6,45
4.523,30.402,441.37,29,43.5,5,31
5.495,48.576,604.67,43,55.0,18,44
4.854,14.524,267.05,14,18.0,1,14
5.076,52.936,643.76,46,59.0,19,48
5.553,40.274,588.41,37,47.0,16,37
4.347,37.588,468.63,33,54.0,6,37
4.538,34.031,488.54,32,45.5,7,34
4.0,42.168,510.72,36,57.0,8,40
4.237,34.556,443.58,31,50.5,6,34
4.313,50.103,618.7,44,56.0,18,45
4.071,33.828,454.55,31,48.5,6,34
5.77,55.178,673.79,48,61.0,20,49
4.0,31.249,408.53,28,45.0,6,31
4.0,27.662,411.35,25,38.5,5,27
4.0,29.189,425.38,26,39.5,5,28
4.184,34.465,400.52,29,38.0,5,32
4.714,31.896,368.46,27,37.0,4,30
5.678,48.576,604.67,43,55.0,18,44
6.796,62.946,765.89,55,72.0,22,57
6.721,58.274,676.88,48,58.0,21,50
4.77,59.801,690.91,49,59.0,22,51
4.281,29.578,359.41,26,35.0,3,29
6.658,46.066,514.72,37,46.0,18,38
6.229,46.55,526.74,37,42.0,18,38
4.151,39.992,462.59,34,47.0,6,38
4.523,22.735,284.28,21,31.0,1,24
4.523,31.896,368.46,27,37.0,4,30
4.523,30.369,354.43,26,36.0,3,29
4.441,33.444,385.5,28,37.0,5,31
4.082,31.917,371.47,27,36.0,5,30
4.044,32.444,373.49,27,35.0,7,29
4.246,28.863,343.41,25,34.0,3,28
4.611,32.632,387.47,28,37.0,5,31
5.167,44.261,454.76,33,40.0,1,37
5.0,34.092,487.0,31,44.5,7,33
4.118,39.487,463.58,34,47.0,6,38
4.0,29.637,542.13,31,40.0,4,32
4.207,30.39,357.44,26,35.0,3,29
4.393,38.551,429.61,31,39.0,11,33
7.28,56.002,646.84,48,75.0,11,54
7.28,54.588,651.25,47,74.0,10,53
6.54,50.284,712.52,43,66.0,10,48
6.89,42.758,620.35,37,56.0,8,41
6.92,46.609,558.68,41,64.0,8,46
8.523,70.016,825.09,59,74.0,13,60
6.17,46.422,538.62,41,65.0,9,46
6.96,46.949,540.64,41,64.0,9,46
6.92,47.09,558.7,41,64.0,9,46
7.11,48.948,570.74,42,65.0,10,47
4.0,42.103,517.21,34,47.5,14,36
7.6,48.757,698.49,42,65.0,9,47
5.352,34.056,368.57,26,29.0,16,26
5.495,53.651,659.76,47,60.0,19,48
5.88,39.181,448.54,34,53.0,7,38
7.27,45.812,648.41,39,58.0,9,43
7.02,46.707,540.71,40,63.0,9,45
6.96,42.707,492.67,36,55.0,9,40
4.0,39.168,474.69,33,50.5,9,36
6.66,47.761,538.67,41,64.0,10,46
6.34,41.39,489.55,37,58.0,7,41
7.42,48.285,682.42,42,65.0,9,47
7.37,55.53,630.77,48,75.0,11,54
6.64,48.159,569.64,43,68.0,10,48
7.13,49.288,552.7,42,65.0,9,47
7.26,53.342,592.77,45,69.0,10,51
5.66,35.653,416.57,30,45.0,8,33
6.77,44.233,506.7,37,56.0,10,41
5.056,35.422,406.51,30,42.0,2,34
5.137,35.234,392.53,29,40.0,4,32
4.081,30.985,415.53,28,43.5,7,30
4.046,40.115,494.67,35,56.5,7,39
4.71,28.127,324.4,24,34.0,2,27
5.194,34.708,390.51,29,41.0,2,33
6.411,34.621,621.14,31,49.0,4,35
4.0,33.205,448.63,29,44.5,7,31
4.523,28.127,324.4,24,34.0,2,27
4.682,37.476,422.56,31,42.0,5,34
4.0,29.889,404.97,26,39.5,6,28
4.237,39.168,474.69,33,50.5,8,36
6.416,30.665,563.1,27,44.0,1,31
4.824,21.237,300.21,20,28.0,4,21
4.009,20.959,272.28,20,30.5,3,22
4.31,20.259,284.3,19,28.0,3,20
6.387,44.12,503.78,35,44.0,20,36
5.145,45.646,517.81,36,45.0,21,37
6.456,45.459,497.75,36,45.5,20,37
5.119,27.6,322.38,24,35.0,0,28
5.126,46.986,511.78,37,46.5,21,38
5.807,44.218,479.73,35,45.5,18,37
4.31,39.749,468.74,32,45.5,13,34
4.42,33.889,453.01,30,47.5,6,33
4.229,37.017,476.61,33,51.5,8,36
4.444,35.738,486.57,33,50.5,6,36
4.699,34.791,466.59,31,44.5,7,33
4.668,29.745,370.38,27,38.0,3,29
4.108,24.5,446.05,23,32.0,4,24
4.434,28.842,340.4,25,35.0,5,26
4.523,29.144,288.52,21,25.0,2,23
4.666,26.701,355.46,24,36.0,4,26
5.357,27.701,367.47,25,38.0,4,27
4.714,32.245,441.28,30,45.5,4,33
5.046,38.018,482.54,35,54.5,5,39
4.824,20.522,284.21,19,27.0,3,20
4.032,18.71,274.17,18,25.5,2,19
6.032,58.79,809.65,55,76.0,16,58
4.796,23.351,328.21,21,30.0,4,22
4.585,23.884,388.16,24,32.5,4,25
5.591,32.518,470.32,30,39.0,9,31
4.328,22.712,294.26,20,28.0,5,21
8.222,37.505,657.31,34,48.0,8,36
4.931,37.242,657.4,34,49.0,8,36
4.854,36.475,621.42,32,47.0,8,34
7.572,39.798,707.32,37,51.0,9,39
5.352,39.535,707.41,37,52.0,9,39
7.62,62.625,837.82,57,70.0,24,57
5.0,62.361,837.91,57,71.0,24,57
5.182,54.787,592.9,43,55.0,6,48
5.337,48.029,498.82,36,43.0,4,40
5.627,52.239,563.85,41,52.0,5,46
5.721,54.986,592.89,43,54.0,6,48
5.77,54.668,607.86,44,57.0,6,49
6.481,55.174,606.87,44,56.0,6,49
6.569,55.174,606.87,44,56.0,6,49
6.301,57.098,651.87,47,61.0,7,52
4.936,53.629,583.88,42,52.0,5,47
5.114,28.719,319.43,24,35.5,2,27
5.538,30.914,347.46,26,38.0,2,29
5.147,43.976,458.75,33,39.0,2,37
5.383,51.083,526.88,38,45.0,6,42
5.201,31.359,363.91,26,38.0,2,29
4.78,29.986,404.33,25,34.0,4,27
4.897,46.502,484.79,35,42.0,3,39
4.876,43.976,458.75,33,39.0,2,37
4.882,43.449,456.73,33,40.0,2,37
5.561,52.029,546.86,40,51.0,4,45
5.215,32.455,374.47,28,42.0,3,31
5.682,54.986,592.89,43,54.0,6,48
4.9,27.861,319.4,24,36.0,2,27
4.708,32.058,343.5,26,38.0,2,29
5.583,54.986,592.89,43,54.0,6,48
5.708,54.668,607.86,44,57.0,6,49
5.848,54.668,607.86,44,57.0,6,49
5.79,56.592,652.86,47,62.0,7,52
5.328,29.344,343.43,25,34.0,4,27
4.839,32.773,359.5,27,39.0,3,30
7.823,53.883,663.74,48,65.0,17,50
6.886,51.85,650.7,47,65.0,16,49
5.796,53.168,647.74,47,64.0,17,49
6.432,54.189,662.76,48,65.0,16,50
7.399,54.71,698.18,49,66.0,17,51
7.439,52.356,649.71,47,64.0,16,49
5.181,31.623,413.38,30,43.5,8,32
4.691,23.884,388.16,24,32.5,4,25
4.538,23.884,388.16,24,32.5,4,25
5.886,60.679,872.96,58,90.0,9,63
4.523,28.61,357.47,25,35.0,7,27
5.377,30.369,354.43,26,37.0,4,28
4.554,30.557,368.41,27,38.0,4,29
5.319,68.014,940.73,67,92.0,16,72
7.7,59.168,719.8,53,77.0,16,57
5.097,44.421,741.49,41,63.5,9,45
8.62,19.973,295.2,19,24.0,5,19
4.699,33.149,387.46,29,43.0,9,31
6.658,59.071,721.75,54,82.0,15,59
5.796,55.882,745.72,53,77.0,15,57
6.31,55.071,673.71,50,74.0,15,54
5.921,61.179,729.83,54,78.0,19,58
6.752,45.816,705.39,42,66.0,8,47
7.583,53.356,661.72,48,66.0,15,51
6.259,34.47,441.48,32,52.0,5,36
5.495,42.608,578.04,39,54.5,10,42
7.086,36.115,440.55,32,51.0,4,37
6.59,33.589,414.51,30,48.0,4,34
6.733,30.535,386.45,28,46.0,3,32
6.288,31.041,385.46,28,46.0,3,32
6.697,31.438,416.43,30,50.0,4,34
6.917,37.642,454.58,33,52.0,4,38
6.553,36.83,456.55,33,52.0,4,38
6.728,39.884,484.61,35,54.0,4,40
6.411,31.943,415.44,30,49.0,4,34
6.403,30.831,497.32,28,46.0,3,32
6.372,30.831,497.32,28,46.0,3,32
6.208,34.47,441.48,32,52.0,5,36
5.056,46.641,573.66,41,53.0,16,42
4.697,46.217,488.78,35,41.0,2,39
5.0,25.875,308.36,23,34.0,4,25
5.0,13.654,229.02,14,21.0,0,15
5.0,31.283,384.89,27,38.0,8,29
4.276,34.46,434.42,32,47.0,10,34
5.487,30.441,696.8,27,35.0,6,28
5.215,41.346,515.57,37,49.0,14,38
5.41,34.46,434.42,32,47.0,10,34
4.262,21.02,256.27,19,28.0,3,20
4.0,26.59,324.36,24,35.0,5,26
5.0,28.492,365.85,25,33.0,6,27
5.0,14.16,228.03,14,21.0,0,15
5.0,13.654,229.02,14,21.0,0,15
5.222,31.239,395.39,29,42.5,8,31
4.959,20.438,284.32,19,25.5,3,20
4.538,31.513,411.47,29,43.0,5,32
4.585,36.56,492.42,35,47.0,3,38
4.921,28.513,375.44,26,36.5,6,28
4.89,20.89,291.3,20,29.5,4,21
5.081,29.733,390.45,27,37.5,6,29
5.89,19.605,283.28,19,26.5,3,20
5.229,37.599,464.58,33,47.5,8,36
4.92,20.943,283.33,19,25.5,3,20
5.09,19.417,269.3,18,24.5,3,19
4.921,26.986,361.41,25,35.5,5,27
5.6,25.561,365.34,25,35.5,7,26
4.638,26.986,361.41,25,35.5,5,27
3.8,14.67,210.16,15,21.0,3,15
4.824,38.313,480.58,34,48.5,9,37
4.96,19.55,297.33,19,28.0,4,20
4.59,28.658,383.4,27,40.5,6,29
2.96,16.703,223.2,16,22.0,3,16
4.85,18.605,271.27,18,24.5,3,19
4.527,27.492,360.42,25,35.5,5,27
4.377,32.018,410.48,29,43.0,5,32
4.92,23.131,321.33,22,31.5,5,23
4.12,13.836,215.2,14,19.5,3,14
4.64,15.176,209.17,15,21.0,3,15
4.959,33.545,424.51,30,44.0,6,33
5.097,36.072,450.55,32,46.5,7,35
5.7,20.131,285.3,19,25.5,3,20
4.62,18.911,270.29,18,24.5,3,19
5.29,19.792,303.34,19,26.5,3,20
5.08,19.077,287.34,18,24.5,3,19
4.92,17.89,255.27,17,23.5,3,18
5.1,25.373,351.36,24,33.5,6,25
5.22,21.911,306.32,21,30.5,4,22
4.719,29.654,338.43,25,35.0,6,26
5.0,21.717,325.74,21,30.5,4,22
5.319,29.018,374.45,26,36.5,6,28
4.0,20.093,319.24,18,25.5,4,19
5.276,37.947,550.36,36,49.0,10,38
4.921,26.986,361.41,25,35.5,5,27
2.7,15.363,229.23,15,20.5,3,15
5.377,37.947,550.36,36,49.0,10,38
4.51,29.654,338.43,25,35.0,6,26
5.33,22.814,336.3,23,34.5,5,24
4.301,22.547,270.3,20,29.0,4,21
5.514,13.966,180.17,13,18.0,2,13
4.398,23.93,300.3,22,32.0,6,23
4.0,11.44,154.13,11,15.0,1,11
4.895,36.68,376.64,27,31.0,4,30
4.111,15.469,232.13,15,21.0,2,15
4.721,15.469,232.13,15,21.0,2,15
4.237,32.358,481.47,30,43.0,7,31
4.629,29.332,302.5,22,27.0,2,24
5.386,49.744,526.83,38,46.0,5,42
5.336,51.271,540.86,39,47.0,6,43
5.194,52.798,554.89,40,48.0,7,44
5.506,55.271,588.9,43,55.0,5,48
5.409,60.679,872.96,58,90.0,9,63
6.721,46.169,562.62,42,65.0,9,47
6.688,46.282,581.06,42,65.0,8,47
6.67,45.454,546.62,41,64.0,8,46
6.664,45.851,583.67,42,64.5,9,47
4.939,46.282,581.06,42,65.0,9,47
4.551,60.033,709.86,52,72.5,19,57
4.506,61.372,709.91,52,71.5,19,57
4.775,60.033,709.86,52,72.5,19,57
4.374,61.56,723.89,53,73.5,19,58
5.292,66.372,769.96,57,81.5,20,63
5.081,67.087,785.96,58,82.5,20,64
5.155,66.372,769.96,57,81.5,20,63
4.951,67.087,785.96,58,82.5,20,64
4.301,31.159,380.44,28,40.5,8,30
4.301,29.632,366.41,27,39.5,7,29
5.393,44.788,456.78,33,39.0,1,37
5.489,44.788,456.78,33,39.0,1,37
4.854,43.453,523.65,37,45.0,16,37
4.197,29.46,374.37,27,37.0,6,28
5.046,50.507,599.75,43,55.0,18,44
4.481,31.823,452.5,30,45.5,5,32
6.658,49.168,599.7,43,56.0,19,44
5.284,23.45,300.28,22,32.0,3,23
5.301,40.269,530.62,36,46.0,15,36
4.398,22.298,320.29,22,34.0,1,24
4.205,39.844,520.43,33,41.0,6,36
7.585,68.794,896.9,60,74.0,28,61
7.699,79.604,1114.85,73,97.0,30,76
7.398,55.285,662.88,47,65.0,16,50
4.699,17.643,260.18,18,24.0,4,18
6.658,45.313,564.65,41,62.0,9,45
6.658,52.119,605.94,42,57.0,16,45
5.481,19.392,224.28,17,27.0,2,19
5.523,19.327,231.27,17,24.5,2,18
5.652,32.457,451.34,31,44.5,8,33
4.863,23.572,349.19,21,30.0,4,22
5.004,25.099,363.22,22,31.0,5,23
4.955,25.099,363.22,22,31.0,5,23
5.377,29.679,405.31,25,34.0,8,26
5.456,30.679,417.32,26,36.0,7,27
5.538,32.152,439.32,28,41.0,7,30
4.818,30.582,435.29,27,37.0,9,28
4.967,33.636,463.35,29,39.0,11,30
4.523,27.528,407.23,25,35.0,7,26
4.523,30.582,435.29,27,37.0,9,28
5.31,32.34,453.3,29,43.0,7,31
5.638,33.366,532.19,30,44.0,7,32
5.62,38.448,509.42,33,47.0,8,35
5.569,34.769,503.39,31,46.0,7,33
4.735,27.716,427.29,25,36.0,6,26
5.208,23.879,348.21,21,30.0,4,22
5.167,23.879,348.21,21,30.0,4,22
4.523,26.932,376.27,23,32.0,5,24
4.857,26.932,376.27,23,32.0,5,24
4.578,26.932,376.27,23,32.0,5,24
5.201,29.362,420.28,26,36.0,5,28
5.469,31.986,428.35,27,38.0,9,28
5.456,31.986,428.35,27,38.0,9,28
5.347,31.986,428.35,27,38.0,9,28
5.585,30.986,416.34,26,36.0,5,28
5.167,30.986,416.34,26,36.0,5,28
5.31,30.986,416.34,26,36.0,5,28
5.222,27.9,399.26,25,37.5,5,27
5.097,30.174,418.31,26,36.0,5,28
4.947,28.022,426.31,25,36.0,6,26
5.469,38.754,508.44,33,47.0,7,35
5.149,27.626,389.26,24,34.0,6,25
5.357,30.679,417.32,26,36.0,6,27
5.161,30.679,417.32,26,36.0,6,27
5.276,29.152,403.29,25,35.0,7,26
5.538,32.206,431.35,27,37.0,7,28
5.721,32.206,431.35,27,37.0,7,28
5.155,37.786,485.45,31,42.0,9,32
5.585,30.679,417.32,26,36.0,6,27
4.987,38.501,501.45,32,43.0,8,34
5.538,38.501,501.45,32,43.0,8,34
4.684,29.654,338.43,25,35.0,6,26
4.623,38.363,415.63,30,37.0,10,31
4.651,29.337,353.4,26,37.5,8,28
4.56,22.327,267.3,20,30.5,3,22
4.616,29.455,338.44,25,35.5,7,27
5.533,32.509,366.5,27,37.5,9,29
5.262,35.562,394.56,29,39.5,9,31
5.593,32.697,380.48,28,39.5,7,31
5.823,31.982,364.48,27,38.5,7,30
5.051,33.509,378.51,28,39.5,7,31
4.246,27.735,343.83,24,34.5,6,26
4.597,30.982,352.47,26,36.5,8,28
4.551,34.036,380.53,28,38.5,10,30
4.427,35.562,394.56,29,39.5,11,31
5.459,33.509,378.51,28,39.5,8,31
5.356,35.036,392.54,29,40.5,8,32
5.276,29.337,353.4,26,37.5,8,28
4.573,32.39,381.46,28,39.5,10,30
5.037,26.283,325.34,24,35.5,6,26
4.506,27.095,323.37,24,35.5,6,27
5.265,34.75,396.53,29,39.5,10,31
5.423,34.224,394.51,29,40.5,8,32
5.324,35.75,408.54,30,41.5,8,33
4.402,39.89,429.66,31,38.0,11,32
5.854,53.792,631.79,46,62.0,19,48
4.745,69.02,880.0,62,77.0,28,62
4.959,56.231,708.82,50,62.0,22,50
4.818,38.1365,117.972,5,5.0,0,4
4.169,61.823,732.91,53,70.5,20,57
4.652,63.35,746.94,54,71.5,20,58
4.68,61.823,732.91,53,70.5,20,57
4.815,63.35,746.94,54,71.5,20,58
4.733,61.823,732.91,53,70.5,20,57
4.585,63.35,746.94,54,71.5,20,58
5.319,68.877,809.01,59,80.5,22,64
5.149,70.404,823.04,60,81.5,22,65
4.786,35.509,402.53,30,43.5,7,33
4.826,38.805,451.57,34,51.5,6,38
4.856,35.455,410.5,31,48.0,4,35
5.0,33.809,417.51,30,45.0,7,33
5.046,39.162,553.51,38,53.0,7,41
5.097,34.575,453.49,32,47.0,7,35
4.796,39.042,545.65,36,55.0,7,39
5.398,36.486,485.51,34,49.0,7,37
5.046,34.192,435.5,31,46.0,7,34
5.046,34.192,435.5,31,46.0,7,34
5.398,36.869,503.5,35,50.0,7,38
5.222,48.952,672.64,47,67.0,9,51
4.721,46.419,634.7,43,61.0,9,47
5.854,40.187,632.4,39,54.0,7,42
4.921,35.98,486.5,34,49.0,7,37
4.921,35.98,486.5,34,49.0,7,37
5.638,39.102,549.58,37,54.0,7,40
5.222,38.601,614.44,37,54.0,7,40
4.481,40.689,538.64,37,55.0,8,40
4.959,48.892,668.71,46,68.0,9,50
4.854,45.857,695.63,42,62.0,9,46
5.699,42.804,696.47,42,59.0,7,45
5.886,40.127,628.47,38,55.0,7,41
4.818,31.896,368.46,27,37.0,5,29
4.0,22.735,284.28,21,31.0,2,23
4.764,30.369,354.43,26,36.0,4,28
4.446,35.949,408.53,30,41.0,3,33
4.008,23.262,286.3,21,30.0,2,23
4.0,28.842,340.4,25,35.0,1,28
4.827,31.084,370.43,27,37.0,4,29
4.19,62.124,765.83,56,79.5,20,61
4.221,63.651,779.86,57,80.5,21,62
4.412,65.178,793.89,58,81.5,22,63
4.539,62.839,781.83,57,80.5,20,62
5.06,64.366,795.86,58,81.5,21,63
5.174,65.893,809.89,59,82.5,22,64
4.706,62.839,781.83,57,80.5,20,62
4.714,64.366,795.86,58,81.5,21,63
4.78,65.893,809.89,59,82.5,22,64
5.184,37.059,443.5,33,49.5,8,36
4.845,38.917,455.54,34,50.5,9,37
4.664,37.503,459.95,33,49.5,8,36
4.956,36.827,439.52,32,44.5,9,34
4.607,28.29,339.39,25,36.5,6,27
5.102,39.413,491.97,35,51.5,9,38
4.967,40.128,507.97,36,52.5,10,39
4.943,40.112,471.56,35,51.5,10,38
5.052,39.585,469.54,35,52.5,9,38
5.604,39.969,487.53,36,53.5,9,39
5.554,39.969,487.53,36,53.5,9,39
5.471,39.969,487.53,36,53.5,9,39
5.903,40.413,503.98,36,53.5,9,39
5.398,40.413,503.98,36,53.5,9,39
5.587,40.413,503.98,36,53.5,9,39
5.752,40.611,548.43,36,53.5,9,39
5.804,40.611,548.43,36,53.5,9,39
5.375,41.24,538.42,37,54.5,9,40
5.327,41.24,538.42,37,54.5,9,40
5.089,41.827,499.57,37,54.5,10,40
5.229,41.827,499.57,37,54.5,10,40
5.352,44.069,529.6,39,56.5,11,42
5.188,41.112,483.57,36,53.5,9,39
4.222,22.547,270.3,20,29.0,4,21
4.387,43.324,552.6,39,49.0,16,39
5.824,42.732,559.55,36,54.5,6,40
5.301,33.03,402.42,30,45.0,6,32
4.9,33.766,421.43,31,45.5,7,34
7.745,33.632,460.48,32,46.5,6,35
4.8,32.261,410.41,30,43.5,8,32
5.367,65.162,756.98,55,73.0,23,58
7.24,47.732,619.6,41,64.0,9,46
6.458,46.234,524.64,40,63.0,9,45
4.699,24.262,298.31,22,32.0,7,23
4.886,63.802,753.92,55,75.5,23,58
4.0,64.635,754.96,55,75.0,24,58
7.07,51.19,600.77,44,67.0,11,49
5.602,14.955,212.25,14,21.0,1,15
4.0,19.621,303.17,18,25.5,4,19
4.0,24.543,396.36,22,31.5,5,23
4.319,30.07,458.43,27,40.5,6,29
4.602,31.091,473.45,28,41.5,6,30
4.0,34.741,532.47,32,46.5,8,34
4.137,36.268,546.5,33,47.5,9,35
4.0,21.433,313.21,19,27.0,4,20
4.0,25.883,390.33,23,33.0,5,24
4.0,22.458,392.1,20,28.0,4,21
4.0,27.201,381.29,24,34.0,5,25
4.0,31.508,428.35,28,42.0,4,30
4.0,35.77,485.41,32,47.0,6,34
4.0,31.314,447.77,28,42.0,4,30
4.0,63.108,740.93,54,74.0,23,57
5.064,58.989,692.88,49,59.0,3,55
5.551,58.274,676.88,48,58.0,4,53
5.371,61.011,719.91,51,62.0,7,56
6.4,44.708,510.61,39,62.0,8,44
5.605,24.25,318.38,22,33.0,3,24
6.244,44.76,518.66,38,53.0,11,41
4.699,14.966,192.18,14,20.0,4,14
5.252,40.519,464.61,34,46.5,9,36
5.357,40.519,464.61,34,46.5,9,36
5.658,40.519,464.61,34,46.5,9,36
5.648,42.046,478.64,35,47.5,9,37
5.699,42.046,478.64,35,47.5,10,37
5.921,43.572,492.67,36,48.5,10,38
5.71,43.572,492.67,36,48.5,10,38
5.886,43.572,492.67,36,48.5,11,38
5.928,43.572,492.67,36,48.5,11,38
5.851,43.572,492.67,36,48.5,11,38
5.991,45.099,506.7,37,49.5,11,39
5.939,44.099,494.69,36,47.5,12,38
6.022,45.099,506.7,37,49.5,11,39
5.693,45.099,506.7,37,49.5,11,39
5.928,44.099,494.69,36,47.5,12,38
6.027,44.626,496.71,36,46.5,13,38
5.845,44.099,494.69,36,47.5,13,38
5.772,42.572,480.66,35,46.5,12,37
5.979,43.572,492.67,36,48.5,11,39
5.495,44.287,508.67,37,49.5,12,39
5.208,44.814,510.69,37,48.5,12,39
5.42,44.814,510.69,37,48.5,13,39
5.593,43.287,496.66,36,47.5,12,38
5.475,43.814,498.68,36,46.5,13,38
