pXC50,nDB,nAB
6.2,2,12
6.27,2,12
5.91,3,12
6.04,2,12
5.99,3,12
3.48,3,6
0.36,2,12
7.35,0,18
6.301,0,12
3.69,4,6
5.85,2,6
4.72,2,6
5.58,2,6
5.51,2,6
6.15,2,12
7.66,0,17
6.19,2,6
6.01,2,6
5.95,2,12
6.05,2,12
0.4,2,12
5.88,2,6
6.658,1,12
8.699,2,12
7.796,1,12
7.77,0,17
7.658,0,12
8.699,0,17
8.469,1,12
6.6,2,12
7.8,2,12
7.812,1,12
8.585,1,12
8.509,1,12
8.699,1,12
7.357,0,12
6.57,1,12
5.75,2,6
6.06,2,12
6.17,3,12
5.85,2,6
6.01,2,12
8.699,1,12
8.699,1,12
6.02,2,12
6.92,2,12
6.19,2,12
6.538,0,17
7.13,0,12
6.89,0,18
7.131,0,12
8.02,1,12
8.721,0,17
7.94,2,12
8.62,0,12
7.046,0,17
8.131,1,12
7.721,1,12
7.31,0,12
7.367,0,17
8.092,0,12
7.921,0,12
7.638,0,12
6.77,1,12
8.699,1,12
8.699,1,12
8.699,2,17
7.604,0,17
6.347,0,12
5.92,2,6
7.854,0,17
8.167,0,12
6.807,0,12
6.886,0,12
7.523,0,12
8.155,0,12
8.699,1,17
6.824,0,12
7.244,0,12
7.268,2,12
4.51,2,6
5.69,2,6
5.42,2,6
5.87,2,6
5.31,2,12
6.05,2,6
