pXC50,SaaNH,NaaNH,C.035,Eig02_EA.ed.,SM11_AEA.dm.,Eig02_AEA.ed.,SpMax1_Bh.s.,Eig02_EA.ri.,nN.CO.2,PCR,PCD,Eig01_AEA.dm.,SpMax_AEA.dm.,Eig02_AEA.ri.,nCONN,piID,H.049,MPC09,SpMax2_Bh.s.,N.072,Eig02_EA.bo.,SM12_AEA.ri.,Eig02_EA,SM10_AEA.bo.,TWC,MPC06,Rperim,MWC09,X4A,MWC08,SsssN,MWC10,SM08_EA,SdO,nCIC,TRS,O.058,SM14_EA,SM15_EA,MPC08,SM06_EA,MWC07,SM04_EA.ed.,SM05_AEA.ed.,Eig03_AEA.ed.,SM06_AEA.ed.,SM08_EA.bo.,SaaN,SM13_EA,X5A,SM03_EA.ed.,SM07_AEA.ed.,MPC07,nCIR,SM11_EA,SM12_EA,MATS2e,NdssC,X3A,SM04_AEA.ed.,D.Dtr05,MPC10,SM10_EA,SM08_EA.ed.,SM07_EA,N.075,NaaN,nAB
5.921,0.0,0,0,8.904,8.904,6.099,7.432,2.689,0,1.419,3.274,3.683,3.683,3.72,0,11.095,0,5.288,5.064,0,3.693,3.693,2.743,2.743,12.607,4.796,22,11.184,0.115,10.295,4.742,12.08,9.928,11.644,4,24,1,16.473,17.593,5.159,7.917,9.404,10.618,10.746,5.809,12.487,12.464,9.542,15.33,0.072,7.506,14.258,4.99,5,13.087,14.238,0.079,1,0.181,9.045,0.0,5.328,12.048,19.516,8.643,2,2,17
5.854,0.0,0,0,9.963,9.963,6.456,7.444,2.832,1,1.158,1.132,3.987,3.987,3.916,1,8.282,0,4.949,7.411,2,3.334,3.334,2.955,2.955,12.663,4.7,15,11.231,0.107,10.307,2.777,12.158,10.15,25.278,3,17,2,17.106,18.288,4.949,7.973,9.382,10.859,10.846,6.019,12.663,11.745,8.789,15.917,0.067,7.689,14.503,4.844,4,13.561,14.751,0.196,2,0.169,9.066,47.596,4.898,12.424,20.157,8.883,2,2,5
6.469,0.0,0,0,9.758,9.758,6.416,7.444,2.704,1,1.17,1.175,3.997,3.997,3.796,1,8.091,0,4.727,7.411,2,3.271,3.271,2.843,2.843,12.637,4.644,14,11.203,0.105,10.271,2.942,12.137,10.126,25.346,3,16,2,17.201,18.403,4.812,7.915,9.34,10.862,10.791,6.005,12.622,11.819,8.384,15.994,0.065,7.667,14.48,4.754,4,13.599,14.805,0.279,2,0.165,8.998,95.405,4.585,12.439,20.359,8.854,2,2,5
5.886,0.0,0,0,9.293,9.293,6.23,7.444,2.73,1,1.165,1.141,3.987,3.987,3.802,1,8.056,0,4.787,7.411,2,3.311,3.311,2.838,2.838,12.583,4.625,14,11.152,0.106,10.227,2.899,12.079,10.052,25.121,3,16,2,17.019,18.205,4.836,7.877,9.303,10.758,10.745,5.976,12.559,11.724,8.925,15.828,0.065,7.585,14.397,4.736,4,13.467,14.658,0.278,2,0.169,8.968,99.165,4.625,12.328,20.056,8.79,2,2,5
4.444,0.0,0,0,9.135,9.135,6.194,7.444,2.708,1,1.176,1.173,3.968,3.968,3.778,1,7.851,0,4.489,7.411,2,3.287,3.287,2.814,2.814,12.436,4.407,15,11.008,0.107,10.091,2.45,11.926,9.976,23.869,3,17,2,16.908,18.087,4.533,7.807,9.175,10.641,10.68,5.845,12.49,11.703,8.665,15.723,0.066,7.483,14.322,4.466,4,13.373,14.56,0.236,2,0.179,8.903,34.492,4.331,12.241,19.842,8.719,2,2,5
5.745,0.0,0,0,10.162,10.162,6.533,7.444,2.794,1,1.164,1.172,3.997,3.997,3.892,1,8.322,0,4.92,7.411,2,3.288,3.288,2.94,2.94,12.717,4.727,15,11.282,0.105,10.351,2.804,12.217,10.217,25.527,3,17,2,17.282,18.482,4.942,8.007,9.419,10.954,10.887,6.017,12.72,11.839,8.27,16.076,0.066,7.763,14.578,4.852,4,13.684,14.89,0.197,2,0.166,9.093,47.859,4.836,12.527,20.449,8.942,2,2,5
5.824,0.0,0,0,10.004,10.004,6.466,7.444,2.86,1,1.301,2.185,3.987,3.987,3.943,1,9.437,0,5.056,7.411,2,3.876,3.876,2.981,2.981,12.71,4.762,15,11.277,0.107,10.355,2.699,12.206,10.192,25.309,3,17,2,17.132,18.312,5.004,8.025,9.429,10.897,10.898,6.022,12.708,12.185,8.636,15.945,0.066,7.738,14.542,4.875,4,13.593,14.78,0.226,2,0.169,9.123,50.686,5.024,12.459,20.169,8.934,2,2,11
4.959,0.0,0,0,9.416,9.416,6.348,7.444,2.68,1,1.186,1.214,3.978,3.978,3.768,1,7.757,0,4.304,7.411,2,3.241,3.241,2.814,2.814,12.489,4.394,14,11.057,0.104,10.13,2.479,11.985,10.054,23.972,3,16,2,17.111,18.31,4.443,7.84,9.203,10.754,10.723,5.87,12.555,11.801,8.063,15.909,0.062,7.573,14.41,4.419,4,13.523,14.724,0.229,2,0.173,8.926,72.268,4.043,12.364,20.203,8.8,2,2,5
4.745,0.0,0,0,10.258,10.258,6.551,7.444,2.979,1,1.167,1.204,3.979,3.979,4.026,1,8.399,0,4.997,7.411,2,3.283,3.283,3.048,3.048,12.767,4.691,15,11.331,0.099,10.391,2.531,12.272,10.283,24.305,4,21,2,17.332,18.528,4.942,8.061,9.45,10.961,10.925,6.029,12.752,11.847,8.265,16.132,0.06,7.781,14.603,4.796,6,13.75,14.95,0.224,2,0.165,9.131,112.422,4.977,12.593,20.389,9.024,2,2,5
5.959,0.0,0,0,9.756,9.756,6.416,7.444,2.696,1,1.167,1.174,3.997,3.997,3.789,1,8.213,0,4.812,7.411,2,3.27,3.27,2.837,2.837,12.643,4.663,15,11.209,0.106,10.28,2.958,12.141,10.127,25.487,3,17,2,17.197,18.399,4.86,7.923,9.351,10.863,10.796,6.005,12.625,11.82,8.457,15.989,0.067,7.667,14.481,4.787,4,13.593,14.801,0.282,2,0.167,9.007,46.155,4.718,12.436,20.359,8.842,2,2,5
