pXC50,BIC2,BLTA96,BLTD48,BLTF96,CATS2D_02_LL,MLOGP,nROR,O.059,BIC1,SIC2,C.,CATS2D_03_LL,MATS1p,nCsp2,P_VSA_i_2,SpMin1_Bh.m.,MATS6m,CIC2,CATS2D_01_LL,GATS2e,SpMin1_Bh.e.,SpMin1_Bh.i.,SpMin1_Bh.v.,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC
5.26,0.776,-2.99,-2.99,-2.89,6,1.763,0,0,0.648,0.817,37.8,2,-0.004,13,101.223,2.018,-0.186,1.004,8,0.559,1.973,1.983,2.076,1.724,8.6,2.96,8.763,96.466,8.099,0.462,3.9,3.993,3.672,3.441,5.06,3.407,4.403,4.538,3.903,3.775,5.902,3.729,4.661,4.848,3.98,3.87,5.864,3.816,4.676,4.85,4.044,3.852,5.969,3.812,4.662,4.825,4.171,3.933,5.957,3.893,4.79,4.923,4.171,4.019,6.446,3.963,4.875,5.066,3.881,3.987,6.137,3.887,4.783,5.015,3.608,3.807,5.963,3.678,0.16,0.645,11.467,4.524,29.178,5.045,0.461,0.962,18.219,7.417,92.668,8.794,0.528,1.142,26.084,9.047,65.233,10.957,0.78,1.143,26.104,8.524,95.524,10.176,0.623,1.214,27.574,9.172,67.715,10.555,1.12,1.323,30.833,10.322,192.836,11.535,0.837,1.351,34.664,11.073,139.128,12.85,0.721,1.173,32.57,10.203,116.975,12.762,49
4.284,0.771,-3.28,-3.27,-3.14,19,2.054,0,0,0.514,0.784,34.8,16,0.076,6,81.398,2.146,0.021,1.303,13,0.625,2.002,1.972,2.12,1.35,11.567,2.132,4.544,113.597,6.433,0.0,4.245,4.359,3.632,3.702,5.3,3.661,4.845,5.019,4.014,4.139,5.915,4.06,5.243,5.465,4.121,4.356,6.202,4.249,5.359,5.595,4.189,4.396,6.458,4.279,5.36,5.6,4.103,4.387,6.32,4.266,5.34,5.583,4.157,4.396,6.426,4.269,5.382,5.634,4.082,4.392,6.386,4.253,5.358,5.616,3.915,4.331,6.314,4.169,0.093,0.836,16.067,7.04,27.902,9.19,0.369,1.378,29.667,11.755,78.858,16.077,0.6,1.808,44.864,15.39,118.674,21.752,1.061,1.93,50.972,16.493,187.048,23.762,0.854,1.911,50.934,16.259,152.77,23.34,0.881,1.928,49.522,16.564,174.748,23.918,0.848,1.949,51.718,16.724,158.486,24.323,0.828,1.861,50.508,16.003,158.72,23.441,101
4.495,0.666,-4.41,-4.34,-4.09,9,3.18,0,0,0.542,0.702,43.2,6,0.004,14,116.638,2.014,-0.272,1.626,10,0.536,1.904,1.874,2.016,1.507,8.25,3.687,13.592,90.452,7.373,0.462,3.874,3.986,3.425,3.423,5.01,3.399,4.396,4.557,3.79,3.798,5.483,3.754,4.703,4.916,3.905,3.901,5.83,3.857,4.706,4.915,3.903,3.894,5.961,3.862,4.699,4.881,3.936,3.96,5.953,3.926,4.726,4.897,3.846,3.971,6.003,3.908,4.719,4.936,3.574,3.88,5.895,3.757,4.561,4.818,3.245,3.702,5.576,3.516,0.053,0.616,8.941,4.163,9.635,5.291,0.141,1.006,16.271,6.689,20.233,9.101,0.342,1.258,24.797,8.354,45.656,11.549,0.434,1.249,25.192,8.01,79.257,10.85,0.368,1.228,24.259,8.539,62.076,11.008,0.393,1.228,24.8,9.192,72.69,11.537,0.466,1.182,25.838,9.429,91.537,12.456,0.272,0.997,22.231,8.973,60.777,12.552,20
4.167,0.901,-0.66,-0.78,-0.91,0,-0.57,1,1,0.743,0.945,31.3,0,-0.114,4,32.573,1.902,-0.11,0.274,1,0.787,1.771,1.733,1.954,1.846,7.737,2.234,6.707,73.113,8.353,0.0,3.611,3.724,3.239,2.965,4.911,3.023,4.161,4.316,3.608,3.365,5.415,3.397,4.436,4.616,3.688,3.483,5.691,3.51,4.491,4.699,3.637,3.422,5.912,3.441,4.353,4.581,3.449,3.319,5.641,3.308,4.211,4.424,3.289,3.13,5.694,3.128,3.983,4.207,3.066,2.883,5.495,2.873,3.688,3.937,2.69,2.457,5.311,2.465,0.218,0.473,5.649,2.37,28.836,3.033,0.549,0.691,12.135,3.996,55.808,5.437,0.798,0.771,17.691,4.51,85.563,6.765,1.057,0.725,20.48,4.092,136.675,6.502,0.751,0.645,17.976,4.043,106.667,6.518,0.774,0.529,15.786,3.411,114.619,5.246,0.594,0.41,12.628,2.665,95.281,4.422,0.442,0.262,9.972,1.612,78.472,2.973,31
3.623,0.895,0.28,0.11,-0.11,0,-1.51,1,1,0.783,0.925,25.0,0,-0.14,4,28.996,1.896,-0.173,0.375,0,0.794,1.763,1.717,1.962,1.951,7.944,-2.945,8.672,60.516,8.726,0.0,3.59,3.695,3.45,2.989,4.842,2.969,4.106,4.237,3.638,3.258,5.763,3.264,4.359,4.525,3.54,3.333,5.792,3.321,4.313,4.539,3.438,3.35,5.521,3.245,4.294,4.498,3.53,3.279,5.612,3.219,4.274,4.438,3.456,3.165,6.015,3.106,4.068,4.313,3.246,2.979,5.39,2.875,3.749,3.914,3.094,2.593,5.76,2.588,0.372,0.423,8.869,3.042,56.924,2.984,0.824,0.567,16.453,4.65,115.113,4.975,1.143,0.617,17.833,4.537,132.653,5.997,0.823,0.592,19.72,5.622,115.85,6.983,0.972,0.532,23.412,5.289,135.626,6.207,1.209,0.469,18.855,4.659,190.446,5.241,0.778,0.38,18.874,3.844,113.172,4.837,0.722,0.252,11.461,2.619,121.064,3.044,45
5.699,0.763,-3.99,-3.94,-3.73,15,2.758,0,0,0.618,0.811,45.2,14,0.029,11,91.051,2.158,-0.057,0.936,11,0.722,2.078,2.063,2.144,1.362,7.529,2.824,7.973,64.854,7.428,0.611,3.521,3.611,3.07,3.088,4.713,3.067,4.008,4.149,3.404,3.455,5.244,3.413,4.218,4.37,3.469,3.604,5.377,3.54,4.313,4.497,3.3,3.55,5.468,3.446,4.264,4.516,3.094,3.348,5.29,3.224,3.933,4.154,2.84,3.059,5.026,2.952,3.733,3.969,2.543,2.776,4.874,2.652,3.485,3.756,2.158,2.263,4.55,2.176,0.032,0.373,6.158,3.132,8.084,3.716,0.203,0.595,11.24,5.028,38.828,6.22,0.144,0.734,13.995,6.213,26.964,7.675,0.196,0.787,16.291,6.695,39.339,8.456,0.212,0.731,16.987,6.316,39.359,8.514,0.143,0.523,11.736,4.471,24.944,5.833,0.097,0.423,9.698,3.633,21.683,4.845,0.165,0.3,8.485,2.532,28.188,3.305,22
4.0,0.867,-0.83,-0.94,-1.05,0,-0.404,0,0,0.732,0.885,17.6,0,-0.232,0,1.799,1.749,-0.062,0.471,0,0.427,1.758,1.796,1.939,1.837,4.222,0.109,0.012,41.412,11.078,0.0,2.918,2.935,3.121,2.604,3.982,2.419,3.433,3.495,3.18,2.872,5.333,2.677,3.671,3.837,3.317,3.01,4.921,2.661,3.494,3.674,3.217,2.68,4.996,2.411,3.138,3.286,2.583,1.949,4.906,1.857,2.131,2.386,0.459,0.948,3.304,0.735,0.635,0.899,0.007,0.135,0.693,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.094,0.25,6.168,2.861,35.974,2.115,0.363,0.371,11.866,4.435,94.124,3.634,0.402,0.465,23.457,6.682,93.569,4.618,0.3,0.376,24.447,5.841,73.459,3.844,0.341,0.199,11.047,2.809,74.895,1.496,0.121,0.063,4.604,0.96,23.879,0.71,0.01,0.008,0.703,0.12,1.782,0.139,0.0,0.0,0.0,0.0,0.0,0.0,33
3.616,0.858,-1.27,-1.36,-1.42,0,0.041,1,1,0.783,0.907,29.6,0,-0.198,5,29.063,1.798,-0.243,0.444,0,1.043,1.694,1.649,1.904,1.851,7.25,-1.454,2.114,52.555,8.342,0.294,3.467,3.593,3.091,2.749,4.735,2.837,3.961,4.131,3.421,3.091,5.254,3.156,4.065,4.251,3.412,3.111,5.416,3.162,4.033,4.254,3.305,3.012,5.388,3.038,3.833,4.038,2.95,2.854,5.046,2.842,3.81,4.043,2.793,2.736,5.096,2.696,3.606,3.86,2.541,2.474,4.824,2.432,3.21,3.421,2.177,2.149,4.478,2.13,0.197,0.39,5.059,1.394,20.554,2.197,0.51,0.544,10.423,2.652,36.896,3.736,0.578,0.541,12.081,2.609,54.442,4.264,0.564,0.463,12.625,2.675,47.664,4.489,0.428,0.388,9.884,2.338,42.328,3.684,0.488,0.325,10.302,2.064,46.964,3.551,0.402,0.235,9.394,1.873,39.831,3.185,0.218,0.166,5.244,1.061,29.11,1.775,14
5.562,0.658,-5.44,-5.32,-4.97,17,4.21,0,0,0.585,0.712,43.5,20,-0.226,19,223.201,2.058,-0.078,1.592,10,0.344,1.997,1.988,2.065,1.9,10.588,3.979,15.834,124.116,13.832,0.486,4.013,4.008,4.283,3.661,5.244,3.662,4.538,4.536,4.607,4.041,6.474,4.052,4.703,4.774,4.72,4.256,5.988,4.209,4.829,4.881,4.992,4.369,6.265,4.33,4.943,5.027,5.121,4.408,6.415,4.348,4.918,5.038,4.752,4.32,6.271,4.219,4.711,4.847,4.631,4.109,5.867,3.981,4.564,4.62,4.67,3.859,6.208,3.825,0.367,0.567,6.51,5.241,76.997,2.904,1.371,0.857,11.64,7.146,185.991,5.235,1.142,1.056,30.419,9.851,130.441,7.914,1.256,1.2,38.842,12.33,119.369,8.886,1.583,1.373,58.615,13.665,197.347,9.916,1.666,1.32,51.517,13.581,212.737,11.685,1.183,1.099,78.741,13.559,149.43,12.289,1.482,0.927,47.366,10.734,141.923,7.778,90
5.046,0.799,-4.25,-4.19,-3.96,14,3.023,0,0,0.55,0.814,34.7,14,0.064,11,121.161,2.039,-0.023,1.149,15,0.479,1.835,1.798,1.986,1.479,16.273,4.389,19.263,137.055,6.691,0.0,4.294,4.417,3.739,3.792,5.393,3.718,4.827,5.015,3.999,4.138,5.972,3.997,5.139,5.385,4.089,4.265,6.139,4.098,5.15,5.394,4.109,4.29,6.128,4.118,5.152,5.394,4.108,4.283,6.264,4.119,5.167,5.414,4.051,4.267,6.275,4.108,5.128,5.364,4.108,4.227,6.305,4.101,5.135,5.379,3.971,4.207,6.259,4.069,0.07,0.924,17.508,7.604,21.883,9.796,0.365,1.428,32.86,12.435,85.028,16.275,0.641,1.721,47.231,14.952,111.572,20.059,0.516,1.732,49.177,16.029,99.444,20.813,0.642,1.732,47.329,15.708,143.422,20.776,0.735,1.73,47.858,15.498,146.213,20.661,0.684,1.655,44.12,14.044,135.319,19.333,0.566,1.639,42.639,14.051,126.224,19.453,133
