pXC50,H.050,nHDon,CATS2D_08_DA,ATSC8s,Hy,CATS2D_08_AP,Eig10_EA.bo.,Eig11_EA.bo.,DLS_07,P_VSA_MR_5,ATS8s,DBI,PHI,Eig13_EA.bo.,GGI9,CATS2D_09_DL,CATS2D_02_DP,GGI8,S2K,Uindex,CATS2D_09_DA,CATS2D_03_DA,Eig04_EA.dm.,RBN,Eig04_AEA.dm.,Eig06_AEA.dm.,S3K,BAC,SAdon,Eig05_EA.dm.,Eig09_EA.dm.,CATS2D_02_DA,IC3,GGI10,DLS_02,TPSA.NO.,TPSA.Tot.,TIE,IAC,IDDE,TIC0,LLS_02,Eig08_EA.dm.,ON0V,SpMax6_Bh.v.,SpMin6_Bh.i.,SpMin6_Bh.p.,SpMin6_Bh.v.,SsNH2,Eig07_EA.dm.,S1K,SpMax7_Bh.e.,SpMax7_Bh.i.,SpMax8_Bh.e.,SpMax8_Bh.i.,SpMin7_Bh.p.,SpMin8_Bh.e.,SpMin8_Bh.i.,SpMin8_Bh.v.,TIC2,VvdwZAZ,ATSC5s,SpMin6_Bh.e.,Chi1_EA.ed.,Eig09_EA.bo.,Eig10_EA.dm.,Eig11_EA.dm.,Eta_F,Eta_FL
5.273,1,1,1,52.214,-0.219,0,1.236,0.976,1.0,47.551,5.456,3.536,4.522,-0.913,0.143,0,0,0.182,6.601,39.43,0,1,0.0,3,2.586,1.843,3.931,18.0,18.011,0.0,0.0,1,4.712,0.115,1.0,54.88,83.12,52.312,66.245,3.768,66.245,1.0,0.0,6.162,2.715,0.876,1.163,1.171,0.0,0.0,16.442,2.796,2.842,2.652,2.714,1.062,0.597,0.558,0.874,146.709,270.33,83.904,0.94,4.425,1.5,0.0,0.0,25.149,6.791
4.268,0,0,0,44.824,-0.859,0,1.5,1.5,0.5,72.725,6.166,5.431,16.378,1.136,0.212,0,0,0.295,19.291,98.497,0,0,0.172,22,2.477,1.908,14.645,38.0,0.0,0.0,0.0,0,4.39,0.144,0.67,38.25,38.25,94.468,114.193,4.865,114.193,0.75,0.0,17.1,3.441,1.555,1.808,1.846,0.0,0.0,31.413,3.463,3.541,3.397,3.471,1.682,1.375,1.301,1.626,361.913,553.91,35.345,1.626,7.772,1.514,0.0,0.0,23.531,5.833
4.262,0,0,0,71.979,-0.77,0,2.319,2.081,1.0,26.263,6.267,3.873,9.894,1.623,0.582,0,0,0.654,13.38,63.482,0,0,0.0,9,2.942,2.885,7.495,37.0,0.0,0.0,0.0,0,4.699,0.302,0.67,18.04,18.04,75.933,101.437,4.672,101.437,0.63,0.0,11.307,3.254,1.415,1.667,1.658,0.0,0.0,29.579,3.175,3.218,3.06,3.098,1.459,1.049,1.007,1.236,254.736,514.97,51.492,1.47,7.449,2.509,0.0,0.0,43.419,10.403
5.119,3,3,1,39.298,1.378,0,-1.207,-1.421,1.0,57.519,4.91,3.082,4.887,-1.855,0.089,1,0,0.123,5.957,31.609,1,0,0.0,6,1.794,1.043,4.514,23.0,78.705,0.0,0.0,3,4.415,0.0,1.0,78.43,78.43,36.58,51.432,3.19,51.432,1.0,0.0,5.7,2.373,0.605,1.067,1.084,0.0,0.0,12.304,2.388,2.547,2.354,2.46,0.837,0.161,0.01,0.66,127.71,212.29,62.504,0.701,2.879,-0.888,0.0,0.0,7.117,2.16
4.729,1,1,0,17.166,-0.338,0,0.613,-0.176,1.0,25.611,4.895,2.828,3.93,-1.091,0.105,0,0,0.092,5.86,32.314,1,0,0.0,3,2.315,1.574,2.788,11.0,42.683,0.0,0.0,0,4.628,0.058,1.0,41.82,70.06,28.418,56.027,4.071,56.027,1.0,0.0,7.15,2.81,0.941,1.062,1.107,0.0,0.0,14.083,2.854,2.925,2.765,2.849,1.034,0.772,0.698,1.009,146.608,258.85,30.206,0.956,3.886,0.951,0.0,0.0,18.763,5.871
4.262,3,3,0,15.964,0.979,0,0.612,0.0,1.0,0.0,5.056,2.236,3.172,-0.531,0.111,3,0,0.201,5.195,29.823,0,1,0.0,2,2.272,1.982,2.225,6.0,78.705,0.0,0.0,0,4.649,0.049,1.0,53.52,53.52,26.274,56.363,3.664,56.363,1.0,0.0,6.95,2.807,0.87,1.093,1.087,0.0,0.0,13.431,2.764,2.836,2.684,2.772,0.982,0.693,0.642,0.937,154.137,256.28,34.998,0.903,4.086,1.595,0.0,0.0,21.899,6.526
5.094,1,1,0,32.255,-0.301,0,1.0,0.95,1.0,80.159,5.382,3.317,5.951,-0.228,0.131,0,0,0.141,8.367,39.359,0,0,0.8,4,2.568,2.222,4.631,6.0,18.011,0.0,0.0,1,4.544,0.07,1.0,78.5,78.5,45.323,72.455,3.47,72.455,1.0,0.0,8.233,2.91,1.064,1.376,1.429,0.0,0.0,17.07,3.111,3.206,2.888,2.942,1.376,1.077,1.043,1.304,199.092,315.51,69.854,1.153,4.773,1.0,0.0,0.0,18.06,4.821
4.262,1,1,0,54.238,-0.358,0,1.5,1.5,1.0,52.267,5.738,3.464,4.023,0.677,0.207,1,0,0.305,6.456,37.615,1,0,0.736,4,2.792,2.618,2.854,10.0,18.011,0.447,0.0,1,5.217,0.102,1.0,71.53,71.53,54.623,75.265,4.236,75.265,0.88,0.0,8.983,2.977,1.19,1.456,1.444,0.0,0.079,17.449,3.025,3.083,2.854,2.925,1.325,0.937,0.887,1.186,236.101,341.17,88.653,1.228,5.251,1.679,0.0,0.0,26.734,6.912
4.262,2,2,0,39.743,0.233,0,1.246,0.971,1.0,11.377,5.34,3.082,4.059,-0.172,0.112,0,0,0.156,6.376,35.588,0,1,0.0,5,2.582,2.061,2.536,15.0,60.694,0.0,0.0,1,4.908,0.07,1.0,71.45,71.45,43.094,65.077,4.294,65.077,1.0,0.0,8.067,2.942,1.097,1.335,1.321,0.0,0.0,15.915,2.921,2.982,2.867,2.956,1.165,0.864,0.764,1.092,193.413,297.03,52.072,1.169,4.887,1.596,0.0,0.0,26.128,6.901
4.982,0,0,0,20.552,-0.795,0,-1.0,-1.264,1.0,67.349,4.421,3.162,4.537,-2.254,0.04,0,0,0.09,6.193,34.815,0,0,0.172,3,2.46,1.505,3.743,25.0,0.0,0.0,0.0,0,4.162,0.033,1.0,52.51,52.51,25.646,37.468,3.375,37.468,1.0,0.0,4.933,2.713,0.692,1.029,1.008,0.0,0.0,11.723,2.673,2.781,2.266,2.37,0.963,0.262,0.166,0.581,106.382,230.34,24.06,0.754,2.993,-0.574,0.0,0.0,14.056,4.749
