pXC50,nS,nHM,N.,SCBO
5.462,2,5,10.7,28.0
5.384,1,2,6.1,33.0
6.165,1,1,4.8,26.0
8.161,1,1,4.8,26.0
7.18,1,1,4.4,27.0
7.155,1,1,4.4,27.0
7.208,1,1,4.8,26.0
6.192,1,1,5.6,24.0
8.187,1,1,5.1,25.0
6.166,1,1,4.8,26.0
6.215,1,1,4.4,27.0
6.113,1,1,4.8,26.0
7.187,1,1,5.6,24.0
7.108,1,1,5.6,24.0
8.26,1,1,4.8,26.0
6.18,1,1,4.8,26.0
8.137,1,1,4.4,27.0
7.149,1,1,5.6,24.0
6.191,1,1,5.6,24.0
7.108,1,1,6.1,23.0
4.975,0,0,5.0,15.0
4.996,0,0,6.7,11.0
6.848,2,2,12.5,21.0
6.818,1,1,14.3,23.0
4.931,0,0,0.0,38.0
6.854,2,2,14.3,21.0
7.166,2,2,6.7,27.0
7.249,2,2,9.1,21.0
6.796,3,3,12.9,32.0
7.019,1,1,17.4,18.0
6.845,1,1,12.0,20.0
7.03,1,1,20.0,17.0
6.827,2,2,10.3,34.0
7.035,3,4,16.7,42.0
7.155,1,1,8.6,34.5
7.007,2,2,10.0,17.0
7.282,1,1,8.7,18.0
7.077,3,3,17.6,37.0
7.224,1,1,9.4,33.5
7.293,3,4,13.2,39.0
6.162,1,1,7.5,38.5
6.131,0,0,0.0,17.0
6.301,0,0,9.5,6.0
8.125,2,2,10.0,30.5
8.292,2,2,9.3,31.5
4.071,0,0,5.0,43.0
4.444,0,0,12.9,10.0
6.131,0,0,8.7,15.0
6.229,0,0,7.1,20.5
5.174,0,0,8.0,27.0
4.469,0,0,6.1,24.5
7.028,2,2,12.9,32.0
5.056,0,0,0.0,23.0
5.536,1,1,7.7,12.0
4.934,0,0,0.0,49.0
4.939,0,0,0.0,10.0
5.039,0,0,0.0,18.0
5.06,0,0,0.0,18.0
5.252,0,0,0.0,29.0
4.174,0,0,0.0,15.0
6.081,0,0,0.0,18.0
6.148,1,1,2.6,16.0
5.114,0,0,0.0,16.0
6.081,0,0,0.0,25.0
5.166,0,0,0.0,13.0
5.168,0,0,0.0,13.0
6.201,0,0,0.0,15.0
6.076,1,1,9.1,17.0
5.812,2,4,9.1,23.0
6.07,2,2,4.5,23.0
8.42,1,2,17.1,31.0
8.187,1,2,16.2,34.0
7.602,2,2,7.7,24.0
8.143,1,1,16.7,38.0
8.155,1,1,14.6,40.0
9.036,1,1,14.6,40.0
7.996,1,2,16.2,34.0
8.131,1,2,15.8,35.0
7.558,1,2,14.6,33.0
6.234,1,3,9.1,38.0
8.041,1,1,13.7,41.0
8.051,1,1,13.7,41.0
7.772,1,2,15.0,35.0
7.143,1,2,11.5,47.0
7.114,1,2,10.9,48.0
8.056,1,1,13.0,42.0
8.119,1,1,12.5,44.0
7.065,2,2,11.8,33.0
6.818,1,1,11.5,25.0
6.947,1,1,10.3,26.0
6.983,1,1,10.3,26.0
7.058,1,1,11.8,28.0
7.007,1,1,11.5,26.0
7.117,2,2,11.6,43.0
7.094,1,1,11.5,26.0
6.896,2,2,12.9,32.0
8.114,1,1,5.1,63.0
8.076,1,1,5.1,63.0
8.31,1,1,4.9,64.0
7.836,1,1,4.7,65.0
6.218,2,2,5.3,21.0
7.62,1,1,5.3,38.0
6.171,1,1,6.5,24.0
7.086,1,1,4.0,20.0
7.444,0,0,5.6,17.0
9.328,1,1,5.3,37.0
7.812,1,3,15.6,30.0
7.618,1,3,17.2,29.0
7.983,1,2,15.0,35.0
7.367,2,2,18.2,19.0
7.747,1,2,14.0,36.0
8.149,1,1,5.1,26.0
7.629,1,2,14.0,36.0
8.032,1,2,16.2,34.0
5.051,0,0,0.0,20.0
8.102,1,1,5.0,32.0
8.081,1,2,5.0,33.0
7.268,1,2,5.0,33.0
7.703,1,1,7.3,36.0
8.167,1,1,5.0,33.0
8.114,1,1,4.7,33.0
8.201,1,1,7.1,37.0
8.022,1,1,7.1,37.0
8.149,1,1,7.1,33.0
8.066,1,1,7.1,33.0
6.137,0,0,0.0,20.0
5.342,1,1,0.0,13.0
7.319,0,0,5.3,13.0
7.796,0,0,5.3,18.0
8.081,2,2,4.7,48.0
8.071,2,2,4.5,49.0
8.056,2,2,4.3,50.0
7.987,2,2,5.9,52.0
6.9,2,2,4.7,48.0
6.093,2,2,4.5,49.0
8.06,2,2,4.3,50.0
7.971,2,2,5.9,52.0
8.102,2,2,3.0,72.0
8.066,2,2,2.9,73.0
8.06,2,2,2.8,74.0
7.979,2,2,3.8,76.0
8.066,2,2,3.0,72.0
8.071,2,2,2.9,73.0
8.041,2,2,2.8,74.0
7.975,2,2,3.8,76.0
7.387,2,2,6.8,32.0
7.796,2,2,6.4,33.0
8.097,2,2,6.0,34.0
8.097,2,2,8.3,36.0
6.903,2,2,6.8,32.0
6.889,2,2,6.4,33.0
6.967,2,2,6.0,34.0
8.086,2,2,8.3,36.0
8.009,2,2,4.6,44.0
8.071,2,2,4.4,45.0
8.108,2,2,4.2,46.0
8.066,2,2,5.8,48.0
7.26,2,2,4.6,44.0
7.357,2,2,4.4,45.0
8.076,2,2,4.2,46.0
8.071,2,2,5.8,48.0
6.0,0,0,10.3,9.0
6.097,0,0,0.0,16.0
5.077,1,1,6.1,17.0
2.102,2,2,21.1,18.5
5.484,0,2,3.4,30.0
5.548,0,1,3.0,31.0
5.71,0,0,0.0,25.0
7.215,1,1,5.9,25.0
8.367,1,1,4.4,35.0
6.987,1,1,4.8,35.0
6.951,1,1,4.5,34.0
7.06,2,2,6.1,40.0
7.299,1,1,4.9,33.0
8.066,1,1,4.5,34.0
7.292,1,1,4.3,35.0
7.65,1,1,5.3,32.0
8.051,1,1,5.3,33.0
7.747,1,1,4.9,34.0
8.06,1,1,4.5,35.0
7.329,1,1,5.7,32.0
8.066,1,1,5.0,32.0
8.06,1,1,4.7,33.0
7.815,1,1,4.3,34.0
7.253,1,1,5.4,31.0
8.284,2,2,6.7,38.0
8.174,2,2,6.3,39.0
8.036,2,2,5.9,40.0
7.606,2,2,7.1,37.0
6.6,1,1,4.1,30.0
7.319,1,1,4.5,30.0
8.301,1,1,5.4,26.0
8.137,1,1,5.3,38.0
4.937,0,0,0.0,29.0
6.467,1,1,4.5,30.0
6.097,0,0,0.0,19.0
7.398,1,1,5.0,27.0
8.658,1,1,3.6,32.0
5.268,1,1,10.5,16.0
4.036,0,0,0.0,12.0
7.022,1,1,8.0,40.5
6.873,1,1,4.7,80.5
7.137,1,1,3.8,80.5
7.149,1,1,7.0,56.5
7.194,1,1,5.7,56.5
7.108,1,1,8.3,56.5
6.81,1,1,6.0,55.5
7.975,1,1,7.5,41.5
7.967,1,1,7.7,43.5
7.027,1,1,7.4,55.5
6.987,1,1,10.5,44.5
7.967,1,1,5.6,52.5
7.125,1,1,8.9,44.5
7.119,1,1,7.2,53.5
7.131,1,1,5.9,53.5
7.081,1,1,4.0,24.0
6.979,1,1,9.4,43.5
6.074,2,2,10.5,37.5
6.146,2,2,11.4,36.5
6.261,2,2,7.7,40.5
6.099,2,3,8.3,37.5
6.031,2,2,7.5,38.5
7.569,3,3,5.7,26.5
7.62,3,3,6.8,30.5
5.836,1,1,2.3,26.0
5.009,1,1,6.1,14.0
5.056,1,1,8.7,14.0
4.45,1,1,5.7,28.0
4.394,1,1,5.4,25.0
5.149,1,1,7.4,12.0
6.996,1,1,10.6,38.5
7.174,1,1,6.6,50.5
6.066,0,0,10.0,13.0
5.229,0,0,0.0,45.0
5.252,0,0,0.0,45.0
5.337,0,0,0.0,45.0
5.638,0,0,0.0,45.0
5.367,0,0,0.0,29.0
4.0,0,0,0.0,29.0
4.0,0,0,0.0,29.0
5.879,2,2,5.2,40.0
5.456,2,2,5.2,40.0
6.201,2,3,5.2,41.0
6.137,1,1,6.1,23.0
6.268,2,2,5.2,41.0
6.114,0,0,0.0,17.0
6.076,0,0,0.0,18.0
6.119,0,0,0.0,16.0
6.086,0,0,0.0,17.0
6.081,0,0,0.0,18.0
6.114,0,0,0.0,18.0
6.071,0,0,0.0,18.0
6.149,1,1,3.3,58.0
6.092,0,0,2.5,25.0
6.131,0,0,2.1,34.0
5.194,0,1,6.7,12.0
6.155,0,0,3.1,23.0
6.131,0,1,3.1,24.0
6.086,0,0,0.0,17.0
6.481,0,0,0.0,18.0
6.086,1,1,3.8,12.0
6.066,1,1,3.1,14.0
5.269,1,1,5.6,21.0
4.971,0,0,0.0,11.0
6.409,1,1,3.1,14.0
5.987,0,0,6.6,34.5
5.383,1,3,0.0,29.0
6.652,0,0,11.5,58.5
4.469,0,0,0.0,12.0
