pXC50,ATS1i,ATS2e,ATS2i,ATS3e,ATS3i,ATS4i,ATS5i,ATS6i,ATS7i,ATS7s,ATS8e,ATS8i,ATSC1e,ATSC1i,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC4e,ATSC4s,ATSC4v,ATSC5e,ATSC5s,ATSC6e,ATSC6s,ATSC7e,ATSC7i,ATSC7s,ATSC7v,ATSC8e,BIC0,CIC0,DELS,Eig05_AEA.bo.,Eig05_AEA.ri.,Eig07_AEA.ri.,Eig07_EA,Eig07_EA.ed.,Eig07_EA.ri.,Eta_betaS_A,Eta_L,GATS5i,GATS5p,ICR,JGI7,MATS4p,MATS5v,MATS7v,MATS8i,MAXDN,ON1V,P_VSA_MR_1,P_VSA_MR_8,P_VSA_p_1,P_VSA_s_6,PW2,RBN,S3K,SaasC,SdssC,Si,SIC0,SM02_AEA.ri.,SM15_AEA.bo.,SpMAD_AEA.bo.,SpMax5_Bh.e.,SpMax5_Bh.i.,SpMax5_Bh.p.,SpMax5_Bh.v.,SpMax6_Bh.e.,SpMax6_Bh.i.,SpMax6_Bh.v.,SpMax7_Bh.i.,SpMax8_Bh.e.,SpMax8_Bh.i.,SpMax8_Bh.s.,SpMin5_Bh.m.,SpMin5_Bh.s.,SpMin6_Bh.m.,SpMin6_Bh.s.,SpMin7_Bh.e.,SpMin7_Bh.m.,SpMin7_Bh.p.,SpMin7_Bh.s.,SpMin7_Bh.v.,SpMin8_Bh.e.,SpMin8_Bh.p.,SpMin8_Bh.v.,SsssCH,SssssC,ZM1Kup,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1m,ATS1p,ATS1s,ATS1v,ATS2m,ATS2p,ATS2s,ATS2v,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7m,ATS7p,ATS7v,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1m,ATSC2i,ATSC2m,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4i,ATSC4m,ATSC4p,ATSC5i,ATSC5m,ATSC5p,ATSC5v,ATSC6i,ATSC6m,ATSC6p,ATSC6v,ATSC7m,ATSC7p,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,BLTA96,BLTD48,BLTF96,Br.094,C.,C.001,C.002,C.003,C.005,C.006,C.011,C.013,C.016,C.018,C.024,C.025,C.026,C.040,C.041,CATS2D_01_LL,CATS2D_02_AA,CATS2D_02_DA,CATS2D_02_DL,CATS2D_02_LL,CATS2D_03_AA,CATS2D_03_AL,CATS2D_03_DA,CATS2D_03_DL,CATS2D_03_LL,CATS2D_04_AL,CATS2D_04_DA,CATS2D_04_DL,CATS2D_04_LL,CATS2D_05_AA,CATS2D_05_AL,CATS2D_05_DA,CATS2D_05_DL,CATS2D_05_LL,CATS2D_06_AL,CATS2D_06_DA,CATS2D_06_DL,CATS2D_06_LL,CATS2D_07_AA,CATS2D_07_AL,CATS2D_07_DL,CATS2D_07_LL
6.411,4.481,4.941,5.117,5.243,5.467,5.568,5.511,5.512,5.618,6.547,5.464,5.691,0.071,1.053,7.71,19.477,9.752,0.475,12.447,72.315,16.455,0.548,0.624,122.699,22.435,1.111,169.426,0.665,125.905,0.863,2.37,172.509,24.126,0.807,0.243,4.645,52.922,3.59,3.321,2.989,2.001,4.962,1.964,0.615,9.703,0.915,0.905,2.949,0.014,-0.013,0.037,0.005,-0.026,4.584,4.514,364.904,0.0,411.989,105.603,0.572,11,9.62,1.273,-0.637,83.52,0.252,4.962,2.001,1.49,3.7,3.742,3.541,3.552,3.557,3.576,3.397,3.486,3.214,3.254,4.363,1.863,1.018,1.633,0.825,1.387,1.53,1.576,0.821,1.616,1.153,1.398,1.429,-1.118,0.0,551.849,1.565,12.595,3.645,13.287,144.283,7.132,0.308,4.364,3.991,3.908,5.376,3.847,4.258,4.283,6.087,4.198,4.3,4.437,6.266,4.314,5.323,4.288,4.401,6.376,4.284,5.283,4.339,4.378,6.51,4.284,5.294,4.337,4.448,6.365,4.347,5.393,4.452,4.546,4.441,4.481,4.639,6.536,4.502,19.371,1.677,33.464,2.1,48.113,16.383,84.374,21.979,2.148,53.795,16.364,2.076,52.016,15.382,20.765,2.15,50.888,16.043,21.545,55.515,17.671,2.546,61.855,21.164,132.421,27.87,39,52,0.548,0.741,0.806,0.831,0.835,3.642,1.096,-3.68,-3.65,-3.48,0,37.8,2,3,1,0,4,0,0,1,1,10,1,1,1,1,15,2,3,3,17,1,7,1,3,10,9,0,4,6,3,9,5,6,7,7,0,5,8,2,9,4,11
5.784,3.992,4.479,4.619,4.766,4.958,4.989,5.028,5.096,5.07,6.901,4.794,4.985,0.299,0.954,4.802,71.99,4.466,1.131,7.807,229.523,8.013,1.426,1.352,261.359,9.656,1.714,341.593,2.051,397.197,2.311,2.067,488.917,11.419,1.676,0.354,3.432,78.109,3.812,3.481,2.331,1.368,3.863,1.298,0.63,6.506,1.201,0.986,2.551,0.017,-0.05,-0.005,0.084,-0.188,6.125,2.366,144.442,0.0,236.407,160.358,0.611,7,6.289,-1.119,-1.018,51.139,0.371,3.863,1.368,1.584,3.391,3.421,3.133,3.169,2.965,3.044,2.763,2.975,2.854,2.925,6.817,1.496,0.697,1.377,0.585,0.886,1.181,1.12,0.218,1.12,0.789,1.062,1.107,-4.143,-6.043,738.822,2.028,9.333,1.799,3.237,87.647,9.26,0.214,3.897,3.747,3.429,5.137,3.418,4.063,3.745,6.262,3.746,4.051,3.847,6.213,3.836,4.786,4.147,3.842,6.231,3.855,4.849,4.266,3.877,6.525,3.917,4.912,4.404,3.943,6.593,3.945,4.892,4.385,3.924,3.939,3.954,3.734,6.466,3.749,7.963,1.696,20.105,1.554,25.944,8.501,239.099,9.27,1.674,28.505,8.926,1.937,29.973,9.945,9.223,2.025,35.449,11.267,9.761,37.982,11.349,1.646,29.067,9.463,344.417,8.834,92,43,0.688,0.804,0.828,0.828,0.828,3.34,1.061,-2.54,-2.57,-2.5,0,36.4,0,2,0,1,1,1,1,0,0,4,1,1,2,0,5,1,1,3,4,0,2,2,2,2,2,2,2,0,3,1,2,3,0,4,1,2,0,0,10,2,2
5.234,3.971,4.427,4.579,4.699,4.897,4.96,4.99,5.055,4.993,6.638,4.692,4.893,0.258,0.938,4.57,56.195,4.453,0.984,7.647,190.049,7.982,1.183,1.175,225.887,9.607,1.458,284.464,1.875,345.1,1.835,1.982,378.906,11.303,1.324,0.349,3.447,68.606,3.456,2.995,2.287,1.34,3.718,1.244,0.625,6.601,1.21,0.994,2.562,0.017,-0.05,-0.006,0.079,-0.202,6.016,2.339,144.442,19.133,236.407,138.201,0.6,7,5.871,-0.969,-0.824,49.929,0.365,3.718,1.34,1.58,3.347,3.375,3.114,3.131,2.965,3.044,2.762,2.975,2.854,2.925,4.637,1.495,0.693,1.376,0.579,0.886,1.181,1.111,0.218,1.107,0.775,1.062,1.093,-3.678,-5.825,691.087,1.979,9.308,1.703,2.901,88.17,9.103,0.222,3.868,3.66,3.404,5.118,3.39,3.983,3.718,6.115,3.699,4.017,3.819,6.123,3.8,4.751,4.099,3.823,6.165,3.824,4.802,4.197,3.854,6.398,3.878,4.863,4.352,3.91,6.547,3.895,4.794,4.208,3.869,3.838,3.856,3.68,6.277,3.673,7.273,1.68,19.877,1.542,24.293,8.21,184.3,9.14,1.662,28.062,8.866,1.923,29.303,9.84,9.169,2.007,34.877,11.014,9.652,36.114,10.892,1.617,26.591,9.067,262.468,8.636,75,40,0.691,0.811,0.836,0.836,0.836,3.304,1.045,-2.58,-2.6,-2.54,0,37.2,0,2,0,1,1,1,1,0,0,4,1,1,2,0,5,0,1,3,4,0,2,2,2,2,2,1,2,0,2,1,1,3,0,3,1,2,0,0,6,2,2
5.878,4.128,4.6,4.723,4.894,5.072,5.134,5.178,5.222,5.217,6.807,4.99,5.154,0.229,0.956,5.323,55.165,5.039,1.022,9.178,205.004,9.08,1.115,1.226,228.085,11.985,1.63,330.201,1.877,337.468,1.883,2.129,387.089,13.565,1.279,0.334,3.671,77.678,3.788,3.356,2.569,1.625,4.748,1.511,0.617,7.641,1.255,0.81,2.591,0.019,-0.105,0.022,0.072,-0.203,6.048,2.853,153.024,45.954,244.989,145.398,0.603,8,6.41,0.319,-0.977,58.056,0.353,4.748,1.625,1.573,3.539,3.56,3.348,3.35,3.365,3.371,3.151,3.041,2.887,2.954,4.753,1.508,0.723,1.438,0.694,1.126,1.181,1.351,0.394,1.323,0.886,1.074,1.107,-4.03,-5.966,731.366,2.002,10.188,3.919,15.355,114.831,10.4,0.353,4.041,3.982,3.664,5.236,3.629,4.379,4.024,6.287,3.98,4.437,4.164,6.258,4.091,4.957,4.416,4.116,6.399,4.088,5.006,4.588,4.118,6.629,4.12,5.045,4.748,4.186,6.686,4.171,5.046,4.556,4.21,4.196,4.523,4.179,6.608,4.185,6.105,1.854,14.412,1.845,36.696,12.435,168.154,12.54,1.946,39.358,12.751,2.234,41.06,13.498,11.531,2.424,38.752,14.205,12.102,47.578,14.516,2.192,33.952,12.819,260.491,12.162,69,51,0.639,0.749,0.823,0.832,0.832,3.503,1.058,-3.91,-3.87,-3.67,1,41.2,0,2,0,0,1,1,1,0,0,9,1,2,2,0,9,1,1,3,10,0,6,2,2,7,6,2,2,0,3,1,2,6,0,8,1,6,0,0,12,4,4
5.0,4.143,4.629,4.778,4.922,5.129,5.154,5.19,5.248,5.247,6.953,5.026,5.216,0.263,1.062,5.674,68.343,5.688,1.11,9.355,231.798,10.161,1.378,1.354,267.5,12.248,1.794,365.253,2.021,384.774,2.371,2.393,498.649,13.718,1.651,0.327,3.734,83.94,3.819,3.482,2.995,2.078,5.866,1.857,0.633,8.116,1.165,0.973,2.603,0.016,-0.088,-0.057,0.077,-0.145,6.122,3.033,179.756,0.0,283.491,160.358,0.61,9,6.767,-1.089,-0.982,58.969,0.342,5.866,2.078,1.567,3.565,3.594,3.352,3.363,3.378,3.397,3.156,3.042,2.906,2.966,6.817,1.513,0.825,1.5,0.714,1.153,1.402,1.376,0.661,1.429,1.01,1.25,1.251,-4.151,-6.038,758.822,1.938,9.567,2.619,6.861,99.589,8.775,0.188,4.044,3.845,3.593,5.206,3.571,4.154,3.918,6.291,3.885,4.206,4.034,6.27,3.982,4.955,4.29,4.024,6.364,4.02,5.011,4.344,4.037,6.624,4.057,5.05,4.502,4.104,6.64,4.092,5.064,4.514,4.124,4.132,4.233,4.065,6.577,4.068,10.225,1.885,22.972,1.793,34.557,11.0,233.483,12.535,1.891,39.013,11.362,2.146,36.435,11.648,11.305,2.303,42.264,12.908,12.512,43.795,12.972,2.178,36.225,12.118,353.77,12.311,69,49,0.641,0.769,0.828,0.828,0.828,3.441,1.057,-3.22,-3.21,-3.08,0,37.3,0,4,1,0,2,1,1,0,0,4,1,1,2,0,8,1,1,3,4,0,4,2,2,2,6,2,2,0,3,1,2,4,0,5,1,5,0,0,12,4,3
5.593,4.128,4.6,4.723,4.894,5.072,5.134,5.175,5.222,5.217,6.808,4.992,5.153,0.229,0.956,5.323,55.165,5.039,1.022,9.178,205.115,9.08,1.115,1.224,231.664,12.0,1.654,320.031,1.863,342.294,1.884,2.13,389.841,13.501,1.29,0.334,3.671,77.839,3.781,3.356,2.562,1.604,4.434,1.51,0.617,7.641,1.272,1.01,2.567,0.019,0.0,-0.013,0.102,-0.206,6.05,2.853,153.024,45.954,244.989,145.398,0.602,8,6.41,0.154,-0.979,58.056,0.353,4.434,1.604,1.575,3.539,3.56,3.345,3.347,3.364,3.372,3.149,3.041,2.887,2.954,4.753,1.508,0.723,1.44,0.694,1.127,1.181,1.356,0.402,1.327,0.886,1.076,1.107,-4.036,-5.969,731.366,2.002,9.5,3.919,15.355,114.831,10.4,0.353,4.041,3.982,3.664,5.236,3.629,4.379,4.024,6.288,3.98,4.437,4.164,6.257,4.091,4.957,4.603,4.143,6.391,4.104,5.012,4.657,4.132,6.67,4.145,5.044,4.594,4.183,6.658,4.156,5.046,4.628,4.215,4.203,4.614,4.189,6.626,4.196,6.105,1.854,14.412,1.845,36.696,12.435,167.811,12.54,1.949,44.475,13.194,2.237,41.281,13.618,11.585,2.424,41.911,14.31,12.247,45.169,14.343,2.194,36.286,12.995,255.871,12.168,69,51,0.639,0.752,0.838,0.858,0.858,3.503,1.058,-3.91,-3.87,-3.67,1,41.2,0,2,0,0,1,1,1,0,0,9,1,2,2,0,9,1,1,3,11,0,6,2,2,5,4,2,2,1,3,5,2,6,0,6,1,5,0,0,11,5,4
5.987,3.982,4.472,4.609,4.757,4.943,4.977,5.025,5.086,5.048,6.751,4.787,4.974,0.253,0.869,4.777,59.589,4.446,1.062,8.351,213.809,8.238,1.256,1.175,215.429,10.288,1.595,309.129,1.898,359.64,1.852,1.753,368.106,11.924,1.501,0.367,3.358,69.672,3.812,3.455,2.328,1.368,3.863,1.285,0.62,6.908,1.31,0.815,2.551,0.017,-0.062,0.01,0.074,-0.154,6.018,2.366,129.482,45.954,221.447,145.398,0.611,7,6.587,0.403,-0.953,50.641,0.385,3.863,1.368,1.584,3.39,3.42,3.155,3.176,2.965,3.044,2.763,2.969,2.854,2.925,4.743,1.491,0.704,1.368,0.597,0.886,1.181,1.12,0.218,1.12,0.789,1.062,1.107,-3.915,-5.893,671.366,2.101,9.333,2.342,5.485,95.053,10.644,0.214,3.891,3.86,3.473,5.084,3.439,4.223,3.81,6.221,3.776,4.226,3.927,6.148,3.87,4.779,4.237,3.894,6.193,3.876,4.847,4.335,3.906,6.515,3.93,4.905,4.535,3.997,6.558,3.969,4.878,4.698,3.987,3.979,4.139,3.812,6.432,3.782,5.1,1.627,18.101,1.498,31.357,9.731,199.922,9.973,1.642,34.548,10.056,1.939,26.952,10.623,9.374,2.034,35.961,12.201,10.168,51.465,13.177,1.612,30.809,10.658,301.913,9.429,92,43,0.688,0.804,0.828,0.828,0.828,3.34,1.146,-2.77,-2.79,-2.7,1,36.4,0,2,0,1,1,1,1,0,0,4,1,1,2,0,5,1,1,3,6,0,2,2,2,4,2,2,2,1,3,1,2,3,0,4,1,3,0,0,10,2,2
5.0,4.2,4.68,4.805,4.995,5.174,5.227,5.26,5.311,5.303,7.04,5.099,5.271,0.408,1.265,5.879,96.153,5.123,1.31,9.863,268.325,9.283,1.894,1.892,378.68,12.055,2.427,506.095,2.663,536.157,2.814,2.693,586.963,13.8,2.261,0.326,3.775,109.332,3.905,3.553,2.995,2.079,5.866,1.857,0.629,8.018,1.076,1.058,2.81,0.015,-0.066,-0.025,0.074,-0.108,6.277,2.993,197.905,0.0,289.869,190.278,0.608,9,7.056,-4.625,-1.191,62.649,0.344,5.866,2.079,1.562,3.578,3.611,3.364,3.381,3.388,3.413,3.17,3.048,2.95,3.006,7.428,1.513,0.776,1.476,0.695,1.153,1.35,1.376,0.589,1.384,0.887,1.13,1.128,-4.601,-6.347,991.045,1.98,10.857,3.794,14.391,112.692,9.621,0.324,4.112,3.965,3.669,5.403,3.672,4.325,4.014,6.415,4.021,4.414,4.137,6.542,4.133,5.039,4.484,4.128,6.523,4.14,5.096,4.575,4.142,6.843,4.186,5.137,4.643,4.19,6.877,4.208,5.131,4.624,4.204,4.233,4.462,4.156,6.791,4.203,7.911,2.236,19.332,2.367,29.792,11.952,332.433,11.652,2.347,36.975,12.971,2.505,38.259,13.601,11.433,2.559,41.192,14.343,12.172,43.226,14.292,2.57,34.074,12.958,452.515,11.797,105,56,0.653,0.776,0.844,0.861,0.861,3.589,0.975,-4.39,-4.32,-4.07,0,40.7,0,2,0,0,2,1,1,0,0,7,2,3,2,0,8,1,1,3,6,0,4,2,2,3,4,2,2,0,3,3,2,4,0,7,1,4,0,0,11,4,3
7.367,4.255,4.726,4.886,5.008,5.205,5.339,5.392,5.363,5.231,6.354,5.114,5.348,0.168,1.054,6.321,43.226,6.93,1.003,10.415,199.268,12.122,0.958,0.931,175.122,17.352,1.163,215.906,1.677,309.475,0.803,2.249,159.023,15.619,1.48,0.294,4.077,69.724,3.69,3.288,2.831,1.86,5.114,1.786,0.598,7.791,1.167,0.878,3.121,0.015,-0.046,0.007,-0.044,-0.011,5.913,3.365,258.964,0.0,327.387,145.398,0.593,9,7.686,1.347,-0.665,67.46,0.307,5.114,1.86,1.563,3.58,3.641,3.379,3.392,3.462,3.506,3.271,3.353,2.9,3.009,4.811,1.599,0.812,1.566,0.706,1.187,1.417,1.459,0.594,1.423,0.934,1.239,1.308,-3.273,-4.663,710.711,1.806,13.091,4.275,18.272,119.577,8.163,0.353,4.148,3.883,3.712,5.309,3.67,4.222,4.077,6.335,4.03,4.244,4.243,6.303,4.17,5.118,4.251,4.259,6.373,4.197,5.161,4.28,4.226,6.507,4.187,5.129,4.271,4.185,6.619,4.129,5.015,4.235,4.172,4.116,4.099,4.097,6.586,4.05,13.044,1.977,26.295,1.994,34.908,13.037,152.34,15.809,2.191,40.453,14.165,2.446,41.724,13.99,16.61,2.346,42.792,13.84,16.25,36.729,13.603,2.431,44.478,13.802,265.748,14.314,126,49,0.607,0.755,0.805,0.821,0.821,3.531,1.067,-4.14,-4.08,-3.86,0,39.0,2,1,1,1,1,0,1,0,0,8,3,1,2,0,14,1,1,2,17,0,5,2,4,13,5,0,5,10,1,5,0,4,9,5,1,3,8,0,7,4,7
5.834,4.129,4.608,4.724,4.907,5.074,5.135,5.177,5.223,5.217,6.825,5.001,5.154,0.283,0.942,5.144,63.022,4.719,1.101,8.93,215.04,8.645,1.3,1.415,259.32,11.532,1.87,360.205,2.074,370.892,2.062,2.081,412.398,13.199,1.531,0.346,3.599,84.231,3.82,3.514,2.579,1.631,4.896,1.515,0.629,7.693,1.273,0.95,2.599,0.019,-0.049,0.015,0.081,-0.205,6.084,2.84,141.253,0.0,233.218,223.695,0.607,8,6.473,-0.475,-1.025,58.102,0.365,4.896,1.631,1.574,3.542,3.561,3.346,3.351,3.366,3.372,3.152,3.041,2.888,2.954,5.031,1.508,0.72,1.436,0.692,1.124,1.181,1.35,0.377,1.321,0.886,1.074,1.107,-4.141,-6.037,773.118,2.073,10.242,4.499,20.241,116.818,10.204,0.343,4.048,3.967,3.673,5.267,3.646,4.358,4.037,6.313,4.003,4.51,4.191,6.321,4.129,4.965,4.491,4.144,6.418,4.117,5.017,4.597,4.137,6.695,4.152,5.053,4.655,4.195,6.723,4.183,5.054,4.578,4.222,4.216,4.544,4.196,6.663,4.213,6.358,1.818,14.624,1.789,34.746,12.147,190.517,11.979,1.898,37.289,12.688,2.194,37.51,13.352,11.304,2.379,37.974,14.096,11.851,43.253,14.313,2.143,32.304,12.708,289.269,11.768,86,53,0.655,0.764,0.842,0.858,0.858,3.532,1.034,-4.28,-4.22,-3.98,0,41.2,0,2,0,0,1,1,1,0,0,8,1,3,2,0,8,1,1,3,9,0,6,2,2,8,4,2,2,1,3,3,2,6,0,8,1,5,0,0,11,4,4
