pXC50,ATSC1i,Eig12_EA.bo.,Eig12_EA.ri.,ATS7e,ATSC6i,ATSC2i,ATSC7i,Eig06_AEA.dm.,Eig15_AEA.bo.,ATS8i,Eta_betaS,Chi1_EA.ed.,ATSC8i,Eig06_EA,SM14_AEA.bo.,SpMaxA_AEA.bo.,Chi0_EA.bo.,S1K,Chi0_EA.ed.,Uindex,ATS7i,GMTI,RDCHI,Eig15_EA.ri.,ATS6v,CENT,S2K,Eig12_EA,Eig12_EA.ed.,SM06_AEA.dm.,SM07_AEA.ri.,SpMaxA_EA.bo.,Eig14_EA.ri.,ATS6e,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Chi0_EA.ri.,ATS5m,ATS8v,LPRS,ATS1s,IDMT,SMTI,ATS7v,ATSC8m,Xu,X1,ATS6i,SpMaxA_EA.ri.,Eta_epsi,ATS4m,ATS8p,SpMax8_Bh.s.,X0,Dz,IDDM,XMOD,TIC1,SpMin3_Bh.v.,Se,ATS1i,CID,GMTIV,SMTIV,ATS3s
5.0,0.666,1.382,0.886,4.493,1.223,1.074,1.216,2.432,0.965,4.821,17.0,5.164,1.31,1.805,1.805,0.152,15.561,17.477,10.837,39.954,4.659,8549.0,3.869,-0.422,3.856,1123.0,7.358,0.945,2.192,0.945,2.192,0.143,-0.166,4.499,18.361,18.361,18.361,18.361,18.361,18.876,3.857,3.742,132.502,5.067,15393.9,8183.0,3.858,21.198,25.663,13.114,4.692,0.103,27.048,3.908,3.862,3.716,18.803,58.0,4.72,88.885,143.581,1.928,43.407,3.969,4.038,27336.0,14750.0,5.781
5.412,0.569,0.552,0.42,4.37,1.026,0.892,0.952,1.907,0.889,4.512,15.75,5.06,0.837,1.831,1.831,0.164,14.555,15.707,10.512,35.852,4.573,7458.0,3.806,-0.561,3.734,911.0,6.978,0.449,1.119,0.449,1.119,0.162,-0.291,4.382,17.361,17.361,17.361,17.361,17.361,17.698,3.759,3.465,120.213,4.975,12517.9,7000.0,3.675,16.149,24.261,12.293,4.579,0.111,24.286,3.756,3.609,3.674,17.062,52.333,4.61,78.749,128.638,1.939,40.033,3.913,3.972,21561.0,12027.0,5.564
6.699,1.114,1.609,1.251,5.213,2.014,1.786,2.159,2.607,2.387,5.566,25.25,7.396,2.318,2.387,2.387,0.107,23.423,27.35,15.44,61.501,5.426,26024.0,4.894,0.946,4.313,3163.0,11.887,1.289,2.868,1.289,2.868,0.106,1.0,5.161,26.126,26.126,26.126,26.126,26.126,26.724,4.298,4.402,220.011,5.446,52076.0,24443.0,4.385,47.773,35.501,18.775,5.377,0.077,42.7,4.314,4.518,4.219,27.407,83.5,5.253,117.51,266.431,1.977,75.629,4.543,4.396,58050.0,36729.0,6.191
5.0,0.668,0.082,0.047,4.409,1.152,1.031,1.123,2.623,0.427,4.504,15.75,4.509,1.068,1.829,1.829,0.167,14.722,18.668,9.551,41.529,4.554,6836.0,3.689,-0.623,3.707,1031.0,8.055,0.072,0.165,0.072,0.165,0.156,-0.207,4.392,16.499,16.499,16.499,16.499,16.499,17.054,4.097,3.482,119.967,5.022,12430.5,6676.0,3.646,22.075,24.228,11.952,4.524,0.113,26.705,4.497,3.646,4.161,17.974,55.733,4.61,92.629,153.26,1.68,40.345,3.884,3.932,26239.0,13255.0,6.008
4.398,0.788,1.08,0.737,4.867,1.596,1.265,1.597,2.63,1.182,4.91,19.5,5.402,1.278,2.166,2.166,0.145,17.707,20.292,11.519,46.806,5.057,10591.0,3.946,-0.166,4.074,1526.0,8.032,0.752,2.057,0.752,2.057,0.142,0.134,4.874,20.024,20.024,20.024,20.024,20.024,20.312,4.186,3.754,151.732,5.268,20595.8,10334.0,3.958,24.687,27.814,14.384,5.051,0.102,32.381,4.133,3.812,4.207,21.413,67.0,4.873,91.133,200.541,1.832,51.08,4.14,4.131,34907.0,18846.0,6.1
6.2,1.11,2.056,1.328,5.192,2.306,1.828,2.323,2.601,2.65,5.358,27.75,8.379,2.186,2.334,2.334,0.101,24.847,27.925,17.345,61.577,5.412,32431.0,5.209,1.135,4.457,4322.0,12.745,1.418,3.851,1.418,3.851,0.1,1.186,5.166,28.825,28.825,28.825,28.825,28.825,29.52,4.506,4.344,242.108,5.495,65108.4,30138.0,4.41,39.522,37.664,20.513,5.362,0.067,42.533,4.392,4.449,4.125,28.89,88.5,5.355,131.604,269.293,1.995,72.72,4.509,4.48,78886.0,47325.0,6.117
4.0,0.371,-1.101,-0.652,3.868,0.598,0.57,0.585,1.703,0.396,3.686,12.5,3.749,0.369,1.493,1.493,0.208,11.328,13.525,7.836,29.947,4.06,3709.0,3.247,-1.011,3.277,488.0,5.502,-0.882,-2.0,-0.882,-2.0,0.206,-1.0,3.903,13.378,13.378,13.378,13.378,13.378,13.859,3.586,2.831,88.066,4.777,6117.76,3650.0,3.124,14.306,19.768,9.631,4.043,0.134,19.367,3.71,3.012,3.575,14.113,42.75,4.292,72.423,103.62,1.68,29.698,3.582,3.736,14403.0,7291.0,5.398
5.0,0.934,1.342,0.991,5.02,1.688,1.435,1.738,2.643,1.618,5.17,23.0,6.532,1.647,2.218,2.218,0.124,20.314,24.361,13.563,56.504,5.215,16064.0,4.437,0.383,4.177,2346.0,11.106,1.094,2.489,1.094,2.489,0.122,0.566,4.952,22.739,22.739,22.739,22.739,22.739,23.485,4.213,4.11,181.75,5.339,32537.3,15557.0,4.183,34.542,31.382,16.385,5.142,0.082,37.4,4.165,4.155,4.364,24.079,75.333,5.051,107.252,240.863,1.907,60.047,4.302,4.254,50340.0,27786.0,6.139
4.0,0.468,-0.927,-0.593,3.936,0.658,0.724,0.587,1.328,0.223,3.969,12.5,3.745,0.472,1.274,1.274,0.214,11.29,11.785,8.033,27.765,4.172,3281.0,3.209,-1.163,3.222,406.0,5.145,-0.618,-1.478,-0.618,-1.478,0.211,-0.918,4.002,13.301,13.301,13.301,13.301,13.301,13.665,3.227,2.837,81.803,4.756,5151.62,3185.0,3.096,9.272,18.846,9.365,4.223,0.141,19.167,3.391,2.936,3.485,13.079,40.5,4.224,58.619,100.716,1.566,32.051,3.694,3.697,8765.0,5300.0,5.255
5.0,0.631,0.508,0.338,4.206,1.044,1.026,0.955,2.8,1.0,4.131,18.0,5.067,0.837,1.934,1.934,0.15,16.187,19.037,10.719,42.438,4.376,9437.0,3.842,-0.229,3.725,1112.0,7.61,0.398,0.971,0.398,0.971,0.138,-0.125,4.352,18.654,18.654,18.654,18.654,18.654,19.305,4.383,3.275,139.301,5.111,17189.3,9030.0,3.494,15.059,26.455,13.436,4.493,0.103,28.133,4.398,3.378,4.358,19.836,62.167,4.778,94.793,138.711,1.848,38.8,3.838,4.069,40448.0,18837.0,5.898
