pXC50,SM03_EA.ri.,SpMin8_Bh.s.,JGI2,SpMAD_AEA.ed.,Eig03_EA.ed.,SM12_AEA.dm.,SpDiam_AEA.ri.,PW2,SpMAD_EA.ed.,StsC,SpMin7_Bh.m.,Eig01_AEA.ri.,SpMax_AEA.ri.,P_VSA_e_2,P_VSA_m_2,SpMin3_Bh.s.,P_VSA_i_2,SpMin3_Bh.m.,SpMin7_Bh.p.,SpMin7_Bh.v.,IVDE,JGI6,CATS2D_08_LL,Eig03_AEA.ed.,SM13_EA.ri.,SM14_EA.ri.,SM15_EA.ri.,X5A,C.022,nCsp,nR.C.,NtsC,P_VSA_LogP_6,JGT,SaaCH,Eig03_EA,GGI2,GGI4,SM11_AEA.bo.,JGI3,CIC0,Eta_sh_y,ATSC4e,ATSC7e,ATSC7s,DELS,GGI5,GGI6,P_VSA_LogP_4,SPI,ZM1Mad,ZM2Mad,Eig02_EA.ed.,RCI,RFD,SM06_EA.ri.,SM11_AEA.dm.,ATSC2v,SpMax8_Bh.i.,SpMin3_Bh.e.,ATSC3e,ATSC4s,ATSC5e
4.205,3.666,0.239,0.044,1.474,6.952,6.952,5.016,0.569,3.966,6.436,1.305,3.981,3.981,140.474,160.384,1.09,140.474,1.973,1.376,1.42,1.038,0.016,9,5.332,14.354,15.428,16.449,0.083,2,2,2,2,38.897,0.335,16.369,2.476,1.778,0.942,2.476,0.036,4.276,0.262,0.178,0.172,25.739,17.143,0.354,0.377,59.469,7.188,150.889,170.199,7.788,1.095,0.095,7.521,7.788,11.295,2.997,1.8,0.201,30.735,0.204
4.0,3.549,0.304,0.048,1.46,6.963,6.963,4.962,0.567,3.921,6.678,1.422,3.926,3.926,153.404,173.314,1.116,153.404,1.972,1.333,1.365,0.795,0.013,10,5.338,14.227,15.293,16.299,0.083,2,2,2,2,47.976,0.297,21.309,2.478,1.778,0.782,2.478,0.025,4.41,0.236,0.146,0.114,15.883,8.444,0.33,0.296,0.0,0.0,133.802,153.33,7.788,1.095,0.095,7.455,7.788,11.375,2.997,1.794,0.149,22.244,0.127
4.244,3.881,0.342,0.058,1.495,7.079,7.079,5.208,0.575,4.076,6.332,1.426,4.173,4.173,148.478,169.613,1.095,148.478,1.969,1.376,1.422,1.198,0.017,9,5.484,15.208,16.352,17.477,0.081,2,2,2,2,34.061,0.358,16.061,2.481,2.444,1.062,2.481,0.041,4.309,0.29,0.198,0.137,27.242,23.604,0.473,0.418,60.128,10.171,154.453,178.147,7.788,1.095,0.095,7.773,7.788,11.587,3.022,1.8,0.346,41.036,0.212
4.051,3.748,0.28,0.06,1.501,7.256,7.256,5.139,0.578,4.12,6.542,1.411,4.104,4.104,142.848,164.657,1.116,142.848,1.971,1.333,1.354,1.218,0.015,8,5.536,14.524,15.608,16.651,0.08,2,2,2,2,36.205,0.371,16.691,2.502,2.444,0.902,2.502,0.045,4.325,0.292,0.24,0.161,24.763,15.297,0.584,0.377,59.469,9.931,150.93,174.515,7.789,1.095,0.095,7.564,7.789,11.48,3.108,1.794,0.171,39.137,0.188
4.0,3.531,0.287,0.047,1.458,6.95,6.95,4.952,0.564,3.875,6.556,1.343,3.917,3.917,136.986,189.977,1.11,136.986,1.977,1.376,1.414,0.779,0.015,9,5.332,14.141,15.202,16.195,0.084,2,2,2,2,36.205,0.288,16.864,2.475,1.778,0.862,2.475,0.024,4.323,0.23,0.18,0.148,17.831,10.403,0.219,0.336,33.203,0.0,140.966,161.021,7.788,1.095,0.095,7.444,7.788,11.306,3.0,1.801,0.177,24.638,0.159
4.0,3.549,0.299,0.048,1.46,6.963,6.963,4.961,0.567,3.921,6.63,1.42,3.926,3.926,143.928,180.378,1.116,143.928,1.972,1.332,1.363,0.795,0.013,10,5.338,14.223,15.288,16.294,0.083,2,2,2,2,36.205,0.297,18.9,2.478,1.778,0.782,2.478,0.025,4.311,0.238,0.167,0.115,15.59,9.366,0.33,0.296,28.434,0.0,135.19,155.078,7.788,1.095,0.095,7.453,7.788,10.777,2.997,1.794,0.147,23.786,0.134
4.0,3.748,0.282,0.06,1.501,7.096,7.096,5.143,0.578,4.12,6.568,1.417,4.107,4.107,142.848,164.657,1.116,142.848,1.971,1.346,1.368,1.218,0.015,8,5.485,14.531,15.616,16.662,0.08,2,2,2,2,36.205,0.369,16.671,2.493,2.444,0.982,2.493,0.042,4.325,0.292,0.24,0.167,23.674,15.265,0.584,0.377,59.469,9.853,150.93,174.515,7.789,1.095,0.095,7.564,7.789,11.48,3.063,1.794,0.171,38.212,0.188
4.142,3.72,0.348,0.044,1.474,6.952,6.952,5.028,0.569,3.966,6.56,1.47,3.993,3.993,145.879,167.014,1.135,145.879,1.974,1.376,1.424,1.038,0.016,9,5.332,14.458,15.539,16.573,0.083,2,2,2,2,34.061,0.335,16.84,2.476,1.778,0.942,2.476,0.036,4.42,0.259,0.17,0.135,22.507,15.539,0.354,0.377,29.85,7.188,146.35,166.157,7.788,1.095,0.095,7.567,7.788,12.572,3.026,1.8,0.226,27.326,0.185
4.0,3.531,0.252,0.048,1.46,6.963,6.963,4.952,0.567,3.921,6.562,1.312,3.917,3.917,134.451,187.442,1.107,134.451,1.97,1.319,1.347,0.795,0.013,8,5.338,14.141,15.201,16.195,0.083,2,2,2,2,36.205,0.297,16.818,2.478,1.778,0.782,2.478,0.025,4.22,0.24,0.177,0.155,17.195,10.147,0.33,0.296,33.203,0.0,136.966,157.021,7.788,1.095,0.095,7.433,7.788,10.327,2.973,1.793,0.151,25.334,0.144
4.063,3.626,0.34,0.044,1.474,6.952,6.952,4.995,0.569,3.966,6.594,1.409,3.96,3.96,176.242,174.374,1.111,137.679,1.977,1.376,1.418,1.038,0.016,9,5.332,14.177,15.237,16.235,0.083,2,2,2,2,36.205,0.335,16.956,2.476,1.778,0.942,2.476,0.036,4.325,0.251,0.167,0.148,20.284,12.179,0.354,0.377,27.604,7.188,160.169,174.874,7.788,1.095,0.095,7.463,7.788,11.659,3.004,1.801,0.195,24.635,0.159
4.301,3.626,0.275,0.046,1.478,6.974,6.974,4.996,0.572,4.013,6.6,1.375,3.96,3.96,173.708,171.84,1.107,135.144,1.97,1.32,1.352,1.058,0.014,8,5.341,14.177,15.237,16.236,0.082,2,2,2,2,36.205,0.347,16.912,2.483,1.778,0.862,2.483,0.037,4.223,0.261,0.163,0.157,19.656,11.915,0.466,0.336,27.604,6.962,156.169,170.874,7.789,1.095,0.095,7.452,7.789,10.663,2.973,1.793,0.171,25.238,0.145
4.0,3.72,0.286,0.046,1.478,6.974,6.974,5.028,0.572,4.013,6.566,1.418,3.993,3.993,143.344,164.48,1.117,143.344,1.967,1.331,1.362,1.058,0.014,10,5.341,14.459,15.539,16.573,0.082,2,2,2,2,34.061,0.347,16.792,2.483,1.778,0.862,2.483,0.037,4.322,0.269,0.166,0.117,21.334,15.28,0.466,0.336,29.85,6.962,142.35,162.157,7.789,1.095,0.095,7.557,7.789,11.601,2.984,1.792,0.202,28.951,0.17
4.228,3.639,0.273,0.046,1.478,6.974,6.974,4.998,0.572,4.013,6.5,1.397,3.963,3.963,134.451,171.147,1.107,134.451,1.97,1.325,1.354,1.058,0.014,8,5.341,14.193,15.254,16.254,0.082,2,2,2,2,36.205,0.347,16.563,2.483,1.778,0.862,2.483,0.037,4.223,0.271,0.17,0.159,23.873,14.939,0.466,0.336,59.469,6.962,144.57,164.183,7.789,1.095,0.095,7.46,7.789,10.772,2.973,1.793,0.183,30.436,0.177
4.205,3.639,0.336,0.044,1.474,6.952,6.952,4.998,0.569,3.966,6.494,1.445,3.962,3.962,136.986,173.681,1.111,136.986,1.977,1.376,1.42,1.038,0.016,9,5.332,14.193,15.254,16.254,0.083,2,2,2,2,36.205,0.335,16.613,2.476,1.778,0.942,2.476,0.036,4.325,0.261,0.174,0.153,24.533,15.204,0.354,0.377,59.469,7.188,148.57,168.183,7.788,1.095,0.095,7.471,7.788,11.748,3.006,1.801,0.211,28.869,0.194
7.143,4.143,0.022,0.086,1.584,8.41,8.41,5.373,0.596,4.602,0.0,1.079,4.307,4.307,98.644,144.038,0.919,92.837,1.758,1.162,1.138,1.728,0.024,4,6.04,15.625,16.774,17.914,0.071,0,0,0,0,9.177,0.554,10.282,2.625,3.778,1.988,2.625,0.072,3.316,0.33,1.137,1.019,148.074,54.768,1.108,0.814,138.196,17.775,232.53,256.455,11.824,1.133,0.133,7.908,11.824,5.656,2.925,1.652,0.796,173.493,1.033
7.854,3.82,0.008,0.064,1.558,7.393,7.393,5.322,0.584,4.333,0.0,1.066,4.274,4.274,94.043,146.85,0.918,94.043,1.756,1.062,1.107,1.516,0.025,3,5.486,15.197,16.352,17.494,0.072,0,0,0,0,9.177,0.468,12.019,2.607,2.444,1.731,2.607,0.065,3.397,0.371,0.637,0.898,124.957,34.845,0.788,0.75,93.883,13.94,173.676,184.558,8.411,1.133,0.133,7.615,8.411,5.507,2.913,1.646,0.541,71.523,0.721
6.824,4.304,0.218,0.083,1.646,8.457,8.457,5.354,0.603,4.758,0.0,1.181,4.295,4.295,108.521,131.555,0.98,108.521,1.773,1.23,1.198,1.54,0.022,3,6.046,15.709,16.849,17.981,0.066,0,0,0,0,9.177,0.522,9.124,2.748,4.222,2.292,2.748,0.073,3.678,0.46,0.992,1.24,175.697,57.409,1.487,1.055,154.011,20.662,219.715,245.957,11.29,1.1,0.1,8.084,11.29,6.703,2.934,1.658,0.781,140.485,1.058
6.0,4.015,0.008,0.085,1.667,8.424,8.424,5.349,0.6,4.759,0.0,1.045,4.289,4.289,61.646,84.68,0.979,61.646,1.773,1.185,1.161,1.534,0.024,0,6.042,15.481,16.627,17.766,0.065,0,0,0,0,9.177,0.553,3.067,2.623,3.333,1.624,2.623,0.084,3.283,0.462,0.963,1.132,158.403,44.533,1.077,0.848,123.733,15.951,177.278,195.797,10.49,1.143,0.143,7.786,10.49,5.806,2.845,1.581,0.702,140.723,0.951
7.0,4.184,0.218,0.077,1.636,8.452,8.452,5.354,0.597,4.69,0.0,1.181,4.295,4.295,107.503,130.537,0.98,107.503,1.773,1.23,1.198,1.541,0.023,2,6.046,15.62,16.768,17.905,0.066,0,0,0,0,9.177,0.506,9.541,2.635,3.778,2.252,2.635,0.071,3.631,0.441,0.983,1.406,172.552,51.583,1.424,1.055,123.733,18.769,214.489,239.954,11.289,1.1,0.1,7.974,11.289,6.298,2.934,1.658,0.752,118.918,1.033
8.046,4.095,0.0,0.101,1.599,7.831,7.831,5.349,0.612,4.679,0.0,0.783,4.279,4.279,46.478,98.06,0.647,46.478,1.509,0.948,0.9,1.782,0.029,0,5.826,15.679,16.841,17.998,0.071,0,0,0,0,26.731,0.639,2.129,2.594,3.333,1.529,2.594,0.045,3.015,0.363,1.049,0.996,148.138,46.927,0.819,0.671,139.201,14.729,162.494,183.103,10.492,1.2,0.2,7.803,10.492,5.276,2.585,1.388,1.025,158.816,0.935
