pXC50,AMW,C.,H.,Me
4.286,8.141,44.7,39.5,1.015
4.606,8.731,39.5,39.5,1.028
4.268,7.276,42.2,46.7,1.005
4.859,8.459,57.5,35.0,1.004
4.397,9.52,35.3,37.3,1.048
4.265,8.209,40.0,40.0,1.025
4.917,8.702,53.8,33.3,1.01
4.029,7.668,45.5,43.2,1.008
4.484,9.01,45.5,36.4,1.025
4.198,7.979,51.5,39.4,1.002
4.271,7.529,41.4,48.3,0.986
4.405,9.61,40.0,34.3,1.047
4.349,7.311,37.5,50.0,0.997
4.208,12.604,50.0,30.0,1.032
4.199,8.787,55.6,33.3,1.017
4.48,10.354,43.8,28.1,1.052
4.197,9.219,37.2,37.2,1.048
4.276,8.81,52.0,32.0,1.007
4.439,10.01,45.5,30.3,1.044
5.452,7.267,42.9,45.7,0.996
4.801,10.381,40.7,29.6,1.058
4.275,7.219,41.9,46.5,0.999
5.672,7.236,45.2,45.2,0.989
4.24,9.881,41.9,32.3,1.047
4.349,8.474,46.4,39.3,1.013
4.007,9.812,52.0,32.0,1.022
4.262,8.429,39.5,41.9,1.023
4.655,9.037,40.5,37.8,1.033
4.152,9.242,36.5,38.5,1.037
4.04,9.7,50.0,31.0,1.034
4.192,8.342,46.2,38.5,1.024
4.445,8.609,47.5,35.0,1.016
4.341,8.494,45.5,36.4,1.018
4.169,8.716,39.0,36.6,1.038
4.068,7.49,42.3,44.2,1.002
4.716,6.522,41.9,51.2,0.981
4.461,9.167,47.4,31.6,1.033
4.011,8.923,41.2,38.2,1.023
4.565,9.951,41.2,32.4,1.054
4.115,9.508,45.0,30.0,1.048
4.64,7.917,34.9,46.5,1.02
4.003,9.112,43.4,35.8,1.033
4.424,9.16,57.6,30.3,1.022
4.759,10.038,41.7,30.6,1.052
4.443,9.981,40.0,31.4,1.054
4.802,6.489,41.7,52.1,0.987
4.483,7.646,37.3,47.1,1.006
4.467,8.665,53.1,34.4,1.016
4.851,9.116,46.4,32.1,1.034
4.025,6.845,38.8,50.7,1.005
4.02,8.509,50.0,35.7,1.014
4.277,9.735,34.5,34.5,1.05
4.333,7.384,39.6,45.8,1.007
4.018,8.426,37.5,43.8,1.008
4.986,16.697,22.2,22.2,1.048
4.02,8.295,45.2,38.1,1.016
4.368,11.348,35.7,28.6,1.071
4.889,11.374,23.5,41.2,1.018
4.319,10.117,35.7,32.1,1.06
4.128,8.689,47.2,37.7,1.016
4.373,8.93,48.0,36.0,1.02
4.677,8.832,47.1,35.3,1.037
4.846,9.407,45.8,35.4,1.02
4.205,8.93,48.0,36.0,1.02
4.848,9.584,48.9,31.9,1.034
5.439,9.555,54.5,27.3,1.028
4.32,7.276,42.2,46.7,1.005
5.042,8.586,53.8,34.6,1.011
4.101,9.092,52.0,36.0,1.002
4.893,7.933,46.2,41.0,1.008
4.936,9.12,51.1,31.1,1.025
4.503,9.12,51.1,31.1,1.025
4.196,8.634,33.3,37.5,1.039
4.352,10.649,47.6,28.6,1.05
