pXC50,nCsp3,nC
7.569,28,51
8.398,27,45
7.949,27,49
9.222,52,82
8.398,48,69
5.0,30,51
7.553,29,48
6.0,6,28
7.77,17,29
4.42,15,22
6.538,15,26
6.745,16,27
6.409,15,27
5.959,16,27
7.092,15,27
4.585,13,25
4.347,15,27
7.504,15,26
5.77,16,27
5.481,15,26
6.495,15,30
4.301,15,38
4.301,12,24
5.796,18,29
4.77,19,30
4.301,17,28
7.456,15,32
7.201,15,28
4.187,14,25
5.0,17,28
7.429,15,26
6.377,15,26
6.222,16,27
4.435,14,25
6.35,14,30
4.31,15,26
7.355,15,28
4.921,13,28
8.429,21,26
6.34,15,26
6.301,17,28
4.301,12,29
5.301,12,29
6.854,16,33
4.596,14,26
5.721,16,28
5.155,16,27
7.448,17,28
4.553,15,25
6.367,16,28
5.796,16,27
4.611,17,28
6.538,15,26
