pXC50,nH,nCsp3,nAT,nBT,Se,Si,C.,AMW,H.,Me,Mi
4.0,39,13,89,92,91.222,100.029,39.3,8.02,43.8,1.025,1.124
5.695,52,23,101,105,101.239,114.261,37.6,6.742,51.5,1.002,1.131
4.202,37,11,85,89,86.349,95.358,41.2,7.951,43.5,1.016,1.122
4.513,34,11,77,80,78.469,86.305,40.3,8.21,44.2,1.019,1.121
4.936,34,11,79,83,80.44,88.364,40.5,8.289,43.0,1.018,1.119
4.0,33,11,74,77,75.589,83.156,39.2,7.942,44.6,1.021,1.124
4.173,35,11,80,84,81.222,89.281,41.3,8.173,43.8,1.015,1.116
4.545,34,11,78,81,79.363,87.444,41.0,7.984,43.6,1.017,1.121
4.326,34,11,79,82,81.018,88.863,39.2,8.136,43.0,1.026,1.125
4.343,36,11,79,82,80.247,88.86,39.2,7.756,45.6,1.016,1.125
4.0,35,12,78,81,79.465,87.943,38.5,7.869,44.9,1.019,1.127
4.0,33,11,75,78,76.582,84.528,38.7,7.996,44.0,1.021,1.127
4.267,34,11,77,80,78.658,86.701,40.3,7.996,44.2,1.022,1.126
4.802,34,11,77,80,78.374,86.203,40.3,8.787,44.2,1.018,1.12
4.646,33,11,77,80,78.793,86.249,40.3,8.657,42.9,1.023,1.12
4.0,33,11,77,80,78.793,86.249,40.3,8.657,42.9,1.023,1.12
4.0,39,13,85,88,86.567,95.611,38.8,7.739,45.9,1.018,1.125
4.529,36,12,81,84,82.68,90.93,39.5,8.175,44.4,1.021,1.123
4.055,33,11,77,80,79.171,87.041,40.3,8.23,42.9,1.028,1.13
4.0,33,13,83,86,86.989,95.23,39.8,8.84,39.8,1.048,1.147
4.0,33,12,80,83,82.796,90.637,40.0,9.308,41.3,1.035,1.133
5.208,33,11,78,81,80.12,87.459,39.7,8.752,42.3,1.027,1.121
4.785,35,12,81,84,83.003,90.874,39.5,8.601,43.2,1.025,1.122
4.793,36,12,84,87,86.105,94.372,39.3,8.615,42.9,1.025,1.123
4.565,36,13,84,88,86.229,94.488,39.3,8.152,42.9,1.027,1.125
4.0,38,13,84,88,85.458,94.484,39.3,7.795,45.2,1.017,1.125
4.735,36,12,82,86,83.323,91.78,40.2,8.157,43.9,1.016,1.119
4.833,34,11,80,84,81.767,89.574,40.0,8.385,42.5,1.022,1.12
4.0,36,12,82,86,83.574,92.069,40.2,7.961,43.9,1.019,1.123
4.0,34,11,80,84,82.018,89.863,40.0,8.184,42.5,1.025,1.123
4.0,25,9,58,60,59.604,65.17,37.9,8.939,43.1,1.028,1.124
4.179,26,9,60,63,61.251,67.285,38.3,8.444,43.3,1.021,1.121
4.301,42,16,90,94,91.101,101.199,38.9,8.02,46.7,1.012,1.124
4.301,43,16,92,97,92.749,103.314,39.1,7.717,46.7,1.008,1.123
6.341,42,16,91,95,92.429,102.408,38.5,8.107,46.2,1.016,1.125
4.301,44,17,94,98,95.312,105.824,38.3,7.998,46.8,1.014,1.126
5.693,43,16,93,98,94.076,104.524,38.7,7.806,46.2,1.012,1.124
4.91,45,17,97,101,98.414,109.322,38.1,8.029,46.4,1.015,1.127
4.0,34,11,79,82,80.894,88.748,39.2,8.628,43.0,1.024,1.123
4.0,35,11,81,85,82.542,90.863,39.5,8.27,43.2,1.019,1.122
5.014,33,12,73,76,73.803,81.993,39.7,8.31,45.2,1.011,1.123
4.288,39,15,80,82,80.836,90.272,38.8,7.121,48.8,1.01,1.128
4.485,39,14,81,83,81.836,91.272,39.5,7.182,48.1,1.01,1.127
4.0,39,15,81,83,81.912,91.192,38.3,7.429,48.1,1.011,1.126
4.0,42,16,84,86,84.494,94.976,38.1,6.938,50.0,1.006,1.131
4.0,23,11,42,42,42.131,47.903,33.3,6.414,54.8,1.003,1.141
4.0,33,14,64,65,64.531,72.607,35.9,6.806,51.6,1.008,1.134
5.382,50,21,96,99,96.028,108.637,37.5,6.655,52.1,1.0,1.132
4.814,48,20,93,96,93.145,105.221,37.6,6.719,51.6,1.002,1.131
5.42,40,15,78,80,77.956,88.142,38.5,6.727,51.3,0.999,1.13
4.714,41,14,90,93,91.701,101.315,40.0,7.553,45.6,1.019,1.126
4.0,45,12,99,103,99.25,110.913,43.4,7.569,45.5,1.003,1.12
5.374,43,18,88,91,88.93,99.312,38.6,7.111,48.9,1.011,1.129
4.0,35,16,68,70,68.414,77.023,36.8,6.788,51.5,1.006,1.133
