pXC50,nDB,nBO,nN,nO,N.,O.,MW,Se,nAT,nBT,Si,C.,Sv
6.388,1,32,2,2,4.7,4.7,370.4,43.556,43,47,47.662,53.5,30.543
7.432,1,33,1,2,2.2,4.4,401.48,45.414,45,49,49.498,53.3,32.236
7.602,1,33,1,2,2.2,4.4,401.48,45.414,45,49,49.498,53.3,32.236
7.092,1,33,2,2,4.3,4.3,384.43,46.44,46,50,51.077,52.2,32.07
8.081,1,32,1,2,2.3,4.5,369.41,44.338,44,48,48.578,54.5,31.049
7.77,1,32,1,2,2.4,4.8,387.45,42.531,42,46,46.083,54.8,30.709
6.0,1,32,1,2,2.3,4.5,369.41,44.338,44,48,48.578,54.5,31.049
7.229,1,33,1,2,2.1,4.3,383.44,47.222,47,51,51.994,53.2,32.576
7.367,1,36,1,2,2.1,4.3,437.41,48.76,47,51,53.013,53.2,33.725
7.509,1,35,1,2,2.1,4.3,419.42,48.247,47,51,52.673,53.2,33.342
7.886,1,33,1,2,2.2,4.4,401.48,45.414,45,49,49.498,53.3,32.236
7.699,1,34,1,3,2.1,6.3,399.44,48.549,48,52,53.203,52.1,33.29
6.796,1,34,2,3,4.3,6.4,400.43,47.767,47,51,52.286,51.1,32.785
6.662,1,33,1,2,2.2,4.4,401.48,45.414,45,49,49.498,53.3,32.236
7.398,1,33,1,2,2.1,4.3,383.44,47.222,47,51,51.994,53.2,32.576
6.523,1,32,1,2,2.3,4.5,369.41,44.338,44,48,48.578,54.5,31.049
7.602,1,34,1,3,2.1,6.3,399.44,48.549,48,52,53.203,52.1,33.29
7.284,1,31,1,2,2.4,4.9,375.44,41.531,41,45,45.083,53.7,29.709
6.432,1,36,1,2,2.1,4.3,437.41,48.76,47,51,53.013,53.2,33.725
6.745,1,31,2,2,5.0,5.0,376.43,40.749,40,44,44.166,52.5,29.204
7.319,1,32,1,3,2.4,7.1,371.38,42.782,42,46,46.373,54.8,30.237
5.481,1,23,3,0,9.1,0.0,358.28,33.029,33,35,36.333,48.5,23.911
6.87,1,33,1,2,2.2,4.4,401.48,45.414,45,49,49.498,53.3,32.236
6.857,3,34,1,4,2.3,9.1,419.45,45.185,44,48,48.502,52.3,32.139
5.26,2,24,3,3,7.1,7.1,313.39,42.356,42,43,47.445,40.5,26.423
7.0,2,26,3,3,7.0,7.0,325.4,43.356,43,45,48.445,41.9,27.423
6.155,2,22,2,3,6.5,9.7,325.16,32.251,31,32,34.589,45.2,22.476
6.301,2,26,2,3,5.4,8.1,340.78,37.811,37,39,41.06,48.6,26.176
4.783,0,18,3,0,11.1,0.0,241.24,28.262,27,28,31.59,40.7,17.848
4.648,0,19,3,0,10.0,0.0,255.27,31.145,30,31,35.005,40.0,19.375
4.65,0,19,4,0,16.0,0.0,252.22,26.596,25,26,29.258,44.0,17.816
5.208,0,22,3,0,8.8,0.0,281.31,35.029,34,36,39.42,41.2,21.902
6.301,0,21,4,1,13.8,3.4,282.25,30.807,29,30,33.883,41.4,20.058
4.301,0,20,4,0,14.3,0.0,266.25,29.48,28,29,32.673,42.9,19.343
5.398,0,22,4,0,11.8,0.0,294.31,35.247,34,35,39.504,41.2,22.396
4.301,0,25,4,0,10.5,0.0,320.35,39.131,38,40,43.919,42.1,24.923
4.301,0,21,4,0,12.9,0.0,280.28,32.363,31,32,36.088,41.9,20.87
4.301,0,23,4,0,10.8,0.0,308.34,38.131,37,38,42.919,40.5,23.923
4.301,0,26,5,0,14.7,0.0,329.31,35.582,34,36,39.171,47.1,24.364
4.301,0,26,5,0,14.7,0.0,329.31,35.582,34,36,39.171,47.1,24.364
4.301,0,25,4,1,12.5,3.1,318.28,33.807,32,34,36.883,46.9,23.058
5.569,0,20,3,1,9.7,3.2,271.27,32.472,31,32,36.215,38.7,20.09
4.301,1,23,3,2,8.3,5.6,313.31,37.683,36,37,41.839,38.9,23.331
4.301,0,21,4,0,14.3,0.0,345.14,29.709,28,29,32.515,42.9,20.368
4.301,0,20,5,0,18.5,0.0,267.24,28.698,27,28,31.756,40.7,18.837
4.301,0,20,4,0,14.3,0.0,266.25,29.48,28,29,32.673,42.9,19.343
4.301,0,25,4,0,12.5,0.0,334.35,33.556,32,34,36.593,46.9,23.53
4.301,0,16,4,0,16.0,0.0,198.25,25.058,25,26,28.239,44.0,16.666
4.301,0,21,4,0,12.9,0.0,280.28,32.363,31,32,36.088,41.9,20.87
5.495,0,18,5,0,19.2,0.0,223.26,26.276,26,27,29.322,46.2,18.161
5.444,0,20,4,0,10.8,0.0,254.37,36.592,37,38,41.9,40.5,22.773
4.301,0,17,5,0,18.5,0.0,213.27,27.16,27,28,30.737,40.7,17.687
4.0,0,24,5,0,16.1,0.0,372.17,32.811,31,33,36.013,41.9,22.389
4.051,0,21,4,1,12.9,3.2,272.36,31.345,31,33,34.783,41.9,21.095
5.166,1,22,2,2,6.3,6.3,284.36,32.353,32,34,35.411,46.9,22.294
4.301,2,31,4,2,7.7,3.8,410.94,52.222,52,54,58.508,42.3,33.611
4.301,3,43,5,4,7.4,5.9,523.64,68.421,68,72,76.312,44.1,44.288
6.932,2,22,2,2,6.3,6.3,296.27,33.698,32,33,36.926,43.8,21.783
4.301,2,41,6,2,9.4,3.1,515.06,64.309,64,68,71.92,43.8,42.18
7.276,2,25,2,2,5.1,5.1,304.37,39.043,39,41,43.322,48.7,26.16
4.301,3,39,5,4,7.5,6.0,489.63,67.305,67,70,75.727,40.3,41.815
5.301,2,35,5,3,9.4,5.7,427.5,53.56,53,56,59.441,45.3,35.466
4.301,2,34,4,2,8.0,4.0,430.92,50.454,50,53,55.678,48.0,34.557
4.301,2,35,4,2,7.5,3.8,444.95,53.338,53,56,59.093,47.2,36.084
4.839,3,29,0,3,0.0,6.7,366.86,45.142,45,48,49.724,48.9,30.24
7.377,3,29,1,4,2.3,9.1,373.38,45.389,44,46,49.752,45.5,29.388
7.301,3,29,2,3,4.2,6.3,384.89,48.345,48,50,53.721,43.8,31.283
5.244,3,31,1,4,2.3,9.1,409.36,46.414,44,46,50.432,45.5,30.155
6.432,3,32,2,4,4.4,8.9,416.38,47.12,45,47,51.175,46.7,31.266
6.77,3,29,1,5,2.1,10.4,367.43,48.574,48,50,53.697,43.8,30.863
6.553,3,31,1,4,2.3,9.1,409.36,46.414,44,46,50.432,45.5,30.155
7.347,3,28,1,3,2.5,7.5,361.34,41.691,40,42,45.467,47.5,27.53
6.215,3,30,2,3,4.2,6.3,386.43,49.047,48,50,54.456,43.8,31.222
8.155,3,34,1,4,2.3,9.1,463.33,47.952,44,46,51.451,45.5,31.305
5.538,3,27,1,3,2.5,7.5,420.7,40.705,40,42,44.234,47.5,28.233
6.409,5,33,2,6,4.3,13.0,436.37,48.774,46,48,52.594,43.5,31.696
6.538,3,31,1,4,2.3,9.1,425.81,46.225,44,46,50.036,45.5,30.599
6.824,3,31,1,4,2.1,8.5,405.4,48.785,47,49,53.507,44.7,31.299
6.648,3,28,1,4,2.3,9.1,371.84,44.687,44,46,49.017,45.5,29.449
6.076,3,34,1,4,2.1,8.5,459.37,50.323,47,49,54.526,44.7,32.448
7.481,3,32,1,4,2.3,9.1,427.35,46.927,44,46,50.771,45.5,30.538
7.097,3,30,1,3,1.9,5.8,397.93,52.011,52,54,58.053,44.2,33.315
6.509,3,28,1,4,2.3,9.1,371.84,44.687,44,46,49.017,45.5,29.449
4.921,0,22,4,1,12.9,3.2,306.8,31.669,31,33,34.727,41.9,21.922
4.301,12,85,11,12,5.6,6.1,1202.84,195.227,196,196,224.754,31.6,108.153
4.409,0,22,4,1,12.9,3.2,306.8,31.669,31,33,34.727,41.9,21.922
4.0,0,21,5,0,14.7,0.0,253.34,33.927,34,36,38.568,41.2,21.741
4.0,0,27,5,0,13.5,0.0,357.32,39.374,37,39,43.681,40.5,25.184
4.0,0,22,5,0,13.5,0.0,267.37,36.811,37,39,41.983,40.5,23.268
4.0,0,23,5,0,12.5,0.0,281.4,39.694,40,42,45.398,40.0,24.795
4.0,0,24,5,0,11.6,0.0,295.43,42.578,43,45,48.813,39.5,26.321
4.0,0,23,5,0,12.5,0.0,281.4,39.694,40,42,45.398,40.0,24.795
4.0,0,23,5,0,14.3,0.0,265.35,34.927,35,38,39.568,42.9,22.741
4.0,1,21,5,0,15.6,0.0,251.32,32.043,32,34,36.152,43.8,21.214
4.0,0,21,5,0,16.7,0.0,249.3,30.16,30,32,33.737,46.7,20.687
4.301,0,24,5,0,15.6,0.0,325.35,33.658,32,34,37.091,40.6,22.551
4.0,0,25,5,0,15.2,0.0,351.34,35.567,33,35,39.186,36.4,22.845
4.301,0,21,5,0,17.9,0.0,277.71,28.996,28,30,32.021,42.9,19.898
4.0,0,27,5,0,14.7,0.0,361.28,37.003,34,36,40.606,41.2,24.041
4.523,0,25,5,0,16.1,0.0,329.26,33.607,31,33,36.851,41.9,22.131
4.0,0,24,5,0,13.2,0.0,279.38,37.811,38,41,42.983,42.1,24.268
4.0,0,23,5,2,16.1,6.5,269.29,31.814,31,34,35.156,41.9,21.117
4.301,0,24,5,0,14.3,0.0,283.34,35.44,35,38,39.907,42.9,23.124
4.301,0,24,5,0,14.3,0.0,344.24,35.156,35,38,39.409,42.9,23.766
4.0,0,24,5,0,14.7,0.0,307.31,35.465,34,36,39.587,41.2,22.891
4.0,0,26,5,0,16.1,0.0,347.25,34.12,31,33,37.191,41.9,22.514
4.0,0,23,5,0,17.9,0.0,313.69,30.022,28,30,32.7,42.9,20.665
4.0,0,24,5,0,11.6,0.0,295.43,42.578,43,45,48.813,39.5,26.321
4.0,0,26,5,1,13.2,2.6,337.34,39.676,38,40,44.211,39.5,25.133
4.0,0,23,5,0,12.5,0.0,281.4,39.694,40,42,45.398,40.0,24.795
4.0,0,24,5,0,14.3,0.0,283.34,35.44,35,38,39.907,42.9,23.124
6.824,4,24,2,5,5.7,14.3,364.33,37.756,35,35,40.474,37.1,24.115
7.032,5,28,2,7,4.9,17.1,422.37,44.294,41,41,47.308,36.6,28.071
7.137,3,27,2,4,4.5,9.1,350.4,44.582,44,45,49.156,45.5,29.116
6.959,3,28,2,4,4.5,9.1,368.39,45.094,44,45,49.496,45.5,29.5
7.284,3,28,2,4,4.5,9.1,384.84,44.905,44,45,49.1,45.5,29.944
7.509,3,28,2,4,4.5,9.1,384.84,44.905,44,45,49.1,45.5,29.944
7.347,3,28,2,4,4.5,9.1,384.84,44.905,44,45,49.1,45.5,29.944
7.569,3,32,2,5,4.2,10.4,434.4,50.331,48,49,54.8,43.8,32.508
6.703,3,28,2,4,4.5,9.1,368.39,45.094,44,45,49.496,45.5,29.5
7.509,3,29,2,4,4.5,9.1,386.38,45.607,44,45,49.835,45.5,29.883
7.398,3,27,3,4,7.0,9.3,351.39,43.8,43,44,48.239,44.2,28.611
7.31,3,29,2,4,4.3,8.5,382.42,47.978,47,48,52.911,44.7,31.027
6.824,3,28,3,4,7.0,9.3,369.38,44.313,43,44,48.579,44.2,28.994
7.013,3,29,2,4,4.5,9.1,386.38,45.607,44,45,49.835,45.5,29.883
6.863,3,30,2,4,4.5,9.1,404.37,46.12,44,45,50.175,45.5,30.266
7.18,3,30,2,5,4.2,10.4,398.42,49.305,48,49,54.12,43.8,31.741
7.229,3,30,2,5,3.9,9.8,394.46,51.676,51,52,57.196,43.1,32.885
7.119,3,31,2,6,4.3,12.8,394.41,48.236,47,49,52.575,44.7,31.546
7.585,3,29,2,5,4.2,10.4,380.43,48.793,48,49,53.78,43.8,31.358
7.18,3,32,2,6,4.0,12.0,408.44,51.12,50,52,55.99,44.0,33.073
7.469,3,31,2,5,4.2,10.4,416.41,49.818,48,49,54.46,43.8,32.125
