pXC50,N.,nCsp,nTB,Mp,AMW,Mv,nH,Si,nHM,X.,H.,Se,nAT,nBR,nBT,Sp,Mi,Sv,C.
5.1,7.0,0,0,0.73,8.778,0.699,16,47.87,1,2.3,37.2,43.407,43,0,46,31.387,1.113,30.037,48.8
5.1,10.0,0,0,0.736,8.671,0.702,15,44.428,1,2.5,37.5,40.033,40,0,43,29.449,1.111,28.074,50.0
5.1,6.6,0,0,0.652,6.944,0.614,37,85.763,0,0.0,48.7,75.629,76,0,80,49.574,1.128,46.68,40.8
5.0,5.1,0,0,0.754,12.274,0.708,14,44.081,2,10.3,35.9,40.345,39,0,41,29.404,1.13,27.598,43.6
5.2,7.0,0,0,0.661,7.43,0.614,21,48.571,1,0.0,48.8,42.989,43,0,45,28.426,1.13,26.422,37.2
6.0,12.7,0,0,0.672,9.228,0.67,20,63.377,1,5.5,36.4,57.378,55,0,58,36.955,1.152,36.846,38.2
5.2,9.7,0,0,0.708,8.163,0.674,29,80.394,1,0.0,40.3,72.163,72,0,78,50.972,1.117,48.561,45.8
5.2,9.7,0,0,0.708,8.163,0.674,29,80.394,1,0.0,40.3,72.163,72,0,78,50.972,1.117,48.561,45.8
5.2,6.9,0,0,0.792,12.042,0.751,9,31.838,2,3.4,31.0,29.698,29,1,31,22.966,1.098,21.792,48.3
5.2,10.3,0,0,0.675,8.121,0.647,25,66.18,1,5.2,43.1,58.68,58,0,62,39.142,1.141,37.517,41.4
5.2,7.1,0,0,0.679,7.7,0.652,18,47.366,0,2.4,42.9,42.214,42,0,45,28.5,1.128,27.377,45.2
5.0,8.5,0,0,0.671,8.237,0.648,25,66.971,1,3.4,42.4,60.047,59,0,62,39.563,1.135,38.257,40.7
5.2,9.4,0,0,0.696,7.853,0.669,13,35.78,0,0.0,40.6,32.051,32,0,34,22.279,1.118,21.413,46.9
5.2,12.8,0,0,0.68,8.307,0.669,18,53.109,0,0.0,38.3,47.894,47,0,50,31.966,1.13,31.434,42.6
5.1,8.1,0,0,0.798,11.791,0.784,9,41.268,3,10.8,24.3,38.8,37,0,40,29.517,1.115,29.022,51.4
5.0,7.3,0,0,0.71,10.094,0.699,14,46.573,2,7.3,34.1,42.898,41,0,43,29.091,1.136,28.677,41.5
5.2,8.7,0,0,0.66,8.444,0.657,18,52.622,0,4.3,39.1,47.483,46,0,49,30.353,1.144,30.211,41.3
9.0,8.1,0,0,0.746,9.454,0.729,12,40.934,1,2.7,32.4,37.702,37,0,40,27.591,1.106,26.955,51.4
7.069,10.3,0,0,0.832,18.442,0.767,9,32.356,4,13.8,31.0,30.294,29,4,30,24.142,1.116,22.229,37.9
5.0,17.9,0,0,0.743,9.217,0.716,13,43.654,1,0.0,33.3,39.44,39,0,43,28.972,1.119,27.917,46.2
5.2,7.1,0,0,0.649,7.866,0.636,24,63.402,0,0.0,42.9,57.207,56,0,58,36.364,1.132,35.642,39.3
5.0,5.4,0,0,0.692,7.928,0.669,30,82.438,0,0.0,40.5,74.531,74,0,82,51.193,1.114,49.508,47.3
8.4,11.5,0,0,0.656,8.47,0.656,20,59.153,0,0.0,38.5,53.76,52,0,54,34.091,1.138,34.105,38.5
5.921,15.4,0,0,0.674,7.907,0.653,16,44.275,0,0.0,41.0,39.356,39,0,42,26.296,1.135,25.477,41.0
5.2,10.4,0,0,0.718,8.365,0.681,19,53.527,1,0.0,39.6,48.098,48,0,52,34.461,1.115,32.697,45.8
5.1,7.2,0,0,0.633,6.781,0.596,42,94.301,0,0.0,50.6,82.825,83,0,87,52.557,1.136,49.47,37.3
5.2,8.6,2,2,0.691,8.957,0.692,20,65.876,0,5.2,34.5,59.981,58,0,61,40.057,1.136,40.142,46.6
6.036,8.2,0,0,0.65,7.188,0.608,36,82.766,1,0.0,49.3,72.923,73,0,76,47.466,1.134,44.362,37.0
4.523,12.5,0,0,0.704,8.26,0.685,12,35.863,0,0.0,37.5,32.269,32,0,35,22.523,1.121,21.908,46.9
5.0,8.7,0,0,0.727,8.402,0.689,18,51.029,1,0.0,39.1,45.996,46,0,49,33.455,1.109,31.675,47.8
5.1,8.3,0,0,0.691,9.685,0.696,16,54.906,1,8.3,33.3,50.32,48,0,50,33.148,1.144,33.422,43.8
5.2,12.2,0,0,0.697,7.693,0.665,17,45.983,0,0.0,41.5,40.811,41,0,44,28.597,1.122,27.268,46.3
5.2,11.4,0,0,0.737,9.51,0.699,13,39.143,2,2.9,37.1,35.553,35,0,37,25.79,1.118,24.449,42.9
5.2,13.2,0,0,0.729,8.837,0.699,14,42.512,1,2.6,36.8,38.251,38,0,41,27.693,1.119,26.569,47.4
5.2,22.0,0,0,0.695,9.156,0.699,13,46.734,0,0.0,31.7,42.338,41,0,44,28.483,1.14,28.676,41.5
5.1,11.9,0,0,0.679,8.272,0.642,26,66.923,2,1.7,44.1,59.603,59,0,62,40.068,1.134,37.862,37.3
5.4,10.3,0,0,0.705,8.802,0.699,10,32.705,0,3.4,34.5,29.68,29,0,31,20.455,1.128,20.27,48.3
5.0,11.5,0,0,0.637,6.817,0.598,26,59.351,0,0.0,50.0,51.774,52,0,54,33.103,1.141,31.111,36.5
5.9,8.8,0,0,0.714,8.098,0.689,13,37.78,0,0.0,38.2,34.051,34,0,37,24.279,1.111,23.413,50.0
5.0,9.5,0,0,0.711,10.898,0.694,15,47.653,2,7.1,35.7,43.64,42,1,44,29.864,1.135,29.154,40.5
5.2,10.4,0,0,0.684,8.664,0.666,19,54.516,1,4.2,39.6,49.069,48,0,51,32.824,1.136,31.962,41.7
5.442,6.6,0,0,0.685,7.649,0.656,26,68.189,0,0.0,42.6,61.109,61,0,68,41.762,1.118,40.025,45.9
5.2,8.9,0,0,0.678,9.253,0.69,15,51.547,0,6.7,33.3,47.112,45,0,49,30.529,1.145,31.068,44.4
5.2,14.7,0,0,0.708,8.098,0.683,13,38.152,0,0.0,38.2,34.043,34,0,37,24.074,1.122,23.214,47.1
6.0,14.7,0,0,0.708,8.098,0.683,13,38.152,0,0.0,38.2,34.043,34,0,37,24.074,1.122,23.214,47.1
5.8,16.7,0,0,0.697,8.066,0.673,14,40.651,0,0.0,38.9,36.145,36,0,39,25.08,1.129,24.236,44.4
5.2,8.8,0,0,0.714,8.098,0.689,13,37.78,0,0.0,38.2,34.051,34,0,37,24.279,1.111,23.413,50.0
5.2,10.0,0,0,0.676,7.576,0.647,13,33.78,0,0.0,43.3,30.051,30,0,32,20.279,1.126,19.413,43.3
5.2,10.3,0,0,0.662,7.241,0.628,18,44.109,0,0.0,46.2,38.92,39,0,42,25.807,1.131,24.488,41.0
6.2,18.5,0,0,0.724,8.714,0.71,9,30.322,0,0.0,33.3,27.276,27,0,30,19.551,1.123,19.161,48.1
5.3,12.1,0,0,0.749,8.86,0.708,12,36.574,1,0.0,36.4,33.018,33,0,36,24.716,1.108,23.38,48.5
5.2,11.1,0,0,0.735,8.512,0.692,14,39.989,1,0.0,38.9,35.902,36,0,39,26.478,1.111,24.907,47.2
6.5,13.3,0,0,0.675,7.388,0.64,20,50.896,0,0.0,44.4,44.796,45,0,49,30.364,1.131,28.816,42.2
6.8,15.8,0,0,0.68,7.694,0.652,16,43.066,0,0.0,42.1,38.029,38,0,41,25.841,1.133,24.762,42.1
5.2,9.8,0,0,0.672,7.676,0.646,22,57.777,0,2.0,43.1,51.301,51,0,55,34.273,1.133,32.946,43.1
5.721,6.8,0,0,0.643,7.501,0.621,27,67.153,0,1.7,45.8,59.832,59,0,62,37.915,1.138,36.65,39.0
5.2,7.7,0,0,0.712,8.087,0.687,10,28.867,0,0.0,38.5,26.065,26,0,28,18.512,1.11,17.865,50.0
5.2,7.1,0,0,0.736,8.606,0.698,16,46.661,1,2.4,38.1,42.08,42,0,45,30.932,1.111,29.322,50.0
6.301,21.4,0,0,1.085,31.05,0.978,1,15.277,4,28.6,7.1,15.105,14,4,15,15.188,1.091,13.692,42.9
5.2,9.8,0,0,0.684,8.14,0.668,24,68.564,0,0.0,39.3,61.872,61,0,67,41.705,1.124,40.729,44.3
5.377,14.6,1,1,0.673,7.473,0.641,18,46.481,0,0.0,43.9,40.912,41,0,44,27.603,1.134,26.289,41.5
5.0,8.7,1,1,0.687,8.074,0.658,29,77.544,1,1.4,42.0,69.52,69,0,72,47.392,1.124,45.422,43.5
5.2,9.6,0,0,0.688,8.661,0.656,22,59.081,2,5.8,42.3,52.832,52,0,55,35.75,1.136,34.128,40.4
5.2,6.1,0,0,0.689,7.581,0.658,21,54.651,0,0.0,42.9,48.912,49,0,52,33.779,1.115,32.235,46.9
5.2,6.1,0,0,0.689,7.581,0.658,21,54.651,0,0.0,42.9,48.912,49,0,52,33.779,1.115,32.235,46.9
5.8,6.5,0,0,0.696,7.77,0.668,19,51.235,0,0.0,41.3,46.029,46,0,49,32.017,1.114,30.708,47.8
5.0,9.1,0,0,0.686,7.556,0.642,30,74.102,1,0.0,45.5,65.618,66,0,70,45.273,1.123,42.352,42.4
5.125,7.5,0,0,0.669,7.189,0.633,31,75.308,0,0.0,46.3,66.65,67,0,71,44.836,1.124,42.385,43.3
5.0,4.9,0,0,0.653,7.741,0.635,36,92.987,0,2.4,43.9,83.418,82,0,87,53.569,1.134,52.097,41.5
5.137,7.6,0,0,0.671,8.237,0.647,28,75.247,1,4.5,42.4,67.265,66,0,70,44.296,1.14,42.722,40.9
5.0,9.1,1,1,0.649,6.979,0.612,32,74.806,0,0.0,48.5,65.752,66,0,69,42.841,1.133,40.406,39.4
5.0,6.9,0,0,0.682,8.286,0.657,24,65.112,1,0.0,41.4,58.956,58,0,61,39.557,1.123,38.115,41.4
5.921,8.9,0,0,0.679,7.388,0.645,20,50.524,0,0.0,44.4,44.803,45,0,48,30.569,1.123,29.015,44.4
5.0,15.4,0,0,0.691,10.113,0.701,12,44.878,1,5.1,30.8,41.229,39,0,41,26.966,1.151,27.334,38.5
6.85,8.0,0,0,0.921,21.514,0.835,6,27.363,5,16.0,24.0,26.385,25,4,26,23.023,1.095,20.868,40.0
6.678,7.1,0,0,0.885,19.71,0.8,8,30.778,5,14.3,28.6,29.269,28,4,29,24.784,1.099,22.394,39.3
6.845,8.0,0,0,0.921,21.514,0.835,6,27.363,5,16.0,24.0,26.385,25,4,26,23.023,1.095,20.868,40.0
6.907,7.1,0,0,0.885,19.71,0.8,8,30.778,5,14.3,28.6,29.269,28,4,29,24.784,1.099,22.394,39.3
6.3,6.5,0,0,0.856,18.255,0.772,10,34.193,5,12.9,32.3,32.153,31,4,32,26.546,1.103,23.921,38.7
6.38,7.4,0,0,0.857,19.252,0.785,8,29.858,4,14.8,29.6,28.193,27,4,28,23.137,1.106,21.207,40.7
6.204,8.6,0,0,0.79,16.083,0.722,13,39.187,4,11.4,37.1,36.062,35,4,36,27.665,1.12,25.282,37.1
4.523,7.2,0,0,0.669,8.038,0.623,33,78.156,3,2.9,47.8,69.469,69,0,71,46.176,1.133,42.995,36.2
5.4,10.5,0,0,0.653,7.115,0.618,18,43.109,0,0.0,47.4,37.92,38,0,40,24.807,1.134,23.488,39.5
5.2,11.4,0,0,0.72,8.534,0.686,17,49.112,1,0.0,38.6,44.214,44,0,47,31.699,1.116,30.17,45.5
6.1,12.5,0,0,0.676,7.685,0.65,17,45.192,0,0.0,42.5,40.138,40,0,42,27.051,1.13,25.983,42.5
5.9,8.5,0,0,0.693,7.584,0.66,20,52.524,0,0.0,42.6,46.803,47,0,50,32.569,1.118,31.015,46.8
6.5,8.6,0,0,0.642,7.337,0.617,27,65.896,0,0.0,46.6,58.538,58,0,60,37.222,1.136,35.761,37.9
5.2,12.5,0,0,0.681,10.283,0.714,11,47.021,0,15.0,27.5,42.887,40,0,43,27.222,1.176,28.568,45.0
6.6,10.5,0,0,0.68,9.114,0.687,13,43.713,0,7.9,34.2,39.574,38,0,40,25.858,1.15,26.111,44.7
5.2,13.8,0,0,0.701,9.597,0.69,10,32.787,1,0.0,34.5,30.116,29,0,30,20.318,1.131,19.998,37.9
5.2,9.8,0,0,0.71,8.148,0.671,21,56.943,1,0.0,41.2,50.982,51,0,55,36.222,1.117,34.223,45.1
5.2,12.5,0,0,0.68,8.884,0.681,17,55.125,0,6.3,35.4,49.661,48,0,51,32.631,1.148,32.681,43.8
5.4,6.9,0,0,0.743,9.942,0.729,9,32.336,1,3.4,31.0,29.982,29,0,31,21.551,1.115,21.15,48.3
5.2,7.3,0,0,0.692,8.377,0.661,17,45.95,1,0.0,41.5,41.549,41,0,43,28.358,1.121,27.083,41.5
5.2,8.2,0,0,0.669,7.397,0.638,22,55.149,0,0.0,44.9,49.014,49,0,52,32.784,1.125,31.256,42.9
5.6,5.6,0,0,0.774,10.536,0.735,12,39.715,3,5.6,33.3,36.884,36,0,38,27.852,1.103,26.475,47.2
5.2,10.2,0,0,0.708,8.276,0.671,20,55.073,1,2.0,40.8,49.167,49,0,53,34.705,1.124,32.892,44.9
5.2,14.3,1,1,0.725,8.367,0.702,10,31.239,0,0.0,35.7,28.058,28,0,30,20.307,1.116,19.666,50.0
5.2,12.5,0,0,0.712,8.719,0.686,18,53.82,1,0.0,37.5,48.643,48,0,51,34.159,1.121,32.906,43.8
5.2,8.2,0,0,0.732,9.072,0.71,17,54.578,1,2.0,34.7,49.836,49,0,53,35.847,1.114,34.773,49.0
5.2,12.5,0,0,0.681,8.509,0.673,18,54.785,0,4.2,37.5,49.149,48,0,52,32.694,1.141,32.297,43.8
5.5,14.3,0,0,0.67,7.663,0.644,21,55.604,0,0.0,42.9,49.225,49,0,52,32.824,1.135,31.552,40.8
6.7,14.7,0,0,0.742,10.241,0.723,11,38.25,2,5.9,32.4,35.018,34,0,36,25.244,1.125,24.584,44.1
5.3,7.5,0,0,0.667,8.349,0.659,21,60.583,0,5.7,39.6,54.436,53,0,56,35.358,1.143,34.933,43.4
5.2,7.7,0,0,0.664,7.24,0.63,24,58.564,0,0.0,46.2,51.898,52,0,55,34.546,1.126,32.783,42.3
5.2,7.4,0,0,0.664,6.877,0.621,33,76.514,0,0.0,48.5,67.207,68,0,73,45.143,1.125,42.197,42.6
5.2,9.6,2,1,0.716,8.222,0.677,21,57.943,1,0.0,40.4,51.982,52,0,55,37.222,1.114,35.223,46.2
5.2,8.1,0,0,0.689,7.928,0.666,15,41.405,0,0.0,40.5,37.262,37,0,39,25.495,1.119,24.655,45.9
5.8,3.0,0,0,0.757,11.278,0.744,10,36.254,1,3.0,30.3,34.058,33,1,36,24.983,1.099,24.54,51.5
5.2,22.2,0,0,0.71,8.788,0.701,12,40.817,0,0.0,33.3,36.582,36,0,40,25.568,1.134,25.225,44.4
5.2,8.1,0,0,0.67,7.226,0.634,17,41.611,0,0.0,45.9,36.818,37,0,39,24.801,1.125,23.467,43.2
5.2,8.8,0,0,0.69,8.379,0.665,23,63.986,1,0.0,40.4,57.847,57,0,60,39.347,1.123,37.894,42.1
5.8,11.4,0,0,0.658,7.324,0.627,16,39.694,0,0.0,45.7,35.036,35,0,37,23.046,1.134,21.961,40.0
5.2,6.8,0,0,0.674,7.501,0.644,26,66.189,0,0.0,44.1,59.109,59,0,63,39.762,1.122,38.025,44.1
5.2,8.2,0,0,0.732,9.072,0.71,17,54.578,1,2.0,34.7,49.836,49,0,53,35.847,1.114,34.773,49.0
6.4,8.2,0,0,0.719,8.174,0.678,20,54.444,1,0.0,40.8,48.88,49,0,53,35.216,1.111,33.202,46.9
5.6,14.0,0,0,0.66,7.173,0.624,20,48.896,0,0.0,46.5,42.796,43,0,46,28.364,1.137,26.816,39.5
5.2,6.8,0,0,0.665,7.396,0.634,20,49.781,0,2.3,45.5,44.098,44,0,47,29.262,1.131,27.904,43.2
5.8,6.5,0,0,0.729,8.955,0.69,18,51.099,2,2.2,39.1,46.429,46,0,48,33.523,1.111,31.723,45.7
7.0,13.9,0,0,0.727,8.984,0.698,13,40.282,1,0.0,36.1,36.447,36,0,40,26.176,1.119,25.116,44.4
7.1,11.4,0,0,0.687,10.009,0.713,10,40.637,0,11.4,28.6,37.203,35,0,37,24.034,1.161,24.968,45.7
5.2,7.7,0,0,0.758,9.433,0.717,14,43.06,2,2.6,35.9,39.334,39,0,42,29.546,1.104,27.954,48.7
5.2,10.9,0,0,0.713,8.265,0.677,22,61.441,1,0.0,40.0,55.083,55,0,59,39.228,1.117,37.245,45.5
