pXC50,nCIR,LLS_02,TRS,nCIC,SssNH,ATSC5e,nR.Cs,Eig04_AEA.dm.,DELS,SpMax3_Bh.i.,X1A,CATS2D_04_DL,Eig02_AEA.bo.,C.003,nCrt,ATSC5s,Eig09_EA.bo.,Eig09_AEA.bo.,nHDon,MATS4e,N.067,nRNHR,Hy,MATS4s,ATS8e,CATS2D_03_DL,MATS1v,Eig09_EA.ed.,SM04_AEA.ri.,ATSC8v,H.050,SpMax3_Bh.m.,Eig08_AEA.bo.,Eig11_AEA.ri.,DLS_02,Eig10_EA,SM04_AEA.dm.,ATSC7p,Eig10_AEA.ri.,ATS7s,Eig10_EA.ri.,Eig10_EA.ed.,SM05_AEA.ri.,nCt,ATSC8p,CATS2D_05_DL,ATS4s,NssNH,ATSC7i,ATSC7e,Xindex,MPC10,Eig14_AEA.ed.,Eig11_EA.bo.,Eig01_EA.ri.,SpDiam_EA.ri.,SpMax_EA.ri.,CATS2D_04_DA,CATS2D_07_DD,Vindex,ATS5s,CATS2D_02_DL,Eig12_AEA.ed.,SM02_AEA.bo.,ATS6v
10.0,11,0.75,29,5,6.473,0.568,2,3.315,27.557,3.899,0.421,7,4.559,4,4,85.469,1.933,2.82,2,-0.051,0,0,0.111,-0.019,5.149,9,0.073,3.961,3.961,21.265,2,3.776,2.88,2.139,1.0,1.414,1.414,15.4,2.414,5.973,1.414,3.038,3.038,4,14.518,4,6.311,2,1.893,0.319,0.281,5.805,3.175,1.257,3.716,5.716,3.716,0,0,0.182,6.354,6,3.592,5.059,4.248
9.699,13,0.75,35,6,6.557,0.585,2,3.317,29.009,3.913,0.418,9,4.563,4,4,89.57,1.973,2.974,2,-0.035,0,0,0.072,-0.007,5.182,9,0.08,4.515,4.515,22.421,2,3.792,3.118,2.274,0.67,1.594,1.594,16.361,2.592,6.068,1.589,3.818,3.818,4,15.715,5,6.361,2,2.017,0.355,0.243,5.945,3.531,1.66,3.716,5.716,3.716,0,0,0.156,6.404,6,3.974,5.192,4.322
9.699,13,0.75,35,6,6.504,0.582,2,3.311,28.817,3.915,0.418,8,4.559,4,4,88.525,2.071,2.975,2,-0.03,0,0,0.072,-0.003,5.135,8,0.08,4.515,4.515,20.887,2,3.794,3.118,2.404,0.67,1.594,1.594,15.842,2.592,6.05,1.589,4.367,4.367,4,14.643,6,6.352,2,1.966,0.338,0.236,5.93,3.531,1.659,3.715,5.715,3.715,0,0,0.151,6.376,6,3.978,5.192,4.287
10.0,11,0.75,29,5,6.329,0.687,2,3.323,31.102,3.89,0.421,7,4.559,4,4,106.918,1.933,2.82,2,-0.044,0,0,0.144,-0.011,5.064,9,0.07,3.961,3.961,19.589,2,3.789,2.88,2.138,0.83,1.414,1.414,15.359,2.34,5.99,1.234,3.038,3.038,4,14.101,4,6.295,2,1.755,0.35,0.281,5.805,3.175,1.257,3.716,5.716,3.716,0,0,0.182,6.354,5,3.592,5.059,4.228
9.523,11,0.75,29,5,6.445,0.585,2,3.31,27.515,3.9,0.421,8,4.558,4,4,83.562,1.737,2.687,2,-0.022,0,0,0.111,0.003,5.098,8,0.073,4.514,4.514,20.045,2,3.777,2.974,2.131,1.0,1.216,1.216,14.967,2.213,5.999,1.211,3.034,3.034,4,13.669,4,6.302,2,1.848,0.357,0.279,5.802,3.175,1.256,3.715,5.715,3.715,0,0,0.181,6.336,6,3.531,5.059,4.237
9.0,11,0.75,29,5,6.547,0.565,2,3.325,28.517,3.904,0.421,7,4.56,4,4,87.097,1.972,2.87,2,-0.065,0,0,0.097,-0.028,5.244,10,0.071,4.515,4.515,23.727,2,3.781,2.975,2.154,1.0,1.452,1.452,16.314,2.44,6.013,1.433,3.733,3.733,4,16.25,4,6.355,2,2.001,0.324,0.279,5.838,3.176,1.266,3.716,5.716,3.716,0,0,0.181,6.412,6,3.863,5.091,4.301
9.0,11,0.88,29,5,6.393,0.741,2,3.319,31.075,3.893,0.425,7,4.559,4,4,102.29,1.963,2.852,2,-0.046,0,0,0.129,-0.014,5.153,8,0.059,4.269,4.269,20.11,2,3.776,2.917,2.139,1.0,1.445,1.445,15.219,2.435,6.063,1.428,3.131,3.131,4,13.889,4,6.335,2,1.887,0.416,0.277,5.829,3.175,1.257,3.716,5.716,3.716,0,0,0.179,6.405,5,3.611,5.078,4.275
10.0,11,0.63,29,5,5.328,2.22,2,3.778,88.87,3.907,0.418,7,4.601,4,4,366.987,2.005,2.975,2,0.022,0,0,0.189,0.03,5.27,8,0.068,5.325,5.325,19.733,2,3.788,3.266,2.48,0.67,1.607,1.607,16.962,2.598,7.122,1.591,4.547,4.547,4,15.806,4,6.732,2,3.712,3.06,0.265,5.951,3.954,1.682,3.716,5.716,3.716,0,0,0.17,6.712,6,4.328,5.26,4.373
9.0,11,0.88,29,5,6.336,0.643,2,3.314,30.908,3.897,0.421,8,4.559,4,4,104.629,1.933,2.82,4,-0.052,0,0,1.531,-0.017,5.126,10,0.094,3.961,3.961,19.701,4,3.775,2.88,2.139,1.0,1.414,1.414,14.439,2.402,6.006,1.395,3.038,3.038,4,12.994,5,6.321,2,1.867,0.341,0.281,5.805,3.175,1.257,3.716,5.716,3.716,0,0,0.182,6.375,6,3.592,5.059,4.232
10.0,11,0.75,29,5,6.35,0.622,2,3.311,30.747,3.89,0.421,8,4.558,4,4,95.345,1.737,2.687,2,0.003,0,0,0.144,0.013,5.056,7,0.07,4.514,4.514,19.414,2,3.792,2.974,2.128,0.83,1.216,1.216,15.07,2.197,5.955,1.171,3.034,3.034,4,13.803,4,6.292,2,1.774,0.335,0.279,5.802,3.175,1.256,3.715,5.715,3.715,0,0,0.181,6.32,6,3.531,5.059,4.221
