pXC50,S.107,C.044,NaaS,nR05,SRW05,CATS2D_04_PL,NaaN,CATS2D_05_AA,TPSA.Tot.,CATS2D_04_AP,nS,CATS2D_01_AA,P_VSA_i_1,CATS2D_02_AL,D.Dtr05,SM13_EA.bo.,MATS2m,SM12_EA.bo.,Eig01_AEA.bo.,SpMax_AEA.bo.,CATS2D_03_AP,SpMax4_Bh.m.,CATS2D_04_AA,CATS2D_03_DA,CATS2D_07_AA,SpDiam_EA.bo.,nThiazoles,SaaN,SpDiam_AEA.dm.,P_VSA_m_4,Eig02_EA.bo.,SM12_AEA.ri.,Eig01_AEA.dm.,SpMax_AEA.dm.,C.034,SaaS,Eig01_EA.bo.,SM11_AEA.ri.,SpMax_EA.bo.,NaaaC,JGI5,SpMax1_Bh.m.,Eig01_EA,SM09_AEA.bo.,SpMax_EA,nHM,SpMax2_Bh.m.,D.Dtr09,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,P_VSA_MR_8,Eig01_AEA.ed.,SpMax_AEA.ed.,CATS2D_07_DA,TRS,P_VSA_MR_7,SM15_EA.bo.,Rperim,CATS2D_04_DL,SRW09,SpDiam_EA.ed.,X2sol,SpMin1_Bh.v.,DLS_06,X5v,SRW07
7.523,1,1,1,1,2.398,1,1,2,149.08,0,2,0,37.085,4,109.052,20.634,0.186,19.137,4.837,4.837,3,3.759,0,1,2,7.748,1,4.024,6.665,37.085,4.241,4.241,4.665,4.665,1,0.978,4.748,4.748,4.748,2,0.035,4.784,3.355,3.355,3.355,2,4.155,191.537,11.786,11.786,11.786,31.278,7.132,7.132,1,23,24.492,23.678,21,0,6.862,19.006,19.533,2.135,0.5,4.483,4.727
8.155,1,2,1,1,2.398,0,2,3,206.65,1,3,1,42.893,4,86.341,20.818,0.162,19.286,4.868,4.868,1,3.773,4,2,4,7.722,0,6.74,6.688,42.893,4.663,4.663,4.688,4.688,0,0.464,4.722,4.722,4.722,0,0.032,4.796,3.408,3.408,3.408,3,4.717,0.0,12.536,12.536,12.536,31.278,7.313,7.313,2,11,61.346,23.901,11,2,6.605,19.972,16.252,2.063,0.67,3.005,4.595
8.155,1,2,1,1,2.398,0,2,3,209.45,1,3,1,42.893,5,94.239,20.818,0.172,19.286,4.868,4.868,1,3.784,4,3,4,7.722,0,6.793,6.688,42.893,4.663,4.663,4.688,4.688,0,0.48,4.722,4.722,4.722,0,0.03,4.796,3.408,3.408,3.408,3,4.717,0.0,12.536,12.536,12.536,31.278,7.313,7.313,2,11,61.346,23.901,11,3,6.605,19.972,16.541,2.069,0.67,3.2,4.595
7.569,1,1,1,1,2.398,1,1,1,139.85,0,2,0,37.085,4,86.938,20.616,0.188,19.119,4.837,4.837,3,3.75,0,1,3,7.748,1,4.012,6.665,37.085,4.242,4.242,4.665,4.665,1,0.941,4.748,4.748,4.748,2,0.028,4.784,3.355,3.355,3.355,2,4.156,152.44,11.786,11.786,11.786,31.278,7.132,7.132,1,23,24.492,23.661,21,0,6.862,19.001,17.005,2.126,1.0,4.073,4.727
6.347,0,0,0,0,0.0,3,0,0,113.55,0,1,0,5.807,0,0.0,20.182,0.105,18.686,4.801,4.801,1,3.443,0,1,0,7.66,0,0.0,6.661,5.807,4.076,4.076,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.03,4.728,3.313,3.313,3.313,1,3.959,0.0,11.657,11.657,11.657,0.0,7.111,7.111,2,12,25.595,23.22,12,4,0.0,18.533,12.584,2.101,1.0,1.767,0.0
7.796,1,2,1,1,2.398,1,2,1,184.64,1,2,1,37.085,3,126.239,20.316,0.215,18.825,4.81,4.81,2,3.76,3,2,2,7.673,0,7.024,6.663,37.085,4.214,4.214,4.663,4.663,0,0.66,4.673,4.673,4.673,0,0.039,4.776,3.327,3.327,3.327,2,4.036,0.0,11.699,11.699,11.699,31.278,7.118,7.118,2,17,41.033,23.345,17,0,6.605,18.919,18.555,2.137,0.67,3.574,4.595
7.237,0,0,0,0,0.0,3,2,0,139.33,0,1,0,5.807,2,0.0,20.293,0.05,18.822,4.801,4.801,1,3.749,2,0,0,7.66,0,8.513,6.661,5.807,4.173,4.173,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.028,4.728,3.314,3.314,3.314,1,4.019,0.0,11.657,11.657,11.657,0.0,7.111,7.111,0,24,41.278,23.308,24,3,0.0,18.578,17.812,2.127,0.83,3.208,0.0
7.161,0,0,0,0,0.0,3,0,0,98.72,0,1,0,5.807,1,0.0,20.243,0.043,18.758,4.801,4.801,2,3.736,0,0,0,7.66,0,0.0,6.661,5.807,4.152,4.152,4.661,4.661,0,0.0,4.66,4.66,4.66,0,0.033,4.728,3.313,3.313,3.313,1,4.003,0.0,11.657,11.657,11.657,0.0,7.111,7.111,0,18,7.707,23.27,18,2,0.0,18.533,14.991,2.117,1.0,2.546,0.0
7.409,0,0,0,0,0.0,2,0,0,101.52,0,1,0,5.807,0,0.0,20.309,0.058,18.826,4.809,4.809,1,3.733,0,0,0,7.671,0,0.0,6.663,5.807,4.174,4.174,4.663,4.663,0,0.0,4.671,4.671,4.671,0,0.028,4.729,3.327,3.327,3.327,1,4.016,0.0,11.698,11.698,11.698,0.0,7.118,7.118,0,18,7.707,23.333,18,1,0.0,18.713,14.677,2.128,1.0,2.89,0.0
8.0,1,2,1,1,2.398,1,2,2,210.09,1,3,1,42.893,2,144.42,20.928,0.186,19.417,4.864,4.864,2,3.98,4,2,4,7.717,0,6.891,6.687,42.893,4.661,4.661,4.687,4.687,0,0.495,4.717,4.717,4.717,0,0.036,4.796,3.402,3.402,3.402,3,4.717,0.0,12.511,12.511,12.511,31.278,7.309,7.309,2,23,63.245,23.988,23,2,6.605,19.873,22.73,2.138,0.5,4.953,4.595
