pXC50,SsssCH,CATS2D_09_AA,CATS2D_07_AA,CATS2D_04_DL,MATS7e,MATS5e,GATS8s,Eig02_AEA.dm.,SpAD_EA.dm.,ATSC8s,MATS7s,SpMAD_EA.dm.,ATSC6e,GATS8e,SpMax4_Bh.e.,MATS3i,ATSC6s,CATS2D_06_AL,ATSC5s,SpMin2_Bh.e.,SsssN,CATS2D_06_AA,SpMin5_Bh.s.,SpMax4_Bh.v.,SaaS,SpMaxA_EA,SpMax4_Bh.m.,SssssC,SM08_EA.dm.,SM10_EA.dm.,GATS7e,ATSC7s,SpMaxA_EA.ed.,SaaaC,SM06_EA.dm.,Eig01_AEA.dm.,SpDiam_AEA.dm.,SpMax_AEA.dm.,Eig05_EA.ri.,MATS8p,MATS5s,ATS7m,Eig10_EA.ri.,HDcpx,IDM,Psi_e_0,Psi_e_1,Eig09_EA.bo.,GATS7s,C.008,MATS8i,Eig11_EA.ri.,MAXDP,SM02_EA.dm.,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,ON1,SpMax4_Bh.p.,GATS4v,Eig09_AEA.bo.,IDE
7.35,-1.814,0,1,1,0.0,-0.026,1.219,4.439,25.329,408.07,-0.003,0.589,3.89,1.248,3.709,-0.115,682.249,6,307.986,1.91,0.917,0,0.955,3.581,0.0,0.079,3.671,-10.285,11.43,14.11,0.668,265.873,0.279,0.0,8.762,4.483,6.483,4.483,2.601,0.054,-0.049,4.522,1.596,1.814,9.464,17.753,9.904,2.181,0.691,2,0.001,1.468,6.255,3.969,21.146,21.146,21.146,21.146,21.146,8.722,3.579,1.008,3.088,3.821
7.8,0.795,0,1,6,-0.015,0.028,1.339,3.525,11.445,89.902,0.027,0.216,0.506,1.221,3.89,-0.036,67.448,9,122.561,1.933,5.226,0,1.211,3.742,0.0,0.066,3.784,-0.873,5.488,6.773,1.124,88.514,0.262,0.0,4.271,4.082,6.082,4.082,2.582,0.065,0.048,4.537,1.692,1.844,9.87,18.007,7.709,2.292,1.13,1,0.085,1.644,7.116,2.583,26.18,26.18,26.18,26.18,26.18,10.597,3.741,0.975,3.105,4.375
8.7,0.796,0,1,6,-0.011,0.021,1.344,3.525,11.445,87.479,0.031,0.22,0.504,1.233,3.889,-0.023,67.868,9,121.834,1.933,5.224,0,1.211,3.741,0.0,0.067,3.784,-0.87,5.488,6.773,1.113,87.455,0.267,0.0,4.271,4.082,6.082,4.082,2.582,0.078,0.043,4.51,1.689,1.839,9.812,17.63,7.559,2.089,1.114,1,0.097,1.454,7.089,2.583,25.714,25.714,25.714,25.714,25.714,10.431,3.74,0.965,3.084,4.336
8.2,0.804,0,1,6,-0.041,0.038,1.132,3.529,11.445,76.838,-0.011,0.229,0.517,1.069,3.889,-0.025,72.389,10,118.523,1.933,5.225,0,1.211,3.74,0.0,0.07,3.784,-0.863,5.488,6.773,1.167,85.581,0.278,2.127,4.271,4.082,6.082,4.082,2.561,0.071,0.072,4.491,1.618,1.83,9.691,16.899,7.291,2.219,1.2,1,0.093,1.532,7.062,2.583,24.731,24.731,24.731,24.731,24.731,9.931,3.739,0.965,3.085,4.239
7.6,0.76,0,1,5,0.009,0.066,0.947,3.538,11.445,76.469,0.038,0.229,0.756,0.855,3.888,-0.011,88.402,10,125.952,1.909,5.196,1,1.198,3.74,0.0,0.07,3.784,-0.941,5.488,6.773,0.956,97.717,0.278,1.361,4.271,4.082,6.082,4.082,2.481,0.038,0.096,4.54,1.688,1.83,9.691,16.894,7.345,2.289,0.989,1,0.056,1.53,7.018,2.583,24.731,24.731,24.731,24.731,24.731,9.847,3.739,0.935,3.083,4.239
7.4,0.76,0,2,5,0.003,0.076,1.026,3.538,13.165,76.914,0.017,0.258,0.77,0.873,3.888,-0.01,88.974,10,124.862,1.909,5.2,1,1.198,3.74,0.0,0.069,3.784,-0.941,5.49,6.774,1.0,95.062,0.272,1.401,4.282,4.082,6.082,4.082,2.519,0.022,0.097,4.513,1.689,1.835,9.754,17.266,7.451,2.289,1.057,1,0.035,1.53,7.058,2.689,25.158,25.158,25.158,25.158,25.158,10.181,3.739,0.977,3.083,4.274
8.7,0.779,0,1,5,-0.051,0.042,1.204,3.538,11.445,80.739,-0.01,0.229,0.817,1.045,3.889,-0.025,88.502,11,117.996,1.933,5.21,1,1.198,3.74,0.0,0.07,3.784,-0.915,5.488,6.773,1.101,79.893,0.278,1.577,4.271,4.082,6.082,4.082,2.532,0.043,0.092,4.489,1.689,1.83,9.691,16.909,7.319,2.289,1.107,1,0.074,1.53,7.036,2.583,24.731,24.731,24.731,24.731,24.731,9.847,3.739,0.949,3.083,4.239
8.2,0.814,0,1,5,-0.044,0.043,1.007,3.537,11.445,70.248,-0.018,0.234,0.581,0.982,3.888,-0.028,72.454,10,114.631,1.919,5.227,0,1.198,3.74,1.492,0.071,3.784,-0.844,5.488,6.773,1.102,74.956,0.284,2.155,4.271,4.082,6.082,4.082,2.406,0.052,0.095,4.482,1.51,1.825,9.627,16.534,7.156,2.207,1.105,1,0.069,1.433,7.025,2.583,24.247,24.247,24.247,24.247,24.247,9.681,3.739,0.949,3.032,4.209
8.6,0.811,0,1,5,-0.026,0.041,1.236,3.538,11.445,79.265,0.008,0.229,0.584,1.146,3.888,-0.041,71.209,10,115.518,1.933,5.229,0,1.198,3.74,1.506,0.07,3.784,-0.848,5.488,6.773,1.094,75.737,0.278,2.179,4.271,4.082,6.082,4.082,2.475,0.058,0.099,4.51,1.689,1.83,9.691,16.911,7.307,2.289,1.09,1,0.088,1.433,7.07,2.583,24.731,24.731,24.731,24.731,24.731,9.847,3.739,0.943,3.083,4.239
7.7,0.811,0,1,5,-0.026,0.041,1.236,3.538,11.445,79.265,0.008,0.229,0.584,1.146,3.888,-0.041,71.209,10,115.518,1.933,5.229,0,1.198,3.74,1.506,0.07,3.784,-0.848,5.488,6.773,1.094,75.737,0.278,2.179,4.271,4.082,6.082,4.082,2.475,0.058,0.099,4.51,1.689,1.83,9.691,16.911,7.307,2.289,1.09,1,0.088,1.433,7.07,2.583,24.731,24.731,24.731,24.731,24.731,9.847,3.739,0.943,3.083,4.239
7.8,0.819,0,1,5,-0.024,0.032,1.239,3.538,11.445,79.088,0.01,0.229,0.582,1.165,3.889,-0.049,71.99,9,114.551,1.934,5.186,0,1.196,3.756,1.506,0.07,3.789,-0.847,5.488,6.773,1.087,76.133,0.278,2.18,4.271,4.082,6.082,4.082,2.475,0.061,0.097,4.51,1.69,1.83,9.691,16.911,7.306,2.289,1.082,1,0.081,1.434,7.071,2.583,24.731,24.731,24.731,24.731,24.731,9.847,3.758,0.943,3.083,4.239
7.8,0.671,1,1,5,-0.018,0.037,1.523,3.538,11.445,79.444,0.01,0.238,0.732,1.183,3.888,-0.008,81.284,9,111.369,1.934,5.172,1,1.188,3.744,1.504,0.073,3.791,-0.853,5.488,6.773,1.073,66.073,0.289,2.176,4.271,4.082,6.082,4.082,2.475,0.016,0.101,4.478,1.641,1.821,9.571,16.157,7.023,2.289,1.067,2,0.019,1.411,7.069,2.583,23.719,23.719,23.719,23.719,23.719,9.375,3.741,0.985,3.03,4.101
7.8,0.715,0,2,5,-0.02,0.051,1.228,3.538,11.445,70.958,-0.003,0.234,0.69,1.011,3.889,-0.007,79.082,8,112.04,1.934,5.217,0,1.188,3.748,1.505,0.071,3.797,-0.848,5.488,6.773,1.111,72.717,0.284,2.178,4.271,4.082,6.082,4.082,2.475,0.004,0.101,4.47,1.662,1.825,9.631,16.534,7.164,2.289,1.164,2,0.012,1.431,7.056,2.583,24.219,24.219,24.219,24.219,24.219,9.625,3.746,0.98,3.03,4.175
7.8,1.288,1,0,5,-0.027,0.054,1.517,3.538,11.445,88.889,0.018,0.229,0.773,1.327,3.889,-0.043,84.452,13,116.485,1.934,5.197,1,1.197,3.759,1.505,0.07,3.801,-0.856,5.488,6.773,1.077,69.38,0.278,2.176,4.271,4.082,6.082,4.082,2.475,0.075,0.109,4.532,1.676,1.831,9.698,16.91,7.326,2.289,1.018,3,0.088,1.417,7.12,2.583,24.676,24.676,24.676,24.676,24.676,9.819,3.758,0.984,3.104,4.175
7.8,1.35,0,1,5,-0.029,0.067,1.235,3.538,11.445,80.404,0.006,0.224,0.728,1.162,3.889,-0.041,82.119,12,117.092,1.934,5.242,0,1.2,3.763,1.506,0.069,3.804,-0.851,5.488,6.773,1.113,75.728,0.272,2.178,4.271,4.082,6.082,4.082,2.475,0.061,0.108,4.525,1.691,1.835,9.756,17.287,7.466,2.289,1.108,3,0.079,1.439,7.101,2.583,25.176,25.176,25.176,25.176,25.176,10.069,3.761,0.98,3.115,4.248
8.1,0.661,0,1,7,-0.004,0.01,1.104,3.538,8.125,77.724,0.005,0.181,0.653,1.089,3.883,-0.063,83.2,7,121.169,1.934,2.528,0,1.188,3.747,1.496,0.078,3.764,-0.854,5.485,6.772,0.956,66.866,0.309,2.164,4.255,4.082,6.082,4.082,2.475,0.023,0.045,4.419,1.435,1.81,9.434,15.402,6.652,2.213,0.967,1,0.027,1.405,6.961,2.379,22.196,22.196,22.196,22.196,22.196,9.097,3.754,0.937,3.03,4.066
8.2,0.667,2,1,5,0.002,0.033,1.523,3.538,11.445,79.368,0.014,0.238,0.728,1.209,3.887,0.0,80.859,8,110.98,1.933,5.197,1,1.19,3.734,1.503,0.073,3.789,-0.854,5.488,6.773,1.053,66.14,0.289,2.175,4.271,4.082,6.082,4.082,2.475,0.021,0.102,4.48,1.622,1.821,9.571,16.157,7.024,2.289,1.063,2,0.005,1.411,7.068,2.583,23.719,23.719,23.719,23.719,23.719,9.375,3.728,0.985,3.03,4.101
7.6,0.721,0,0,5,-0.076,0.04,1.481,3.538,11.445,91.418,-0.022,0.238,0.608,1.305,3.881,-0.037,66.403,13,117.249,1.932,5.114,0,1.191,3.733,1.503,0.073,3.772,-0.861,5.488,6.773,1.234,77.674,0.289,2.173,4.271,4.083,6.083,4.083,2.475,0.012,0.097,4.537,1.631,1.821,9.571,16.158,7.025,2.288,1.26,1,0.052,1.405,7.107,2.583,23.747,23.747,23.747,23.747,23.747,9.347,3.733,0.926,3.045,4.094
7.8,0.089,0,1,5,-0.036,0.046,1.055,3.82,14.836,91.111,-0.008,0.291,0.577,1.072,3.889,-0.039,77.993,9,151.66,1.934,4.444,0,1.188,3.76,1.488,0.069,3.804,-0.882,6.127,7.415,1.001,88.223,0.272,2.146,4.887,4.082,6.082,4.082,2.475,0.06,0.031,4.525,1.692,1.835,9.756,17.317,7.556,2.289,0.932,1,0.081,1.443,7.07,2.942,25.176,25.176,25.176,25.176,25.176,10.069,3.756,0.957,3.132,4.248
8.2,0.617,0,1,5,-0.032,0.045,1.229,3.539,12.919,78.764,0.002,0.258,0.524,1.171,3.888,-0.056,69.37,10,118.484,1.932,5.118,0,1.193,3.74,1.495,0.07,3.783,-0.882,5.496,6.781,1.134,78.404,0.278,2.161,4.283,4.084,6.084,4.084,2.475,0.048,0.115,4.499,1.689,1.83,9.691,16.888,7.294,2.29,1.152,1,0.086,1.433,7.036,2.662,24.731,24.731,24.731,24.731,24.731,9.847,3.739,0.94,3.108,4.239
7.9,1.629,0,0,6,-0.044,0.043,1.279,3.538,9.845,79.885,-0.001,0.197,0.564,1.15,3.889,-0.089,71.223,8,114.358,1.938,2.681,0,1.199,3.771,1.51,0.07,3.795,-0.838,5.487,6.773,1.075,72.734,0.278,2.187,4.267,4.082,6.082,4.082,2.475,0.046,0.104,4.502,1.691,1.83,9.691,16.926,7.335,2.289,1.083,1,0.063,1.435,7.08,2.507,24.731,24.731,24.731,24.731,24.731,9.847,3.774,0.925,3.083,4.239
7.6,1.154,0,0,5,-0.087,0.079,1.369,3.538,11.565,93.843,-0.023,0.231,0.594,1.296,3.889,-0.1,69.044,10,130.837,1.928,2.625,0,1.195,3.764,1.49,0.07,3.792,-0.893,5.49,6.773,1.32,81.878,0.278,2.154,4.278,4.083,6.083,4.083,2.475,0.053,0.13,4.511,1.68,1.83,9.691,16.925,7.343,2.289,1.18,1,0.076,1.418,7.025,2.621,24.731,24.731,24.731,24.731,24.731,9.847,3.767,0.895,3.083,4.239
6.9,1.322,0,0,5,-0.055,0.064,1.395,3.538,11.565,98.443,-0.004,0.227,0.74,1.344,3.889,-0.082,75.358,10,131.738,1.928,2.651,1,1.195,3.771,1.491,0.069,3.797,-0.892,5.49,6.773,1.228,76.714,0.272,2.155,4.278,4.083,6.083,4.083,2.475,0.061,0.135,4.511,1.684,1.834,9.748,17.301,7.481,2.289,1.167,1,0.068,1.429,7.016,2.621,25.231,25.231,25.231,25.231,25.231,10.097,3.775,0.924,3.089,4.309
8.1,0.706,0,2,5,-0.02,0.048,1.224,3.538,11.445,71.061,-0.003,0.234,0.685,0.991,3.889,0.001,78.627,8,111.675,1.933,5.245,0,1.195,3.738,1.505,0.071,3.794,-0.849,5.488,6.773,1.111,72.763,0.284,2.177,4.271,4.082,6.082,4.082,2.475,0.0,0.102,4.47,1.643,1.825,9.631,16.534,7.165,2.289,1.165,2,0.019,1.43,7.055,2.583,24.219,24.219,24.219,24.219,24.219,9.625,3.732,0.98,3.03,4.175
7.8,0.001,0,1,5,-0.027,0.02,1.248,3.538,9.725,76.972,-0.008,0.198,0.55,1.173,3.889,-0.03,75.897,9,116.749,1.933,4.871,0,1.188,3.777,1.498,0.071,3.804,-0.861,5.486,6.773,1.116,72.402,0.284,2.165,4.259,4.082,6.082,4.082,2.475,0.021,0.057,4.462,1.682,1.825,9.631,16.47,7.119,2.289,1.144,1,0.045,1.435,7.043,2.464,24.219,24.219,24.219,24.219,24.219,9.625,3.771,0.956,3.113,4.175
