pXC50,nHet,Me,nS,nN,O.,nDB,nH,nC,nBT,N.,nO,nAB,H.,nCsp3,nHM
5.481,5,0.984,0,1,4.5,4,49,35,93,1.1,4,6,55.1,22,0
4.886,7,0.985,0,4,3.5,2,50,29,87,4.7,3,6,58.1,21,0
4.553,5,0.979,0,4,1.4,1,42,24,72,5.6,1,6,59.2,17,0
4.523,6,0.983,0,4,2.6,2,44,26,77,5.3,2,6,57.9,18,0
4.669,4,0.98,0,3,1.6,2,35,22,62,4.9,1,6,57.4,13,0
4.523,4,0.979,0,3,1.6,1,37,22,64,4.8,1,6,58.7,15,0
4.523,6,0.983,0,5,1.5,2,39,23,69,7.4,1,6,57.4,15,0
6.606,5,0.987,0,1,5.6,3,41,25,73,1.4,4,0,57.7,20,0
7.444,5,0.983,1,1,4.1,3,43,26,76,1.4,3,0,58.1,21,1
6.672,6,0.988,1,1,5.6,4,41,24,73,1.4,4,0,57.7,20,1
6.493,6,0.987,1,1,5.4,4,43,25,76,1.4,4,0,58.1,21,1
7.854,9,1.008,1,1,5.4,4,40,25,76,1.4,4,0,54.1,21,1
6.553,7,0.99,1,2,5.5,4,42,24,75,2.7,4,0,57.5,20,1
6.708,7,0.989,1,2,5.3,4,44,25,78,2.6,4,0,57.9,21,1
4.699,6,1.017,0,0,12.8,4,20,21,48,0.0,6,12,42.6,2,0
7.06,5,0.989,0,1,5.7,5,39,26,72,1.4,4,0,55.7,17,0
7.538,6,0.984,1,1,4.8,4,49,28,85,1.2,4,0,59.0,24,1
7.824,6,0.987,1,1,4.9,4,45,30,84,1.2,4,6,55.6,20,1
6.281,5,0.984,0,2,3.8,3,44,30,82,2.5,3,6,55.7,19,0
6.67,5,0.983,0,2,3.7,3,46,31,85,2.4,3,6,56.1,20,0
9.509,3,0.981,0,0,4.3,4,40,27,73,0.0,3,0,57.1,19,0
5.0,12,1.036,0,3,6.3,1,24,28,67,4.7,4,23,37.5,7,2
5.0,12,1.039,0,3,6.5,1,22,28,66,4.8,4,23,35.5,7,2
5.0,12,1.039,0,3,6.5,1,22,28,66,4.8,4,23,35.5,7,2
4.523,5,0.986,0,0,5.4,1,50,37,94,0.0,5,18,54.3,18,0
4.523,5,0.988,0,0,5.6,1,46,38,92,0.0,5,23,51.7,15,0
4.523,5,0.985,0,0,5.3,0,52,37,96,0.0,5,18,55.3,19,0
4.523,5,0.987,0,0,5.5,0,48,38,94,0.0,5,23,52.7,16,0
4.523,8,0.999,0,1,8.2,1,43,34,88,1.2,7,18,50.6,15,0
7.046,5,0.991,0,0,6.8,1,40,28,74,0.0,5,12,54.8,15,0
4.678,5,0.989,0,0,6.0,1,44,34,85,0.0,5,18,53.0,15,0
4.638,5,0.988,0,0,5.8,1,46,35,88,0.0,5,18,53.5,16,0
4.523,5,0.987,0,0,5.6,1,48,36,91,0.0,5,18,53.9,17,0
4.523,5,0.988,0,0,5.9,1,46,34,89,0.0,5,12,54.1,21,0
4.959,5,0.988,0,0,5.9,0,46,34,87,0.0,5,18,54.1,16,0
6.971,5,0.984,0,2,3.7,5,44,32,84,2.5,3,6,54.3,17,0
5.149,5,0.987,0,0,5.7,0,48,35,90,0.0,5,18,54.5,17,0
5.444,5,0.986,0,0,5.5,0,50,36,93,0.0,5,18,54.9,18,0
4.658,5,0.987,0,0,5.7,0,48,34,91,0.0,5,12,55.2,22,0
4.523,6,0.991,0,1,6.1,0,43,33,85,1.2,5,18,52.4,15,0
4.425,9,1.047,1,1,18.4,4,13,16,40,2.6,7,12,34.2,2,1
4.666,7,1.037,1,1,15.2,4,11,15,35,3.0,5,12,33.3,1,1
5.699,7,1.012,2,3,5.9,2,15,12,36,8.8,2,10,44.1,5,2
4.977,7,1.031,1,1,13.9,4,13,16,38,2.8,5,12,36.1,2,1
4.86,4,0.997,0,1,6.4,3,22,21,49,2.1,3,12,46.8,5,0
7.712,5,0.987,0,0,6.2,0,46,30,82,0.0,5,12,56.8,18,0
8.955,5,0.988,0,0,6.4,0,44,29,79,0.0,5,12,56.4,17,0
9.036,6,0.992,0,0,7.6,0,44,29,80,0.0,6,12,55.7,17,0
8.903,6,0.992,0,0,7.6,0,44,29,80,0.0,6,12,55.7,17,0
10.222,5,0.988,0,0,6.4,0,44,29,79,0.0,5,12,56.4,17,0
8.889,5,0.988,0,0,6.4,0,44,29,79,0.0,5,12,56.4,17,0
7.398,5,0.989,0,0,6.7,0,42,28,76,0.0,5,12,56.0,16,0
7.398,4,0.984,0,0,5.1,2,44,31,80,0.0,4,12,55.7,17,0
6.398,3,0.977,0,0,3.4,3,52,34,94,0.0,3,0,58.4,28,0
6.18,6,0.988,0,1,5.6,4,49,35,94,1.1,5,6,54.4,22,0
5.699,5,0.984,0,1,4.5,4,49,35,93,1.1,4,6,55.1,22,0
6.684,5,0.984,0,1,4.5,4,49,35,93,1.1,4,6,55.1,22,0
10.538,3,0.978,0,0,3.9,3,46,28,79,0.0,3,0,59.7,22,0
9.42,3,0.977,0,0,3.6,3,50,30,85,0.0,3,0,60.2,24,0
9.387,3,0.976,0,0,3.4,3,54,32,91,0.0,3,0,60.7,26,0
4.519,4,0.991,0,3,2.1,0,21,22,50,6.4,1,22,44.7,3,0
4.602,2,0.987,0,1,2.6,0,17,19,41,2.6,1,17,44.7,3,0
5.237,4,0.993,0,1,5.7,3,26,23,55,1.9,3,12,49.1,7,0
4.939,4,0.995,0,1,6.0,3,24,22,52,2.0,3,12,48.0,6,0
5.473,10,1.042,3,1,12.5,4,14,16,42,2.5,5,16,35.0,3,3
5.184,9,1.034,3,1,13.5,4,13,15,39,2.7,5,16,35.1,2,3
5.185,10,1.036,3,1,11.6,4,16,17,45,2.3,5,16,37.2,4,3
4.652,9,1.029,3,1,12.5,4,15,16,42,2.5,5,16,37.5,3,3
5.022,4,0.991,0,3,2.1,0,21,22,50,6.4,1,22,44.7,3,0
4.558,3,0.984,0,3,0.0,0,21,22,49,6.5,0,22,45.7,3,0
4.851,4,0.991,0,3,0.0,0,18,21,46,7.0,0,22,41.9,2,1
4.764,4,0.991,0,3,0.0,0,18,21,46,7.0,0,22,41.9,2,1
4.539,4,0.997,0,3,0.0,0,18,21,46,7.0,0,22,41.9,2,0
4.815,3,0.981,0,3,0.0,0,25,24,55,5.8,0,22,48.1,5,0
4.6,4,0.993,0,3,0.0,0,18,21,46,7.0,0,22,41.9,2,1
4.656,4,0.997,0,3,0.0,0,18,21,46,7.0,0,22,41.9,2,0
4.688,5,1.017,0,1,8.8,2,14,15,35,2.9,3,11,41.2,3,1
4.553,3,0.995,0,2,2.8,1,14,19,39,5.6,1,21,38.9,1,0
4.848,5,1.02,0,2,3.3,1,10,15,32,6.7,1,16,33.3,1,2
4.863,7,1.015,1,2,7.0,1,17,19,45,4.7,3,17,39.5,3,2
4.979,6,1.003,1,3,5.1,2,19,14,40,7.7,2,6,48.7,7,1
5.335,3,0.988,0,1,4.2,2,24,21,50,2.1,2,12,50.0,6,0
5.352,4,0.995,0,1,6.0,3,24,22,52,2.0,3,12,48.0,6,0
4.742,2,0.981,0,2,0.0,0,20,22,47,4.5,0,22,45.5,2,0
4.499,3,0.988,0,2,0.0,0,19,22,47,4.5,0,22,43.2,2,1
4.712,3,0.987,0,2,2.1,0,22,23,51,4.2,1,22,45.8,3,0
4.599,2,0.98,0,2,0.0,0,22,23,50,4.3,0,22,46.8,3,0
4.87,3,0.981,0,3,0.0,0,25,24,55,5.8,0,22,48.1,4,0
4.73,5,1.001,0,3,4.3,2,19,22,49,6.5,2,22,41.3,2,0
4.697,2,0.98,0,2,0.0,0,18,17,39,5.4,0,16,48.6,3,0
4.677,2,0.981,0,2,0.0,0,22,26,54,4.0,0,27,44.0,2,0
4.558,3,0.984,0,2,1.9,0,26,25,57,3.7,1,22,48.1,5,0
4.526,3,0.988,0,2,0.0,0,19,22,47,4.5,0,22,43.2,2,1
4.43,4,0.996,0,2,0.0,0,18,22,47,4.5,0,22,40.9,2,2
4.577,4,0.994,0,2,2.1,0,21,23,51,4.2,1,22,43.8,3,1
4.752,3,0.986,0,2,0.0,0,21,23,50,4.3,0,22,44.7,3,1
5.06,4,0.987,0,3,0.0,0,24,24,55,5.8,0,22,46.2,4,1
5.357,6,1.008,0,3,4.3,2,18,22,49,6.5,2,22,39.1,2,1
4.62,6,1.019,0,2,0.0,0,18,23,50,4.3,0,22,38.3,3,1
4.614,4,0.994,0,2,2.1,0,21,23,51,4.2,1,22,43.8,3,1
4.155,3,0.988,0,2,0.0,0,19,22,47,4.5,0,22,43.2,2,1
4.68,3,0.99,0,2,0.0,0,17,21,44,4.9,0,22,41.5,1,1
4.155,3,0.987,1,1,0.0,0,18,22,46,2.3,0,22,41.9,2,2
9.398,5,0.986,0,0,5.9,5,48,32,88,0.0,5,0,56.5,23,0
9.456,5,0.987,0,0,6.0,6,46,32,86,0.0,5,0,55.4,21,0
8.222,4,0.985,0,0,5.3,5,42,29,78,0.0,4,0,56.0,20,0
8.092,4,0.985,0,0,5.3,5,42,29,78,0.0,4,0,56.0,20,0
8.076,6,0.99,0,0,7.0,5,48,32,89,0.0,6,0,55.8,23,0
8.092,4,0.985,0,0,5.3,5,42,29,78,0.0,4,0,56.0,20,0
8.174,4,0.982,0,0,4.8,5,48,32,87,0.0,4,0,57.1,23,0
8.056,5,0.985,0,0,5.5,5,52,34,94,0.0,5,0,57.1,25,0
8.201,5,0.986,0,0,5.7,5,50,33,91,0.0,5,0,56.8,24,0
8.032,5,0.985,0,0,5.5,5,52,34,94,0.0,5,0,57.1,25,0
8.114,4,0.986,0,0,5.6,5,40,28,75,0.0,4,0,55.6,19,0
8.066,4,0.985,0,0,5.3,5,42,29,78,0.0,4,0,56.0,20,0
8.086,4,0.983,0,0,4.9,5,46,31,84,0.0,4,0,56.8,22,0
8.208,5,0.987,0,0,6.1,5,46,31,85,0.0,5,0,56.1,22,0
7.989,4,0.983,0,0,4.9,5,46,31,84,0.0,4,0,56.8,22,0
8.066,4,0.985,0,0,5.3,5,42,29,78,0.0,4,0,56.0,20,0
8.032,6,0.988,0,0,6.5,5,52,34,95,0.0,6,0,56.5,25,0
