pXC50,ATS2s,ATS3s,ATS4s,ATS6s,ATS7s,ATSC8m,BIC1,C.002,CATS2D_01_LL,CATS2D_02_LL,CATS2D_03_LL,CATS2D_04_LL,CATS2D_05_LL,CATS2D_06_LL,CIC1,Dz,Eig15_AEA.ri.,Eig15_EA.dm.,Eta_C,Eta_C_A,Eta_epsi,Eta_sh_x,GATS1p,GATS1s,GATS6m,GATS8s,GATS8v,H.046,IC1,MATS1m,MATS1p,MATS1s,MATS2v,MATS4e,MATS4v,MATS6m,MATS6s,MATS7m,MATS8v,NssCH2,ON1V,PHI,P_VSA_e_1,P_VSA_m_1,P_VSA_m_3,P_VSA_MR_1,P_VSA_MR_2,P_VSA_s_2,P_VSA_s_6,P_VSA_v_1,P_VSA_v_2,S2K,SAacc,SIC1,SpAD_AEA.ri.,SpDiam_AEA.dm.,SpMAD_AEA.ri.,SpMax4_Bh.s.,SpMax7_Bh.s.,SpMax8_Bh.s.,SpMin1_Bh.p.,SpMin2_Bh.p.,SpMin3_Bh.p.,SpMin4_Bh.m.,SpMin4_Bh.p.,SpMin7_Bh.m.,SpMin8_Bh.m.,TIC1,SpMin1_Bh.m.,SpMin2_Bh.m.,SpMin5_Bh.p.,Eta_sh_p,GATS7p,MATS7p,S3K,ATS1i,ATS2i,ATS3i,ATS4i,ATS5i,ATS6i,ATS7i,Eta_alpha_A,Eta_FL,Eta_L_A,GATS2m,GATS4i,GATS4p,GATS8m,Mp,Si,SpMin1_Bh.v.,SpMin2_Bh.v.,SpMin6_Bh.p.,SpMin7_Bh.p.,SpMin7_Bh.v.,SpMin8_Bh.v.,X1Mad,X1Per,X4Av,X5Av,ATS1s,MATS4m,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ATS1e,ATS1m,ATS1p,ATS1v,ATS2e,ATS2m,ATS2p,ATS2v,ATS3e,ATS3m,ATS3p,ATS3v,ATS4e,ATS4m,ATS4p,ATS4v,ATS5e,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6m,ATS6p,ATS6v,ATS7e,ATS7m,ATS7p,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s
4.8,4.79,5.147,5.166,4.677,4.588,8.051,0.432,4,4,3,2,1,1,1,2.769,25.5,0.0,0.0,11.09,0.924,14.878,0.0,1.347,0.584,0.952,1.595,0.904,9,2.138,0.134,0.019,-0.068,-0.148,0.206,0.022,-0.03,-0.065,-0.14,-0.118,6,2.111,7.618,176.567,176.567,75.525,153.024,93.567,185.238,75.525,176.567,84.5305,7.627,84.5305,0.436,14.428,5.461,1.312,3.882,3.143,2.741,1.921,1.779,1.634,1.377,1.309,0.766,0.627,64.148,2.011,1.767,1.128,0.248,1.119,-0.114,8.987,3.518,4.199,4.499,4.429,4.263,4.154,3.952,0.56,1.156,0.376,1.583,1.027,1.206,0.202,0.63,34.022,1.969,1.822,0.851,0.59,0.663,0.499,4.37,3.659,0.335,0.277,4.232,-0.093,1.387,7.167,3.754,14.093,49.438,7.908,3.399,3.489,3.024,2.848,3.984,3.4,3.332,3.082,4.243,3.556,3.348,3.092,4.147,3.141,3.236,2.956,3.996,2.887,3.05,4.905,2.797,3.863,2.79,2.91,2.633,3.671,2.283,2.678,2.424,3.426,3.703,1.787,2.336,4.421,2.141,0.05,0.405,12.606,4.067,6.785,4.697,0.077,0.62,28.312,6.853,11.32
4.35,5.327,5.565,5.098,4.936,4.844,8.774,0.397,7,7,6,5,4,3,2,2.986,30.0,0.0,0.0,12.285,0.945,17.495,0.0,1.545,0.534,0.953,1.512,0.865,15,1.968,-0.028,-0.07,-0.022,-0.216,-0.029,0.009,-0.015,-0.088,-0.031,0.009,7,2.345,7.872,211.88,211.88,55.065,211.88,55.065,219.995,55.065,211.88,55.065,8.158,55.065,0.397,15.882,5.803,1.323,4.217,3.258,2.837,1.966,1.842,1.653,1.439,1.415,0.831,0.694,61.012,2.053,1.906,1.148,0.238,0.899,-0.007,7.892,3.585,4.302,4.609,4.543,4.41,4.257,4.076,0.454,1.232,0.381,0.982,0.808,0.927,1.119,0.579,36.041,1.997,1.859,0.888,0.668,0.72,0.565,5.891,4.084,0.132,0.089,4.426,0.004,1.397,8.0,3.754,14.093,48.548,6.203,3.44,2.773,2.887,2.818,4.068,3.014,3.2,3.073,4.314,2.985,3.245,3.067,4.227,2.684,3.13,2.937,4.098,2.586,2.984,5.021,2.805,3.949,2.477,2.814,2.653,3.775,2.355,2.608,2.473,3.563,3.856,2.217,2.348,4.743,2.255,0.015,0.502,7.292,3.37,12.215,4.371,0.322,0.789,14.306,4.977,69.846
4.42,5.795,5.769,5.236,5.097,5.019,9.906,0.416,7,7,6,5,4,3,2,2.895,33.5,0.0,0.0,13.539,0.967,19.01,0.081,1.543,0.565,0.988,1.572,0.867,15,2.059,-0.021,-0.07,-0.038,-0.2,-0.045,0.011,-0.041,-0.122,-0.072,0.004,7,2.336,6.609,200.109,200.109,70.025,200.109,70.025,207.868,70.025,200.109,70.025,6.864,70.025,0.416,18.175,6.463,1.398,7.418,3.674,3.25,1.967,1.843,1.655,1.405,1.417,0.798,0.683,63.829,2.052,1.902,1.15,0.273,0.901,-0.009,7.601,3.594,4.321,4.617,4.555,4.424,4.273,4.096,0.442,1.389,0.364,0.753,0.795,0.925,1.206,0.577,36.381,1.996,1.856,0.889,0.669,0.714,0.562,6.122,4.144,0.121,0.081,4.508,-0.005,1.488,8.143,4.248,18.048,49.438,6.783,3.456,2.863,2.884,2.841,4.101,3.281,3.195,3.113,4.329,3.147,3.242,3.097,4.249,2.796,3.125,2.967,4.122,2.71,2.979,5.169,2.84,3.978,2.614,2.807,2.693,3.808,2.509,2.6,2.522,3.604,3.88,2.391,2.338,4.935,2.314,0.072,0.572,6.923,3.403,26.544,4.199,0.729,1.062,15.412,5.023,149.162
6.79,6.071,6.169,6.349,5.355,5.294,11.472,0.442,6,6,5,4,3,2,1,2.765,40.5,-0.946,-1.783,16.119,1.007,22.038,0.148,1.541,0.611,1.084,1.673,0.877,13,2.189,-0.011,-0.069,-0.045,-0.152,0.425,0.034,-0.118,-0.2,-0.189,-0.023,6,2.22,5.926,176.567,176.567,99.945,153.024,123.488,186.15,99.945,176.567,99.945,6.176,99.945,0.442,22.192,6.627,1.479,7.999,4.205,3.952,1.969,1.846,1.656,1.361,1.419,0.735,0.621,67.857,2.042,1.865,1.156,0.335,0.906,-0.013,5.879,3.613,4.351,4.654,4.611,4.451,4.305,4.134,0.423,1.857,0.335,0.613,0.649,0.918,1.394,0.573,37.06,1.99,1.838,0.893,0.67,0.693,0.558,6.667,4.178,0.071,0.063,4.672,0.311,1.618,8.125,4.311,18.587,49.821,7.944,3.488,3.021,2.877,2.885,4.154,3.558,3.183,3.193,4.398,3.519,3.226,3.204,4.35,3.529,3.11,3.096,4.169,2.919,2.968,5.411,2.906,4.031,2.842,2.794,2.769,3.872,2.76,2.583,2.611,3.682,3.927,2.669,2.316,5.269,2.424,0.249,0.726,5.75,3.468,66.363,3.802,1.135,1.353,15.221,5.129,233.188
7.65,5.805,5.783,5.317,5.1,5.012,9.271,0.515,4,4,3,2,1,0,0,2.379,34.0,0.0,0.0,12.417,0.887,19.11,0.082,1.593,0.582,1.018,1.686,0.99,9,2.528,-0.02,-0.116,-0.052,-0.18,0.077,0.028,-0.06,-0.146,-0.115,-0.073,6,2.086,6.558,176.567,176.567,70.025,153.024,93.567,184.326,70.025,176.567,88.036,6.831,88.036,0.515,18.143,6.401,1.396,7.418,3.724,3.251,1.955,1.834,1.651,1.393,1.388,0.779,0.635,75.848,2.027,1.827,1.147,0.278,0.815,0.056,7.565,3.586,4.296,4.549,4.507,4.313,4.229,4.044,0.435,1.818,0.333,0.766,0.608,0.827,1.293,0.571,35.464,1.979,1.825,0.869,0.62,0.667,0.502,6.048,3.882,0.098,0.063,4.535,0.043,1.664,8.143,2.769,7.667,48.565,7.042,3.441,2.878,2.81,2.792,4.07,3.289,3.1,3.052,4.267,3.164,3.137,3.023,4.194,2.838,3.022,2.876,4.013,2.689,2.889,5.022,2.762,3.934,2.621,2.723,2.64,3.757,2.504,2.515,2.473,3.529,3.786,2.389,2.295,4.913,2.294,0.115,0.549,6.63,2.945,29.168,3.772,0.795,0.981,14.963,4.175,150.07
6.24,5.768,5.714,5.06,5.046,4.959,8.148,0.493,4,4,3,2,1,0,0,2.461,33.0,0.0,0.0,14.057,1.004,17.954,0.069,1.053,0.571,1.029,1.817,0.907,9,2.397,0.027,0.062,-0.039,-0.19,0.042,0.066,-0.078,-0.152,-0.219,-0.146,6,2.003,7.294,176.567,176.567,75.525,153.024,93.567,185.238,75.525,176.567,84.5305,7.301,84.5305,0.493,18.175,6.463,1.398,7.418,3.536,3.247,1.914,1.766,1.628,1.368,1.26,0.764,0.627,69.523,2.011,1.745,1.125,0.233,1.149,-0.117,8.07,3.517,4.22,4.43,4.387,4.151,4.144,3.939,0.518,1.183,0.378,1.554,0.946,1.248,0.301,0.63,33.831,1.957,1.747,0.832,0.553,0.639,0.483,5.205,3.742,0.277,0.204,4.466,0.135,1.689,8.143,3.849,14.818,45.265,9.49,3.401,3.35,2.965,2.856,4.031,3.671,3.287,3.117,4.183,3.747,3.28,3.083,4.109,3.887,3.154,2.95,3.878,3.022,2.976,4.786,2.766,3.876,2.994,2.847,2.68,3.687,2.603,2.597,2.481,3.448,3.681,2.387,2.25,4.891,2.272,0.102,0.594,5.571,3.874,29.068,4.0,0.765,1.128,29.53,6.895,151.032
6.35,5.831,5.866,5.477,5.192,5.138,9.587,0.51,4,4,3,2,1,0,0,2.379,36.5,0.0,0.0,13.905,0.927,20.143,0.073,1.372,0.591,1.074,1.768,0.997,9,2.528,0.117,0.0,-0.043,-0.169,0.045,0.073,-0.113,-0.177,-0.269,-0.183,6,2.031,6.831,176.567,176.567,92.182,153.024,115.724,203.459,92.182,176.567,92.182,7.0,92.182,0.515,20.005,6.502,1.429,7.424,3.88,3.474,1.93,1.805,1.643,1.381,1.348,0.771,0.629,75.848,2.017,1.773,1.143,0.295,1.042,-0.081,7.552,3.553,4.26,4.527,4.473,4.296,4.21,4.02,0.457,1.872,0.334,1.056,0.877,1.098,1.071,0.607,35.095,1.974,1.815,0.863,0.615,0.664,0.498,5.797,3.869,0.163,0.104,4.559,0.187,1.777,8.067,2.668,7.119,54.43,8.144,3.447,3.188,2.953,2.881,4.075,3.491,3.256,3.151,4.292,3.461,3.28,3.149,4.215,3.412,3.159,3.03,4.059,3.172,2.994,5.744,2.893,3.951,2.831,2.843,2.731,3.777,2.644,2.614,2.556,3.561,3.786,2.418,2.303,5.037,2.329,0.147,0.592,7.263,3.791,43.464,3.929,0.819,1.103,18.378,6.026,170.174
7.88,6.007,5.981,5.72,5.308,5.281,10.281,0.513,4,4,3,2,1,0,0,2.366,39.0,-0.945,-1.708,14.515,0.907,20.887,0.26,1.63,0.646,1.004,1.714,0.935,9,2.588,0.155,-0.018,-0.072,-0.164,0.058,0.072,-0.088,-0.192,-0.221,-0.185,6,2.059,6.201,176.567,176.567,75.525,153.024,93.567,185.238,75.525,176.567,84.5305,6.362,84.5305,0.522,21.901,6.486,1.46,7.686,4.187,3.86,1.947,1.83,1.652,1.371,1.414,0.766,0.628,80.222,2.011,1.748,1.152,0.298,1.088,-0.104,7.521,3.578,4.309,4.609,4.544,4.419,4.267,4.088,0.495,2.142,0.315,1.503,0.911,1.184,0.357,0.618,36.25,2.019,1.877,0.903,0.703,0.735,0.572,5.389,3.986,0.246,0.154,4.542,0.116,1.837,8.0,3.754,14.093,49.438,9.91,3.494,3.829,3.061,2.965,4.149,3.837,3.36,3.256,4.393,3.884,3.393,3.265,4.314,4.062,3.271,3.167,4.213,3.592,3.095,6.22,3.037,4.023,3.139,2.936,2.819,3.862,2.81,2.71,2.649,3.662,3.88,2.447,2.354,5.165,2.382,0.204,0.624,10.486,4.448,64.457,4.119,0.983,1.146,30.063,7.096,216.23
9.3,5.823,5.853,5.431,5.183,5.131,9.225,0.51,4,4,3,2,1,0,0,2.379,36.0,0.0,0.0,13.91,0.927,19.421,0.066,1.343,0.603,1.015,1.758,0.92,9,2.528,0.093,0.02,-0.052,-0.179,0.056,0.069,-0.083,-0.173,-0.22,-0.167,6,2.031,7.031,176.567,176.567,75.525,153.024,93.567,185.238,75.525,176.567,84.5305,7.13,84.5305,0.515,19.964,6.475,1.426,7.421,3.872,3.447,1.922,1.787,1.637,1.369,1.315,0.765,0.627,75.848,2.011,1.746,1.138,0.267,1.116,-0.11,7.69,3.548,4.255,4.524,4.469,4.294,4.207,4.016,0.505,1.802,0.338,1.542,0.926,1.212,0.33,0.624,35.041,1.968,1.798,0.852,0.593,0.659,0.494,5.303,3.869,0.258,0.171,4.517,0.125,1.777,8.067,3.754,14.093,49.438,9.707,3.449,3.618,3.014,2.912,4.077,3.736,3.321,3.178,4.293,3.818,3.338,3.178,4.217,3.978,3.214,3.065,4.059,3.347,3.037,5.739,2.911,3.952,3.069,2.892,2.752,3.778,2.712,2.655,2.569,3.561,3.786,2.418,2.303,5.037,2.329,0.156,0.609,8.12,4.17,45.06,4.062,0.83,1.136,29.691,6.983,171.537
6.35,6.013,5.99,5.746,5.314,5.286,10.72,0.513,4,4,3,2,1,0,0,2.366,39.5,-1.071,-3.327,14.54,0.909,21.61,0.185,1.563,0.628,1.083,1.723,1.012,9,2.588,0.188,-0.027,-0.06,-0.151,0.049,0.077,-0.126,-0.196,-0.281,-0.203,6,2.059,6.026,176.567,176.567,114.338,153.024,137.88,184.326,114.338,176.567,114.338,6.244,114.338,0.522,21.996,6.92,1.466,7.714,4.188,3.863,1.99,1.856,1.662,1.387,1.458,0.775,0.632,80.222,2.02,1.793,1.156,0.328,1.026,-0.078,7.389,3.584,4.314,4.612,4.548,4.421,4.27,4.091,0.449,2.246,0.309,1.008,0.864,1.084,1.13,0.602,36.304,2.05,1.893,0.923,0.724,0.748,0.578,5.94,3.986,0.153,0.093,4.593,0.18,1.837,8.0,2.764,7.64,53.906,8.397,3.491,3.325,2.991,2.927,4.148,3.618,3.298,3.231,4.391,3.554,3.339,3.239,4.312,3.555,3.219,3.136,4.212,3.457,3.054,6.222,3.022,4.022,2.919,2.888,2.8,3.861,2.749,2.671,2.637,3.662,3.88,2.447,2.354,5.165,2.382,0.19,0.603,8.078,3.967,61.94,3.966,0.97,1.112,18.917,6.133,215.033
6.92,5.817,5.797,5.391,5.103,5.005,8.502,0.493,4,4,3,2,1,0,0,2.461,34.5,0.0,0.0,12.27,0.876,19.176,0.083,1.662,0.593,1.054,1.805,1.097,9,2.397,-0.003,-0.179,-0.05,-0.15,0.192,0.058,-0.084,-0.173,-0.169,-0.172,6,2.003,6.558,176.567,176.567,81.025,153.024,93.567,184.326,81.025,176.567,81.025,6.831,81.025,0.493,18.117,6.375,1.394,7.418,3.756,3.252,1.937,1.813,1.645,1.385,1.342,0.772,0.63,69.523,2.02,1.788,1.141,0.281,0.774,0.096,7.565,3.538,4.254,4.452,4.421,4.169,4.162,3.963,0.43,1.875,0.329,0.773,0.649,0.782,1.394,0.572,34.175,1.965,1.782,0.851,0.577,0.644,0.485,5.983,3.742,0.088,0.055,4.541,0.093,1.62,8.143,3.035,9.212,46.884,7.319,3.417,2.891,2.774,2.775,4.055,3.297,3.036,3.02,4.201,3.18,3.051,2.976,4.136,2.877,2.936,2.818,3.892,2.668,2.812,4.85,2.698,3.89,2.628,2.658,2.606,3.703,2.5,2.442,2.435,3.448,3.681,2.387,2.25,4.891,2.272,0.152,0.515,6.133,2.988,33.949,3.611,0.908,0.95,14.744,4.118,158.582
7.9,5.781,5.736,5.157,5.061,4.971,8.455,0.493,4,4,4,3,2,1,1,2.461,33.5,0.0,0.0,14.243,1.017,18.676,0.077,1.179,0.574,1.067,1.825,0.984,9,2.397,0.036,0.03,-0.042,-0.182,0.029,0.067,-0.099,-0.159,-0.257,-0.158,6,2.003,7.08,176.567,176.567,70.025,153.024,93.567,184.326,70.025,176.567,70.025,7.166,70.025,0.493,18.096,6.388,1.392,7.418,3.604,3.248,1.917,1.774,1.632,1.377,1.276,0.768,0.628,69.523,2.015,1.763,1.129,0.259,1.064,-0.085,7.925,3.521,4.226,4.433,4.393,4.154,4.147,3.943,0.466,1.098,0.385,1.09,0.893,1.117,1.003,0.613,33.885,1.959,1.756,0.836,0.557,0.64,0.484,5.628,3.742,0.178,0.126,4.486,0.191,1.689,8.143,3.78,14.288,53.058,7.873,3.4,3.029,2.913,2.832,4.029,3.406,3.22,3.088,4.181,3.358,3.218,3.051,4.107,3.246,3.095,2.911,3.877,2.771,2.931,4.803,2.745,3.875,2.735,2.795,2.658,3.685,2.527,2.554,2.467,3.448,3.681,2.387,2.25,4.891,2.272,0.099,0.58,6.362,3.603,29.442,3.888,0.755,1.094,18.17,5.938,149.088
