pXC50,GATS3m,GATS3p,GATS4p,GATS4s,MATS1e,MATS1s,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m
5.796,0.944,1.008,0.635,0.985,-0.083,-0.07,1.836,11.633,6.727,45.254,135.43,15.07,0.563,3.878,3.95,4.068,3.697,5.145,3.6,4.337,4.434,4.579,4.131,5.572,3.993,4.628,4.74,4.812,4.322,5.922,4.156,4.73,4.882,5.385,4.376,6.103,4.135,4.676,4.843,4.855,4.152,6.077,4.039,4.587,4.733,4.399,4.12,5.938,3.957,4.476,4.631,4.538
6.201,1.061,1.089,0.766,1.252,-0.137,-0.147,1.834,8.053,4.082,16.662,98.231,21.886,0.6,3.401,3.467,3.94,3.331,4.655,3.164,3.811,3.887,4.497,3.772,5.104,3.538,4.076,4.189,4.686,3.92,5.391,3.624,4.024,4.163,5.25,3.876,5.494,3.466,3.843,3.987,4.585,3.374,5.305,3.222,3.61,3.723,3.942,3.428,4.888,3.136,3.568,3.693,4.381
5.796,0.914,0.968,0.596,0.986,-0.093,-0.123,1.653,8.905,4.698,22.07,100.014,14.087,0.545,3.653,3.751,3.794,3.421,4.808,3.293,4.127,4.27,4.309,3.843,5.257,3.664,4.399,4.564,4.531,4.007,5.571,3.787,4.462,4.666,5.22,4.044,5.715,3.704,4.345,4.574,4.504,3.649,5.536,3.469,4.037,4.254,3.788,3.512,5.107,3.274,3.865,4.039,4.102
5.26,1.044,1.095,0.805,1.189,-0.125,-0.145,1.789,8.8,3.828,14.651,82.716,12.937,0.571,3.549,3.622,3.582,3.193,4.808,3.166,3.987,4.087,4.042,3.556,5.256,3.505,4.194,4.302,4.231,3.666,5.523,3.597,4.213,4.354,4.596,3.604,5.637,3.488,4.128,4.312,4.157,3.353,5.507,3.289,3.864,4.031,3.531,3.25,5.052,3.139,3.739,3.875,3.786
5.237,1.03,1.072,0.689,1.255,-0.129,-0.147,1.936,8.053,4.168,17.373,90.628,18.499,0.6,3.41,3.474,3.78,3.265,4.686,3.143,3.822,3.896,4.311,3.686,5.151,3.509,4.093,4.204,4.521,3.817,5.444,3.59,4.037,4.175,5.202,3.808,5.524,3.442,3.85,3.992,4.49,3.335,5.329,3.207,3.623,3.734,3.768,3.344,4.927,3.109,3.585,3.706,4.13
6.167,1.053,1.083,0.712,1.261,-0.138,-0.149,1.936,8.053,4.252,18.08,93.446,20.145,0.6,3.407,3.471,3.861,3.283,4.665,3.151,3.818,3.892,4.405,3.71,5.119,3.521,4.087,4.197,4.604,3.846,5.408,3.604,4.032,4.17,5.226,3.827,5.504,3.452,3.847,3.99,4.538,3.346,5.312,3.214,3.618,3.729,3.856,3.368,4.901,3.12,3.579,3.7,4.26
6.056,1.018,1.039,0.654,1.136,-0.102,-0.109,1.936,8.053,3.709,13.758,86.04,17.89,0.6,3.416,3.486,3.748,3.229,4.744,3.123,3.83,3.912,4.273,3.638,5.237,3.482,4.105,4.229,4.488,3.759,5.54,3.559,4.047,4.195,5.193,3.771,5.579,3.42,3.854,4.002,4.472,3.314,5.375,3.194,3.633,3.755,3.733,3.298,5.0,3.084,3.597,3.727,4.077
5.77,0.998,1.05,0.619,1.102,-0.114,-0.138,1.728,8.053,3.99,15.919,90.864,15.969,0.6,3.491,3.576,3.74,3.299,4.709,3.172,3.925,4.041,4.261,3.713,5.148,3.533,4.167,4.297,4.479,3.852,5.441,3.627,4.203,4.388,5.193,3.867,5.564,3.5,4.004,4.195,4.468,3.399,5.356,3.252,3.695,3.833,3.725,3.358,4.941,3.13,3.712,3.878,4.058
5.06,1.048,1.066,0.659,1.192,-0.115,-0.14,1.789,8.8,3.487,12.161,92.286,15.97,0.571,3.54,3.615,3.779,3.295,4.791,3.19,3.975,4.079,4.285,3.695,5.231,3.539,4.174,4.288,4.507,3.838,5.483,3.64,4.195,4.342,5.206,3.886,5.607,3.549,4.109,4.3,4.488,3.481,5.438,3.331,3.848,4.019,3.761,3.397,5.026,3.173,3.724,3.865,4.09
4.907,1.091,1.175,0.937,1.218,-0.121,-0.149,1.834,8.053,4.341,18.84,75.421,11.725,0.6,3.426,3.488,3.352,3.117,4.745,3.099,3.844,3.914,3.785,3.486,5.236,3.449,4.127,4.233,3.9,3.566,5.57,3.513,4.069,4.2,3.864,3.383,5.631,3.328,3.888,4.023,3.697,3.121,5.553,3.127,3.656,3.764,3.263,3.121,5.015,3.046,3.613,3.727,3.456
